xml_id	midi_id	track	channel	pitch	onset
n6	2	1	0	59	1.496875
n7	3	1	0	61	1.6375
n8	4	1	0	63	1.759375
n3	0	1	0	64	0.5
n4	1	1	0	66	0.8333333333333333
n16	6	1	0	63	2.0166666666666666
n15	5	1	0	64	1.8802083333333333
n17	7	1	0	64	2.1437500000000003
n18	8	1	0	66	2.2770833333333336
n19	9	1	0	68	2.4041666666666672
n22	12	1	0	68	2.8072916666666674
n20	10	1	0	69	2.5291666666666672
n10	11	1	0	71	2.665625000000001
n21	deletion
n24	14	1	0	63	3.0812500000000003
n23	13	1	0	64	2.952083333333334
n25	15	1	0	64	3.2197916666666666
n26	16	1	0	66	3.3552083333333336
n11	17	1	0	73	2.9437500000000005
n28	19	1	0	63	3.6010416666666667
n27	18	1	0	64	3.4833333333333334
n29	21	1	0	64	3.7302083333333327
n12	20	1	0	66	3.61875
n30	24	1	0	66	3.8656249999999996
n13	22	1	0	68	3.742708333333333
n14	23	1	0	70	3.8791666666666664
n49	28	1	0	61	4.161458333333332
n48	26	1	0	63	4.012499999999999
n50	30	1	0	63	4.282291666666665
n51	32	1	0	64	4.3979166666666645
n33	27	1	0	70	4.135416666666665
n32	25	1	0	71	4.008333333333333
n34	29	1	0	71	4.264583333333332
n35	31	1	0	73	4.396874999999998
n52	34	1	0	66	4.531249999999997
n55	40	1	0	66	4.9187499999999975
n53	35	1	0	68	4.657291666666664
n54	37	1	0	69	4.779166666666664
n36	33	1	0	75	4.527083333333331
n39	39	1	0	75	4.917708333333331
n37	36	1	0	76	4.655208333333331
n38	38	1	0	78	4.78645833333333
n57	44	1	0	59	5.33958333333333
n56	41	1	0	68	5.0645833333333306
n41	43	1	0	69	5.197916666666663
n40	42	1	0	71	5.068749999999997
n42	45	1	0	71	5.3437499999999964
n43	46	1	0	73	5.476041666666664
n62	50	1	0	52	5.90520833333333
n58	52	1	0	64	5.615624999999997
n45	48	1	0	69	5.746874999999997
n44	47	1	0	71	5.62083333333333
n46	49	1	0	71	5.903124999999997
n47	51	1	0	73	6.03020833333333
n83	57	1	0	54	6.185416666666663
n77	55	1	0	63	6.478124999999995
n64	54	1	0	68	6.316666666666662
n63	53	1	0	69	6.185416666666663
n65	56	1	0	69	6.468749999999995
n66	58	1	0	71	6.607291666666662
n85	60	1	0	47	6.8989583333333275
n86	63	1	0	49	7.031249999999995
n87	66	1	0	51	7.167708333333327
n78	61	1	0	66	6.755208333333329
n68	62	1	0	68	6.896874999999994
n67	59	1	0	69	6.762499999999995
n69	65	1	0	69	7.033333333333328
n70	67	1	0	71	7.167708333333327
n89	70	1	0	51	7.4458333333333275
n88	68	1	0	52	7.309374999999994
n90	73	1	0	52	7.571874999999994
n91	76	1	0	54	7.703124999999994
n80	72	1	0	59	7.572916666666661
n72	71	1	0	66	7.443749999999994
n71	69	1	0	68	7.312499999999994
n73	74	1	0	68	7.590624999999994
n74	deletion
n92	77	1	0	56	7.855208333333327
n95	82	1	0	56	8.264583333333327
n93	79	1	0	57	7.982291666666661
n94	80	1	0	59	8.130208333333327
n82	81	1	0	63	8.130208333333327
n81	78	1	0	64	7.856249999999994
n75	87	1	0	71	7.861458333333327
n105	84	1	0	51	8.55416666666666
n104	83	1	0	52	8.417708333333326
n106	85	1	0	52	8.686458333333325
n107	86	1	0	54	8.829166666666659
n102	91	1	0	61	8.409374999999994
n109	89	1	0	51	9.10312499999999
n108	88	1	0	52	8.989583333333325
n110	90	1	0	52	9.248958333333322
n111	93	1	0	54	9.38124999999999
n97	92	1	0	70	8.977083333333326
n113	97	1	0	49	9.677083333333323
n112	96	1	0	51	9.534374999999988
n114	99	1	0	51	9.822916666666655
n115	100	1	0	52	9.944791666666656
n103	94	1	0	59	9.54062499999999
n98	95	1	0	71	9.535416666666656
n99	98	1	0	83	9.814583333333323
n116	102	1	0	54	10.107291666666656
n119	106	1	0	54	10.533333333333324
n117	103	1	0	56	10.24374999999999
n118	104	1	0	57	10.395833333333323
n100	101	1	0	75	10.092708333333324
n101	105	1	0	78	10.39687499999999
n132	108	1	0	54	10.830208333333324
n131	107	1	0	56	10.689583333333324
n133	109	1	0	56	10.980208333333325
n134	111	1	0	57	11.120833333333325
n120	112	1	0	71	10.682291666666657
n125	110	1	0	76	10.972916666666658
n135	114	1	0	59	11.25937499999999
n138	117	1	0	59	11.678124999999993
n136	115	1	0	61	11.396874999999993
n137	116	1	0	62	11.537499999999993
n126	113	1	0	68	11.248958333333324
n127	118	1	0	71	11.537499999999993
n140	121	1	0	59	11.957291666666661
n139	120	1	0	61	11.830208333333326
n141	122	1	0	61	12.114583333333329
n142	124	1	0	63	12.253124999999997
n128	119	1	0	64	11.821874999999993
n129	125	1	0	66	12.09583333333333
n122	123	1	0	69	12.10208333333333
n146	132	1	0	59	12.803125000000001
n145	131	1	0	61	12.672916666666664
n144	128	1	0	63	12.534374999999995
n143	126	1	0	64	12.390624999999996
n130	129	1	0	64	12.668749999999998
n123	127	1	0	68	12.388541666666663
n124	130	1	0	76	12.666666666666664
n166	135	1	0	56	13.111458333333339
n165	133	1	0	57	12.967708333333336
n167	136	1	0	57	13.252083333333339
n168	137	1	0	59	13.391666666666671
n159	134	1	0	64	12.968750000000004
n147	138	1	0	78	12.965625000000003
n170	142	1	0	56	13.659375000000008
n169	139	1	0	57	13.528125000000008
n171	144	1	0	57	13.800000000000008
n172	146	1	0	59	13.935416666666674
n160	140	1	0	63	13.528125000000008
n161	143	1	0	66	13.816666666666674
n148	141	1	0	71	13.662500000000009
n149	145	1	0	73	13.810416666666674
n150	147	1	0	75	13.944791666666674
n174	152	1	0	54	14.375000000000007
n173	148	1	0	56	14.103125000000007
n162	154	1	0	59	14.078125000000007
n152	150	1	0	75	14.240625000000009
n151	149	1	0	76	14.100000000000007
n153	151	1	0	76	14.375000000000007
n154	153	1	0	78	14.510416666666673
n176	160	1	0	51	14.956250000000006
n175	155	1	0	52	14.651041666666671
n164	158	1	0	71	14.941666666666672
n155	156	1	0	80	14.657291666666673
n158	161	1	0	80	15.075000000000005
n156	157	1	0	81	14.792708333333339
n157	159	1	0	83	14.946875000000006
n205	162	1	0	49	15.235416666666671
n206	166	1	0	59	15.534375000000004
n192	164	1	0	73	15.242708333333338
n178	165	1	0	75	15.392708333333339
n177	163	1	0	76	15.24166666666667
n179	167	1	0	76	15.542708333333337
n180	168	1	0	78	15.667708333333337
n208	173	1	0	54	16.110416666666673
n207	169	1	0	58	15.815625000000002
n194	171	1	0	66	15.955208333333335
n195	174	1	0	68	16.108333333333338
n196	176	1	0	70	16.260416666666675
n182	172	1	0	75	15.960416666666669
n181	170	1	0	76	15.828125000000002
n183	175	1	0	76	16.106250000000003
n184	177	1	0	78	16.244791666666675
n209	179	1	0	59	16.387500000000006
n198	181	1	0	70	16.54166666666667
n197	178	1	0	71	16.39791666666667
n199	183	1	0	71	16.67604166666667
n186	182	1	0	73	16.529166666666672
n200	186	1	0	73	16.811458333333334
n185	180	1	0	75	16.396875000000005
n187	184	1	0	75	16.66666666666667
n188	185	1	0	76	16.795833333333334
n201	187	1	0	75	16.953125
n204	192	1	0	75	17.35833333333333
n202	189	1	0	76	17.08020833333333
n189	188	1	0	78	16.944791666666667
n203	191	1	0	78	17.219791666666662
n190	190	1	0	80	17.08020833333333
n191	194	1	0	81	17.22708333333333
n220	195	1	0	69	17.653124999999996
n219	193	1	0	71	17.512499999999996
n221	196	1	0	71	17.79270833333333
