xml_id	midi_id	track	channel	pitch	onset
n2	0	1	0	60	0.5
n3	1	1	0	61	1.5177083333333339
n4	2	1	0	60	2.56875
n6	3	1	0	59	3.614583333333338
n7	4	1	0	64	4.629166666666673
n8	5	1	0	65	5.663541666666664
n9	6	1	0	58	6.669791666666656
n11	7	1	0	57	7.667708333333314
n12	8	1	0	56	8.655208333333313
n13	9	1	0	55	9.746874999999983
n18	10	1	0	53	11.634374999999986
n19	11	1	0	53	12.13020833333332
n20	12	1	0	55	12.345833333333319
n21	13	1	0	56	12.604166666666652
n22	15	1	0	56	13.063541666666652
n23	16	1	0	58	13.270833333333318
n15	14	1	0	65	12.613541666666652
n25	18	1	0	47	13.714583333333318
n26	20	1	0	48	13.928124999999984
n27	21	1	0	50	14.153124999999985
n24	17	1	0	60	13.524999999999984
n16	19	1	0	68	13.509374999999984
n28	23	1	0	51	14.440624999999985
n17	22	1	0	67	14.416666666666652
n33	24	1	0	48	15.566666666666663
n34	26	1	0	50	15.788541666666662
n35	27	1	0	51	15.989583333333329
n29	25	1	0	66	15.34791666666666
n36	29	1	0	53	16.27708333333333
n30	28	1	0	71	16.267708333333328
n37	31	1	0	51	17.409374999999983
n38	32	1	0	53	17.64062499999998
n39	33	1	0	55	17.851041666666642
n31	30	1	0	72	17.19999999999999
n40	35	1	0	56	18.146874999999977
n32	34	1	0	65	18.137499999999974
n46	36	1	0	55	19.272916666666635
n47	38	1	0	57	19.48749999999996
n48	39	1	0	59	19.70416666666663
n41	37	1	0	64	19.052083333333304
n49	41	1	0	60	20.019791666666634
n42	40	1	0	63	19.996874999999967
n52	43	1	0	57	21.681249999999952
n51	42	1	0	59	21.444791666666617
n43	48	1	0	62	21.016666666666623
n53	45	1	0	59	22.032291666666616
n45	47	1	0	59	22.22291666666662
n44	44	1	0	60	21.911458333333282
insertion	46	1	0	60	22.136458333333284
n66	56	1	0	55	23.340624999999942
n54	51	1	0	60	22.472916666666617
n65	53	1	0	60	22.86249999999995
n55	54	1	0	60	23.331249999999944
n56	55	1	0	62	23.54374999999994
n72	59	1	0	48	23.80520833333327
n68	60	1	0	58	24.266666666666598
n67	58	1	0	60	23.80520833333327
n58	61	1	0	62	24.252083333333264
n57	57	1	0	64	23.78958333333327
n59	62	1	0	64	24.472916666666595
n73	67	1	0	49	24.698958333333263
n61	65	1	0	52	24.927083333333258
n62	66	1	0	53	25.151041666666586
n63	68	1	0	55	25.360416666666588
n69	63	1	0	56	24.716666666666594
n60	64	1	0	65	24.71562499999993
n70	69	1	0	65	25.152083333333252
n74	71	1	0	48	25.61666666666658
n64	70	1	0	56	25.615624999999913
n71	72	1	0	63	26.08124999999991
n95	75	1	0	47	26.523958333333233
n85	73	1	0	53	26.751041666666563
n86	76	1	0	55	26.96145833333323
n87	78	1	0	56	27.176041666666567
n75	74	1	0	62	26.535416666666567
n76	77	1	0	63	26.96145833333323
n77	79	1	0	65	27.214583333333234
n96	85	1	0	52	27.413541666666568
n88	82	1	0	58	27.414583333333233
n81	84	1	0	62	28.090624999999886
n80	83	1	0	64	27.870833333333227
n79	81	1	0	65	27.613541666666563
n78	80	1	0	67	27.414583333333233
n97	89	1	0	53	28.30208333333322
n89	87	1	0	56	28.540624999999885
n90	88	1	0	58	28.763541666666548
n82	86	1	0	60	28.319791666666553
n91	90	1	0	60	28.963541666666547
n98	91	1	0	46	29.20104166666655
n94	94	1	0	55	29.845833333333218
n93	95	1	0	56	29.637499999999886
n92	93	1	0	58	29.41979166666655
n83	92	1	0	61	29.20104166666655
n116	98	1	0	45	30.080208333333214
n108	96	1	0	53	30.080208333333214
n100	97	1	0	60	30.28749999999988
n101	99	1	0	62	30.502083333333214
n102	100	1	0	64	30.709374999999877
n117	103	1	0	44	30.93020833333321
n110	104	1	0	53	31.168749999999875
n111	101	1	0	55	31.366666666666543
n112	102	1	0	56	31.568749999999874
n103	105	1	0	65	30.940624999999876
n118	112	1	0	43	31.870833333333202
n113	108	1	0	58	31.8677083333332
n106	107	1	0	62	32.53437499999988
n105	106	1	0	64	32.32916666666655
n115	111	1	0	55	33.48541666666657
n114	110	1	0	56	33.26354166666654
n107	109	1	0	64	32.81249999999988
n134	114	1	0	41	33.75624999999992
n130	115	1	0	56	33.79583333333326
n119	113	1	0	65	33.746874999999925
n120	116	1	0	65	34.26041666666661
n121	117	1	0	67	34.466666666666626
n136	119	1	0	53	35.18125000000001
n137	121	1	0	55	35.40208333333337
n122	118	1	0	68	34.722916666666656
n123	120	1	0	68	35.17500000000001
n124	122	1	0	70	35.38020833333337
n138	123	1	0	56	35.66875000000005
n139	124	1	0	56	36.08854166666674
n140	127	1	0	58	36.3187500000001
n131	125	1	0	60	36.096875000000075
n132	126	1	0	61	36.3218750000001
n125	129	1	0	72	35.65104166666672
n142	134	1	0	48	36.975000000000136
n141	128	1	0	60	36.55729166666678
n133	133	1	0	63	36.55312500000011
n129	132	1	0	67	37.20937500000014
n128	131	1	0	68	36.98541666666681
n127	130	1	0	70	36.762500000000124
n160	138	1	0	49	37.541666666666835
n150	136	1	0	61	38.00729166666686
n151	137	1	0	63	38.213541666666856
n143	135	1	0	65	37.528125000000166
n162	140	1	0	49	38.91979166666689
n163	142	1	0	51	39.14062500000023
n152	139	1	0	65	38.47395833333352
n153	141	1	0	65	38.91666666666689
n154	143	1	0	67	39.132291666666895
n164	144	1	0	53	39.36979166666689
n165	146	1	0	53	39.82187500000026
n166	148	1	0	55	40.03437500000026
n146	145	1	0	56	39.80729166666693
n147	147	1	0	58	40.03645833333359
n155	149	1	0	68	39.38854166666689
n168	153	1	0	44	40.696875000000276
n167	151	1	0	56	40.273958333333596
n148	154	1	0	60	40.271875000000264
n159	155	1	0	63	40.90729166666697
n158	152	1	0	65	40.68333333333361
n157	150	1	0	66	40.45937500000027
n182	159	1	0	46	41.205208333333644
n170	156	1	0	58	41.67083333333366
n171	158	1	0	60	41.88958333333366
n176	157	1	0	61	41.207291666666976
n183	161	1	0	46	42.6020833333337
n184	163	1	0	48	42.807291666667055
n172	160	1	0	61	42.144791666667
n173	162	1	0	61	42.60000000000037
n174	164	1	0	63	42.80937500000039
n185	165	1	0	49	43.05937500000038
n186	167	1	0	49	43.50416666666708
n187	168	1	0	51	43.728125000000425
n177	166	1	0	53	43.51145833333375
n178	169	1	0	55	43.73541666666709
n175	174	1	0	65	43.07916666666705
n189	173	1	0	41	44.43437500000045
n188	171	1	0	53	43.97708333333376
n179	170	1	0	56	43.97916666666709
n180	172	1	0	56	44.39895833333378
n181	175	1	0	58	44.61979166666713
n209	176	1	0	48	44.88958333333381
n210	178	1	0	48	45.3156250000005
n211	181	1	0	50	45.539583333333844
n201	179	1	0	55	45.3500000000005
n200	177	1	0	60	44.877083333333815
