xml_id	midi_id	track	channel	pitch	onset
n2	0	1	0	60	0.5
n3	1	1	0	61	1.4552083333333332
n4	2	1	0	60	2.40625
n6	3	1	0	59	3.3552083333333336
n7	4	1	0	64	4.305208333333334
n8	5	1	0	65	5.263541666666667
n9	6	1	0	58	6.264583333333334
n11	7	1	0	57	7.233333333333334
n12	8	1	0	56	8.196875
n13	9	1	0	55	9.248958333333334
n18	10	1	0	53	11.126041666666667
n19	11	1	0	53	11.542708333333334
n20	12	1	0	55	11.760416666666666
n21	13	1	0	56	12.046875
n22	14	1	0	56	12.472916666666666
n23	15	1	0	58	12.689583333333335
n15	17	1	0	65	12.046875
n25	18	1	0	47	13.137500000000003
n26	19	1	0	48	13.377083333333337
n27	20	1	0	50	13.590625000000005
n24	16	1	0	60	12.94166666666667
n16	21	1	0	68	12.937500000000004
n28	22	1	0	51	13.845833333333339
n17	23	1	0	67	13.836458333333338
n33	24	1	0	48	15.022916666666681
n34	25	1	0	50	15.247916666666681
n35	26	1	0	51	15.447916666666682
n29	27	1	0	66	14.794791666666677
n36	28	1	0	53	15.718750000000016
n30	29	1	0	71	15.691666666666682
n37	30	1	0	51	16.836458333333354
n38	31	1	0	53	17.055208333333354
n39	32	1	0	55	17.265625000000018
n31	33	1	0	72	16.608333333333352
n40	34	1	0	56	17.516666666666683
n32	35	1	0	65	17.51458333333335
n46	36	1	0	55	18.687500000000014
n47	37	1	0	57	18.914583333333347
n48	38	1	0	59	19.130208333333346
n41	39	1	0	64	18.45729166666668
n49	41	1	0	60	19.40000000000001
n42	40	1	0	63	19.367708333333344
n52	43	1	0	57	20.941666666666677
n51	42	1	0	59	20.71875000000001
n43	50	1	0	62	20.28125000000001
n53	44	1	0	59	21.204166666666676
n45	46	1	0	59	21.52812500000001
n44	45	1	0	60	21.430208333333344
n66	53	1	0	55	22.431250000000016
n54	47	1	0	60	21.618750000000013
n65	52	1	0	60	22.028125000000014
n55	54	1	0	60	22.44479166666668
n56	55	1	0	62	22.64791666666668
n72	60	1	0	48	22.909375000000015
n68	58	1	0	58	23.384375000000016
n67	56	1	0	60	22.946875000000013
n58	59	1	0	62	23.38020833333335
n57	57	1	0	64	22.930208333333347
n59	61	1	0	64	23.570833333333347
n73	67	1	0	49	23.830208333333346
n61	64	1	0	52	24.047916666666676
n62	65	1	0	53	24.288541666666674
n63	66	1	0	55	24.51458333333334
n69	62	1	0	56	23.851041666666678
n60	63	1	0	65	23.851041666666678
n70	69	1	0	65	24.288541666666674
n74	70	1	0	48	24.755208333333343
n64	68	1	0	56	24.770833333333343
n71	71	1	0	63	25.20833333333334
n95	78	1	0	47	25.659375000000008
n85	72	1	0	53	25.872916666666676
n86	74	1	0	55	26.106250000000006
n87	76	1	0	56	26.330208333333342
n75	73	1	0	62	25.669791666666676
n76	75	1	0	63	26.12083333333334
