idx,matchtype,partid,ppartid
0,0,n1,0
1,0,n2,1
2,0,n4,3
3,0,n3,2
4,0,n17,7
5,0,n6,5
6,0,n5,4
7,0,n8,6
8,0,n9,8
9,0,n11,10
10,0,n10,9
11,0,n21,12
12,0,n23,15
13,0,n22,13
14,0,n13,14
15,0,n12,11
16,0,n25,18
17,0,n24,16
18,0,n35,20
19,0,n15,17
20,0,n16,19
21,0,n27,21
22,0,n36,23
23,0,n38,26
24,0,n37,25
25,0,n28,22
26,0,n30,27
27,0,n29,24
28,0,n40,30
29,0,n32,31
30,0,n39,28
31,0,n31,29
32,0,n60,38
33,0,n53,36
34,0,n42,32
35,0,n43,34
36,0,n34,35
37,0,n33,33
38,0,n55,41
39,0,n56,43
40,0,n54,37
41,0,n46,39
42,0,n47,40
43,0,n48,42
44,0,n64,45
45,0,n66,49
46,0,n65,46
47,0,n49,44
48,0,n57,47
49,0,n50,48
50,0,n68,54
51,0,n67,51
52,0,n83,56
53,0,n58,50
54,0,n75,55
55,0,n59,52
56,0,n52,53
57,0,n69,59
58,0,n84,58
59,0,n86,63
60,0,n85,61
61,0,n77,62
62,0,n76,57
63,0,n71,65
64,0,n70,60
65,0,n88,69
66,0,n87,64
67,0,n80,68
68,0,n79,66
69,0,n72,67
70,0,n73,70
71,0,n109,78
72,0,n90,71
73,0,n91,73
74,0,n98,75
75,0,n81,72
76,0,n82,74
77,0,n74,76
78,0,n100,81
79,0,n99,77
80,0,n95,84
81,0,n93,79
82,0,n94,80
83,0,n113,85
84,0,n115,91
85,0,n114,89
86,0,n106,90
87,0,n105,87
88,0,n103,83
89,0,n102,82
90,0,n104,86
91,0,n96,88
92,0,n97,96
93,0,n117,95
94,0,n116,93
95,0,n131,98
96,0,n124,97
97,0,n108,94
98,0,n107,92
99,0,n132,101
100,0,n134,105
101,0,n133,103
102,0,n126,104
103,0,n125,99
104,0,n120,102
105,0,n119,100
106,0,n121,108
107,0,n136,111
108,0,n130,113
109,0,n135,107
110,0,n128,106
111,0,n129,110
112,0,n123,115
113,0,n122,109
114,0,n160,120
115,0,n138,112
116,0,n139,114
117,0,n152,122
118,0,n150,117
119,0,n151,119
120,0,n143,123
121,0,n141,116
122,0,n142,118
123,0,n162,121
124,0,n164,125
125,0,n163,124
126,0,n153,132
127,0,n145,126
128,0,n166,136
129,0,n182,138
130,0,n165,129
131,0,n147,135
132,0,n155,128
133,0,n157,131
134,0,n159,134
135,0,n148,137
136,1,n146,undefined
137,0,n154,127
138,0,n156,130
139,0,n158,133
140,0,n167,139
141,0,n183,143
142,0,n176,142
143,0,n174,140
144,0,n175,141
145,0,n186,147
146,0,n187,150
147,0,n185,146
148,0,n177,144
149,0,n168,145
150,0,n178,148
151,0,n170,151
152,0,n169,149
153,0,n188,153
154,0,n205,158
155,0,n189,155
156,0,n180,152
157,0,n181,157
158,0,n172,156
159,0,n171,154
160,0,n190,159
161,0,n207,163
162,0,n206,162
163,0,n208,167
164,0,n200,160
165,0,n201,164
166,0,n191,161
167,0,n202,166
168,0,n193,168
169,0,n192,165
170,0,n211,173
171,0,n209,169
172,0,n210,171
173,0,n203,174
174,0,n195,172
175,0,n194,170
176,0,n213,177
177,0,n212,175
178,0,n228,181
179,0,n204,178
180,0,n197,176
181,0,n198,179
182,0,n214,185
183,0,n230,186
184,0,n229,182
185,0,n224,184
186,0,n222,180
187,0,n223,183
188,0,n232,189
189,0,n233,196
190,0,n231,187
191,0,n225,191
192,0,n218,192
193,0,n216,188
194,0,n217,190
195,0,n241,199
196,0,n227,195
197,0,n234,200
198,0,n220,194
199,0,n219,193
200,0,n250,202
201,0,n248,197
202,0,n249,198
203,0,n251,203
204,0,n252,209
205,0,n243,205
206,0,n238,206
207,0,n236,201
208,0,n237,204
209,0,n253,213
210,0,n267,215
211,0,n245,207
212,0,n246,212
213,0,n254,217
214,0,n240,211
215,0,n239,208
216,0,n262,221
217,0,n261,216
218,0,n260,214
219,0,n271,219
220,0,n273,224
221,0,n272,223
222,0,n263,220
223,0,n257,222
224,0,n256,218
225,0,n258,228
226,0,n275,226
227,0,n265,225
228,1,n274,undefined
229,0,n289,230
230,0,n283,227
231,0,n266,229
232,0,n290,233
233,0,n292,237
234,0,n291,235
235,0,n284,231
236,0,n285,236
237,0,n277,232
238,0,n278,234
239,0,n294,243
240,0,n288,245
241,0,n293,240
242,0,n286,238
243,0,n287,241
244,0,n282,247
245,0,n281,242
246,0,n280,239
247,0,n296,244
248,0,n297,246
249,0,n312,248
250,0,n306,251
251,0,n313,250
252,0,n315,256
253,0,n314,253
254,0,n308,255
255,0,n307,252
256,0,n300,254
257,0,n299,249
258,0,n301,258
259,0,n317,260
260,0,n318,264
261,0,n316,257
262,0,n310,262
263,0,n309,259
264,0,n303,265
265,0,n302,261
266,0,n319,268
267,0,n336,272
268,0,n311,266
269,0,n328,269
270,0,n305,267
271,0,n304,263
272,0,n320,270
273,0,n329,271
274,0,n331,275
275,0,n330,273
276,0,n321,274
277,0,n340,277
278,0,n342,281
279,0,n341,279
280,0,n333,282
281,0,n323,276
282,0,n332,278
283,0,n324,280
284,0,n344,286
285,0,n343,283
286,0,n360,287
287,0,n355,292
288,0,n335,285
289,0,n326,284
290,1,n334,undefined
291,0,n327,288
292,0,n363,298
293,0,n361,291
294,0,n362,293
295,0,n347,290
296,0,n346,289
297,0,n348,294
298,0,n359,303
299,0,n357,295
300,0,n358,297
301,0,n351,299
302,0,n350,296
303,0,n366,304
304,0,n379,307
305,0,n365,301
306,0,n367,309
307,0,n353,300
308,0,n354,302
309,0,n375,311
310,0,n373,305
311,0,n374,306
312,0,n381,308
313,0,n383,313
314,0,n382,310
315,0,n376,314
316,0,n369,312
317,0,n398,322
318,0,n384,317
319,0,n377,315
320,0,n393,319
321,0,n378,316
322,0,n371,318
323,0,n394,324
324,0,n388,323
325,0,n386,320
326,0,n387,321
327,0,n400,325
328,0,n402,329
329,0,n401,328
330,0,n395,330
331,0,n390,327
332,0,n389,326
333,0,n391,331
334,0,n420,336
335,0,n403,332
336,0,n397,333
337,0,n404,335
338,1,n411,undefined
339,0,n392,334
340,0,n406,338
341,0,n407,339
342,0,n405,337
343,0,n416,342
344,0,n417,344
345,0,n415,340
346,0,n409,343
347,0,n410,347
348,0,n408,341
349,0,n419,346
350,0,n434,349
351,0,n418,345
352,0,n436,351
353,0,n426,348
354,0,n428,352
355,0,n427,350
356,0,n438,355
357,0,n437,353
358,0,n439,358
359,0,n430,356
360,0,n429,354
361,0,n431,357
362,0,n440,359
363,0,n449,363
364,0,n441,361
365,0,n432,360
366,0,n443,364
367,0,n433,362
368,0,n450,366
369,0,n445,367
370,0,n444,365
371,0,n454,371
372,0,n452,368
373,0,n453,369
374,0,n446,370
375,0,n478,381
376,0,n459,377
377,0,n457,375
378,0,n460,379
379,0,n456,373
380,0,n455,372
381,0,n448,374
382,0,n477,376
383,0,n465,385
384,0,n464,384
385,0,n466,386
386,0,n463,383
387,0,n462,382
388,0,n461,380
389,0,n482,389
390,0,n484,395
391,0,n483,392
392,0,n470,391
393,0,n472,394
394,0,n469,390
395,0,n471,393
396,0,n468,388
397,0,n467,387
398,0,n486,400
399,0,n485,397
400,0,n505,404
401,0,n473,396
402,0,n476,401
403,0,n475,399
404,0,n487,402
405,0,n474,398
406,0,n488,403
407,0,n506,407
408,0,n508,412
409,0,n507,409
410,0,n490,406
411,0,n489,405
412,0,n491,408
413,0,n492,410
414,0,n494,413
415,0,n493,411
416,0,n510,420
417,0,n509,416
418,0,n495,414
419,0,n496,415
420,0,n497,417
421,0,n498,418
422,0,n499,419
423,0,n500,421
424,0,n512,424
425,0,n513,426
426,0,n535,430
427,0,n526,434
428,0,n503,425
429,0,n502,423
430,0,n514,428
431,0,n501,422
432,0,n504,427
433,0,n515,429
434,0,n536,433
435,0,n537,436
436,0,n538,440
437,0,n520,438
438,0,n519,437
439,0,n518,435
440,0,n517,432
441,0,n516,431
442,0,n530,439
443,0,n532,442
444,0,n531,441
445,0,n542,445
446,0,n566,450
447,0,n543,446
448,0,n534,448
449,0,n533,443
450,0,n525,447
451,0,n552,449
452,0,n524,444
453,0,n544,451
454,0,n568,457
455,0,n567,452
456,0,n569,459
457,0,n553,453
458,0,n555,458
459,0,n545,454
460,0,n554,455
461,0,n547,460
462,0,n546,456
463,0,n570,461
464,0,n572,468
465,0,n571,465
466,0,n557,466
467,0,n556,462
468,0,n549,464
469,0,n548,463
470,0,n558,469
471,0,n550,467
472,0,n576,480
473,0,n575,476
474,0,n596,482
475,0,n574,474
476,0,n597,483
477,0,n573,471
478,0,n559,477
479,0,n577,484
480,1,n587,undefined
481,0,n551,472
482,0,n561,475
483,0,n563,479
484,0,n565,481
485,0,n578,485
486,0,n560,470
487,0,n562,473
488,0,n564,478
489,0,n602,496
490,0,n601,493
491,0,n603,497
492,0,n600,491
493,0,n599,489
494,0,n598,486
495,0,n580,490
496,0,n579,487
497,0,n581,492
498,0,n582,494
499,0,n583,495
500,0,n607,502
501,0,n609,505
502,0,n606,501
503,0,n608,504
504,0,n605,499
505,0,n604,498
506,0,n591,500
507,0,n593,506
508,0,n592,503
509,0,n610,507
510,0,n613,511
511,0,n612,510
512,0,n623,513
513,0,n611,508
514,0,n624,514
515,0,n595,512
516,0,n594,509
517,0,n614,515
518,0,n626,517
519,0,n625,516
520,0,n627,519
521,0,n628,520
522,0,n630,523
523,0,n629,522
524,0,n615,518
525,0,n617,524
526,0,n616,521
527,0,n631,525
528,0,n632,526
529,0,n633,528
530,0,n634,529
531,0,n635,530
532,0,n636,531
533,0,n619,532
534,0,n618,527
535,0,n640,537
536,0,n639,536
537,0,n638,534
538,0,n637,533
539,0,n660,540
540,0,n621,535
541,0,n657,539
542,0,n622,538
543,0,n661,543
544,0,n663,549
545,0,n662,546
546,0,n645,547
547,0,n644,545
548,0,n646,548
549,0,n643,544
550,0,n642,542
551,0,n641,541
552,0,n665,555
553,0,n664,551
554,0,n666,558
555,0,n650,554
556,0,n652,557
557,0,n649,553
558,0,n651,556
559,0,n648,552
560,0,n647,550
561,0,n667,560
562,0,n679,566
563,0,n668,563
564,0,n678,565
565,0,n669,567
566,0,n653,559
567,0,n656,564
568,0,n655,562
569,0,n654,561
570,0,n684,574
571,0,n683,572
572,0,n685,575
573,0,n682,571
574,0,n681,569
575,0,n680,568
576,0,n670,570
577,0,n672,577
578,0,n671,573
579,0,n689,581
580,0,n691,584
581,0,n688,580
582,0,n690,583
583,0,n687,578
584,0,n686,576
585,0,n675,585
586,0,n674,582
587,0,n673,579
588,0,n711,592
589,0,n692,586
590,0,n695,590
591,0,n712,593
592,0,n694,589
593,1,n703,undefined
594,0,n693,587
595,0,n677,591
596,0,n696,594
597,0,n676,588
598,0,n716,598
599,0,n715,597
600,0,n714,596
601,0,n713,595
602,0,n717,600
603,0,n704,599
604,0,n718,603
605,0,n719,604
606,0,n720,607
607,0,n722,611
608,0,n721,608
609,0,n706,602
610,0,n708,610
611,0,n697,601
612,0,n707,605
613,0,n699,609
614,0,n698,606
615,0,n746,620
616,0,n745,619
617,0,n723,612
618,0,n726,617
619,0,n725,616
620,0,n724,614
621,0,n710,618
622,0,n709,615
623,0,n736,621
624,0,n700,613
625,0,n701,622
626,0,n752,631
627,0,n751,630
628,0,n747,623
629,0,n750,628
630,0,n749,627
631,0,n748,625
632,0,n737,624
633,0,n739,632
634,0,n738,629
635,0,n728,626
636,0,n729,633
637,0,n753,634
638,0,n754,636
639,0,n755,638
640,0,n756,639
641,0,n757,641
642,0,n758,644
643,0,n741,640
644,0,n733,643
645,0,n740,637
646,0,n732,642
647,0,n731,635
648,0,n787,656
649,0,n760,648
650,0,n761,649
651,0,n759,645
652,0,n762,650
653,0,n744,652
654,0,n743,646
655,0,n772,653
656,0,n735,651
657,0,n734,647
658,0,n763,654
659,0,n768,660
660,0,n767,659
661,0,n766,658
662,0,n776,661
663,0,n765,657
664,0,n764,655
665,0,n791,664
666,0,n793,670
667,0,n792,667
668,0,n781,669
669,0,n780,666
670,0,n779,665
671,0,n778,663
672,0,n777,662
673,0,n782,671
674,0,n769,668
675,0,n795,677
676,0,n794,674
677,0,n819,681
678,0,n809,679
679,0,n786,676
680,0,n785,675
681,0,n784,673
682,0,n783,672
683,0,n810,680
684,0,n771,678
685,0,n820,684
686,0,n822,691
687,0,n821,686
688,0,n815,688
689,0,n814,687
690,0,n813,685
691,0,n812,683
692,0,n811,682
693,0,n798,690
694,0,n797,689
695,0,n824,698
696,0,n823,693
697,0,n825,701
698,0,n816,697
699,0,n817,702
700,0,n799,692
701,0,n800,694
702,0,n801,695
703,0,n802,696
704,0,n804,700
705,0,n803,699
706,0,n826,705
707,0,n827,709
708,0,n818,707
709,0,n846,712
710,0,n805,703
711,0,n808,708
712,0,n806,704
713,0,n829,711
714,0,n807,706
715,0,n828,710
716,0,n856,722
717,0,n855,719
718,0,n854,714
719,0,n847,715
720,0,n848,720
721,0,n835,723
722,0,n834,721
723,0,n833,718
724,0,n832,717
725,0,n831,716
726,0,n830,713
727,0,n858,730
728,0,n859,733
729,0,n857,724
730,0,n851,734
731,0,n849,726
732,0,n850,728
733,0,n838,729
734,0,n837,727
735,0,n839,731
736,0,n836,725
737,0,n841,735
738,0,n840,732
739,0,n861,740
740,0,n877,743
741,0,n860,738
742,0,n878,744
743,0,n852,736
744,0,n845,742
745,0,n862,745
746,0,n844,741
747,0,n843,739
748,0,n842,737
749,0,n883,752
750,0,n882,750
751,0,n884,753
752,0,n881,749
753,0,n880,747
754,0,n879,746
755,0,n871,748
756,0,n873,762
757,0,n872,751
758,0,n863,754
759,0,n889,761
760,0,n888,759
761,0,n890,764
762,0,n887,758
763,0,n886,756
764,0,n885,755
765,0,n865,757
766,0,n867,763
767,0,n866,760
768,0,n907,774
769,0,n894,772
770,0,n893,770
771,0,n892,767
772,0,n891,766
773,0,n908,775
774,0,n876,773
775,0,n895,784
776,0,n875,768
777,0,n869,771
778,0,n868,769
779,0,n912,781
780,0,n911,778
781,0,n913,782
782,0,n910,777
783,0,n909,776
