idx,matchtype,partid,ppartid
0,0,n2,1
1,0,n1,0
2,0,n3,2
3,0,n4,3
4,0,n7,6
5,0,n5,4
6,0,n6,5
7,0,n8,7
8,0,n9,8
9,0,n12,11
10,0,n11,10
11,0,n13,12
12,0,n10,9
13,0,n14,13
14,0,n15,14
15,0,n17,16
16,0,n16,15
17,0,n18,17
18,0,n21,20
19,0,n19,18
20,0,n22,21
21,0,n20,19
22,0,n25,24
23,0,n23,22
24,0,n26,25
25,0,n24,23
26,0,n28,27
27,0,n27,26
28,0,n29,28
29,0,n30,29
30,0,n41,30
31,0,n33,32
32,0,n32,31
33,0,n43,36
34,0,n42,34
35,0,n34,33
36,0,n35,35
37,0,n44,37
38,0,n45,39
39,0,n38,41
40,0,n36,38
41,0,n37,40
42,0,n47,44
43,0,n46,42
44,0,n39,43
45,0,n40,45
46,0,n60,50
47,0,n59,48
48,0,n61,52
49,0,n58,46
50,0,n50,51
51,0,n49,49
52,0,n51,53
53,0,n48,47
54,0,n62,54
55,0,n63,56
56,0,n52,55
57,0,n53,57
58,0,n66,61
59,0,n65,60
60,0,n67,63
61,0,n64,58
62,0,n55,62
63,0,n54,59
64,0,n68,64
65,0,n69,68
66,0,n57,65
67,0,n84,71
68,0,n83,69
69,0,n72,70
70,0,n70,66
71,0,n73,72
72,0,n71,67
73,0,n85,73
74,0,n86,79
75,0,n76,76
76,0,n74,74
77,0,n77,77
78,0,n75,75
79,0,n89,82
80,0,n88,81
81,0,n79,80
82,0,n78,78
83,0,n90,86
84,0,n80,83
85,0,n81,84
86,0,n103,89
87,0,n102,87
88,0,n91,85
89,0,n92,88
90,0,n93,90
91,0,n104,94
92,0,n94,91
93,0,n95,92
94,0,n96,93
95,0,n97,95
96,0,n108,100
97,0,n107,99
98,0,n106,97
99,0,n99,98
100,0,n98,96
101,0,n112,104
102,0,n111,103
103,0,n110,102
104,0,n109,101
105,0,n100,105
106,0,n131,111
107,0,n130,109
108,0,n122,108
109,0,n121,106
110,0,n123,112
111,0,n113,107
112,0,n114,110
113,0,n132,114
114,0,n133,117
115,0,n124,115
116,0,n116,116
117,0,n115,113
118,0,n136,123
119,0,n134,119
120,0,n135,122
121,0,n126,120
122,0,n117,118
123,0,n127,124
124,1,n125,undefined
125,0,n118,121
126,0,n137,126
127,0,n138,128
128,0,n128,129
129,0,n120,127
130,0,n119,125
131,0,n162,135
132,0,n161,133
133,0,n163,137
134,0,n160,131
135,0,n153,136
136,0,n152,132
137,0,n154,138
138,0,n139,130
139,0,n140,134
140,0,n164,140
141,0,n165,144
142,0,n155,139
143,0,n156,143
144,0,n142,142
145,0,n141,141
146,0,n167,148
147,0,n166,146
148,0,n143,145
149,0,n146,150
150,1,n157,undefined
151,0,n144,147
152,0,n145,149
153,0,n169,153
154,0,n149,154
155,1,n159,undefined
156,0,n148,152
157,0,n147,151
158,0,n150,155
159,0,n189,161
160,0,n187,156
161,0,n190,164
162,0,n188,158
163,0,n180,162
164,0,n170,157
165,0,n173,163
166,0,n171,159
167,0,n172,160
168,0,n193,169
169,0,n191,165
170,0,n194,170
171,0,n192,167
172,0,n183,168
173,0,n182,166
174,0,n184,171
175,0,n174,174
176,0,n196,176
177,0,n195,172
178,0,n185,173
179,0,n176,175
180,0,n197,177
181,0,n198,181
182,0,n186,180
183,0,n177,178
184,0,n178,179
185,0,n179,182
186,0,n224,184
187,0,n225,188
188,0,n216,189
189,0,n215,187
190,0,n207,183
191,0,n208,185
192,0,n200,186
193,0,n226,190
194,0,n227,197
195,0,n217,193
196,0,n218,196
197,0,n210,194
198,0,n209,191
199,0,n202,195
200,0,n201,192
201,0,n230,207
202,0,n228,200
203,0,n229,203
204,0,n221,206
205,0,n219,201
206,0,n220,205
207,0,n211,198
208,0,n203,199
209,0,n212,204
210,0,n204,202
211,0,n231,208
212,0,n232,215
213,0,n222,211
214,0,n223,214
215,0,n214,212
216,0,n213,209
217,0,n206,213
218,0,n205,210
219,0,n261,217
220,0,n254,224
221,0,n253,220
222,0,n255,222
223,0,n252,218
224,0,n244,221
225,0,n243,219
226,0,n245,223
227,0,n242,216
228,0,n233,228
229,0,n262,229
230,0,n256,225
231,0,n257,227
232,0,n247,231
233,0,n246,226
234,0,n234,230
235,0,n265,238
236,0,n259,239
237,0,n296,260
238,1,n264,undefined
239,0,n258,232
240,0,n263,233
241,0,n250,235
242,0,n249,234
243,0,n237,237
244,0,n236,236
245,0,n267,243
246,0,n266,241
247,0,n260,244
248,0,n251,246
249,0,n238,240
250,0,n241,247
251,0,n239,242
252,0,n240,245
253,0,n295,250
254,0,n285,251
255,0,n283,248
256,0,n286,255
257,0,n284,249
258,0,n279,253
259,0,n278,252
260,0,n268,257
261,0,n289,258
262,0,n287,254
263,0,n290,259
264,0,n288,256
265,0,n280,271
266,0,n270,263
267,0,n298,266
268,0,n297,262
269,0,n292,268
270,0,n291,261
271,0,n272,265
272,0,n271,264
273,0,n273,267
274,0,n274,269
275,0,n299,273
276,0,n301,278
277,0,n300,275
278,0,n293,272
279,0,n294,274
280,0,n282,276
281,0,n276,277
282,0,n275,270
283,0,n327,280
284,0,n328,282
285,0,n320,283
