onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.5,0.25,0.5,0.25,4,2,67,1,n1,-10.0,-10.0
0.75,0.25,0.75,0.25,6,2,65,1,n2,-10.0,-10.0
1.0,0.5,1.0,0.5,8,4,67,1,n3,1.0,0.754167
1.5,0.5,1.5,0.5,12,4,60,1,n4,1.0,0.754167
2.0,1.0,2.0,1.0,16,8,69,1,n6,2.0,1.304167
2.125,0.125,2.125,0.125,17,1,67,2,n8,2.0,1.304167
2.25,0.75,2.25,0.75,18,6,69,2,n9,2.0,1.304167
3.0,1.0,3.0,1.0,24,8,67,1,n7,3.0,1.942708
4.5,0.25,4.5,0.25,36,2,65,1,n11,4.0,2.473958
4.75,0.25,4.75,0.25,38,2,64,1,n12,4.0,2.473958
5.0,0.25,5.0,0.25,40,2,65,1,n13,5.0,3.005208
5.25,0.25,5.25,0.25,42,2,67,1,n14,5.0,3.005208
5.5,0.25,5.5,0.25,44,2,64,1,n15,5.0,3.005208
5.75,0.25,5.75,0.25,46,2,65,1,n16,5.0,3.005208
6.0,0.25,6.0,0.25,48,2,62,1,n18,6.0,3.536458
6.25,0.25,6.25,0.25,50,2,65,1,n19,6.0,3.536458
6.5,0.25,6.5,0.25,52,2,64,1,n20,6.0,3.536458
6.75,0.25,6.75,0.25,54,2,65,1,n21,6.0,3.536458
7.0,0.25,7.0,0.25,56,2,67,1,n22,7.0,4.088542
7.25,0.25,7.25,0.25,58,2,69,1,n23,7.0,4.088542
7.5,0.25,7.5,0.25,60,2,65,1,n24,7.0,4.088542
7.75,0.25,7.75,0.25,62,2,67,1,n25,7.0,4.088542
8.0,0.25,8.0,0.25,64,2,64,2,n32,8.0,4.630208
8.25,0.25,8.25,0.25,66,2,62,2,n33,8.0,4.630208
8.5,0.25,8.5,0.25,68,2,72,1,n28,8.0,4.630208
8.5,0.25,8.5,0.25,68,2,64,2,n34,8.0,4.630208
8.75,0.25,8.75,0.25,70,2,71,1,n29,8.0,4.630208
8.75,0.25,8.75,0.25,70,2,65,2,n35,8.0,4.630208
9.0,0.5,9.0,0.5,72,4,72,1,n30,9.0,5.175521
9.0,0.25,9.0,0.25,72,2,64,2,n36,9.0,5.175521
9.25,0.25,9.25,0.25,74,2,65,2,n37,9.0,5.175521
9.5,0.5,9.5,0.5,76,4,67,1,n31,9.0,5.175521
9.5,0.25,9.5,0.25,76,2,62,2,n38,9.0,5.175521
9.75,0.25,9.75,0.25,78,2,64,2,n39,9.0,5.175521
10.0,1.0,10.0,1.0,80,8,76,1,n41,10.0,5.728646
10.0,0.25,10.0,0.25,80,2,60,2,n43,10.0,5.728646
10.125,0.125,10.125,0.125,81,1,74,3,n51,10.0,5.728646
10.25,0.25,10.25,0.25,82,2,59,2,n44,10.0,5.728646
10.25,0.75,10.25,0.75,82,6,76,3,n52,10.0,5.728646
10.5,0.25,10.5,0.25,84,2,60,2,n45,10.0,5.728646
10.75,0.25,10.75,0.25,86,2,62,2,n46,10.0,5.728646
11.0,1.0,11.0,1.0,88,8,74,1,n42,11.0,6.310417
11.0,0.25,11.0,0.25,88,2,60,2,n47,11.0,6.310417
11.25,0.25,11.25,0.25,90,2,62,2,n48,11.0,6.310417
11.5,0.25,11.5,0.25,92,2,59,2,n49,11.0,6.310417
11.75,0.25,11.75,0.25,94,2,60,2,n50,11.0,6.310417
12.0,0.25,12.0,0.25,96,2,57,2,n60,12.0,6.85625
12.25,0.25,12.25,0.25,98,2,59,2,n61,12.0,6.85625
12.5,0.25,12.5,0.25,100,2,72,1,n54,12.0,6.85625
12.5,0.25,12.5,0.25,100,2,60,2,n62,12.0,6.85625
12.75,0.25,12.75,0.25,102,2,71,1,n55,12.0,6.85625
12.75,0.25,12.75,0.25,102,2,62,2,n63,12.0,6.85625
13.0,0.25,13.0,0.25,104,2,72,1,n56,13.0,7.402604
13.0,0.25,13.0,0.25,104,2,64,2,n64,13.0,7.402604
13.25,0.25,13.25,0.25,106,2,74,1,n57,13.0,7.402604
13.25,0.25,13.25,0.25,106,2,66,2,n65,13.0,7.402604
