onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.25,0.25,0.5,0.5,2,2,62,5,n3,-10.0,-10.0
0.5,0.25,1.0,0.5,4,2,62,5,n4,-10.0,-10.0
0.75,0.25,1.5,0.5,6,2,62,5,n5,-10.0,-10.0
1.0,0.5,2.0,1.0,8,4,55,5,n6,1.0,2.76069
1.5,0.75,3.0,1.5,12,6,59,5,n7,1.0,2.76069
2.25,0.25,4.5,0.5,18,2,52,5,n14,2.0,4.488255
2.5,0.25,5.0,0.5,20,2,57,5,n15,2.0,4.488255
2.75,0.25,5.5,0.5,22,2,55,5,n16,2.0,4.488255
3.0,0.5,6.0,1.0,24,4,54,5,n17,3.0,6.21582
3.25,0.25,6.5,0.5,26,2,69,1,n10,3.0,6.21582
3.5,0.25,7.0,0.5,28,2,69,1,n11,3.0,6.21582
3.5,0.5,7.0,1.0,28,4,50,5,n18,3.0,6.21582
3.75,0.25,7.5,0.5,30,2,69,1,n12,3.0,6.21582
4.0,0.5,8.0,1.0,32,4,62,1,n19,4.0,7.81838
4.25,0.25,8.5,0.5,34,2,54,5,n26,4.0,7.81838
4.5,0.75,9.0,1.5,36,6,66,1,n20,4.0,7.81838
4.5,0.25,9.0,0.5,36,2,59,5,n27,4.0,7.81838
4.75,0.25,9.5,0.5,38,2,57,5,n28,4.0,7.81838
5.0,1.0,10.0,2.0,40,8,56,5,n29,5.0,9.39958
5.25,0.25,10.5,0.5,42,2,59,1,n22,5.0,9.39958
5.5,0.25,11.0,0.5,44,2,64,1,n23,5.0,9.39958
5.75,0.25,11.5,0.5,46,2,62,1,n24,5.0,9.39958
6.0,0.25,12.0,0.5,48,2,61,1,n30,6.0,11.0182
6.0,0.5,12.0,1.0,48,4,57,5,n36,6.0,11.0182
6.25,0.25,12.5,0.5,50,2,64,1,n31,6.0,11.0182
6.5,0.25,13.0,0.5,52,2,69,1,n32,6.0,11.0182
6.5,0.5,13.0,1.0,52,4,61,5,n37,6.0,11.0182
6.75,0.25,13.5,0.5,54,2,67,1,n33,6.0,11.0182
7.0,0.5,14.0,1.0,56,4,66,1,n34,7.0,12.5833
7.25,0.25,14.5,0.5,58,2,57,5,n39,7.0,12.5833
7.5,0.75,15.0,1.5,60,6,69,1,n35,7.0,12.5833
7.5,0.25,15.0,0.5,60,2,62,5,n40,7.0,12.5833
7.75,0.25,15.5,0.5,62,2,61,5,n41,7.0,12.5833
8.0,1.0,16.0,2.0,64,8,59,5,n55,8.0,14.1485
8.25,0.25,16.5,0.5,66,2,74,1,n43,8.0,14.1485
8.25,0.25,16.5,0.5,66,2,62,2,n49,8.0,14.1485
8.5,0.25,17.0,0.5,68,2,74,1,n44,8.0,14.1485
8.5,0.25,17.0,0.5,68,2,67,2,n50,8.0,14.1485
8.75,0.25,17.5,0.5,70,2,74,1,n45,8.0,14.1485
8.75,0.25,17.5,0.5,70,2,66,2,n51,8.0,14.1485
9.0,0.5,18.0,1.0,72,4,67,1,n46,9.0,15.74255
9.0,0.25,18.0,0.5,72,2,64,2,n52,9.0,15.74255
9.25,0.25,18.5,0.5,74,2,66,2,n53,9.0,15.74255
9.25,0.25,18.5,0.5,74,2,59,5,n57,9.0,15.74255
9.5,0.75,19.0,1.5,76,6,71,1,n47,9.0,15.74255
9.5,1.0,19.0,2.0,76,8,67,2,n54,9.0,15.74255
9.5,0.25,19.0,0.5,76,2,64,5,n58,9.0,15.74255
9.75,0.25,19.5,0.5,78,2,62,5,n59,9.0,15.74255
10.0,1.0,20.0,2.0,80,8,61,5,n70,10.0,17.2714
10.25,0.25,20.5,0.5,82,2,64,1,n61,10.0,17.2714
10.25,0.25,20.5,0.5,82,2,57,6,n74,10.0,17.2714
10.5,0.25,21.0,0.5,84,2,69,1,n62,10.0,17.2714
10.5,0.25,21.0,0.5,84,2,66,2,n66,10.0,17.2714
10.5,0.25,21.0,0.5,84,2,57,6,n75,10.0,17.2714
10.75,0.25,21.5,0.5,86,2,67,1,n63,10.0,17.2714
10.75,0.25,21.5,0.5,86,2,64,2,n67,10.0,17.2714
10.75,0.25,21.5,0.5,86,2,57,6,n76,10.0,17.2714
11.0,1.0,22.0,2.0,88,8,66,1,n64,11.0,18.935232
11.0,0.5,22.0,1.0,88,4,62,2,n68,11.0,18.935232
11.0,0.5,22.0,1.0,88,4,50,6,n77,11.0,18.935232
11.25,0.25,22.5,0.5,90,2,57,5,n71,11.0,18.935232
11.5,0.25,23.0,0.5,92,2,62,5,n72,11.0,18.935232
11.5,0.75,23.0,1.5,92,6,54,6,n78,11.0,18.935232
11.75,0.25,23.5,0.5,94,2,61,5,n73,11.0,18.935232
12.0,1.0,24.0,2.0,96,8,68,1,n79,12.0,20.46315
12.0,1.0,24.0,2.0,96,8,59,5,n86,12.0,20.46315
12.25,0.25,24.5,0.5,98,2,47,6,n92,12.0,20.46315
12.5,0.25,25.0,0.5,100,2,52,6,n93,12.0,20.46315
12.75,0.25,25.5,0.5,102,2,59,2,n82,12.0,20.46315
12.75,0.25,25.5,0.5,102,2,50,6,n94,12.0,20.46315
13.0,0.5,26.0,1.0,104,4,69,1,n80,13.0,22.1072
13.0,0.25,26.0,0.5,104,2,64,2,n83,13.0,22.1072
13.0,0.25,26.0,0.5,104,2,49,6,n95,13.0,22.1072
13.25,0.25,26.5,0.5,106,2,62,2,n84,13.0,22.1072
13.25,0.25,26.5,0.5,106,2,52,5,n88,13.0,22.1072
