onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.5,0.15104167,62,33,1,0,0,0.5,0.0
0.67604166,0.14583333,64,43,1,0,1,0.5,0.0
0.8520833,0.16041666,65,42,1,0,2,0.5,0.0
1.03125,0.17395833,67,44,1,0,3,0.5,0.0
1.1979166,0.14791666,65,45,1,0,4,0.5,0.0
1.36875,0.140625,64,56,1,0,5,0.5,0.0
1.5520834,0.13854167,65,47,1,0,6,1.552083,1.0
1.7125,0.196875,67,62,1,0,7,1.552083,1.0
1.8947917,0.19791667,69,67,1,0,8,1.552083,1.0
2.0625,0.21666667,70,69,1,0,9,1.552083,1.0
2.228125,0.19270833,69,74,1,0,10,1.552083,1.0
2.3875,0.190625,67,65,1,0,11,1.552083,1.0
2.5802083,0.328125,69,70,1,0,12,2.580208,2.0
3.1895833,0.66041666,74,62,1,0,13,2.580208,2.0
3.7885416,0.65520835,73,65,1,0,14,2.580208,2.0
4.3697915,0.59583336,72,61,1,0,15,3.788542,3.0
4.954167,0.62916666,71,54,1,0,16,4.954167,4.0
5.5260415,0.603125,70,56,1,0,17,4.954167,4.0
6.115625,0.725,69,50,1,0,18,6.115625,5.0
6.764583,1.2833333,67,39,1,0,19,6.115625,5.0
7.9395833,0.6458333,65,33,1,0,20,7.336458,6.0
8.557292,0.25833333,64,36,1,0,21,8.557292,7.0
9.126041,0.18333334,69,45,1,0,22,8.557292,7.0
9.6875,0.18645833,69,50,1,0,23,8.557292,7.0
9.694792,0.25416666,65,38,1,0,24,9.691146,8.0
9.867708,0.18229167,71,58,1,0,25,9.691146,8.0
10.046875,0.203125,72,61,1,0,26,9.691146,8.0
10.23125,0.16666667,62,44,1,0,27,9.691146,8.0
10.23125,0.21354167,74,58,1,0,28,9.691146,8.0
10.402083,0.17916666,72,69,1,0,29,9.691146,8.0
10.561459,0.18541667,71,69,1,0,30,9.691146,8.0
10.748959,0.20208333,72,68,1,0,31,9.691146,8.0
10.93125,0.21041666,74,69,1,0,32,10.75625,9.0
10.763541,0.42916667,69,47,1,0,33,10.75625,9.0
11.091666,0.20104167,76,75,1,0,34,10.75625,9.0
11.258333,0.21145834,77,74,1,0,35,10.75625,9.0
11.416667,0.19479166,76,79,1,0,36,10.75625,9.0
11.584375,0.225,74,70,1,0,37,10.75625,9.0
11.791667,0.28020832,76,71,1,0,38,11.791667,10.0
12.072917,0.36875,59,49,1,0,39,11.791667,10.0
12.375,0.30625,60,37,1,0,40,11.791667,10.0
12.626041,0.25,62,43,1,0,41,11.791667,10.0
12.353125,0.59479165,81,74,1,0,42,11.791667,10.0
12.905209,0.25416666,64,43,1,0,43,12.895312,11.0
13.167708,0.28020832,66,52,1,0,44,12.895312,11.0
12.885417,0.6041667,80,73,1,0,45,11.791667,10.0
13.45,0.309375,67,38,1,0,46,12.895312,11.0
13.701041,0.21979167,64,50,1,0,47,12.895312,11.0
13.429167,0.58958334,79,68,1,0,48,12.895312,11.0
13.982291,0.265625,69,45,1,0,49,13.971355,12.0
13.960417,0.54895836,78,66,1,0,50,12.895312,11.0
14.241667,0.31875,68,61,1,0,51,13.971355,12.0
14.50625,0.30520833,69,67,1,0,52,13.971355,12.0
14.763541,0.3125,71,66,1,0,53,13.971355,12.0
14.496875,0.5864583,77,71,1,0,54,13.971355,12.0
15.039583,0.265625,72,57,1,0,55,15.034895,13.0
15.309375,0.30625,66,47,1,0,56,15.034895,13.0
15.030209,0.653125,76,72,1,0,57,13.971355,12.0
15.609375,0.209375,71,49,1,0,58,15.034895,13.0
15.851042,0.24791667,69,50,1,0,59,15.034895,13.0
16.119791,0.25,68,47,1,0,60,15.034895,13.0
15.591666,1.06875,74,59,1,0,61,15.034895,13.0
16.385416,0.30104166,64,47,1,0,62,16.119793,14.0
16.675,0.253125,72,56,1,0,63,16.119793,14.0
16.672916,0.54270834,69,50,1,0,64,16.119793,14.0
17.239584,0.1875,71,54,1,0,65,17.239582,15.0
17.8,0.18645833,76,46,1,0,66,17.239582,15.0
17.791666,0.78020835,67,38,1,0,67,17.239582,15.0
18.355207,0.28541666,69,37,1,0,68,18.355207,16.0
18.554167,0.18854167,65,45,1,0,69,18.355207,16.0
18.7375,0.16458334,64,58,1,0,70,18.355207,16.0
18.913542,0.15520833,62,54,1,0,71,18.355207,16.0
18.895834,0.20520833,71,65,1,0,72,18.355207,16.0
19.070833,0.13854167,64,62,1,0,73,18.355207,16.0
19.215626,0.14375,65,57,1,0,74,18.355207,16.0
19.413542,0.18020834,64,50,1,0,75,18.355207,16.0
19.427084,0.24895833,72,71,1,0,76,19.420313,17.0
19.610416,0.165625,62,56,1,0,77,19.420313,17.0
19.791666,0.18229167,60,59,1,0,78,19.420313,17.0
19.972918,0.20625,68,67,1,0,79,19.420313,17.0
19.978125,0.23645833,59,54,1,0,80,19.420313,17.0
20.169792,0.16458334,60,54,1,0,81,19.420313,17.0
20.359375,0.24583334,62,48,1,0,82,19.420313,17.0
20.564583,0.18958333,69,61,1,0,83,19.420313,17.0
20.572916,0.19270833,60,45,1,0,84,20.56875,18.0
20.739584,0.14791666,67,60,1,0,85,20.56875,18.0
20.909374,0.15,65,67,1,0,86,20.56875,18.0
