xml_id	midi_id	track	channel	pitch	onset
n2	0	1	0	51	0.5
n4	1	1	0	58	2.2791666666666663
n6	2	1	0	56	3.58125
n8	3	1	0	55	3.99375
n9	4	1	0	60	4.436458333333333
n10	5	1	0	58	5.278125
n14	8	1	0	55	6.289583333333332
n12	6	1	0	56	5.703125000000001
n13	7	1	0	56	6.129166666666666
n15	9	1	0	56	6.516666666666664
n16	10	1	0	60	6.90208333333333
n18	11	1	0	53	7.3249999999999975
n19	12	1	0	58	7.818749999999998
n20	13	1	0	56	8.637499999999998
n24	16	1	0	53	9.632291666666669
n22	14	1	0	55	9.03333333333333
n23	15	1	0	55	9.478125
n25	17	1	0	55	9.866666666666669
n26	18	1	0	58	10.259375000000002
n30	21	1	0	50	11.368750000000004
n28	19	1	0	51	10.788541666666669
n29	20	1	0	51	11.193750000000005
n27	24	1	0	58	10.796875000000002
n31	22	1	0	51	11.56979166666667
n32	23	1	0	55	11.99791666666667
n36	25	1	0	48	12.487500000000004
n37	26	1	0	50	12.914583333333338
n38	28	1	0	51	13.073958333333337
n33	27	1	0	63	12.480208333333337
n39	29	1	0	53	13.296875000000004
n35	30	1	0	63	13.675000000000004
n43	32	1	0	46	14.116666666666672
n40	31	1	0	62	14.115625000000005
n41	33	1	0	67	14.548958333333339
n44	37	1	0	58	14.971875000000006
n42	34	1	0	65	15.335416666666672
n47	38	1	0	62	16.322916666666664
n45	35	1	0	63	15.761458333333339
n46	36	1	0	63	16.171875
n52	41	1	0	55	16.89895833333333
n51	39	1	0	57	16.546874999999996
n48	40	1	0	63	16.53645833333333
n49	42	1	0	67	16.899999999999995
n56	44	1	0	57	17.283333333333328
n58	46	1	0	57	18.02708333333332
n57	45	1	0	58	17.947916666666654
n53	43	1	0	60	17.30416666666666
n54	48	1	0	65	17.676041666666656
n59	47	1	0	55	18.114583333333318
n60	49	1	0	57	18.50520833333332
n55	50	1	0	63	18.487499999999986
n67	55	1	0	46	19.332291666666652
n66	52	1	0	58	18.926041666666652
n63	54	1	0	60	19.453124999999982
n61	51	1	0	62	18.894791666666652
n62	53	1	0	62	19.302083333333318
n69	58	1	0	56	20.061458333333317
n68	57	1	0	58	19.66354166666665
n64	56	1	0	62	19.682291666666647
n65	59	1	0	65	20.048958333333317
n76	64	1	0	43	20.822916666666643
n75	61	1	0	55	20.451041666666647
n72	63	1	0	56	20.983333333333306
n70	60	1	0	58	20.436458333333313
n71	62	1	0	58	20.85729166666664
n78	66	1	0	53	21.578124999999964
n77	65	1	0	55	21.213541666666632
n73	68	1	0	58	21.1958333333333
n74	67	1	0	62	21.584374999999966
n86	80	1	0	51	22.09374999999996
n87	71	1	0	53	22.490624999999962
n80	69	1	0	55	22.12291666666663
n88	72	1	0	55	22.639583333333295
n81	70	1	0	56	22.508333333333297
n82	73	1	0	58	22.62604166666663
n79	78	1	0	63	22.07499999999996
n89	75	1	0	56	22.880208333333293
n84	77	1	0	58	23.234374999999957
n83	74	1	0	60	22.841666666666626
n85	79	1	0	60	23.383333333333287
n98	85	1	0	53	24.130208333333286
n97	83	1	0	55	23.98541666666662
n92	81	1	0	62	23.614583333333286
n93	84	1	0	65	23.99166666666662
n90	87	1	0	70	23.587499999999952
n99	88	1	0	55	24.337499999999952
n94	86	1	0	58	24.31354166666662
n100	90	1	0	58	24.746874999999953
n95	89	1	0	62	24.749999999999954
n91	91	1	0	68	24.72291666666662
n105	92	1	0	51	25.153124999999957
n107	94	1	0	55	25.68541666666662
n106	93	1	0	56	25.523958333333287
n104	101	1	0	63	25.168749999999957
n101	99	1	0	67	25.142708333333292
n102	95	1	0	72	25.54479166666662
n108	96	1	0	56	25.889583333333288
n109	97	1	0	60	26.27708333333329
n103	98	1	0	70	26.271874999999955
n118	105	1	0	53	26.68124999999996
n112	103	1	0	67	27.222916666666627
n110	100	1	0	68	26.67812499999996
n111	102	1	0	68	27.085416666666628
n119	107	1	0	55	27.801041666666624
n120	109	1	0	56	27.937499999999957
n117	108	1	0	60	27.812499999999957
n116	104	1	0	62	27.431249999999963
n113	106	1	0	68	27.411458333333297
n114	110	1	0	72	27.79895833333329
n129	119	1	0	58	28.158333333333296
n124	112	1	0	62	28.177083333333293
n126	114	1	0	62	28.791666666666625
n125	113	1	0	63	28.74687499999996
n121	111	1	0	65	28.17187499999996
n122	116	1	0	70	28.51874999999996
n127	115	1	0	60	28.894791666666627
n128	117	1	0	62	29.272916666666628
n123	118	1	0	68	29.23437499999996
n140	125	1	0	51	29.70520833333328
n138	123	1	0	56	30.29062499999995
n137	121	1	0	58	30.11145833333328
n135	128	1	0	63	29.70520833333328
n132	124	1	0	65	30.28020833333328
n130	120	1	0	67	29.686458333333285
n131	122	1	0	67	30.126041666666616
n141	127	1	0	50	30.843749999999947
n139	130	1	0	58	30.472916666666617
n133	126	1	0	67	30.46874999999995
n134	129	1	0	70	30.831249999999947
n151	136	1	0	48	31.216666666666608
n149	134	1	0	55	31.752083333333275
n148	132	1	0	56	31.59062499999994
n142	131	1	0	63	31.230208333333277
n144	135	1	0	63	31.746874999999942
n143	133	1	0	65	31.616666666666607
n152	137	1	0	53	32.334374999999945
n150	138	1	0	56	31.964583333333277
n145	139	1	0	65	31.942708333333275
n146	140	1	0	68	32.30833333333328
n161	149	1	0	46	32.762499999999974
n158	142	1	0	55	33.18437499999998
n154	141	1	0	62	32.78645833333331
n155	143	1	0	63	33.18958333333332
n153	147	1	0	70	32.75729166666664
n159	144	1	0	53	33.554166666666646
n160	145	1	0	58	33.91562499999998
n156	146	1	0	62	33.90624999999998
n167	148	1	0	55	34.318749999999994
n164	154	1	0	60	34.294791666666654
n165	153	1	0	67	34.69687499999999
n162	150	1	0	75	34.309374999999996
n170	151	1	0	45	35.09687499999999
n168	156	1	0	53	35.08854166666666
n166	152	1	0	72	35.07499999999999
n163	155	1	0	75	35.43229166666665
n181	161	1	0	46	35.84479166666667
n179	159	1	0	50	36.242708333333354
n176	160	1	0	69	36.38854166666668
n175	158	1	0	70	36.25937500000002
n171	157	1	0	74	35.828125
n172	162	1	0	79	36.238541666666684
n182	164	1	0	43	36.96145833333335
n180	165	1	0	55	36.61250000000001
n177	163	1	0	70	36.593750000000014
n173	166	1	0	77	36.95833333333335
n195	174	1	0	48	37.35000000000004
