onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,2.0,0.0,4.0,0,16,51,5,n2,0.0,0.5
2.0,1.0,4.0,2.0,16,8,58,5,n4,2.0,2.279167
3.5,0.5,7.0,1.0,28,4,56,5,n6,3.0,3.136458
4.0,0.5,8.0,1.0,32,4,55,5,n8,4.0,3.99375
4.5,1.0,9.0,2.0,36,8,60,5,n9,4.0,3.99375
5.5,0.5,11.0,1.0,44,4,58,5,n10,5.0,4.848438
6.0,0.5,12.0,1.0,48,4,56,5,n12,6.0,5.703125
6.5,0.25,13.0,0.5,52,2,56,5,n13,6.0,5.703125
6.75,0.25,13.5,0.5,54,2,55,5,n14,6.0,5.703125
7.0,0.5,14.0,1.0,56,4,56,5,n15,7.0,6.516667
7.5,0.5,15.0,1.0,60,4,60,5,n16,7.0,6.516667
8.0,0.5,16.0,1.0,64,4,53,5,n18,8.0,7.325
8.5,1.0,17.0,2.0,68,8,58,5,n19,8.0,7.325
9.5,0.5,19.0,1.0,76,4,56,5,n20,9.0,8.179167
10.0,0.5,20.0,1.0,80,4,55,5,n22,10.0,9.033333
10.5,0.25,21.0,0.5,84,2,55,5,n23,10.0,9.033333
10.75,0.25,21.5,0.5,86,2,53,5,n24,10.0,9.033333
11.0,0.5,22.0,1.0,88,4,55,5,n25,11.0,9.866667
11.5,0.5,23.0,1.0,92,4,58,5,n26,11.0,9.866667
12.0,2.0,24.0,4.0,96,16,58,1,n27,12.0,10.792708
12.0,0.5,24.0,1.0,96,4,51,5,n28,12.0,10.792708
12.5,0.25,25.0,0.5,100,2,51,5,n29,12.0,10.792708
12.75,0.25,25.5,0.5,102,2,50,5,n30,12.0,10.792708
13.0,0.5,26.0,1.0,104,4,51,5,n31,13.0,11.569792
13.5,0.5,27.0,1.0,108,4,55,5,n32,13.0,11.569792
14.0,1.0,28.0,2.0,112,8,63,1,n33,14.0,12.483854
14.0,0.5,28.0,1.0,112,4,48,5,n36,14.0,12.483854
14.5,0.25,29.0,0.5,116,2,50,5,n37,14.0,12.483854
14.75,0.25,29.5,0.5,118,2,51,5,n38,14.0,12.483854
15.0,1.0,30.0,2.0,120,8,53,5,n39,15.0,13.296875
15.5,0.5,31.0,1.0,124,4,63,1,n35,15.0,13.296875
16.0,0.5,32.0,1.0,128,4,62,1,n40,16.0,14.116146
16.0,1.0,32.0,2.0,128,8,46,5,n43,16.0,14.116146
16.5,1.0,33.0,2.0,132,8,67,1,n41,16.0,14.116146
17.0,2.0,34.0,4.0,136,16,58,5,n44,17.0,14.971875
17.5,0.5,35.0,1.0,140,4,65,1,n42,17.0,14.971875
18.0,0.5,36.0,1.0,144,4,63,1,n45,18.0,15.761458
18.5,0.25,37.0,0.5,148,2,63,1,n46,18.0,15.761458
18.75,0.25,37.5,0.5,150,2,62,1,n47,18.0,15.761458
19.0,0.5,38.0,1.0,152,4,63,1,n48,19.0,16.541666
19.0,0.5,38.0,1.0,152,4,57,5,n51,19.0,16.541666
19.5,0.5,39.0,1.0,156,4,67,1,n49,19.0,16.541666
19.5,0.5,39.0,1.0,156,4,55,5,n52,19.0,16.541666
20.0,0.5,40.0,1.0,160,4,60,1,n53,20.0,17.29375
20.0,0.75,40.0,1.5,160,6,57,5,n56,20.0,17.29375
20.5,1.0,41.0,2.0,164,8,65,1,n54,20.0,17.29375
20.75,0.125,41.5,0.25,166,1,58,5,n57,20.0,17.29375
20.875,0.125,41.75,0.25,167,1,57,5,n58,20.0,17.29375
21.0,0.5,42.0,1.0,168,4,55,5,n59,21.0,18.114582
21.5,0.5,43.0,1.0,172,4,63,1,n55,21.0,18.114582
21.5,0.5,43.0,1.0,172,4,57,5,n60,21.0,18.114582
22.0,0.5,44.0,1.0,176,4,62,1,n61,22.0,18.910418
22.0,0.5,44.0,1.0,176,4,58,5,n66,22.0,18.910418
22.5,0.25,45.0,0.5,180,2,62,1,n62,22.0,18.910418
22.5,0.5,45.0,1.0,180,4,46,5,n67,22.0,18.910418
22.75,0.25,45.5,0.5,182,2,60,1,n63,22.0,18.910418
23.0,0.5,46.0,1.0,184,4,62,1,n64,23.0,19.672916
23.0,0.5,46.0,1.0,184,4,58,5,n68,23.0,19.672916
23.5,0.5,47.0,1.0,188,4,65,1,n65,23.0,19.672916
23.5,0.5,47.0,1.0,188,4,56,5,n69,23.0,19.672916
24.0,0.5,48.0,1.0,192,4,58,1,n70,24.0,20.44375
24.0,0.5,48.0,1.0,192,4,55,5,n75,24.0,20.44375
24.5,0.25,49.0,0.5,196,2,58,1,n71,24.0,20.44375
24.5,0.5,49.0,1.0,196,4,43,5,n76,24.0,20.44375
24.75,0.25,49.5,0.5,198,2,56,1,n72,24.0,20.44375
25.0,0.5,50.0,1.0,200,4,58,1,n73,25.0,21.204687
25.0,0.5,50.0,1.0,200,4,55,5,n77,25.0,21.204687
25.5,0.5,51.0,1.0,204,4,62,1,n74,25.0,21.204687
25.5,0.5,51.0,1.0,204,4,53,5,n78,25.0,21.204687
26.0,2.0,52.0,4.0,208,16,63,1,n79,26.0,22.097221
26.0,0.5,52.0,1.0,208,4,55,5,n80,26.0,22.097221
26.0,0.5,52.0,1.0,208,4,51,6,n86,26.0,22.097221
26.5,0.25,53.0,0.5,212,2,56,5,n81,26.0,22.097221
26.5,0.25,53.0,0.5,212,2,53,6,n87,26.0,22.097221
26.75,0.25,53.5,0.5,214,2,58,5,n82,26.0,22.097221
26.75,0.25,53.5,0.5,214,2,55,6,n88,26.0,22.097221
27.0,0.5,54.0,1.0,216,4,60,5,n83,27.0,22.860937
27.0,1.5,54.0,3.0,216,12,56,6,n89,27.0,22.860937
27.5,0.25,55.0,0.5,220,2,58,5,n84,27.0,22.860937
27.75,0.25,55.5,0.5,222,2,60,5,n85,27.0,22.860937
28.0,1.0,56.0,2.0,224,8,70,1,n90,28.0,23.601042
28.0,0.5,56.0,1.0,224,4,62,2,n92,28.0,23.601042
28.5,0.5,57.0,1.0,228,4,65,2,n93,28.0,23.601042
28.5,0.25,57.0,0.5,228,2,55,5,n97,28.0,23.601042
28.75,0.25,57.5,0.5,230,2,53,5,n98,28.0,23.601042
29.0,0.5,58.0,1.0,232,4,58,2,n94,29.0,24.325521
29.0,0.5,58.0,1.0,232,4,55,5,n99,29.0,24.325521
29.5,0.5,59.0,1.0,236,4,68,1,n91,29.0,24.325521
29.5,0.5,59.0,1.0,236,4,62,2,n95,29.0,24.325521
29.5,0.5,59.0,1.0,236,4,58,5,n100,29.0,24.325521
30.0,0.5,60.0,1.0,240,4,67,1,n101,30.0,25.154861
30.0,3.0,60.0,6.0,240,24,63,2,n104,30.0,25.154861
30.0,0.5,60.0,1.0,240,4,51,5,n105,30.0,25.154861
30.5,1.0,61.0,2.0,244,8,72,1,n102,30.0,25.154861
30.5,0.25,61.0,0.5,244,2,56,5,n106,30.0,25.154861
30.75,0.25,61.5,0.5,246,2,55,5,n107,30.0,25.154861
31.0,0.5,62.0,1.0,248,4,56,5,n108,31.0,25.889584
31.5,0.5,63.0,1.0,252,4,70,1,n103,31.0,25.889584
31.5,0.5,63.0,1.0,252,4,60,5,n109,31.0,25.889584
32.0,0.5,64.0,1.0,256,4,68,1,n110,32.0,26.679688
32.0,1.5,64.0,3.0,256,12,53,5,n118,32.0,26.679688
32.5,0.25,65.0,0.5,260,2,68,1,n111,32.0,26.679688
32.75,0.25,65.5,0.5,262,2,67,1,n112,32.0,26.679688
33.0,0.5,66.0,1.0,264,4,68,1,n113,33.0,27.421354
33.0,0.5,66.0,1.0,264,4,62,2,n116,33.0,27.421354
33.5,0.5,67.0,1.0,268,4,72,1,n114,33.0,27.421354
33.5,0.5,67.0,1.0,268,4,60,2,n117,33.0,27.421354
33.5,0.25,67.0,0.5,268,2,55,5,n119,33.0,27.421354
33.75,0.25,67.5,0.5,270,2,56,5,n120,33.0,27.421354
34.0,0.5,68.0,1.0,272,4,65,1,n121,34.0,28.169098
34.0,0.75,68.0,1.5,272,6,62,2,n124,34.0,28.169098
34.0,2.0,68.0,4.0,272,16,58,5,n129,34.0,28.169098
34.5,1.0,69.0,2.0,276,8,70,1,n122,34.0,28.169098
34.75,0.125,69.5,0.25,278,1,63,2,n125,34.0,28.169098
34.875,0.125,69.75,0.25,279,1,62,2,n126,34.0,28.169098
35.0,0.5,70.0,1.0,280,4,60,2,n127,35.0,28.894793
35.5,0.5,71.0,1.0,284,4,68,1,n123,35.0,28.894793
35.5,0.5,71.0,1.0,284,4,62,2,n128,35.0,28.894793
36.0,0.5,72.0,1.0,288,4,67,1,n130,36.0,29.698957
36.0,0.5,72.0,1.0,288,4,63,2,n135,36.0,29.698957
36.0,1.5,72.0,3.0,288,12,51,6,n140,36.0,29.698957
36.5,0.25,73.0,0.5,292,2,67,1,n131,36.0,29.698957
36.5,0.25,73.0,0.5,292,2,58,5,n137,36.0,29.698957
36.75,0.25,73.5,0.5,294,2,65,1,n132,36.0,29.698957
36.75,0.25,73.5,0.5,294,2,56,5,n138,36.0,29.698957
37.0,0.5,74.0,1.0,296,4,67,1,n133,37.0,30.470833
37.0,1.5,74.0,3.0,296,12,58,5,n139,37.0,30.470833
37.5,0.5,75.0,1.0,300,4,70,1,n134,37.0,30.470833
37.5,0.5,75.0,1.0,300,4,50,6,n141,37.0,30.470833
38.0,0.5,76.0,1.0,304,4,63,2,n142,38.0,31.223436
38.0,1.0,76.0,2.0,304,8,48,6,n151,38.0,31.223436
38.5,0.25,77.0,0.5,308,2,65,2,n143,38.0,31.223436
38.5,0.25,77.0,0.5,308,2,56,5,n148,38.0,31.223436
38.75,0.25,77.5,0.5,310,2,63,2,n144,38.0,31.223436
38.75,0.25,77.5,0.5,310,2,55,5,n149,38.0,31.223436
39.0,0.5,78.0,1.0,312,4,65,2,n145,39.0,31.953646
39.0,1.5,78.0,3.0,312,12,56,5,n150,39.0,31.953646
39.5,0.5,79.0,1.0,316,4,68,2,n146,39.0,31.953646
39.5,0.5,79.0,1.0,316,4,53,6,n152,39.0,31.953646
40.0,2.0,80.0,4.0,320,16,70,1,n153,40.0,32.76875
40.0,0.5,80.0,1.0,320,4,62,2,n154,40.0,32.76875
40.0,3.0,80.0,6.0,320,24,46,6,n161,40.0,32.76875
40.5,1.0,81.0,2.0,324,8,63,2,n155,40.0,32.76875
40.5,0.5,81.0,1.0,324,4,55,5,n158,40.0,32.76875
41.0,0.5,82.0,1.0,328,4,53,5,n159,41.0,33.55417
41.5,0.5,83.0,1.0,332,4,62,2,n156,41.0,33.55417
41.5,0.5,83.0,1.0,332,4,58,5,n160,41.0,33.55417
42.0,1.0,84.0,2.0,336,8,75,1,n162,42.0,34.30764
42.0,0.5,84.0,1.0,336,4,60,2,n164,42.0,34.30764
42.0,1.0,84.0,2.0,336,8,55,5,n167,42.0,34.30764
42.5,0.5,85.0,1.0,340,4,67,2,n165,42.0,34.30764
43.0,1.5,86.0,3.0,344,12,72,2,n166,43.0,35.086807
43.0,1.5,86.0,3.0,344,12,53,5,n168,43.0,35.086807
43.0,1.0,86.0,2.0,344,8,45,6,n170,43.0,35.086807
43.5,0.5,87.0,1.0,348,4,75,1,n163,43.0,35.086807
44.0,0.5,88.0,1.0,352,4,74,1,n171,44.0,35.836456
44.0,1.0,88.0,2.0,352,8,46,6,n181,44.0,35.836456
44.5,1.0,89.0,2.0,356,8,79,1,n172,44.0,35.836456
44.5,0.25,89.0,0.5,356,2,70,2,n175,44.0,35.836456
44.5,0.5,89.0,1.0,356,4,50,5,n179,44.0,35.836456
44.75,0.25,89.5,0.5,358,2,69,2,n176,44.0,35.836456
45.0,2.0,90.0,4.0,360,16,70,2,n177,45.0,36.603127
45.0,1.5,90.0,3.0,360,12,55,5,n180,45.0,36.603127
45.5,0.5,91.0,1.0,364,4,77,1,n173,45.0,36.603127
45.5,0.5,91.0,1.0,364,4,43,6,n182,45.0,36.603127
46.0,0.5,92.0,1.0,368,4,75,1,n183,46.0,37.35
46.0,1.0,92.0,2.0,368,8,48,6,n195,46.0,37.35
46.5,0.25,93.0,0.5,372,2,75,1,n184,46.0,37.35
46.5,0.25,93.0,0.5,372,2,60,5,n192,46.0,37.35
46.75,0.25,93.5,0.5,374,2,74,1,n185,46.0,37.35
46.75,0.25,93.5,0.5,374,2,58,5,n193,46.0,37.35
47.0,0.5,94.0,1.0,376,4,75,1,n186,47.0,38.10868
47.0,0.5,94.0,1.0,376,4,69,2,n189,47.0,38.10868
47.0,1.75,94.0,3.5,376,14,60,5,n194,47.0,38.10868
47.5,0.5,95.0,1.0,380,4,79,1,n187,47.0,38.10868
47.5,0.5,95.0,1.0,380,4,67,2,n190,47.0,38.10868
47.5,0.5,95.0,1.0,380,4,51,6,n196,47.0,38.10868
48.0,0.5,96.0,1.0,384,4,72,1,n197,48.0,38.86597
48.0,0.75,96.0,1.5,384,6,69,2,n200,48.0,38.86597
48.0,1.0,96.0,2.0,384,8,53,6,n210,48.0,38.86597
48.5,1.0,97.0,2.0,388,8,77,1,n198,48.0,38.86597
48.75,0.125,97.5,0.25,390,1,70,2,n201,48.0,38.86597
48.75,0.125,97.5,0.25,390,1,62,5,n206,48.0,38.86597
48.875,0.125,97.75,0.25,391,1,69,2,n202,48.0,38.86597
48.875,0.125,97.75,0.25,391,1,60,5,n207,48.0,38.86597
49.0,0.5,98.0,1.0,392,4,67,2,n203,49.0,39.595833
49.0,0.5,98.0,1.0,392,4,58,5,n208,49.0,39.595833
49.5,0.5,99.0,1.0,396,4,75,1,n199,49.0,39.595833
49.5,0.5,99.0,1.0,396,4,69,2,n204,49.0,39.595833
49.5,0.5,99.0,1.0,396,4,60,5,n209,49.0,39.595833
49.5,0.5,99.0,1.0,396,4,53,6,n211,49.0,39.595833
50.0,0.5,100.0,1.0,400,4,74,1,n212,50.0,40.40026
50.0,1.0,100.0,2.0,400,8,70,2,n217,50.0,40.40026
50.0,1.0,100.0,2.0,400,8,62,5,n220,50.0,40.40026
50.0,0.5,100.0,1.0,400,4,58,6,n222,50.0,40.40026
50.5,0.25,101.0,0.5,404,2,74,1,n213,50.0,40.40026
50.5,0.5,101.0,1.0,404,4,53,6,n223,50.0,40.40026
50.75,0.25,101.5,0.5,406,2,72,1,n214,50.0,40.40026
51.0,0.5,102.0,1.0,408,4,74,1,n215,51.0,41.141148
51.0,0.5,102.0,1.0,408,4,58,6,n224,51.0,41.141148
51.5,0.5,103.0,1.0,412,4,77,1,n216,51.0,41.141148
51.5,0.5,103.0,1.0,412,4,65,2,n219,51.0,41.141148
51.5,0.5,103.0,1.0,412,4,60,5,n221,51.0,41.141148
51.5,0.5,103.0,1.0,412,4,57,6,n225,51.0,41.141148
52.0,0.5,104.0,1.0,416,4,70,1,n226,52.0,41.871616
52.0,1.0,104.0,2.0,416,8,67,2,n231,52.0,41.871616
52.0,1.0,104.0,2.0,416,8,62,5,n233,52.0,41.871616
52.0,0.5,104.0,1.0,416,4,55,6,n235,52.0,41.871616
52.5,0.25,105.0,0.5,420,2,70,1,n227,52.0,41.871616
52.5,0.5,105.0,1.0,420,4,50,6,n236,52.0,41.871616
52.75,0.25,105.5,0.5,422,2,69,1,n228,52.0,41.871616
53.0,0.5,106.0,1.0,424,4,70,1,n229,53.0,42.622395
53.0,0.5,106.0,1.0,424,4,55,6,n237,53.0,42.622395
53.5,0.5,107.0,1.0,428,4,74,1,n230,53.0,42.622395
53.5,0.5,107.0,1.0,428,4,62,2,n232,53.0,42.622395
53.5,0.5,107.0,1.0,428,4,56,5,n234,53.0,42.622395
53.5,0.5,107.0,1.0,428,4,53,6,n238,53.0,42.622395
54.0,0.5,108.0,1.0,432,4,67,1,n239,54.0,43.396355
54.0,0.5,108.0,1.0,432,4,63,2,n242,54.0,43.396355
54.0,0.5,108.0,1.0,432,4,58,5,n245,54.0,43.396355
54.0,1.5,108.0,3.0,432,12,51,6,n248,54.0,43.396355
54.5,0.5,109.0,1.0,436,4,69,1,n240,54.0,43.396355
54.5,0.5,109.0,1.0,436,4,65,2,n243,54.0,43.396355
54.5,0.5,109.0,1.0,436,4,60,5,n246,54.0,43.396355
55.0,2.0,110.0,4.0,440,16,70,1,n241,55.0,44.154167
