idx,matchtype,partid,ppartid
0,0,n3,1
1,0,n2,0
2,0,n4,2
3,0,n6,3
4,0,n8,4
5,0,n9,5
6,0,n10,6
7,0,n12,7
8,0,n14,8
9,0,n15,9
10,0,n16,10
11,0,n18,11
12,0,n21,14
13,0,n20,13
14,0,n19,12
15,0,n25,17
16,0,n23,16
17,0,n22,15
18,0,n30,21
19,0,n28,20
20,0,n27,19
21,0,n26,18
22,0,n31,22
23,0,n32,24
24,0,n38,25
25,0,n34,26
26,0,n29,23
27,0,n40,28
28,0,n36,29
29,0,n35,27
30,0,n41,30
31,0,n42,31
32,0,n48,33
33,0,n44,34
34,0,n37,32
35,0,n50,37
36,0,n46,36
37,0,n45,35
38,0,n51,38
39,0,n52,40
40,0,n59,42
41,0,n54,41
42,0,n47,39
43,0,n62,47
44,0,n61,45
45,0,n60,43
46,0,n56,46
47,0,n55,44
48,0,n57,48
49,0,n70,52
50,0,n64,51
51,0,n63,49
52,0,n58,50
53,0,n66,56
54,0,n72,54
55,0,n71,53
56,0,n73,55
57,0,n74,57
58,0,n75,59
59,0,n81,64
60,0,n69,60
61,0,n68,58
62,0,n77,61
63,0,n78,62
64,0,n79,63
65,0,n80,68
66,0,n84,66
67,0,n83,65
68,0,n92,67
69,0,n93,69
70,0,n94,71
71,0,n95,76
72,0,n88,72
73,0,n87,70
74,0,n89,73
75,0,n90,74
76,0,n91,75
77,0,n97,80
78,0,n103,78
79,0,n102,77
80,0,n104,79
81,0,n105,81
82,0,n106,84
83,0,n112,88
84,0,n100,83
85,0,n99,82
86,0,n108,85
87,0,n109,86
88,0,n110,87
89,0,n111,91
90,0,n115,90
91,0,n114,89
92,0,n123,92
93,0,n128,98
94,0,n124,93
95,0,n125,95
96,0,n126,103
97,0,n119,96
98,0,n118,94
99,0,n120,97
100,0,n129,99
101,0,n130,102
102,0,n139,105
103,0,n131,106
104,0,n122,101
105,0,n121,100
106,0,n141,109
107,0,n138,114
108,0,n137,108
109,0,n136,107
110,0,n142,111
111,0,n143,112
112,0,n152,115
113,0,n134,113
114,0,n144,116
115,0,n133,110
116,0,n154,119
117,0,n149,117
118,0,n150,118
119,0,n145,120
120,0,n155,121
121,0,n156,124
122,0,n165,125
123,0,n161,127
124,0,n157,126
125,0,n146,122
126,0,n147,123
127,0,n168,132
128,0,n167,131
129,0,n166,128
130,0,n163,133
131,0,n162,129
132,0,n158,130
133,0,n159,134
134,0,n179,141
135,0,n170,137
136,0,n169,135
137,0,n164,136
138,0,n173,142
139,0,n160,138
140,0,n171,144
141,0,n181,146
142,0,n180,145
143,0,n182,156
144,0,n176,149
145,0,n175,147
146,0,n174,143
147,0,n189,153
148,0,n178,151
149,0,n177,150
150,0,n183,152
151,0,n194,161
152,0,n191,157
153,0,n190,154
154,0,n192,160
155,0,n186,159
156,0,n185,158
157,0,n184,155
158,0,n203,165
159,0,n200,164
160,0,n195,166
161,0,n188,163
162,0,n187,162
163,0,n206,171
164,0,n205,170
165,0,n204,167
166,0,n202,179
167,0,n197,169
168,0,n196,168
169,0,n198,173
170,0,n215,176
171,0,n208,175
172,0,n207,172
173,0,n209,178
174,0,n199,174
175,0,n217,180
176,0,n216,177
177,0,n218,182
178,0,n214,186
179,0,n211,183
180,0,n210,181
181,0,n219,184
182,0,n220,185
183,0,n229,188
184,0,n227,191
185,0,n212,187
186,0,n231,192
187,0,n228,194
188,0,n222,189
189,0,n223,190
190,0,n232,193
191,0,n233,196
192,0,n241,198
193,0,n240,207
194,0,n225,195
195,0,n226,197
196,0,n243,202
197,0,n237,201
198,0,n235,199
199,0,n236,200
200,0,n244,203
201,0,n245,206
202,0,n255,209
203,0,n246,208
204,0,n238,204
205,0,n239,205
206,0,n258,215
207,0,n257,212
208,0,n256,211
209,0,n251,210
210,0,n253,216
211,0,n252,213
212,0,n247,214
213,0,n248,217
214,0,n267,222
215,0,n260,220
216,0,n259,218
217,0,n264,232
218,0,n254,219
219,0,n249,221
220,0,n261,224
221,0,n270,227
222,0,n269,225
223,0,n268,223
224,0,n262,226
225,0,n263,229
226,0,n271,228
227,0,n272,230
228,0,n279,233
229,0,n266,231
