xml_id	midi_id	track	channel	pitch	onset
n6	2	1	0	54	1.4302083333333333
n5	1	1	0	57	0.9708333333333333
n4	0	1	0	61	0.5
n7	3	1	0	62	1.9427083333333333
n11	5	1	0	59	3.640625
n10	4	1	0	61	3.4281249999999996
n12	6	1	0	61	3.9270833333333335
n14	7	1	0	66	5.340625
n15	8	1	0	59	5.922916666666667
n19	10	1	0	56	7.59375
n18	9	1	0	57	7.36875
n21	12	1	0	54	8.327083333333334
n20	11	1	0	57	7.851041666666667
n22	14	1	0	56	8.886458333333337
n29	29	1	0	54	10.58229166666667
n30	30	1	0	56	11.08958333333334
n31	31	1	0	57	11.568750000000012
n32	32	1	0	59	12.07395833333335
n25	33	1	0	66	12.054166666666683
n33	34	1	0	61	12.55937500000002
n27	36	1	0	61	13.059375000000026
n26	35	1	0	64	12.558333333333353
n34	37	1	0	63	14.079166666666696
n28	38	1	0	69	13.566666666666697
n42	40	1	0	64	14.579166666666696
n37	41	1	0	66	15.252083333333363
n36	39	1	0	68	15.04062500000003
n43	42	1	0	64	15.980208333333362
n38	43	1	0	68	15.502083333333363
n45	45	1	0	58	16.450000000000024
n40	44	1	0	73	16.906250000000025
n46	46	1	0	60	17.866666666666696
n41	47	1	0	66	17.365625000000026
n53	50	1	0	61	18.327083333333363
n49	49	1	0	63	19.014583333333363
n48	48	1	0	64	18.795833333333363
n51	56	1	0	61	19.730208333333362
n54	70	1	0	61	21.764583333333338
n50	51	1	0	64	19.248958333333363
n57	62	1	0	58	20.845833333333346
n56	59	1	0	60	20.61250000000002
n52	53	1	0	63	20.293750000000024
n59	72	1	0	56	21.51250000000001
n58	67	1	0	60	21.06041666666668
n60	73	1	0	61	22.02291666666667
n66	75	1	0	64	22.014583333333338
n61	74	1	0	73	22.521874999999998
n67	76	1	0	57	23.469791666666655
n62	77	1	0	66	22.999999999999993
n68	79	1	0	62	23.98437499999999
n64	78	1	0	71	24.441666666666656
n69	80	1	0	56	25.382291666666656
n65	81	1	0	64	24.936458333333324
n75	82	1	0	61	25.888541666666658
n71	83	1	0	69	26.343749999999986
n76	84	1	0	59	26.82812499999998
n72	85	1	0	68	27.274999999999974
n77	86	1	0	57	27.749999999999968
n73	87	1	0	66	28.227083333333297
n80	90	1	0	49	29.19166666666662
n78	88	1	0	56	28.704166666666627
n74	89	1	0	65	29.201041666666622
n93	93	1	0	42	30.146874999999945
n92	91	1	0	45	29.680208333333283
n88	94	1	0	54	29.66874999999995
n81	92	1	0	66	29.672916666666616
n94	97	1	0	50	30.64583333333327
n83	95	1	0	71	31.115624999999934
n97	100	1	0	47	32.25833333333327
n96	98	1	0	49	32.03333333333327
n85	99	1	0	64	32.036458333333265
n84	96	1	0	68	31.585416666666603
n98	103	1	0	49	32.52395833333328
n91	102	1	0	52	32.51458333333328
n87	101	1	0	69	32.97812499999999
n113	107	1	0	54	33.911458333333385
n107	106	1	0	57	33.44270833333335
n100	105	1	0	63	33.91041666666672
n99	104	1	0	66	33.430208333333354
n114	112	1	0	47	34.439583333333424
n106	109	1	0	59	34.923958333333445
n105	108	1	0	62	34.43645833333343
n101	110	1	0	68	34.912500000000115
n117	115	1	0	44	36.029166666666846
n116	114	1	0	45	35.83125000000017
n109	113	1	0	56	35.385416666666806
n103	116	1	0	61	35.82812500000017
n102	111	1	0	65	35.37083333333347
n119	119	1	0	42	36.75208333333357
n118	117	1	0	45	36.300000000000196
n111	118	1	0	57	36.760416666666906
n104	130	1	0	66	36.28958333333353
n134	121	1	0	44	37.322916666666934
n126	124	1	0	59	37.212500000000276
n127	131	1	0	62	37.6562500000003
n129	135	1	0	56	38.56145833333368
n121	138	1	0	65	38.105208333333664
n135	142	1	0	42	39.056250000000375
n130	139	1	0	57	39.08125000000038
n131	141	1	0	61	39.53333333333375
n122	140	1	0	66	39.05312500000038
n123	143	1	0	69	39.51145833333375
n136	148	1	0	50	39.96354166666711
n133	146	1	0	54	40.44687500000046
n124	144	1	0	71	39.95833333333378
n125	145	1	0	74	40.43333333333379
n146	147	1	0	56	40.90520833333383
n147	150	1	0	59	41.38541666666721
n138	149	1	0	68	41.36770833333387
n153	153	1	0	49	41.85833333333392
n149	152	1	0	57	42.33958333333395
n139	151	1	0	69	41.850000000000584
n140	154	1	0	73	42.31666666666728
n154	158	1	0	47	42.800000000000644
n150	157	1	0	62	42.853125000000645
n141	155	1	0	66	43.30520833333401
n142	156	1	0	68	43.51562500000067
n155	168	1	0	52	44.187500000000696
n151	165	1	0	59	43.73750000000068
n144	166	1	0	66	44.39270833333403
n143	160	1	0	68	43.85312500000069
n145	167	1	0	68	44.5093750000007
n169	174	1	0	45	45.152083333334076
n168	170	1	0	49	44.63333333333404
n162	171	1	0	61	45.14270833333408
n161	169	1	0	64	44.65625000000071
n156	173	1	0	69	44.64687500000071
n170	180	1	0	54	45.656250000000774
n163	175	1	0	63	45.62708333333411
n164	176	1	0	66	46.101041666667456
n157	177	1	0	75	46.09166666666746
n165	179	1	0	60	47.04791666666751
n159	181	1	0	68	47.029166666667514
n158	178	1	0	72	46.59270833333416
n171	184	1	0	52	47.514583333334194
n166	182	1	0	61	47.514583333334194
n167	183	1	0	64	48.00000000000089
n160	185	1	0	73	47.98645833333422
n186	188	1	0	51	48.429166666667584
n179	186	1	0	58	48.96979166666762
n180	187	1	0	60	49.189583333334284
n172	189	1	0	78	48.527083333334254
n187	197	1	0	56	49.896875000001
n182	196	1	0	58	50.096875000001006
n181	191	1	0	60	49.54270833333431
n183	198	1	0	60	50.20416666666768
n173	199	1	0	75	49.40729166666763
n189	202	1	0	49	50.807291666667716
n188	200	1	0	52	50.33750000000103
n184	204	1	0	61	50.342708333334365
n175	203	1	0	76	50.78541666666772
n174	201	1	0	80	50.32083333333436
n190	211	1	0	57	51.280208333334386
n185	207	1	0	66	51.750000000001094
n176	205	1	0	78	51.25312500000105
n177	206	1	0	81	51.750000000001094
n198	209	1	0	59	52.727083333334505
n197	208	1	0	62	52.22708333333448
n191	210	1	0	74	52.693750000001174
n205	216	1	0	56	53.179166666667875
n199	214	1	0	64	53.6760416666679
n192	212	1	0	76	53.1625000000012
n193	213	1	0	80	53.6385416666679
n207	219	1	0	49	54.646875000001316
n201	218	1	0	57	54.640625000001315
n200	215	1	0	61	54.106250000001275
n194	217	1	0	73	54.59375000000131
n208	226	1	0	54	55.08750000000134
n203	222	1	0	61	55.569791666668024
n202	deletion
n196	221	1	0	69	55.552083333334686
n195	220	1	0	71	55.06770833333468
n217	224	1	0	57	56.51354166666808
n216	223	1	0	59	56.058333333334716
n209	225	1	0	68	56.02187500000138
n222	233	1	0	53	56.99062500000145
n218	228	1	0	56	57.07812500000145
n210	236	1	0	73	57.43645833333479
n219	234	1	0	54	57.64583333333482
n223	240	1	0	54	57.931250000001505
n224	238	1	0	57	58.3885416666682
n212	239	1	0	66	58.3760416666682
n211	237	1	0	69	57.917708333334836
n225	241	1	0	59	58.88541666666823
n226	242	1	0	62	59.34166666666825
n215	243	1	0	71	59.314583333334916
n213	244	1	0	74	58.8583333333349
n241	247	1	0	52	60.26979166666829
n240	245	1	0	56	59.80416666666827
n234	249	1	0	64	59.796875000001606
n229	248	1	0	71	60.46458333333496
n228	246	1	0	73	60.26041666666829
n242	250	1	0	57	60.74270833333498
n243	252	1	0	61	61.19791666666835
n235	251	1	0	64	61.201041666668345
n230	253	1	0	73	60.726041666668316
n245	256	1	0	51	62.15208333333507
n244	254	1	0	54	61.68750000000171
n236	257	1	0	69	61.65520833333505
n232	255	1	0	78	62.1479166666684
n246	258	1	0	56	62.654166666668424
n247	260	1	0	59	63.14895833333513
