xml_id	midi_id	track	channel	pitch	onset
n3	1	1	0	58	1.6692708333333333
n2	0	1	0	62	0.5
n5	2	1	0	63	2.1158854166666665
n6	3	1	0	60	2.907552083333334
n7	4	1	0	57	4.074218750000001
n9	5	1	0	62	4.500000000000001
n10	6	1	0	58	5.32421875
n11	7	1	0	55	6.477864583333333
n13	8	1	0	60	6.872395833333332
n14	9	1	0	60	7.270833333333332
n15	10	1	0	60	7.660156249999999
n16	11	1	0	60	8.042968749999998
n17	12	1	0	60	8.40234375
n18	13	1	0	60	8.749999999999998
n25	16	1	0	57	9.710937499999996
n24	15	1	0	58	9.529947916666664
n23	14	1	0	60	9.134114583333332
n27	18	1	0	55	10.07942708333333
n26	17	1	0	58	9.894531249999996
n28	19	1	0	58	10.260416666666663
n29	20	1	0	60	10.440104166666663
n20	21	1	0	67	9.890624999999996
n31	23	1	0	61	10.785156249999993
n30	22	1	0	62	10.618489583333327
n32	24	1	0	62	10.963541666666659
n22	25	1	0	65	10.960937499999993
n38	28	1	0	55	11.743489583333325
n37	26	1	0	62	11.380208333333325
n33	27	1	0	70	11.358072916666659
n40	29	1	0	55	12.29557291666666
n41	30	1	0	57	12.485677083333327
n42	32	1	0	58	12.648437499999993
n34	31	1	0	67	12.12760416666666
n44	34	1	0	58	13.005208333333327
n43	33	1	0	60	12.830729166666659
n45	36	1	0	60	13.183593749999995
n36	35	1	0	64	13.15104166666666
n51	39	1	0	53	13.927083333333332
n50	37	1	0	60	13.58333333333333
n46	38	1	0	69	13.557291666666664
n53	40	1	0	53	14.475260416666666
n54	41	1	0	55	14.649739583333332
n55	43	1	0	57	14.815104166666664
n47	42	1	0	65	14.308593749999998
n57	45	1	0	57	15.148437499999996
n56	44	1	0	58	14.999999999999996
n58	48	1	0	58	15.339843749999996
n49	46	1	0	62	15.338541666666663
n66	49	1	0	57	15.88020833333333
n68	52	1	0	57	16.22005208333333
n67	51	1	0	58	16.065104166666664
n59	47	1	0	67	15.695312499999996
n60	50	1	0	67	16.050781249999996
n70	55	1	0	53	16.588541666666664
n72	58	1	0	53	16.90625
n69	54	1	0	55	16.42317708333333
n71	57	1	0	55	16.765624999999996
n61	53	1	0	67	16.39973958333333
n62	56	1	0	67	16.738281249999996
n74	61	1	0	50	17.278645833333332
n76	64	1	0	50	17.619791666666668
n73	60	1	0	52	17.096354166666664
n75	63	1	0	52	17.48046875
n63	59	1	0	67	17.102864583333332
n64	62	1	0	67	17.451822916666668
n91	65	1	0	49	17.819010416666668
n92	67	1	0	57	18.18489583333334
n83	69	1	0	64	18.365885416666675
n82	68	1	0	65	18.18619791666667
n81	66	1	0	67	17.807291666666668
n93	70	1	0	50	18.550781250000007
n94	74	1	0	60	18.912760416666668
n85	73	1	0	62	18.738281250000004
n86	75	1	0	64	18.89453125
n84	71	1	0	65	18.554687500000007
n87	76	1	0	66	19.0625
n78	72	1	0	74	18.531250000000007
n96	81	1	0	55	19.575520833333332
n95	77	1	0	58	19.242187499999996
n89	79	1	0	66	19.397135416666664
n88	78	1	0	67	19.229166666666664
