xml_id	midi_id	track	channel	pitch	onset
n1	0	1	0	68	0.5
n2	1	1	0	70	0.9510416666666666
n4	3	1	0	70	1.84375
n3	2	1	0	71	1.39375
n6	5	1	0	63	2.725
n9	6	1	0	68	3.171875
n5	4	1	0	75	2.2895833333333333
n11	8	1	0	70	4.007291666666667
n10	7	1	0	71	3.5854166666666667
n12	9	1	0	71	4.434375
n14	11	1	0	68	5.282291666666666
n13	10	1	0	70	4.866666666666666
n17	12	1	0	70	5.704166666666666
n18	13	1	0	71	6.119791666666665
n20	15	1	0	71	6.943749999999999
n19	14	1	0	73	6.523958333333332
n22	17	1	0	68	7.754166666666665
n25	18	1	0	70	8.17083333333333
n21	16	1	0	76	7.353124999999999
n27	20	1	0	71	8.992708333333331
n26	19	1	0	73	8.571874999999997
n28	21	1	0	73	9.40520833333333
n36	24	1	0	63	10.62708333333333
n30	23	1	0	70	10.20520833333333
n29	22	1	0	71	9.804166666666664
n33	26	1	0	71	10.638541666666663
n37	25	1	0	65	11.03645833333333
n39	30	1	0	65	11.87395833333333
n38	27	1	0	66	11.454166666666664
n34	28	1	0	72	11.449999999999998
n35	35	1	0	73	11.866666666666664
n41	31	1	0	58	12.708333333333332
n45	32	1	0	63	13.123958333333333
n40	29	1	0	70	12.297916666666666
n47	34	1	0	65	13.927083333333332
n46	33	1	0	66	13.516666666666666
n48	36	1	0	66	14.364583333333332
n44	39	1	0	72	14.368749999999999
n50	38	1	0	63	15.18125
n49	37	1	0	65	14.771875
n55	40	1	0	65	15.608333333333333
n52	42	1	0	73	15.604166666666666
n56	41	1	0	66	15.998958333333333
n58	46	1	0	66	16.879166666666663
n57	43	1	0	68	16.441666666666663
n53	44	1	0	74	16.453124999999996
n54	51	1	0	75	16.876041666666662
n60	47	1	0	63	17.68020833333333
n64	48	1	0	65	18.093749999999996
n59	45	1	0	71	17.28958333333333
n66	50	1	0	66	18.905208333333327
n65	49	1	0	68	18.514583333333327
n67	52	1	0	68	19.315624999999994
n63	55	1	0	74	19.31041666666666
n69	54	1	0	65	20.11979166666666
n68	53	1	0	66	19.69791666666666
n76	57	1	0	66	20.521874999999994
n71	56	1	0	75	20.55520833333333
n77	58	1	0	67	21.356249999999996
n78	60	1	0	68	21.79166666666666
n72	59	1	0	73	20.95833333333333
n86	65	1	0	64	23.024999999999995
n79	63	1	0	66	22.599999999999994
n74	61	1	0	70	22.19791666666666
n75	62	1	0	72	22.603124999999995
n81	64	1	0	73	23.00833333333333
n87	66	1	0	65	23.81979166666666
n88	68	1	0	66	24.220833333333324
n82	67	1	0	71	23.42708333333333
n95	72	1	0	63	25.445833333333322
n89	70	1	0	64	25.030208333333324
n84	69	1	0	68	24.61562499999999
n85	71	1	0	70	25.013541666666658
n91	75	1	0	71	25.429166666666656
n97	74	1	0	56	26.24583333333332
n98	79	1	0	61	26.651041666666654
n96	73	1	0	68	25.863541666666656
n100	78	1	0	67	27.89583333333332
n93	76	1	0	70	27.065624999999986
n94	77	1	0	73	27.478124999999988
n106	83	1	0	58	29.129166666666656
n105	82	1	0	59	28.707291666666656
n102	81	1	0	68	28.695833333333322
n103	86	1	0	73	29.11458333333332
n101	80	1	0	75	28.290624999999988
n119	87	1	0	56	30.370833333333326
n108	85	1	0	67	29.948958333333326
n107	84	1	0	68	29.523958333333326
n116	94	1	0	68	30.390624999999993
n120	88	1	0	58	30.788541666666664
n122	97	1	0	58	31.59895833333333
n121	90	1	0	59	31.189583333333328
n113	92	1	0	73	31.62083333333333
n112	91	1	0	75	31.220833333333328
n111	89	1	0	76	30.77708333333333
n124	99	1	0	51	32.402083333333344
n130	100	1	0	56	32.83333333333335
n123	93	1	0	63	32.01875
n118	98	1	0	67	32.428125000000016
n128	103	1	0	68	32.82500000000002
n115	96	1	0	70	32.423958333333346
n114	95	1	0	71	32.01354166666666
n125	101	1	0	71	32.82083333333335
n132	104	1	0	58	33.63541666666668
n131	102	1	0	59	33.23333333333334
n133	106	1	0	59	34.06145833333335
n126	105	1	0	75	33.62812500000001
n127	114	1	0	80	34.053125000000016
n135	108	1	0	56	34.845833333333346
n134	107	1	0	58	34.43437500000001
n146	110	1	0	58	35.288541666666674
n129	109	1	0	71	34.86354166666668
n140	111	1	0	73	35.290625000000006
n147	113	1	0	59	35.68854166666667
n149	122	1	0	59	36.53333333333334
n148	116	1	0	61	36.11979166666668
n141	112	1	0	75	35.690625000000004
n143	119	1	0	75	36.518750000000004
n142	115	1	0	76	36.11562500000001
n137	117	1	0	79	36.09479166666667
n138	118	1	0	80	36.518750000000004
n151	125	1	0	56	37.36979166666669
n161	129	1	0	58	37.79895833333337
n150	120	1	0	64	36.935416666666676
n145	124	1	0	71	37.376041666666694
n144	121	1	0	73	36.939583333333346
n152	128	1	0	73	37.786458333333364
n139	123	1	0	83	37.356250000000024
n163	131	1	0	59	38.6104166666667
n162	127	1	0	61	38.1947916666667
n164	133	1	0	61	39.00104166666673
n160	137	1	0	66	39.00937500000007
n159	130	1	0	68	38.59583333333337
n158	126	1	0	70	38.1947916666667
n153	132	1	0	75	38.57708333333337
n154	134	1	0	76	38.99375000000006
n166	138	1	0	58	39.81875000000008
n165	135	1	0	59	39.40937500000008
n175	140	1	0	59	40.30312500000008
n156	139	1	0	73	39.81145833333341
n155	136	1	0	75	39.40937500000008
n167	143	1	0	75	40.29895833333341
n177	145	1	0	53	41.515625000000064
n176	142	1	0	56	41.12187500000007
n170	144	1	0	66	40.70520833333341
n171	141	1	0	71	41.10312500000007
n168	149	1	0	73	41.521875000000065
n178	148	1	0	55	42.352083333333404
n187	150	1	0	56	42.76875000000008
n173	146	1	0	68	41.9333333333334
n174	147	1	0	70	42.33125000000007
n179	154	1	0	71	42.74895833333341
n189	156	1	0	49	44.01875000000008
n188	152	1	0	52	43.60208333333342
n182	151	1	0	63	43.187500000000085
n183	153	1	0	68	43.58333333333342
n180	159	1	0	70	44.000000000000085
n190	158	1	0	51	44.851041666666774
n202	161	1	0	52	45.26250000000013
n185	155	1	0	65	44.407291666666765
n186	157	1	0	67	44.8125000000001
n191	160	1	0	68	45.267708333333466
n196	deletion
n203	164	1	0	53	46.102083333333454
n204	172	1	0	54	46.51979166666679
n197	162	1	0	70	45.68958333333346
n199	165	1	0	70	46.51562500000012
n198	163	1	0	71	46.090625000000124
n201	167	1	0	63	47.34375000000013
n210	168	1	0	68	47.75520833333346
n200	166	1	0	75	46.92812500000012
n217	177	1	0	53	49.00937500000015
n212	171	1	0	70	48.568750000000136
n211	169	1	0	71	48.157291666666794
n213	173	1	0	71	48.99791666666681
n207	170	1	0	75	48.57395833333347
n208	175	1	0	75	48.981250000000145
n228	180	1	0	54	50.20520833333349
n215	178	1	0	68	49.794791666666825
n214	174	1	0	70	49.39166666666682
n222	179	1	0	70	50.20937500000016
n209	176	1	0	74	49.78958333333349
n218	182	1	0	75	50.192708333333485
n229	183	1	0	55	51.047916666666815
n230	192	1	0	56	51.45937500000015
n223	181	1	0	71	50.628125000000146
n225	185	1	0	71	51.43958333333348
n224	184	1	0	73	51.02395833333348
n227	187	1	0	68	52.26041666666683
n236	188	1	0	70	52.673958333333495
n226	186	1	0	76	51.85104166666682
n243	198	1	0	55	53.895833333333485
n238	190	1	0	71	53.50312500000015
n237	189	1	0	73	53.093750000000156
n239	193	1	0	73	53.90833333333349
n234	195	1	0	75	53.89375000000015
n233	191	1	0	76	53.500000000000156
n254	203	1	0	56	55.13020833333349
n241	197	1	0	70	54.71041666666682
n240	194	1	0	71	54.304166666666816
n244	199	1	0	71	55.13437500000016
n248	deletion
n235	196	1	0	73	54.703125000000156
n255	208	1	0	54	56.341666666666846
n249	200	1	0	59	55.523958333333496
n250	201	1	0	64	55.9239583333335
n245	202	1	0	68	55.91979166666683
n246	205	1	0	70	56.35833333333352
n265	211	1	0	52	57.55208333333354
