xml_id	midi_id	track	channel	pitch	onset
n3	0	1	0	57	0.49999999999999994
n7	4	1	0	57	1.0364583333333333
n4	1	1	0	59	0.6260416666666666
n6	3	1	0	59	0.915625
n9	6	1	0	59	1.3010416666666664
n5	2	1	0	61	0.771875
n8	5	1	0	61	1.1687499999999997
n11	8	1	0	61	1.59375
n10	7	1	0	62	1.4479166666666667
n14	10	1	0	62	2.1625
n13	9	1	0	64	2.009375
n26	13	1	0	62	2.8572916666666672
n25	12	1	0	64	2.7270833333333337
n24	11	1	0	66	2.5916666666666672
n28	15	1	0	59	3.13125
n29	16	1	0	61	3.2770833333333336
n30	17	1	0	62	3.4093750000000003
n27	14	1	0	64	3.0010416666666675
n32	19	1	0	57	3.833333333333334
n31	18	1	0	61	3.551041666666667
n17	20	1	0	64	3.8281250000000004
n18	21	1	0	66	3.957291666666667
n33	22	1	0	59	4.117708333333333
n34	25	1	0	61	4.373958333333333
n21	26	1	0	64	4.354166666666667
n20	24	1	0	66	4.222916666666666
n19	23	1	0	68	4.096875
n22	27	1	0	68	4.486458333333333
n50	31	1	0	59	4.905208333333333
n49	28	1	0	62	4.627083333333334
n51	32	1	0	64	5.036458333333333
n35	29	1	0	66	4.6156250000000005
n37	34	1	0	68	4.89375
n36	30	1	0	69	4.751041666666667
n52	33	1	0	61	5.15625
n54	37	1	0	61	5.580208333333334
n53	36	1	0	66	5.444791666666667
n40	39	1	0	69	5.439583333333334
n39	35	1	0	71	5.289583333333334
n55	38	1	0	63	5.710416666666667
n56	44	1	0	64	6.007291666666666
n44	42	1	0	69	6.125
n43	41	1	0	71	6.002083333333333
n42	40	1	0	73	5.8656250000000005
n57	48	1	0	63	6.553125
n46	45	1	0	66	6.404166666666667
n47	46	1	0	68	6.545833333333333
n48	47	1	0	69	6.671874999999999
n45	43	1	0	71	6.26875
n75	53	1	0	59	7.231249999999999
n74	50	1	0	64	6.824999999999998
n58	49	1	0	68	6.817708333333332
n61	54	1	0	68	7.221874999999999
n60	52	1	0	69	7.084374999999999
n59	51	1	0	71	6.948958333333332
n77	58	1	0	57	7.640625
n76	55	1	0	61	7.354166666666666
n63	57	1	0	64	7.505208333333333
n64	59	1	0	66	7.652083333333334
n65	60	1	0	67	7.775
n62	56	1	0	69	7.35
n79	64	1	0	57	8.305208333333331
n78	62	1	0	62	7.90625
n66	61	1	0	66	7.910416666666666
n69	66	1	0	66	8.338541666666664
n68	65	1	0	68	8.201041666666665
n67	63	1	0	69	8.047916666666666
n81	70	1	0	56	8.723958333333332
n80	67	1	0	59	8.466666666666665
n71	69	1	0	63	8.593749999999998
n72	71	1	0	64	8.727083333333333
n73	72	1	0	66	8.842708333333334
n70	68	1	0	68	8.466666666666665
n103	78	1	0	59	9.420833333333336
n100	73	1	0	61	9.006250000000001
n102	76	1	0	61	9.26666666666667
n101	74	1	0	62	9.140625000000002
n94	75	1	0	64	8.973958333333334
n82	77	1	0	69	9.257291666666669
n83	79	1	0	71	9.397916666666669
n104	80	1	0	57	9.537500000000003
n105	85	1	0	57	9.980208333333339
n95	84	1	0	66	9.823958333333337
