xml_id	midi_id	track	channel	pitch	onset
n4	2	1	0	60	1.39453125
n3	1	1	0	64	0.5
n5	3	1	0	65	2.313802083333333
n7	4	1	0	56	3.251302083333334
n10	5	1	0	62	5.277343749999998
n11	6	1	0	59	5.717447916666665
n12	7	1	0	64	6.157552083333331
n18	9	1	0	57	6.942708333333331
n17	8	1	0	60	6.545572916666665
n19	10	1	0	54	7.358072916666665
n20	11	1	0	63	7.776041666666665
n14	12	1	0	69	7.335937499999998
n21	13	1	0	52	8.203125
n25	18	1	0	59	8.903645833333334
n24	17	1	0	60	8.811197916666668
n23	16	1	0	62	8.721354166666668
n22	15	1	0	64	8.62109375
n15	14	1	0	67	8.1875
n30	24	1	0	55	9.743489583333337
n26	19	1	0	57	9.026041666666668
n29	23	1	0	57	9.665364583333336
n28	22	1	0	59	9.559895833333336
n27	21	1	0	60	9.468750000000002
n16	20	1	0	72	9.026041666666668
n43	31	1	0	52	10.65755208333334
n37	25	1	0	54	9.877604166666671
n42	29	1	0	54	10.57552083333334
n38	26	1	0	55	10.016927083333337
n41	28	1	0	55	10.471354166666673
n39	27	1	0	57	10.113281250000005
n31	30	1	0	63	9.888020833333337
n50	38	1	0	49	11.563802083333337
n44	32	1	0	51	10.753906250000005
n49	37	1	0	51	11.460937500000004
n45	34	1	0	52	10.901041666666671
n48	36	1	0	52	11.358072916666671
n46	35	1	0	54	11.026041666666671
n51	40	1	0	47	11.675781250000004
n52	41	1	0	49	12.298177083333336
n53	42	1	0	51	12.407552083333336
n34	39	1	0	69	12.09244791666667
n55	51	1	0	49	13.131510416666671
n54	45	1	0	51	12.614583333333337
n56	52	1	0	51	13.225260416666671
n35	44	1	0	66	12.528645833333337
n36	48	1	0	71	12.925781250000004
n65	54	1	0	52	13.359375000000005
n67	56	1	0	52	13.897135416666671
n68	57	1	0	53	13.984375000000005
n69	58	1	0	55	14.095052083333337
n58	55	1	0	64	13.779947916666671
n57	53	1	0	67	13.350260416666671
n74	64	1	0	52	14.921875000000002
n73	63	1	0	53	14.812500000000002
n72	62	1	0	55	14.726562500000002
n70	60	1	0	57	14.204427083333336
n59	59	1	0	61	14.187500000000004
n60	61	1	0	69	14.625000000000002
n75	66	1	0	50	15.044270833333334
n77	68	1	0	50	15.544270833333334
n78	69	1	0	52	15.643229166666668
n79	70	1	0	53	15.731770833333334
n62	67	1	0	62	15.438802083333334
n61	65	1	0	65	15.036458333333334
n84	76	1	0	50	16.580729166666664
n83	75	1	0	52	16.46875
n82	74	1	0	53	16.3828125
n80	72	1	0	55	15.84375
n63	71	1	0	59	15.84375
n64	73	1	0	67	16.270833333333332
n102	79	1	0	48	16.682291666666664
n103	80	1	0	50	17.328124999999996
n89	77	1	0	64	16.700520833333332
n90	78	1	0	69	17.092447916666664
n107	85	1	0	50	17.946614583333336
n104	81	1	0	52	17.557291666666664
n106	83	1	0	52	17.841145833333332
n108	86	1	0	52	18.126302083333336
n105	82	1	0	53	17.752604166666664
n91	84	1	0	68	17.936197916666668
n86	88	1	0	76	17.550781249999996
n109	89	1	0	53	18.384114583333336
n92	87	1	0	57	18.388020833333336
n96	94	1	0	64	19.057291666666664
n95	93	1	0	65	18.962239583333332
n94	91	1	0	67	18.8984375
n93	90	1	0	69	18.790364583333332
n87	92	1	0	72	18.380208333333336
n101	100	1	0	60	19.90885416666666
n97	95	1	0	62	19.197916666666664
n100	99	1	0	62	19.81119791666666
n99	98	1	0	64	19.722656249999996
n98	97	1	0	65	19.62239583333333
n88	96	1	0	77	19.187499999999996
n137	104	1	0	53	20.459635416666664
n123	107	1	0	57	20.67447916666666
n117	101	1	0	59	20.019531249999996
n122	108	1	0	59	20.71744791666666
n118	102	1	0	60	20.140624999999996
n121	106	1	0	60	20.58723958333333
n119	105	1	0	62	20.242187499999996
n111	103	1	0	68	20.011718749999996
n138	111	1	0	47	20.87630208333333
n139	113	1	0	50	21.321614583333325
n130	117	1	0	54	21.64973958333332
n124	110	1	0	56	20.87239583333333
n129	116	1	0	56	21.55859374999999
n125	112	1	0	57	20.980468749999996
n128	115	1	0	57	21.471354166666657
insertion	126	1	0	57	22.619791666666654
n126	114	1	0	59	21.09635416666666
n140	119	1	0	44	21.76171874999999
n141	120	1	0	47	22.177083333333318
n131	122	1	0	52	21.76562499999999
n132	123	1	0	54	22.374999999999986
n133	124	1	0	56	22.489583333333318
n114	121	1	0	74	22.164062499999986
n142	132	1	0	52	22.550781249999986
n135	134	1	0	54	23.170572916666654
n134	127	1	0	56	22.705729166666654
n136	135	1	0	56	23.249999999999986
n115	125	1	0	71	22.589843749999986
n116	131	1	0	76	22.98958333333332
n170	137	1	0	45	23.40494791666665
n151	138	1	0	57	23.390624999999982
n153	140	1	0	57	23.903645833333318
n154	141	1	0	59	23.997395833333318
n155	142	1	0	60	24.09244791666665
n144	139	1	0	69	23.803385416666654
n143	136	1	0	72	23.402343749999982
n173	146	1	0	54	24.635416666666654
n159	149	1	0	57	24.945312499999986
n158	148	1	0	59	24.826822916666654
n157	147	1	0	60	24.73177083333332
n156	144	1	0	62	24.229166666666654
n145	143	1	0	66	24.208333333333318
n146	145	1	0	74	24.623697916666654
n160	151	1	0	55	25.061197916666654
n162	153	1	0	55	25.54817708333332
n174	deletion
n163	154	1	0	57	25.627604166666654
n164	155	1	0	59	25.738281249999986
n148	152	1	0	67	25.463541666666654
n147	150	1	0	71	25.05989583333332
n177	159	1	0	52	26.260416666666654
n169	162	1	0	55	26.58203124999999
n168	161	1	0	57	26.47265624999999
n167	160	1	0	58	26.35286458333332
n165	157	1	0	60	25.855468749999986
n149	156	1	0	64	25.876302083333318
n150	158	1	0	72	26.264322916666654
n190	163	1	0	53	26.69921874999999
n210	deletion
n211	166	1	0	55	27.12369791666666
n191	164	1	0	65	26.906249999999993
n192	167	1	0	65	27.290364583333325
n178	165	1	0	69	26.67578124999999
n179	168	1	0	71	27.11197916666666
n213	173	1	0	55	27.934895833333325
n212	169	1	0	57	27.533854166666657
n194	170	1	0	64	27.634114583333325
n200	178	1	0	64	28.220052083333325
n195	171	1	0	65	27.727864583333325
n199	177	1	0	65	28.114583333333325
n196	172	1	0	67	27.824218749999993
n198	176	1	0	67	28.027343749999993
n197	174	1	0	69	27.929687499999993
n180	175	1	0	72	27.516927083333325
n215	184	1	0	50	28.71744791666666
n214	179	1	0	53	28.329427083333325
n201	183	1	0	62	28.325520833333325
n182	180	1	0	72	28.407552083333325
n188	188	1	0	72	29.027343749999993
n183	181	1	0	74	28.51432291666666
n187	187	1	0	74	28.937499999999993
n184	182	1	0	76	28.61979166666666
n186	186	1	0	76	28.85416666666666
n185	185	1	0	77	28.73567708333333
n217	193	1	0	53	29.548177083333332
n216	189	1	0	55	29.13802083333333
n203	190	1	0	62	29.257812499999996
n209	197	1	0	62	29.84244791666666
n204	191	1	0	64	29.361979166666664
n208	196	1	0	64	29.73958333333333
n205	192	1	0	65	29.44140625
n207	195	1	0	65	29.664062499999996
n206	194	1	0	67	29.561197916666664
n189	198	1	0	71	29.148437499999996
n250	204	1	0	52	29.968749999999996
n243	200	1	0	55	30.40755208333333
n242	199	1	0	60	29.97005208333333
n222	205	1	0	79	30.70963541666666
n221	203	1	0	81	30.61067708333333
n220	202	1	0	83	30.515624999999996
n219	201	1	0	84	30.394531249999996
n251	210	1	0	57	30.83463541666666
n244	207	1	0	60	30.82552083333333
n245	209	1	0	65	31.235677083333325
n227	214	1	0	76	31.57161458333332
n223	208	1	0	77	30.82552083333333
n226	213	1	0	77	31.467447916666657
n225	212	1	0	79	31.364583333333325
n224	211	1	0	81	31.247395833333325
n252	217	1	0	47	31.658854166666657
n247	218	1	0	69	32.11328124999999
n234	222	1	0	72	32.394531249999986
n228	215	1	0	74	31.680989583333325
n233	221	1	0	74	32.29817708333332
n229	216	1	0	76	31.781249999999993
n232	220	1	0	76	32.21874999999999
n230	219	1	0	77	31.89713541666666
n248	223	1	0	62	32.50260416666665
n249	226	1	0	65	32.92838541666665
n241	230	1	0	69	33.22135416666665
n235	224	1	0	71	32.511718749999986
n240	229	1	0	71	33.118489583333314
n236	225	1	0	72	32.605468749999986
n239	228	1	0	72	33.02604166666665
n237	227	1	0	74	32.707031249999986
n270	232	1	0	53	33.78255208333331
n261	231	1	0	59	33.33593749999998
n262	235	1	0	62	33.78385416666664
n254	233	1	0	67	33.35026041666664
n255	234	1	0	69	33.97135416666664
n256	236	1	0	71	34.05859374999998
n271	240	1	0	50	34.188802083333314
n272	243	1	0	55	34.571614583333314
n264	deletion
n263	238	1	0	65	34.177083333333314
n258	246	1	0	69	34.781249999999986
n257	239	1	0	71	34.282552083333314
n259	247	1	0	71	34.891927083333314
n273	250	1	0	52	35.00260416666665
n274	252	1	0	52	35.617187499999986
n275	253	1	0	54	35.72526041666665
n266	251	1	0	60	35.41276041666666
n265	248	1	0	67	35.00260416666665
n260	249	1	0	72	35.00651041666665
n277	262	1	0	52	36.43489583333333
n276	256	1	0	54	35.94140624999998
n278	263	1	0	54	36.55208333333333
n267	254	1	0	57	35.82291666666665
n268	259	1	0	62	36.218749999999986
n296	266	1	0	52	37.06119791666666
n295	264	1	0	55	36.65234374999999
n288	265	1	0	59	36.65885416666666
n289	268	1	0	59	37.25390624999999
n290	269	1	0	61	37.346354166666664
n279	267	1	0	67	37.05078124999999
n297	279	1	0	57	37.463541666666664
n292	280	1	0	59	38.07552083333334
n291	272	1	0	61	37.58984375
n293	281	1	0	61	38.16145833333334
n280	270	1	0	64	37.475260416666664
n281	276	1	0	69	37.89062500000001
n299	283	1	0	50	38.71223958333334
n294	282	1	0	62	38.29557291666668
n282	284	1	0	66	38.29947916666668
n283	285	1	0	66	38.91666666666668
n284	286	1	0	68	39.007812500000014
n300	287	1	0	47	39.119791666666686
n301	292	1	0	52	39.54557291666669
n286	295	1	0	66	39.748697916666686
n285	289	1	0	68	39.225260416666686
n287	296	1	0	68	39.84375000000002
n328	301	1	0	45	40.32421875000002
n327	297	1	0	48	39.95442708333336
n302	298	1	0	69	39.95963541666669
n303	299	1	0	71	40.16536458333336
n304	300	1	0	72	40.26953125000002
n305	302	1	0	74	40.350260416666686
n306	303	1	0	76	40.440104166666686
n307	304	1	0	78	40.546875000000014
n308	305	1	0	80	40.63541666666668
n329	306	1	0	42	40.75130208333334
n330	308	1	0	51	41.18619791666667
n314	309	1	0	71	41.18229166666667
n313	307	1	0	72	40.97656250000001
n315	311	1	0	78	41.37890625000001
n309	310	1	0	81	40.75260416666668
n331	312	1	0	40	41.58854166666667
n317	313	1	0	71	41.83984375000001
n321	318	1	0	71	42.33072916666668
n320	317	1	0	72	42.23567708333334
n319	316	1	0	74	42.12109375000001
n318	315	1	0	76	42.01953125000001
n310	314	1	0	79	41.60026041666667
n326	324	1	0	67	43.20182291666668
n322	319	1	0	69	42.46354166666668
n325	323	1	0	69	43.101562500000014
n324	322	1	0	71	42.99739583333334
n323	321	1	0	72	42.88541666666668
n311	320	1	0	84	42.47395833333334
n361	328	1	0	60	43.71223958333336
n346	332	1	0	64	44.00911458333336
n340	325	1	0	66	43.28255208333335
n345	331	1	0	66	43.90755208333336
n341	326	1	0	67	43.401041666666686
n344	330	1	0	67	43.80729166666669
n342	329	1	0	69	43.51171875000002
n334	327	1	0	75	43.29427083333335
n362	333	1	0	54	44.10807291666669
n363	336	1	0	57	44.54817708333336
n353	341	1	0	61	44.85546875000002
n347	334	1	0	63	44.11458333333336
n352	339	1	0	63	44.73958333333336
