xml_id	midi_id	track	channel	pitch	onset
n1	0	1	0	47	0.5
n2	1	1	0	51	1.8502604166666665
n3	2	1	0	56	3.190104166666666
n4	3	1	0	52	4.542968749999999
n5	4	1	0	49	5.832031249999998
n6	5	1	0	58	7.037760416666665
n9	8	1	0	56	9.091145833333332
n8	7	1	0	58	8.843749999999998
n7	6	1	0	59	8.239583333333332
n11	10	1	0	52	9.964843749999998
n10	9	1	0	54	9.389322916666666
n15	12	1	0	49	10.859375
n14	11	1	0	51	10.608072916666666
n16	14	1	0	52	11.192708333333334
n12	13	1	0	54	10.596354166666666
n18	16	1	0	49	12.670572916666668
n17	15	1	0	51	12.419270833333334
n13	17	1	0	58	11.813802083333334
n21	18	1	0	47	12.985677083333334
n22	19	1	0	54	13.278645833333334
n23	21	1	0	58	13.608072916666668
n19	20	1	0	63	12.993489583333334
n25	23	1	0	54	14.99479166666667
n24	22	1	0	56	14.746093750000002
n20	24	1	0	59	14.127604166666668
n28	25	1	0	53	15.253906250000004
n26	27	1	0	56	15.282552083333337
n29	26	1	0	59	15.545572916666671
n30	28	1	0	63	15.903645833333337
n32	30	1	0	59	17.33854166666667
n31	29	1	0	61	17.070312500000004
n27	31	1	0	65	16.488281250000004
n38	33	1	0	58	17.649739583333336
n39	35	1	0	59	18.223958333333336
n35	36	1	0	63	18.460937500000004
n34	34	1	0	65	18.203125000000004
n33	32	1	0	66	17.644531250000004
n41	40	1	0	56	19.274739583333336
n40	38	1	0	58	18.755208333333336
n37	39	1	0	59	19.290364583333336
n36	37	1	0	61	18.743489583333336
n49	45	1	0	51	20.704427083333343
n48	44	1	0	53	20.399739583333343
n47	42	1	0	54	19.875000000000007
n43	43	1	0	56	20.132812500000007
n42	41	1	0	58	19.86067708333334
n44	48	1	0	59	20.442708333333343
n50	46	1	0	49	20.989583333333343
n51	47	1	0	51	21.29557291666668
n52	53	1	0	52	21.585937500000014
n46	50	1	0	56	21.880208333333346
n45	49	1	0	58	21.606770833333346
n62	55	1	0	49	23.08072916666668
n61	54	1	0	51	22.79687500000001
n55	51	1	0	54	22.22656250000001
n56	52	1	0	56	22.51432291666668
n57	58	1	0	57	22.83593750000001
n53	56	1	0	59	22.18359375000001
n63	62	1	0	47	23.441406250000014
n59	59	1	0	54	24.343750000000018
n58	57	1	0	56	24.066406250000018
n54	60	1	0	63	23.438802083333346
n72	63	1	0	48	25.595052083333346
n66	61	1	0	52	24.658854166666686
n67	64	1	0	59	24.97005208333335
n68	69	1	0	63	25.28255208333335
n64	72	1	0	68	24.664062500000018
n73	65	1	0	49	25.846354166666682
n76	70	1	0	49	26.725260416666686
n74	67	1	0	51	26.13411458333335
n75	66	1	0	52	26.424479166666686
n70	73	1	0	59	26.717447916666686
n69	68	1	0	61	26.414062500000018
n65	71	1	0	64	25.839843750000014
n85	76	1	0	52	27.941406250000014
n84	78	1	0	54	27.011718750000014
n79	80	1	0	58	27.015625000000014
n77	75	1	0	61	27.069010416666682
n80	74	1	0	64	27.395833333333346
n81	83	1	0	68	27.684895833333346
n87	79	1	0	49	28.554687500000014
n86	77	1	0	51	28.265625000000014
n88	85	1	0	51	28.845052083333346
n83	84	1	0	64	29.11718750000001
n82	82	1	0	66	28.860677083333346
n78	81	1	0	70	28.261718750000014
n99	94	1	0	44	30.00911458333335
n98	87	1	0	56	29.466145833333343
n94	86	1	0	63	29.46875000000001
n95	89	1	0	64	30.04817708333335
n91	91	1	0	68	30.279947916666686
n90	90	1	0	70	30.02083333333335
n89	88	1	0	71	29.441406250000007
n100	95	1	0	46	31.173177083333346
n97	96	1	0	61	31.184895833333346
n96	93	1	0	63	30.589843750000018
n93	97	1	0	64	31.16666666666668
n92	92	1	0	66	30.593750000000018
n112	98	1	0	47	31.79947916666667
n110	103	1	0	56	32.69791666666668
n109	102	1	0	58	32.46614583333334
n108	100	1	0	59	31.804687500000004
n104	101	1	0	61	32.12369791666667
n103	99	1	0	63	31.81770833333334
n105	106	1	0	64	32.45312500000001
n101	104	1	0	66	31.79817708333334
n111	109	1	0	54	32.992187500000014
n107	108	1	0	61	33.902343750000014
n106	105	1	0	63	33.644531250000014
n102	107	1	0	70	33.00260416666668
n123	111	1	0	55	35.027343750000014
n117	110	1	0	59	34.199218750000014
n118	112	1	0	66	34.511718750000014
n119	115	1	0	70	34.79427083333335
n115	121	1	0	75	34.23307291666668
n124	113	1	0	56	35.33723958333334
n127	120	1	0	56	36.12630208333334
n125	114	1	0	58	35.630208333333336
n126	116	1	0	59	35.88151041666667
n121	118	1	0	66	36.13932291666667
n120	117	1	0	68	35.91406250000001
n116	119	1	0	71	35.32552083333334
n136	124	1	0	59	37.32942708333336
n135	127	1	0	61	36.44791666666668
n130	128	1	0	65	36.47786458333334
n128	123	1	0	68	36.50260416666668
n131	122	1	0	71	36.799479166666686
n132	129	1	0	75	37.08333333333336
n138	126	1	0	56	37.899739583333364
n137	125	1	0	58	37.63541666666669
n139	133	1	0	58	38.18229166666669
