idx,matchtype,partid,ppartid
0,0,n1,0
1,0,n2,1
2,0,n3,2
3,0,n4,3
4,0,n5,4
5,0,n6,5
6,0,n9,8
7,0,n8,7
8,0,n7,6
9,0,n11,10
10,0,n10,9
11,0,n15,12
12,0,n14,11
13,0,n16,14
14,0,n12,13
15,0,n18,16
16,0,n17,15
17,0,n13,17
18,0,n21,18
19,0,n22,19
20,0,n23,21
21,0,n19,20
22,0,n25,23
23,0,n24,22
24,0,n20,24
25,0,n28,25
26,0,n26,27
27,0,n29,26
28,0,n30,28
29,0,n32,30
30,0,n31,29
31,0,n27,31
32,0,n38,33
33,0,n39,35
34,0,n35,36
35,0,n34,34
36,0,n33,32
37,0,n41,40
38,0,n40,38
39,0,n37,39
40,0,n36,37
41,0,n49,45
42,0,n48,44
43,0,n47,42
44,0,n43,43
45,0,n42,41
46,0,n44,48
47,0,n50,46
48,0,n51,47
49,0,n52,53
50,0,n46,50
51,0,n45,49
52,0,n62,55
53,0,n61,54
54,0,n55,51
55,0,n56,52
56,0,n57,58
57,0,n53,56
58,0,n63,62
59,0,n59,59
60,0,n58,57
61,0,n54,60
62,0,n72,63
63,0,n66,61
64,0,n67,64
65,0,n68,69
66,0,n64,72
67,0,n73,65
68,0,n76,70
69,0,n74,67
70,0,n75,66
71,0,n70,73
72,0,n69,68
73,0,n65,71
74,0,n85,76
75,0,n84,78
76,0,n79,80
77,0,n77,75
78,0,n80,74
79,0,n81,83
80,0,n87,79
81,0,n86,77
82,0,n88,85
83,0,n83,84
84,0,n82,82
85,0,n78,81
86,0,n99,94
87,0,n98,87
88,0,n94,86
89,0,n95,89
90,0,n91,91
91,0,n90,90
92,0,n89,88
93,0,n100,95
94,0,n97,96
95,0,n96,93
96,0,n93,97
97,0,n92,92
98,0,n112,98
99,0,n110,103
100,0,n109,102
101,0,n108,100
102,0,n104,101
103,0,n103,99
104,0,n105,106
105,0,n101,104
106,0,n111,109
107,0,n107,108
108,0,n106,105
109,0,n102,107
110,0,n123,111
111,0,n117,110
112,0,n118,112
113,0,n119,115
114,0,n115,121
115,0,n124,113
116,0,n127,120
117,0,n125,114
118,0,n126,116
119,0,n121,118
120,0,n120,117
121,0,n116,119
122,0,n136,124
123,0,n135,127
124,0,n130,128
125,0,n128,123
126,0,n131,122
127,0,n132,129
128,0,n138,126
129,0,n137,125
130,0,n139,133
131,0,n134,131
132,0,n133,130
133,0,n129,132
134,0,n150,142
135,0,n149,136
136,0,n145,134
137,0,n146,138
138,0,n142,139
139,0,n141,137
140,0,n140,135
141,0,n151,145
142,0,n148,143
143,0,n147,141
144,0,n144,144
145,0,n143,140
146,0,n163,149
147,0,n164,151
148,0,n159,152
149,0,n158,150
150,0,n157,147
151,0,n153,146
152,0,n152,148
153,0,n154,158
154,0,n166,156
155,0,n165,155
156,0,n160,153
157,0,n161,154
158,0,n162,160
159,0,n156,157
160,0,n155,161
161,0,n183,173
162,0,n180,168
163,0,n179,166
164,0,n178,163
165,0,n174,165
166,0,n173,164
167,0,n167,159
168,0,n168,162
169,0,n169,167
170,0,n184,174
171,1,n181,undefined
172,0,n175,169
173,0,n182,180
174,0,n176,170
175,1,n177,undefined
176,0,n171,172
177,0,n170,171
178,0,n199,178
179,0,n194,177
180,0,n185,175
181,1,n190,undefined
182,0,n191,179
183,0,n186,176
184,0,n187,185
185,0,n200,186
186,0,n196,181
187,0,n197,182
188,0,n198,184
189,1,n195,undefined
190,0,n192,183
191,0,n189,187
192,0,n188,188
193,0,n213,191
194,0,n209,192
195,0,n201,189
196,1,n206,undefined
197,0,n207,193
198,0,n202,190
199,0,n203,197
200,0,n214,196
201,0,n211,200
202,0,n212,199
203,0,n208,194
204,0,n205,198
205,0,n204,195
206,0,n229,204
207,0,n231,207
208,0,n230,205
209,0,n226,208
210,0,n225,203
211,0,n219,209
212,0,n218,206
213,0,n217,202
214,0,n215,201
215,0,n233,216
216,0,n232,211
217,0,n228,215
218,0,n227,213
219,0,n221,212
220,0,n223,217
221,0,n220,210
222,0,n222,214
223,0,n248,225
224,0,n244,221
225,0,n245,224
226,0,n238,219
227,0,n240,223
228,0,n239,220
229,0,n241,226
230,0,n235,222
231,0,n250,228
232,0,n252,234
233,0,n251,232
234,0,n246,227
235,0,n247,231
236,0,n243,235
237,0,n242,230
238,0,n237,233
239,0,n236,229
240,0,n266,237
241,0,n268,242
242,0,n267,238
243,0,n263,243
244,0,n262,236
245,0,n257,241
246,0,n256,240
247,0,n255,239
248,0,n253,249
249,0,n270,248
250,0,n269,250
251,0,n264,246
252,0,n265,252
253,0,n258,244
254,0,n260,247
255,0,n259,245
256,0,n261,251
257,0,n284,257
258,0,n280,256
259,0,n279,255
260,0,n276,253
261,0,n272,254
262,0,n273,262
263,0,n285,261
264,0,n281,258
265,0,n282,265
266,0,n277,259
267,0,n283,260
268,0,n278,263
269,0,n275,264
270,1,n274,undefined
271,0,n299,274
272,0,n295,269
273,0,n294,267
274,0,n286,266
275,0,n287,268
276,0,n288,276
277,0,n297,271
278,0,n296,270
279,0,n298,272
280,0,n292,273
281,0,n290,275
282,0,n289,277
283,0,n305,278
284,0,n303,281
285,0,n301,280
286,0,n300,279
287,0,n304,282
288,0,n314,285
289,0,n309,284
290,0,n308,283
291,0,n315,290
292,0,n310,286
293,0,n313,289
294,0,n311,287
295,0,n312,288
296,0,n323,296
297,0,n316,291
298,0,n319,294
299,0,n317,293
300,0,n318,292
301,0,n324,298
302,0,n320,295
303,0,n321,297
304,0,n322,299
305,0,n330,303
306,0,n326,300
307,0,n327,301
308,0,n328,302
309,0,n334,307
310,0,n333,306
311,0,n332,304
312,0,n329,305
313,0,n344,310
314,0,n343,308
315,0,n340,313
316,0,n336,309
317,0,n337,311
318,0,n338,312
319,0,n345,314
320,0,n348,316
321,0,n346,315
322,0,n347,318
323,0,n341,317
324,0,n339,325
325,0,n357,319
326,0,n360,324
327,0,n358,321
328,0,n359,323
329,0,n354,320
330,0,n355,322
331,0,n356,330
332,0,n361,326
333,0,n362,328
334,0,n364,335
335,0,n363,332
336,0,n350,327
337,0,n353,333
338,0,n351,329
339,0,n352,331
340,0,n375,336
341,0,n376,337
342,0,n373,354
343,0,n365,334
344,0,n367,339
345,0,n366,338
346,0,n378,345
347,0,n377,341
348,0,n368,340
349,0,n371,344
350,0,n369,342
351,0,n370,343
352,0,n392,346
353,0,n395,352
354,0,n393,348
355,0,n394,351
356,0,n379,347
357,0,n382,353
358,0,n380,349
359,0,n381,350
360,0,n396,358
361,0,n390,360
362,0,n389,356
363,0,n391,359
364,0,n383,355
365,0,n384,357
366,0,n385,365
367,0,n411,362
368,0,n404,363
369,0,n406,366
370,0,n401,361
371,0,n405,364
372,1,n403,undefined
373,0,n399,368
374,0,n398,367
375,0,n407,369
376,0,n410,371
377,0,n408,370
378,0,n409,372
379,0,n402,377
380,0,n400,373
381,0,n424,375
382,0,n426,380
383,0,n421,374
384,0,n425,378
385,0,n419,379
386,0,n416,381
387,0,n415,376
388,0,n427,382
389,0,n430,387
390,0,n428,383
391,0,n429,386
392,0,n420,385
393,0,n418,384
394,0,n417,388
395,0,n442,389
396,0,n445,394
397,0,n443,390
398,0,n444,391
399,0,n436,392
400,0,n439,395
401,0,n431,393
402,0,n446,396
403,0,n447,398
404,0,n448,402
405,0,n441,400
406,0,n440,397
407,0,n435,401
408,0,n434,408
409,0,n437,399
410,0,n460,403
411,0,n461,404
412,0,n462,407
413,0,n457,405
414,1,n449,undefined
415,0,n452,406
416,0,n463,413
417,0,n458,412
418,0,n456,411
419,0,n455,410
420,0,n454,409
421,0,n475,414
422,0,n476,418
423,0,n477,420
424,0,n471,417
425,0,n470,416
426,0,n472,421
427,0,n469,415
428,0,n464,419
429,0,n478,426
430,0,n473,422
431,0,n468,425
432,0,n467,424
433,0,n466,423
434,0,n490,428
435,0,n491,430
436,0,n492,432
437,0,n484,433
438,0,n479,427
439,0,n482,434
440,0,n480,429
441,0,n481,431
442,0,n494,438
443,0,n493,435
444,0,n487,437
445,0,n486,436
446,0,n488,439
447,0,n483,445
448,0,n503,441
449,0,n504,442
450,0,n502,440
451,0,n505,443
452,0,n497,444
453,0,n507,449
454,0,n506,447
455,0,n499,446
456,0,n500,448
457,0,n501,451
458,0,n496,450
459,0,n520,454
460,0,n519,453
461,0,n518,452
462,0,n512,455
463,0,n508,456
464,1,n510,undefined
465,0,n521,457
466,0,n516,459
467,0,n515,458
468,0,n514,462
469,0,n509,460
470,0,n534,461
471,0,n535,463
472,0,n536,468
473,0,n532,464
474,0,n527,467
475,0,n526,465
476,0,n523,466
477,0,n538,472
478,0,n537,469
479,0,n539,475
480,0,n528,470
481,0,n531,473
482,0,n529,474
483,0,n524,471
484,0,n530,478
485,0,n553,483
486,0,n549,481
487,0,n542,477
488,0,n545,482
489,0,n543,479
490,0,n540,476
491,0,n544,480
492,0,n554,487
493,0,n551,489
494,0,n550,486
495,0,n546,488
496,0,n547,484
497,0,n548,490
498,0,n541,491
499,0,n566,492
500,0,n565,493
501,0,n561,494
502,0,n562,495
503,0,n563,496
504,0,n555,497
505,0,n564,501
506,0,n557,498
507,0,n558,499
508,0,n559,500
509,0,n575,502
510,0,n576,503
511,0,n577,505
512,0,n569,504
513,0,n578,507
514,0,n573,509
515,0,n572,508
516,0,n571,506
517,0,n589,514
518,0,n588,512
519,0,n587,510
520,0,n579,511
521,0,n580,513
522,0,n581,515
523,0,n590,517
524,0,n591,518
525,0,n592,520
526,0,n582,516
527,0,n585,522
528,0,n583,519
529,0,n584,521
530,0,n603,526
531,0,n598,525
532,0,n597,524
533,0,n596,523
534,0,n593,531
535,0,n604,528
536,0,n599,527
537,0,n602,530
538,0,n600,532
539,0,n601,529
540,0,n616,536
541,0,n613,534
542,0,n612,533
543,0,n614,540
544,0,n607,538
545,0,n606,537
546,0,n617,543
547,0,n615,545
548,0,n608,539
549,0,n611,541
550,0,n609,544
551,0,n610,542
552,0,n628,551
553,0,n626,553
554,0,n618,546
555,0,n621,549
556,0,n619,547
557,0,n620,548
558,0,n629,556
559,0,n622,550
560,0,n627,554
561,0,n623,552
562,0,n624,555
563,0,n640,560
564,0,n635,558
565,0,n636,563
566,0,n631,557
567,0,n632,561
568,0,n643,565
569,0,n642,562
570,0,n644,566
571,0,n639,568
572,0,n637,559
573,0,n638,564
574,0,n634,567
575,0,n656,571
576,0,n651,574
577,0,n646,569
578,0,n647,572
579,0,n659,576
580,0,n658,573
581,0,n660,577
582,0,n654,579
583,0,n652,570
584,0,n653,575
585,0,n649,578
586,0,n674,582
587,0,n671,580
588,1,n673,undefined
589,0,n668,581
590,0,n662,583
591,0,n663,584
592,0,n675,588
593,0,n678,593
594,0,n676,586
595,0,n677,592
596,0,n672,590
597,0,n669,585
598,0,n670,591
599,0,n665,587
600,0,n666,589
601,0,n691,602
602,0,n692,595
603,0,n693,601
604,0,n689,596
605,0,n682,594
606,0,n684,598
607,0,n683,599
608,0,n680,597
609,0,n694,607
610,0,n690,608
611,0,n685,600
612,0,n688,606
613,0,n686,603
614,0,n687,605
615,0,n681,604
616,1,n711,undefined
617,0,n709,611
618,0,n710,614
619,0,n706,609
620,0,n699,610
621,0,n702,615
622,0,n707,619
623,1,n705,undefined
624,0,n700,612
625,0,n701,613
626,0,n696,617
627,0,n712,618
628,0,n715,624
629,0,n713,620
630,0,n714,626
631,0,n703,621
632,0,n704,623
633,0,n698,625
634,0,n697,622
635,0,n724,627
636,0,n727,632
637,0,n725,628
638,0,n726,629
639,0,n720,633
640,0,n716,630
641,1,n722,undefined
642,0,n717,631
643,0,n728,634
644,0,n731,639
645,0,n729,635
646,0,n730,638
647,0,n723,636
648,0,n721,637
649,0,n718,640
650,0,n742,641
651,0,n745,647
652,0,n743,643
653,0,n744,644
654,0,n739,650
655,0,n737,642
656,0,n734,646
657,0,n733,645
658,0,n746,649
659,0,n749,656
660,0,n747,651
661,0,n748,653
662,0,n741,654
663,0,n738,652
664,0,n736,655
665,0,n735,648
666,0,n766,663
667,0,n765,660
668,0,n767,666
669,0,n764,659
670,0,n760,658
671,0,n761,668
672,0,n756,662
673,0,n757,667
674,0,n750,661
675,0,n751,664
676,0,n752,665
677,0,n769,672
678,0,n768,671
679,0,n770,674
680,0,n771,675
681,0,n763,673
682,0,n759,676
683,0,n754,677
684,0,n758,670
685,0,n753,669
686,0,n784,682
687,0,n781,685
688,0,n776,678
689,0,n777,679
690,0,n772,683
691,1,n773,undefined
692,0,n783,687
693,0,n779,681
694,0,n780,686
695,0,n774,684
696,0,n796,690
697,0,n794,691
698,0,n785,688
699,0,n807,701
700,1,n788,undefined
701,0,n789,689
702,0,n790,692
703,0,n795,696
704,0,n792,693
705,0,n793,699
706,0,n787,695
707,0,n786,694
708,0,n805,702
709,0,n797,697
710,0,n800,700
711,0,n798,698
712,0,n799,704
713,0,n808,708
714,0,n806,710
715,0,n801,703
716,0,n804,707
717,0,n802,705
718,0,n803,706
719,0,n820,714
720,0,n815,711
721,0,n809,709
722,0,n814,712
723,0,n810,713
724,0,n811,716
725,0,n821,720
726,0,n816,715
727,0,n819,718
728,0,n817,717
729,0,n818,719
730,0,n812,724
731,0,n832,725
732,0,n831,726
733,0,n830,722
734,0,n829,721
735,0,n827,723
736,0,n823,727
737,0,n833,728
738,0,n836,732
739,0,n834,730
740,0,n835,731
741,0,n828,733
742,0,n825,729
743,0,n826,734
744,0,n846,739
745,0,n841,737
746,0,n840,736
747,0,n839,735
748,0,n837,746
749,0,n850,742
750,0,n848,740
751,0,n849,741
752,0,n842,738
753,0,n845,745
754,0,n843,743
755,0,n844,744
756,0,n862,751
757,0,n861,749
758,0,n860,748
759,0,n859,747
760,0,n856,750
761,0,n852,753
762,0,n863,752
763,0,n866,756
764,0,n864,754
765,0,n865,758
766,0,n857,760
767,0,n858,757
768,0,n854,755
769,0,n855,759
770,0,n876,764
771,0,n871,763
772,0,n870,762
773,0,n869,761
774,0,n867,786
775,0,n880,769
776,0,n878,766
777,0,n879,767
778,0,n872,765
779,0,n875,771
780,0,n873,770
781,0,n874,768
