xml_id	midi_id	track	channel	pitch	onset
n3	1	1	0	62	0.7968749999999999
n1	0	1	0	66	0.5
n4	2	1	0	59	1.09375
n5	3	1	0	58	1.3828125
n7	4	1	0	59	1.68359375
n8	5	1	0	61	1.96484375
n9	6	1	0	62	2.102864583333333
n10	7	1	0	64	2.235677083333333
n11	8	1	0	66	2.3541666666666665
n13	9	1	0	67	2.505208333333333
n14	10	1	0	55	2.798177083333333
n15	11	1	0	67	3.078125
n17	12	1	0	66	3.352864583333333
n18	13	1	0	54	3.6354166666666665
n19	14	1	0	66	3.9166666666666665
n21	15	1	0	64	4.19140625
n23	17	1	0	64	4.62109375
n22	16	1	0	66	4.47265625
n25	19	1	0	61	4.884114583333333
n24	18	1	0	62	4.751302083333333
n28	20	1	0	62	5.020833333333333
n29	21	1	0	66	5.162760416666666
n31	23	1	0	62	5.427083333333333
n30	22	1	0	64	5.295572916666666
n33	25	1	0	59	5.717447916666665
n32	24	1	0	61	5.578124999999999
n27	26	1	0	71	5.589843749999999
n39	29	1	0	59	5.999999999999999
n38	28	1	0	61	5.858072916666665
n35	27	1	0	69	5.860677083333332
n40	31	1	0	61	6.138020833333333
n41	32	1	0	62	6.274739583333334
n36	30	1	0	66	6.140625
n43	35	1	0	59	6.552083333333334
n42	34	1	0	61	6.411458333333334
n37	33	1	0	65	6.411458333333334
n50	36	1	0	57	6.691406250000001
n45	37	1	0	66	6.697916666666668
n51	38	1	0	54	6.971354166666667
n46	39	1	0	68	6.973958333333334
n47	40	1	0	69	7.110677083333334
n52	41	1	0	53	7.24609375
n48	42	1	0	71	7.248697916666667
n49	43	1	0	73	7.376302083333334
n56	45	1	0	54	7.506510416666667
n57	46	1	0	56	7.647135416666667
n53	44	1	0	74	7.509114583333334
n58	49	1	0	56	7.861979166666667
n54	47	1	0	62	7.809895833333334
n59	54	1	0	54	8.212239583333336
n60	55	1	0	56	8.121093750000002
n55	52	1	0	74	8.09375
n64	57	1	0	57	8.34635416666667
n65	58	1	0	59	8.509114583333337
n61	56	1	0	73	8.36979166666667
n67	61	1	0	56	8.792968750000005
n66	60	1	0	57	8.654947916666671
n62	59	1	0	61	8.647135416666671
n69	64	1	0	52	9.06770833333334
n68	63	1	0	54	8.924479166666671
n63	62	1	0	73	8.924479166666671
n75	66	1	0	51	9.19661458333334
n76	67	1	0	53	9.33333333333334
n70	65	1	0	71	9.199218750000005
n77	73	1	0	53	9.55208333333334
n72	70	1	0	71	9.61458333333334
n71	68	1	0	73	9.476562500000005
n78	75	1	0	51	9.841145833333341
n79	76	1	0	53	9.953125000000007
n74	74	1	0	68	9.880208333333341
n73	72	1	0	69	9.761718750000007
n86	77	1	0	54	10.036458333333341
n80	78	1	0	69	10.024739583333341
n81	79	1	0	73	10.167968750000007
n87	80	1	0	56	10.299479166666673
n83	82	1	0	69	10.444010416666673
n82	81	1	0	71	10.308593750000007
n88	83	1	0	57	10.59505208333334
n85	85	1	0	66	10.73567708333334
n84	84	1	0	68	10.59114583333334
n94	87	1	0	59	10.87239583333334
n95	88	1	0	61	11.00520833333334
n89	86	1	0	67	10.875000000000005
n96	91	1	0	61	11.18880208333334
n91	92	1	0	67	11.274739583333341
n90	89	1	0	69	11.14583333333334
n97	97	1	0	59	11.459635416666675
n98	98	1	0	61	11.615885416666675
insertion	94	1	0	61	11.329427083333341
n93	96	1	0	64	11.561197916666675
n92	95	1	0	66	11.416666666666675
n105	99	1	0	62	11.700520833333341
n99	100	1	0	66	11.694010416666675
n100	101	1	0	69	11.846354166666675
n106	102	1	0	58	11.990885416666675
n102	104	1	0	66	12.122395833333343
n101	103	1	0	67	11.986979166666675
n107	108	1	0	59	12.270833333333343
n104	106	1	0	62	12.399739583333341
n103	105	1	0	64	12.277343750000009
n108	107	1	0	64	12.561197916666673
n115	110	1	0	56	12.976562500000007
n114	109	1	0	58	12.851562500000007
n110	112	1	0	64	12.985677083333341
n109	111	1	0	66	12.847656250000007
n117	116	1	0	54	13.125000000000009
n116	114	1	0	58	13.126302083333343
n112	115	1	0	61	13.259114583333343
n111	113	1	0	62	13.130208333333343
n127	117	1	0	50	13.419270833333343
n124	118	1	0	59	13.419270833333343
n118	119	1	0	62	13.419270833333343
n119	120	1	0	64	13.571614583333345
n128	121	1	0	47	13.709635416666679
n120	122	1	0	66	13.723958333333345
n121	123	1	0	67	13.86328125000001
n129	124	1	0	46	14.01171875000001
n123	125	1	0	64	14.151041666666677
n122	128	1	0	66	14.014322916666677
n134	127	1	0	47	14.30859375000001
n131	126	1	0	62	14.311197916666677
n135	130	1	0	49	14.60546875000001
n136	131	1	0	50	14.75390625000001
n132	129	1	0	59	14.611979166666677
n137	132	1	0	52	14.884114583333345
n138	134	1	0	54	15.020833333333345
n133	133	1	0	58	14.880208333333345
n147	136	1	0	55	15.165364583333345
n142	135	1	0	59	15.16406250000001
n143	137	1	0	61	15.302083333333345
n148	138	1	0	43	15.447916666666679
n144	141	1	0	61	15.51171875000001
n140	140	1	0	64	15.446614583333345
n149	144	1	0	55	15.740885416666679
n145	147	1	0	59	15.904947916666675
n146	149	1	0	61	15.957031250000009
insertion	146	1	0	61	15.807291666666675
n141	148	1	0	69	15.74609375000001
n159	150	1	0	54	16.046875000000007
n153	151	1	0	62	16.042968750000007
n154	153	1	0	64	16.19791666666667
n160	155	1	0	42	16.34635416666667
n156	157	1	0	61	16.47786458333334
n155	154	1	0	62	16.34114583333334
n151	156	1	0	66	16.34505208333334
n161	158	1	0	54	16.632812500000007
n158	160	1	0	57	16.772135416666675
n157	159	1	0	59	16.632812500000007
n152	163	1	0	62	16.635416666666675
n170	161	1	0	52	16.933593750000007
n165	162	1	0	56	16.937500000000007
n166	164	1	0	58	17.050781250000007
n172	169	1	0	52	17.348958333333343
n171	166	1	0	54	17.213541666666675
n167	168	1	0	58	17.244791666666675
n163	167	1	0	61	17.221354166666675
n174	175	1	0	49	17.662760416666675
n173	173	1	0	50	17.494791666666675
n168	176	1	0	56	17.651041666666675
n169	177	1	0	58	17.701822916666675
n164	181	1	0	66	17.505208333333343
n179	178	1	0	50	17.803385416666675
n180	179	1	0	54	17.94661458333334
n178	180	1	0	59	17.804687500000007
n182	183	1	0	50	18.22786458333334
n181	182	1	0	52	18.089843750000004
n184	185	1	0	47	18.515625000000004
n183	184	1	0	49	18.37369791666667
n177	186	1	0	68	18.386718750000004
n192	188	1	0	49	18.686197916666668
n193	190	1	0	51	18.809895833333336
n185	187	1	0	69	18.678385416666668
n186	189	1	0	73	18.826822916666668
n194	193	1	0	51	19.029947916666668
n188	194	1	0	69	19.109375
n187	192	1	0	71	18.981770833333332
n195	200	1	0	49	19.355468750000007
n196	202	1	0	51	19.41145833333334
n190	199	1	0	66	19.378906250000007
n189	197	1	0	68	19.24348958333334
n203	203	1	0	52	19.50911458333334
n204	204	1	0	55	19.679687500000007
