xml_id	midi_id	track	channel	pitch	onset
n7	4	1	0	49	1.0065104166666665
n3	2	1	0	68	1.2473958333333335
n2	1	1	0	73	1.11328125
n4	3	1	0	73	1.3671875000000002
n1	0	1	0	77	1.0143229166666665
n8	5	1	0	61	1.4674479166666667
n6	7	1	0	73	1.5651041666666667
n5	6	1	0	77	1.4791666666666667
n15	10	1	0	51	1.6901041666666667
n10	9	1	0	73	1.8203125000000002
n9	8	1	0	78	1.6875
n12	12	1	0	73	2.036458333333334
n11	11	1	0	78	1.9192708333333337
n16	13	1	0	61	2.149739583333334
n14	15	1	0	73	2.246093750000001
n13	14	1	0	78	2.1210937500000004
n23	18	1	0	53	2.371093750000001
n18	17	1	0	73	2.4752604166666674
n17	16	1	0	80	2.3580729166666674
n20	20	1	0	73	2.7057291666666674
n19	19	1	0	80	2.578125000000001
n24	21	1	0	61	2.808593750000001
n22	23	1	0	73	2.890625000000001
n21	22	1	0	80	2.789062500000001
n31	26	1	0	54	3.026041666666668
n26	25	1	0	73	3.1406250000000013
n25	24	1	0	82	3.0208333333333344
n28	28	1	0	73	3.3671875000000018
n27	27	1	0	82	3.227864583333335
n32	29	1	0	61	3.4947916666666683
n30	31	1	0	73	3.5898437500000018
n29	30	1	0	82	3.4687500000000018
n39	34	1	0	53	3.7135416666666683
n34	33	1	0	73	3.813802083333335
n33	32	1	0	80	3.716145833333335
n36	36	1	0	73	4.037760416666668
n35	35	1	0	80	3.9361979166666683
n40	38	1	0	61	4.166666666666669
n38	39	1	0	73	4.260416666666669
n37	37	1	0	80	4.156250000000002
n47	42	1	0	51	4.406250000000002
n42	41	1	0	77	4.520833333333335
n41	40	1	0	78	4.414062500000002
n43	43	1	0	75	4.636718750000001
n44	44	1	0	77	4.738281250000001
n48	45	1	0	60	4.863281250000001
n46	47	1	0	75	4.944010416666667
n45	46	1	0	78	4.847656250000001
n55	49	1	0	49	5.080729166666667
n50	50	1	0	75	5.203125
n49	48	1	0	77	5.078125
n51	51	1	0	73	5.328125
n52	52	1	0	75	5.43359375
n56	54	1	0	61	5.548177083333333
n54	55	1	0	73	5.648437499999999
n53	53	1	0	77	5.552083333333333
n57	56	1	0	75	5.761718749999999
n58	57	1	0	77	5.88671875
n65	60	1	0	58	6.104166666666666
n64	58	1	0	60	5.981770833333333
n60	61	1	0	73	6.113281249999999
n59	59	1	0	75	5.998697916666666
n66	63	1	0	56	6.196614583333333
n67	65	1	0	58	6.343749999999999
n62	64	1	0	70	6.332031249999999
n61	62	1	0	72	6.217447916666666
n71	67	1	0	56	6.5625
n70	66	1	0	60	6.463541666666666
n68	68	1	0	68	6.451822916666666
n72	69	1	0	51	6.662760416666667
n73	70	1	0	56	6.8046875
n75	73	1	0	56	6.98046875
n74	72	1	0	60	6.895833333333333
n69	71	1	0	80	6.87890625
n79	75	1	0	56	7.227864583333334
n78	74	1	0	61	7.123697916666667
n76	76	1	0	70	7.10546875
n81	78	1	0	56	7.440104166666667
n80	77	1	0	61	7.346354166666667
n83	81	1	0	56	7.640625000000001
n82	80	1	0	61	7.555989583333334
n77	79	1	0	80	7.563802083333334
n87	83	1	0	56	7.899739583333334
n86	82	1	0	63	7.794270833333334
n84	84	1	0	72	7.796875000000001
n89	86	1	0	56	8.12109375
n88	85	1	0	63	8.0234375
n91	89	1	0	56	8.3671875
n90	88	1	0	63	8.2578125
n85	87	1	0	80	8.239583333333334
n95	91	1	0	56	8.611979166666668
n94	90	1	0	65	8.518229166666668
n92	93	1	0	73	8.489583333333334
n97	94	1	0	56	8.842447916666666
n96	92	1	0	65	8.739583333333334
n99	97	1	0	56	9.052083333333332
n98	95	1	0	65	8.946614583333332
n93	96	1	0	80	8.944010416666666
n103	99	1	0	56	9.286458333333334
n102	98	1	0	63	9.190104166666666
n100	100	1	0	72	9.186197916666666
n105	102	1	0	56	9.529947916666668
n107	deletion
n104	101	1	0	63	9.429687500000002
n106	104	1	0	63	9.660156250000002
n101	103	1	0	80	9.645833333333336
n111	107	1	0	60	10.078125
insertion	111	1	0	60	10.445312500000002
n110	106	1	0	61	9.92578125
n108	108	1	0	70	9.8984375
n112	110	1	0	58	10.205729166666668
n113	115	1	0	60	10.859375
n115	114	1	0	58	10.74609375
n114	deletion
n109	109	1	0	79	10.130208333333334
n119	118	1	0	58	11.217447916666668
n118	116	1	0	60	11.08984375
n116	117	1	0	68	11.088541666666666
