onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0143229,0.092447914,77,59,1,0,0,1.010416,0.0
1.1132812,0.084635414,73,63,1,0,1,1.010416,0.0
1.2473959,0.123697914,68,53,1,0,2,1.010416,0.0
1.3671875,0.091145836,73,63,1,0,3,1.247396,1.0
1.0065104,0.4674479,49,42,1,0,4,-10.0,-10.0
1.4674479,0.040364582,61,42,1,0,5,1.247396,1.0
1.4791666,0.083333336,77,67,1,0,6,1.473307,2.0
1.5651041,0.106770836,73,53,1,0,7,1.473307,2.0
1.6875,0.106770836,78,64,1,0,8,1.473307,2.0
1.8203125,0.069010414,73,65,1,0,9,1.688802,3.0
1.6901041,0.3138021,51,53,1,0,10,1.688802,3.0
1.9192709,0.08984375,78,72,1,0,11,1.688802,3.0
2.0364583,0.069010414,73,64,1,0,12,1.919271,4.0
2.1497395,0.046875,61,55,1,0,13,2.135417,5.0
2.1210938,0.096354164,78,75,1,0,14,1.919271,4.0
2.2460938,0.092447914,73,68,1,0,15,2.135417,5.0
2.358073,0.106770836,80,78,1,0,16,2.135417,5.0
2.4752605,0.0859375,73,65,1,0,17,2.364584,6.0
2.3710938,0.2734375,53,57,1,0,18,2.364584,6.0
2.578125,0.108072914,80,86,1,0,19,2.578125,7.0
2.7057292,0.055989582,73,66,1,0,20,2.578125,7.0
2.8085938,0.052083332,61,56,1,0,21,2.798828,8.0
2.7890625,0.108072914,80,83,1,0,22,2.578125,7.0
2.890625,0.11328125,73,73,1,0,23,2.798828,8.0
3.0208333,0.115885414,82,80,1,0,24,2.798828,8.0
3.140625,0.0859375,73,70,1,0,25,3.023438,9.0
3.0260417,0.27734375,54,61,1,0,26,3.023438,9.0
3.2278645,0.12760417,82,82,1,0,27,3.023438,9.0
3.3671875,0.08203125,73,72,1,0,28,3.227865,10.0
3.4947917,0.05859375,61,50,1,0,29,3.481771,11.0
3.46875,0.12109375,82,81,1,0,30,3.227865,10.0
3.5898438,0.100260414,73,66,1,0,31,3.481771,11.0
3.7161458,0.088541664,80,70,1,0,32,3.714844,12.0
3.813802,0.102864586,73,62,1,0,33,3.714844,12.0
3.7135417,0.2565104,53,66,1,0,34,3.481771,11.0
3.936198,0.088541664,80,70,1,0,35,3.936198,13.0
4.0377603,0.072916664,73,62,1,0,36,3.936198,13.0
4.15625,0.0546875,80,62,1,0,37,3.936198,13.0
4.1666665,0.055989582,61,49,1,0,38,4.161459,14.0
4.2604165,0.14713542,73,61,1,0,39,4.161459,14.0
4.4140625,0.118489586,78,61,1,0,40,4.410156,15.0
4.5208335,0.102864586,77,66,1,0,41,4.410156,15.0
4.40625,0.234375,51,57,1,0,42,4.161459,14.0
4.6367188,0.095052086,75,73,1,0,43,4.410156,15.0
4.7382812,0.114583336,77,72,1,0,44,4.636719,16.0
4.8632812,0.059895832,60,49,1,0,45,4.855468,17.0
