xml_id	midi_id	track	channel	pitch	onset
n7	2	1	0	49	0.9830729166666666
n3	3	1	0	68	1.2239583333333333
n2	1	1	0	73	1.109375
n4	4	1	0	73	1.3111979166666665
n1	0	1	0	77	0.9765625
n8	5	1	0	61	1.4557291666666663
n6	7	1	0	73	1.548177083333333
n5	6	1	0	77	1.446614583333333
n15	9	1	0	51	1.6679687499999998
n10	10	1	0	73	1.778645833333333
n9	8	1	0	78	1.669270833333333
n12	12	1	0	73	1.985677083333333
n11	11	1	0	78	1.8815104166666663
n16	13	1	0	61	2.102864583333333
n14	15	1	0	73	2.200520833333333
n13	14	1	0	78	2.095052083333333
n23	18	1	0	53	2.31640625
n18	17	1	0	73	2.4231770833333335
n17	16	1	0	80	2.30078125
n20	20	1	0	73	2.6158854166666665
n19	19	1	0	80	2.5234375
n24	21	1	0	61	2.7578125
n22	23	1	0	73	2.8320312500000004
n21	22	1	0	80	2.7291666666666665
n31	26	1	0	54	2.9609375000000004
n26	25	1	0	73	3.0572916666666674
n25	24	1	0	82	2.9453125000000004
n28	28	1	0	73	3.2734375000000013
n27	27	1	0	82	3.164062500000001
n32	29	1	0	61	3.4179687500000013
n30	31	1	0	73	3.4947916666666683
n29	30	1	0	82	3.3789062500000013
n39	34	1	0	53	3.6158854166666683
n34	33	1	0	73	3.7148437500000018
n33	32	1	0	80	3.610677083333335
n36	36	1	0	73	3.9335937500000018
n35	35	1	0	80	3.8320312500000018
n40	37	1	0	61	4.061197916666669
n38	39	1	0	73	4.153645833333336
n37	38	1	0	80	4.054687500000002
n47	41	1	0	51	4.27213541666667
n42	42	1	0	77	4.372395833333337
n41	40	1	0	78	4.26041666666667
n43	43	1	0	75	4.49088541666667
n44	44	1	0	77	4.587239583333337
n48	45	1	0	60	4.7252604166666705
n46	47	1	0	75	4.811197916666671
n45	46	1	0	78	4.7031250000000036
n55	49	1	0	49	4.924479166666671
n50	50	1	0	75	5.041666666666671
n49	48	1	0	77	4.917968750000004
n51	51	1	0	73	5.141927083333338
n52	52	1	0	75	5.248697916666671
n56	56	1	0	61	5.380208333333338
n54	54	1	0	73	5.498697916666672
n53	53	1	0	77	5.373697916666671
n57	55	1	0	75	5.610677083333339
n58	57	1	0	77	5.712239583333339
n65	61	1	0	58	5.958333333333339
n64	59	1	0	60	5.846354166666672
n60	60	1	0	73	5.928385416666672
n59	58	1	0	75	5.821614583333339
n66	63	1	0	56	6.057291666666672
n67	64	1	0	58	6.164062500000005
n62	65	1	0	70	6.136718750000005
n61	62	1	0	72	6.035156250000006
n71	67	1	0	56	6.364583333333338
n70	66	1	0	60	6.266927083333338
n68	68	1	0	68	6.257812500000005
n72	69	1	0	51	6.484375000000005
n73	70	1	0	56	6.575520833333339
n75	73	1	0	56	6.792968750000007
n74	72	1	0	60	6.697916666666673
n69	71	1	0	80	6.687500000000006
n79	75	1	0	56	7.023437500000008
n78	74	1	0	61	6.912760416666674
n76	76	1	0	70	6.902343750000007
n81	78	1	0	56	7.231770833333342
n80	77	1	0	61	7.136718750000008
n83	81	1	0	56	7.450520833333343
n82	80	1	0	61	7.346354166666676
n77	79	1	0	80	7.352864583333343
n87	83	1	0	56	7.686197916666677
n86	82	1	0	63	7.57421875000001
n84	84	1	0	72	7.584635416666677
n89	86	1	0	56	7.901041666666677
n88	85	1	0	63	7.798177083333343
n91	89	1	0	56	8.114583333333343
n90	88	1	0	63	8.01562500000001
n85	87	1	0	80	8.01562500000001
n95	91	1	0	56	8.361979166666677
n94	90	1	0	65	8.24609375000001
n92	92	1	0	73	8.240885416666677
n97	94	1	0	56	8.578125000000009
n96	93	1	0	65	8.476562500000009
n99	97	1	0	56	8.782552083333341
n98	96	1	0	65	8.679687500000009
n93	95	1	0	80	8.705729166666675
n103	99	1	0	56	9.005208333333341
n102	98	1	0	63	8.903645833333341
n100	100	1	0	72	8.917968750000007
n105	102	1	0	56	9.223958333333343
n104	101	1	0	63	9.121093750000009
n107	105	1	0	56	9.434895833333343
n106	104	1	0	63	9.338541666666677
n101	103	1	0	80	9.33593750000001
n111	107	1	0	60	9.677083333333343
n110	106	1	0	61	9.559895833333343
n108	108	1	0	70	9.572916666666677
n112	109	1	0	58	9.782552083333343
n113	110	1	0	60	9.888020833333343
n115	113	1	0	58	10.104166666666677
n114	112	1	0	61	9.986979166666677
n109	111	1	0	79	9.990885416666677
n119	115	1	0	58	10.334635416666677
n118	114	1	0	60	10.22656250000001
n116	116	1	0	68	10.21484375000001
n120	117	1	0	56	10.450520833333345
n121	118	1	0	58	10.571614583333345
n123	120	1	0	56	10.778645833333345
n122	119	1	0	60	10.673177083333345
n117	123	1	0	80	10.66796875000001
n129	121	1	0	58	10.897135416666679
n130	122	1	0	59	11.018229166666679
n132	127	1	0	56	11.244791666666682
n131	124	1	0	58	11.15494791666668
n126	126	1	0	77	11.240885416666682
n125	125	1	0	78	11.130208333333346
n134	131	1	0	53	11.468750000000014
n133	128	1	0	54	11.36588541666668
n127	129	1	0	75	11.35416666666668
n128	130	1	0	77	11.45963541666668
n141	134	1	0	51	11.602864583333348
n136	133	1	0	75	11.714843750000014
n135	132	1	0	78	11.593750000000014
n137	135	1	0	70	11.821614583333348
n138	136	1	0	75	11.945312500000016
n142	137	1	0	63	12.045572916666684
n140	139	1	0	75	12.148437500000018
n139	138	1	0	78	12.04036458333335
n149	141	1	0	53	12.264322916666686
n144	142	1	0	75	12.364583333333352
n143	140	1	0	80	12.252604166666686
n146	144	1	0	75	12.602864583333353
n145	143	1	0	80	12.49609375000002
n150	145	1	0	63	12.718750000000021
n148	147	1	0	75	12.817708333333355
n147	146	1	0	80	12.697916666666687
n157	150	1	0	54	12.93229166666669
n152	149	1	0	75	13.03776041666669
n151	148	1	0	82	12.923177083333355
n154	152	1	0	75	13.250000000000021
n153	151	1	0	82	13.148437500000021
n158	153	1	0	63	13.369791666666687
n156	155	1	0	75	13.471354166666687
n155	154	1	0	82	13.358072916666687
n165	158	1	0	56	13.585937500000021
n160	157	1	0	75	13.688802083333355
n159	156	1	0	83	13.584635416666687
n162	160	1	0	75	13.901041666666691
n161	159	1	0	83	13.800781250000023
n166	162	1	0	63	14.040364583333359
n164	163	1	0	75	14.115885416666691
n163	161	1	0	83	14.024739583333359
n173	165	1	0	54	14.257812500000025
n168	166	1	0	75	14.347656250000025
n167	164	1	0	82	14.238281250000025
n170	168	1	0	75	14.58072916666669
n169	167	1	0	82	14.464843750000023
n174	169	1	0	63	14.683593750000021
n172	171	1	0	75	14.78385416666669
n171	170	1	0	82	14.688802083333355
n181	173	1	0	53	14.921875000000023
n176	174	1	0	78	15.009114583333357
n175	172	1	0	80	14.891927083333357
n177	175	1	0	77	15.106770833333355
n178	176	1	0	78	15.230468750000021
n182	177	1	0	62	15.348958333333355
n180	179	1	0	77	15.447916666666687
n179	178	1	0	80	15.332031250000021
n189	181	1	0	51	15.571614583333353
n184	182	1	0	77	15.684895833333353
n183	180	1	0	78	15.57421875000002
n185	183	1	0	75	15.791666666666686
n186	184	1	0	77	15.895833333333352
n190	188	1	0	63	16.026041666666686
n188	186	1	0	75	16.12239583333335
n187	185	1	0	78	16.015625000000018
n191	187	1	0	77	16.250000000000018
n192	189	1	0	78	16.34895833333335
n199	192	1	0	60	16.592447916666682
n198	190	1	0	61	16.463541666666682
n194	193	1	0	75	16.57942708333335
n193	191	1	0	77	16.47786458333335
n200	194	1	0	58	16.691406250000014
n201	196	1	0	60	16.805989583333346
n196	197	1	0	72	16.790364583333346
n195	195	1	0	73	16.678385416666682
n205	199	1	0	58	17.00651041666668
