xml_id	midi_id	track	channel	pitch	onset
n7	4	1	0	49	1.0250000000000001
n3	2	1	0	68	1.215625
n2	1	1	0	73	1.1010416666666667
n4	3	1	0	73	1.3322916666666667
n1	0	1	0	77	1.00625
n8	5	1	0	61	1.4197916666666663
n6	7	1	0	73	1.5291666666666661
n5	6	1	0	77	1.4156249999999997
n15	12	1	0	51	1.6406249999999996
n10	9	1	0	73	1.741666666666666
n9	8	1	0	78	1.6385416666666661
n12	11	1	0	73	1.9624999999999995
n11	10	1	0	78	1.863541666666666
n16	13	1	0	61	2.0843749999999996
n14	15	1	0	73	2.2072916666666664
n13	14	1	0	78	2.0697916666666663
n23	20	1	0	53	2.3166666666666664
n18	17	1	0	73	2.4343749999999997
n17	16	1	0	80	2.3166666666666664
n20	19	1	0	73	2.658333333333333
n19	18	1	0	80	2.542708333333333
n24	21	1	0	61	2.765625
n22	23	1	0	73	2.8760416666666666
n21	22	1	0	80	2.7604166666666665
n31	27	1	0	54	2.9937500000000004
n26	25	1	0	73	3.1281250000000007
n25	24	1	0	82	2.9979166666666672
n28	28	1	0	73	3.375000000000001
n27	26	1	0	82	3.2375000000000007
n32	29	1	0	61	3.4541666666666675
n30	31	1	0	73	3.611458333333334
n29	30	1	0	82	3.4677083333333343
n39	36	1	0	53	3.683333333333334
n34	33	1	0	73	3.8197916666666676
n33	32	1	0	80	3.698958333333334
n36	35	1	0	73	4.0479166666666675
n35	34	1	0	80	3.9197916666666672
n40	37	1	0	61	4.1468750000000005
n38	39	1	0	73	4.261458333333333
n37	38	1	0	80	4.152083333333334
n47	43	1	0	51	4.387499999999999
n42	41	1	0	77	4.4781249999999995
n41	40	1	0	78	4.387499999999999
n43	42	1	0	75	4.582291666666666
n44	44	1	0	77	4.6812499999999995
n48	45	1	0	60	4.807291666666666
n46	47	1	0	75	4.893749999999999
n45	46	1	0	78	4.7958333333333325
n55	48	1	0	49	5.026041666666665
n50	50	1	0	75	5.135416666666664
n49	49	1	0	77	5.021874999999999
n51	51	1	0	73	5.2312499999999975
n52	52	1	0	75	5.332291666666664
n56	56	1	0	61	5.459374999999998
n54	54	1	0	73	5.547916666666663
n53	53	1	0	77	5.451041666666664
n57	55	1	0	75	5.68020833333333
n58	57	1	0	77	5.78020833333333
n65	61	1	0	58	6.0156249999999964
n64	58	1	0	60	5.9083333333333306
n60	60	1	0	73	5.997916666666663
n59	59	1	0	75	5.896874999999997
n66	63	1	0	56	6.126041666666662
n67	64	1	0	58	6.235416666666662
n62	65	1	0	70	6.205208333333329
n61	62	1	0	72	6.106249999999996
n71	67	1	0	56	6.463541666666662
n70	66	1	0	60	6.356249999999995
n68	70	1	0	68	6.329166666666661
n72	68	1	0	51	6.556249999999995
n73	69	1	0	56	6.653124999999995
n75	73	1	0	56	6.889583333333327
n74	72	1	0	60	6.787499999999994
n69	71	1	0	80	6.783333333333328
n79	75	1	0	56	7.141666666666661
n78	74	1	0	61	7.033333333333328
n76	78	1	0	70	7.0239583333333275
n81	77	1	0	56	7.367708333333328
n80	76	1	0	61	7.262499999999995
n83	81	1	0	56	7.587499999999995
n82	80	1	0	61	7.474999999999995
n77	79	1	0	80	7.479166666666662
n87	83	1	0	56	7.826041666666662
n86	82	1	0	63	7.707291666666662
n84	86	1	0	72	7.702083333333329
n89	85	1	0	56	8.053124999999998
n88	84	1	0	63	7.93645833333333
n91	89	1	0	56	8.261458333333332
n90	87	1	0	63	8.154166666666665
n85	88	1	0	80	8.148958333333331
n95	91	1	0	56	8.50208333333333
n94	90	1	0	65	8.379166666666665
n92	93	1	0	73	8.392708333333331
n97	94	1	0	56	8.721874999999995
