idx,matchtype,partid,ppartid
0,0,n25,0
1,0,n26,3
2,0,n28,9
3,0,n27,6
4,0,n7,10
5,0,n4,5
6,0,n3,4
7,0,n5,7
8,0,n8,11
9,0,n2,2
10,0,n6,8
11,0,n1,1
12,0,n29,12
13,0,n30,15
14,0,n31,18
15,0,n14,20
16,0,n9,13
17,0,n12,17
18,0,n11,16
19,0,n13,19
20,0,n10,14
21,0,n34,30
22,0,n33,24
23,0,n32,21
24,0,n19,27
25,0,n16,23
26,0,n15,22
27,0,n17,25
28,0,n20,28
29,0,n18,26
30,0,n60,34
31,0,n37,36
32,0,n21,29
33,0,n24,33
34,0,n23,32
35,0,n36,35
36,0,n22,31
37,0,n61,37
38,0,n63,43
39,0,n62,40
40,0,n42,44
41,0,n39,39
42,0,n38,38
43,0,n40,41
44,0,n43,45
45,0,n41,42
46,0,n65,49
47,0,n64,46
48,0,n66,52
49,0,n44,47
50,0,n47,51
51,0,n49,54
52,0,n46,50
53,0,n48,53
54,0,n45,48
55,0,n69,64
56,0,n68,58
57,0,n67,55
58,0,n54,61
59,0,n51,57
60,0,n55,62
61,0,n50,56
62,0,n52,59
63,0,n53,60
64,0,n109,72
65,0,n108,69
66,0,n56,63
67,0,n59,67
68,0,n58,66
69,0,n57,65
70,0,n84,68
71,0,n85,70
72,1,n71,undefined
73,0,n87,73
74,0,n86,71
75,0,n114,86
76,0,n111,77
77,0,n110,74
78,0,n112,79
79,0,n115,88
80,0,n113,83
81,0,n91,76
82,0,n93,80
83,0,n95,82
84,0,n97,85
85,0,n99,89
86,1,n89,undefined
87,0,n88,75
88,0,n92,78
89,0,n94,81
90,0,n96,84
91,0,n98,87
92,1,n90,undefined
93,0,n116,91
94,0,n119,97
95,0,n121,100
96,0,n118,96
97,0,n122,102
98,1,n120,undefined
99,1,n124,undefined
100,0,n117,94
101,0,n123,104
102,0,n73,103
103,0,n106,98
104,0,n101,92
105,0,n103,95
106,0,n107,99
107,1,n105,undefined
108,0,n100,90
109,0,n102,93
110,0,n72,101
111,1,n104,undefined
112,0,n126,105
113,0,n128,109
114,0,n130,112
115,0,n134,115
116,0,n136,120
117,1,n132,undefined
118,0,n127,107
119,0,n129,111
120,1,n131,undefined
121,0,n133,114
122,0,n135,117
123,1,n125,undefined
124,0,n78,116
125,0,n75,108
126,0,n74,106
127,0,n76,110
128,0,n79,118
129,0,n77,113
130,0,n143,123
131,0,n142,126
132,0,n183,131
133,0,n187,142
134,0,n190,149
135,1,n144,undefined
136,1,n138,undefined
137,1,n140,undefined
138,0,n137,122
139,1,n139,undefined
140,1,n141,undefined
141,0,n182,128
142,0,n80,119
143,0,n83,125
144,0,n82,124
145,0,n81,121
146,0,n160,130
147,0,n159,129
148,0,n161,132
149,1,n145,undefined
150,0,n158,127
151,0,n188,145
152,0,n185,136
153,0,n184,134
154,0,n186,139
155,0,n189,148
156,0,n163,135
157,0,n165,138
158,0,n169,141
159,0,n171,144
160,0,n173,147
161,1,n167,undefined
162,0,n162,133
163,0,n164,137
164,0,n168,140
165,0,n170,143
166,0,n172,146
167,1,n166,undefined
168,0,n193,155
169,0,n195,158
170,0,n192,154
171,0,n196,160
172,1,n194,undefined
173,1,n198,undefined
174,0,n191,152
175,0,n197,162
176,0,n147,161
177,0,n180,156
178,0,n175,150
179,0,n177,153
180,0,n181,157
181,1,n179,undefined
182,0,n174,151
183,0,n146,159
184,1,n176,undefined
185,1,n178,undefined
186,0,n200,163
187,0,n202,167
188,0,n204,170
189,0,n208,174
190,0,n210,177
191,1,n206,undefined
192,0,n201,165
193,0,n203,169
194,1,n205,undefined
195,0,n207,172
196,0,n209,175
197,1,n199,undefined
198,0,n152,173
199,0,n149,166
200,0,n148,164
201,0,n150,168
202,0,n153,176
203,0,n151,171
204,0,n217,184
205,0,n214,180
206,0,n216,186
207,1,n218,undefined
208,1,n212,undefined
209,0,n211,179
210,0,n215,182
211,0,n243,187
212,1,n213,undefined
213,0,n220,189
214,0,n154,178
215,0,n157,185
216,0,n156,183
217,0,n219,188
218,0,n155,181
219,0,n246,196
220,0,n245,193
221,0,n244,190
222,0,n225,197
223,0,n222,192
224,0,n221,191
225,0,n223,194
226,0,n226,198
227,0,n224,195
228,0,n247,199
229,0,n248,201
230,0,n249,205
231,0,n232,207
232,0,n227,200
233,0,n230,204
234,0,n229,203
235,0,n231,206
236,0,n228,202
237,0,n252,214
238,0,n251,211
239,0,n250,208
240,0,n237,215
241,0,n234,210
242,0,n233,209
243,0,n235,212
244,0,n238,216
245,0,n236,213
246,0,n253,217
247,0,n254,220
248,0,n273,223
249,0,n256,225
250,0,n239,218
251,0,n242,222
252,0,n241,221
253,0,n255,224
254,0,n240,219
255,0,n276,232
256,0,n275,229
257,0,n274,226
258,0,n261,233
259,0,n258,228
260,0,n257,227
261,0,n259,230
262,0,n262,234
263,0,n260,231
264,0,n277,235
265,0,n280,243
266,0,n278,238
267,0,n279,242
268,0,n263,236
269,0,n266,240
270,0,n265,239
271,0,n267,241
272,0,n264,237
273,0,n285,251
274,0,n282,246
275,0,n281,245
276,0,n283,248
277,0,n286,252
278,0,n284,249
279,0,n268,244
280,0,n270,250
281,0,n269,247
282,0,n287,254
283,0,n290,258
284,0,n289,257
285,0,n304,261
286,0,n288,255
287,0,n303,260
288,0,n272,256
289,0,n271,253
290,0,n291,259
291,0,n309,269
292,0,n306,264
293,0,n305,263
294,0,n307,266
295,0,n310,270
296,0,n308,267
297,0,n292,262
298,0,n294,268
299,0,n293,265
300,0,n311,272
301,0,n316,279
302,0,n314,276
303,0,n313,275
304,0,n315,278
305,0,n312,273
306,0,n296,274
307,0,n295,271
308,0,n297,277
309,0,n321,287
310,0,n318,282
311,0,n319,284
312,0,n322,288
313,1,n317,undefined
314,0,n320,285
315,0,n298,280
316,0,n300,286
317,0,n299,283
318,0,n323,290
319,0,n326,295
320,0,n325,294
321,0,n351,296
322,0,n324,291
323,0,n302,292
324,0,n301,289
325,0,n328,298
326,0,n327,297
327,0,n352,299
328,0,n354,305
329,0,n353,302
330,0,n333,306
331,0,n330,301
332,0,n329,300
333,0,n331,303
334,0,n334,307
335,0,n332,304
336,0,n357,314
337,0,n355,308
338,0,n356,311
339,0,n335,309
340,0,n338,313
341,0,n337,312
342,0,n336,310
343,0,n340,316
344,0,n339,315
345,0,n358,317
346,0,n359,320
347,0,n360,326
348,0,n345,323
349,0,n342,319
350,0,n341,318
351,0,n343,321
352,0,n346,324
353,0,n344,322
354,0,n400,334
355,0,n399,332
356,0,n347,325
357,0,n350,329
358,0,n349,328
359,0,n348,327
360,0,n377,333
361,0,n376,331
362,0,n378,335
363,1,n362,undefined
364,0,n375,330
365,0,n405,348
366,0,n402,340
367,0,n401,336
368,0,n403,342
369,0,n406,351
370,0,n404,345
371,0,n380,338
372,0,n382,341
373,0,n386,344
374,0,n388,347
375,0,n390,350
376,1,n384,undefined
377,0,n379,337
378,0,n383,339
379,0,n385,343
380,0,n387,346
381,0,n389,349
382,1,n381,undefined
383,0,n407,352
384,0,n410,358
385,0,n412,361
386,0,n409,356
387,0,n413,363
388,1,n411,undefined
389,1,n415,undefined
390,0,n408,354
391,0,n414,364
392,0,n364,365
393,0,n397,359
394,0,n392,353
395,0,n394,357
396,1,n396,undefined
397,0,n398,360
398,0,n391,355
399,0,n363,362
400,1,n393,undefined
401,1,n395,undefined
402,0,n417,366
403,0,n419,369
404,0,n421,373
405,0,n425,376
406,0,n427,379
407,1,n423,undefined
408,0,n418,368
409,0,n420,371
410,0,n424,375
411,0,n426,378
412,1,n416,undefined
413,1,n422,undefined
414,0,n369,377
415,0,n366,370
416,0,n365,367
417,0,n367,372
418,0,n370,380
419,0,n368,374
420,0,n474,394
421,0,n434,386
422,0,n473,391
423,0,n429,383
424,0,n433,389
425,1,n431,undefined
426,1,n435,undefined
427,0,n428,381
428,0,n430,385
429,1,n432,undefined
430,0,n371,382
431,0,n374,388
432,0,n449,390
433,0,n373,387
434,0,n450,392
435,0,n452,395
436,1,n436,undefined
437,0,n372,384
438,0,n451,393
439,0,n479,408
440,0,n476,400
441,0,n475,397
442,0,n477,402
443,0,n480,411
444,0,n478,405
445,0,n454,398
446,0,n458,401
447,0,n460,404
448,0,n462,407
449,0,n464,410
450,1,n456,undefined
451,0,n453,396
452,0,n455,399
453,0,n459,403
454,0,n461,406
455,0,n463,409
456,0,n465,412
457,1,n457,undefined
458,0,n481,414
459,0,n484,419
460,0,n486,422
461,0,n483,418
462,1,n485,undefined
463,0,n487,424
464,1,n489,undefined
465,0,n482,416
466,0,n488,426
467,0,n438,425
468,0,n471,420
469,0,n466,413
470,0,n468,417
471,0,n472,421
472,1,n470,undefined
473,0,n467,415
474,0,n437,423
475,1,n469,undefined
476,0,n491,427
477,0,n493,430
478,0,n495,434
479,0,n499,437
480,0,n501,440
481,1,n497,undefined
482,0,n492,429
483,0,n494,432
484,1,n496,undefined
485,0,n498,436
486,0,n500,439
487,1,n490,undefined
488,0,n443,438
489,0,n440,431
490,0,n439,428
491,0,n441,433
492,0,n444,441
493,0,n442,435
494,0,n508,448
495,0,n503,444
496,0,n509,450
497,1,n505,undefined
498,1,n507,undefined
499,0,n502,442
500,0,n506,446
501,0,n534,451
502,1,n504,undefined
503,0,n511,453
504,0,n445,443
505,0,n448,449
506,0,n447,447
507,0,n510,452
508,0,n446,445
509,0,n537,460
510,0,n536,457
511,0,n535,454
512,0,n516,461
513,0,n513,456
514,0,n512,455
515,0,n514,458
516,0,n517,462
517,0,n515,459
518,0,n538,463
519,0,n539,466
520,0,n540,469
521,0,n523,471
522,0,n518,464
523,0,n521,468
524,0,n520,467
525,0,n522,470
526,0,n519,465
527,0,n543,478
528,0,n542,475
529,0,n541,472
530,0,n528,479
531,0,n525,474
532,0,n524,473
533,0,n526,476
534,0,n529,480
535,0,n527,477
536,0,n544,481
537,0,n545,484
538,0,n583,487
539,0,n547,489
540,0,n530,482
541,0,n533,486
542,0,n532,485
543,0,n546,488
544,0,n531,483
545,0,n586,496
546,0,n585,493
547,0,n584,490
548,0,n552,497
549,0,n549,492
550,0,n548,491
551,0,n550,494
552,0,n553,498
553,0,n551,495
554,0,n587,499
555,0,n590,509
556,0,n588,502
557,0,n589,506
558,0,n554,500
559,0,n557,504
560,0,n559,505
561,0,n556,503
562,0,n560,507
563,0,n562,510
564,1,n558,undefined
565,0,n555,501
566,0,n561,508
567,0,n595,523
568,0,n592,514
569,0,n591,511
570,0,n593,517
571,0,n596,525
572,0,n594,519
573,0,n564,513
574,0,n568,516
575,0,n570,520
576,0,n572,522
577,0,n574,526
578,1,n566,undefined
579,0,n563,512
580,0,n567,515
581,0,n569,518
582,0,n571,521
583,0,n573,524
584,1,n565,undefined
585,0,n654,540
586,0,n653,537
587,0,n597,528
588,0,n600,534
589,0,n599,533
590,0,n598,530
591,0,n651,560
592,0,n576,529
593,0,n580,532
594,0,n604,536
595,0,n606,539
596,1,n578,undefined
597,1,n582,undefined
598,0,n575,527
599,0,n579,531
600,0,n581,535
601,0,n605,538
602,1,n577,undefined
603,1,n603,undefined
604,0,n659,553
605,0,n656,545
606,0,n655,542
607,0,n657,547
608,0,n658,550
609,0,n660,554
610,0,n608,543
611,0,n610,546
612,0,n612,549
613,0,n616,552
614,0,n618,555
615,1,n614,undefined
616,0,n607,541
617,0,n609,544
618,0,n613,548
619,0,n615,551
620,0,n617,557
621,1,n611,undefined
622,0,n661,556
623,0,n664,564
624,0,n666,569
625,0,n663,562
626,0,n662,559
627,0,n665,566
628,0,n652,565
629,0,n630,568
630,1,n628,undefined
631,0,n627,567
632,0,n631,570
633,1,n629,undefined
634,0,n602,596
635,0,n620,558
636,0,n624,563
637,1,n622,undefined
638,1,n626,undefined
639,1,n619,undefined
640,1,n621,undefined
641,1,n623,undefined
642,1,n625,undefined
643,0,n671,583
644,0,n668,574
645,0,n667,571
646,0,n669,576
647,0,n670,579
648,0,n672,585
649,0,n632,572
650,0,n634,575
651,0,n636,578
652,0,n638,581
653,0,n642,584
654,1,n640,undefined
655,0,n633,573
656,0,n635,577
657,0,n637,580
658,0,n639,582
659,0,n643,586
660,1,n641,undefined
661,0,n673,588
662,0,n676,595
663,0,n675,594
664,0,n674,591
665,0,n705,599
666,0,n704,600
667,1,n702,undefined
668,1,n706,undefined
669,0,n707,602
670,1,n703,undefined
671,0,n701,601
672,0,n644,587
673,0,n646,590
674,0,n648,593
675,0,n650,598
676,0,n645,589
677,0,n647,592
678,1,n649,undefined
679,0,n678,603
680,0,n708,604
681,0,n710,608
682,0,n714,612
683,0,n718,615
684,1,n712,undefined
685,1,n716,undefined
686,0,n709,606
687,0,n713,610
688,0,n717,614
689,1,n711,undefined
690,1,n715,undefined
691,0,n683,613
692,0,n680,607
693,0,n679,605
694,0,n681,609
695,0,n684,616
696,0,n682,611
697,0,n720,619
698,0,n724,623
699,0,n728,626
700,0,n730,629
701,1,n722,undefined
702,1,n726,undefined
703,0,n719,617
704,0,n723,621
705,0,n725,625
706,0,n729,628
707,1,n721,undefined
708,1,n727,undefined
709,0,n689,627
710,0,n685,618
711,0,n688,624
712,0,n687,622
713,0,n686,620
714,0,n690,630
715,0,n734,633
716,0,n736,637
717,0,n740,640
718,0,n742,643
719,1,n732,undefined
720,1,n738,undefined
721,0,n731,632
722,0,n735,635
723,0,n737,638
724,0,n741,642
725,1,n733,undefined
726,1,n739,undefined
727,0,n695,641
728,0,n692,634
729,0,n691,631
730,0,n693,636
731,0,n696,644
732,0,n694,639
733,0,n744,647
734,0,n748,650
735,0,n750,654
736,0,n785,657
737,1,n746,undefined
738,1,n783,undefined
739,0,n743,646
740,0,n747,649
741,0,n749,652
742,0,n784,656
743,1,n745,undefined
744,1,n782,undefined
745,0,n697,645
746,0,n700,653
747,0,n699,651
748,0,n751,655
749,0,n698,648
750,0,n752,658
751,0,n787,661
752,0,n791,664
753,0,n793,668
754,0,n797,671
755,1,n789,undefined
756,1,n795,undefined
757,0,n786,659
758,0,n790,663
759,0,n792,666
760,0,n794,670
761,0,n798,673
762,1,n796,undefined
763,1,n788,undefined
764,0,n757,669
765,0,n754,662
766,0,n753,660
767,0,n755,665
768,0,n758,672
769,0,n756,667
770,0,n776,683
771,0,n799,675
772,0,n803,678
773,0,n805,681
774,1,n801,undefined
775,0,n800,676
776,1,n802,undefined
777,1,n804,undefined
778,0,n759,674
779,0,n762,682
780,0,n761,679
781,0,n764,685
782,0,n760,677
783,0,n763,684
784,0,n779,692
785,0,n778,689
786,0,n777,686
787,0,n769,693
788,0,n766,688
789,0,n765,687
790,0,n767,690
791,0,n770,694
792,0,n768,691
793,0,n780,695
794,0,n781,697
795,0,n830,701
796,0,n807,703
797,0,n771,696
798,0,n774,700
799,0,n773,699
800,0,n806,702
801,0,n772,698
