idx,matchtype,partid,ppartid
0,0,n25,23
1,0,n21,3
2,0,n22,7
3,0,n1,0
4,1,n14,undefined
5,0,n5,6
6,1,n15,undefined
7,0,n2,4
8,0,n3,2
9,0,n7,8
10,0,n4,1
11,0,n6,5
12,0,n8,9
13,0,n23,14
14,0,n9,13
15,1,n16,undefined
16,0,n10,12
17,0,n12,11
18,0,n11,10
19,0,n24,19
20,0,n20,18
21,0,n19,16
22,0,n18,15
23,0,n13,17
24,1,n17,undefined
25,0,n55,22
26,0,n38,20
27,0,n37,24
28,0,n39,25
29,0,n26,21
30,1,n36,undefined
31,0,n56,29
32,0,n40,26
33,0,n30,30
34,0,n29,27
35,0,n28,28
36,0,n57,32
37,1,n66,undefined
38,0,n58,38
39,0,n59,35
40,0,n41,31
41,0,n60,36
42,0,n31,34
43,0,n32,33
44,0,n61,53
45,1,n67,undefined
46,0,n63,48
47,0,n62,44
48,0,n64,52
49,0,n34,50
50,0,n44,39
51,0,n48,41
52,1,n46,undefined
53,0,n50,43
54,0,n52,46
55,0,n54,49
56,0,n35,51
57,1,n33,undefined
58,0,n43,37
59,0,n45,40
60,0,n49,42
61,1,n47,undefined
62,0,n51,45
63,0,n53,47
64,0,n95,58
65,1,n105,undefined
66,0,n79,55
67,0,n80,57
68,0,n78,56
69,0,n68,54
70,1,n77,undefined
71,0,n96,63
72,0,n81,61
73,0,n70,59
74,0,n71,62
75,0,n69,60
76,0,n97,66
77,1,n106,undefined
78,0,n98,68
79,0,n99,72
80,0,n82,64
81,0,n100,70
82,0,n72,65
83,0,n73,67
84,0,n101,85
85,1,n107,undefined
86,0,n103,83
87,0,n102,77
88,0,n104,86
89,0,n75,82
90,0,n84,71
91,0,n88,74
92,1,n86,undefined
93,0,n90,76
94,0,n92,79
95,0,n94,81
96,0,n76,84
97,1,n74,undefined
98,0,n83,69
99,0,n85,73
100,0,n89,75
101,0,n91,78
102,0,n93,80
103,0,n108,88
104,1,n87,undefined
105,0,n137,93
106,1,n149,undefined
107,0,n138,92
108,1,n121,undefined
109,0,n110,90
110,0,n109,87
111,0,n111,89
112,0,n140,97
113,0,n139,91
114,0,n122,94
115,0,n115,98
116,0,n114,96
117,0,n113,95
118,0,n141,100
119,1,n150,undefined
120,0,n142,102
121,0,n143,103
122,0,n144,105
123,0,n123,101
124,0,n116,99
125,0,n117,104
126,0,n145,120
127,1,n151,undefined
128,0,n147,115
129,0,n146,112
130,0,n148,122
131,0,n124,121
132,0,n119,118
133,0,n126,107
134,0,n128,109
135,0,n132,111
136,1,n130,undefined
137,0,n134,114
138,0,n136,116
139,0,n120,119
140,1,n118,undefined
141,0,n125,106
142,0,n127,108
143,0,n131,110
144,0,n133,113
145,0,n135,117
146,0,n152,129
147,1,n129,undefined
148,0,n170,124
149,1,n178,undefined
150,0,n171,126
151,0,n161,127
152,0,n160,123
153,0,n162,125
154,0,n180,133
155,0,n172,128
156,1,n179,undefined
157,0,n166,131
158,0,n165,130
159,0,n164,132
160,0,n173,135
161,0,n167,145
162,0,n155,136
163,0,n154,134
164,0,n156,137
165,0,n175,140
166,0,n176,142
167,0,n177,148
168,0,n157,138
169,0,n158,141
170,0,n169,143
171,0,n168,139
172,0,n198,150
173,0,n199,153
174,0,n189,149
175,0,n190,152
176,0,n191,151
177,0,n181,158
178,0,n211,156
179,0,n210,155
180,0,n200,154
181,0,n195,160
182,0,n194,159
183,0,n193,157
184,0,n202,161
185,1,n212,undefined
186,0,n203,163
187,0,n204,165
188,0,n205,166
189,0,n196,162
190,0,n183,164
191,0,n184,167
192,0,n206,170
193,1,n213,undefined
194,0,n208,174
195,0,n207,168
196,0,n209,173
197,0,n197,169
198,0,n186,172
199,0,n187,171
200,0,n232,176
201,1,n248,undefined
202,0,n233,179
203,0,n234,181
204,0,n235,180
205,0,n228,175
206,0,n215,177
207,0,n216,178
208,0,n236,184
209,1,n249,undefined
210,0,n238,187
211,0,n237,182
212,0,n239,188
213,0,n229,183
214,0,n218,186
215,0,n219,185
216,0,n240,189
217,1,n250,undefined
218,0,n241,191
219,0,n242,194
220,0,n243,192
221,0,n230,190
222,0,n223,196
223,0,n222,195
224,0,n221,193
225,0,n244,200
226,1,n251,undefined
227,0,n246,203
228,0,n245,199
229,0,n247,202
230,0,n225,198
231,0,n226,205
232,0,n224,197
233,0,n227,201
234,0,n268,215
235,1,n274,undefined
236,0,n271,214
237,0,n270,213
238,0,n269,211
239,0,n252,206
240,0,n264,208
241,0,n263,204
242,2,undefined,207
243,0,n276,221
244,0,n275,217
245,0,n272,225
246,0,n254,218
247,0,n255,219
248,0,n256,220
249,0,n278,226
250,0,n277,223
251,0,n258,224
252,0,n257,222
253,0,n259,227
254,0,n260,239
255,0,n279,236
256,0,n273,229
257,0,n281,231
258,0,n280,228
259,2,undefined,230
260,0,n267,237
261,0,n266,235
262,0,n262,242
263,0,n261,240
264,0,n301,244
265,0,n291,246
266,0,n283,243
267,0,n282,241
268,0,n284,245
269,0,n285,247
270,0,n305,253
271,0,n304,252
272,0,n303,249
273,0,n288,251
274,0,n286,248
275,0,n289,260
276,0,n287,250
277,0,n293,254
278,1,n306,undefined
279,0,n294,255
280,0,n295,256
281,0,n296,257
282,0,n290,262
283,0,n297,263
284,1,n307,undefined
285,0,n299,259
286,0,n298,258
287,0,n300,261
288,0,n344,267
289,0,n335,265
290,0,n309,264
291,0,n310,266
292,0,n311,268
293,0,n348,274
294,0,n347,273
295,0,n346,270
296,0,n314,272
297,0,n315,275
298,0,n312,269
299,0,n313,271
300,0,n336,282
301,1,n349,undefined
302,0,n337,285
303,0,n338,289
304,0,n339,286
305,0,n316,276
306,0,n322,278
307,0,n321,277
308,2,undefined,279
