onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,0.25,0.0,0.25,0,4,65,1,n1,0.0,1.089844
0.0,1.0,0.0,1.0,0,16,65,2,n14,0.0,1.089844
0.0,1.0,0.0,1.0,0,16,56,5,n21,0.0,1.089844
0.0,6.0,0.0,6.0,0,96,53,6,n25,0.0,1.089844
0.25,0.25,0.25,0.25,4,4,68,1,n2,0.0,1.089844
0.5,0.25,0.5,0.25,8,4,72,1,n3,0.0,1.089844
0.75,0.25,0.75,0.25,12,4,77,1,n4,0.0,1.089844
1.0,0.25,1.0,0.25,16,4,67,1,n5,1.0,2.867838
1.0,1.0,1.0,1.0,16,16,67,2,n15,1.0,2.867838
1.0,1.0,1.0,1.0,16,16,58,5,n22,1.0,2.867838
1.25,0.25,1.25,0.25,20,4,77,1,n6,1.0,2.867838
1.5,0.25,1.5,0.25,24,4,76,1,n7,1.0,2.867838
1.75,0.25,1.75,0.25,28,4,79,1,n8,1.0,2.867838
2.0,0.25,2.0,0.25,32,4,68,1,n9,2.0,4.027344
2.0,1.0,2.0,1.0,32,16,68,2,n16,2.0,4.027344
2.0,1.0,2.0,1.0,32,16,60,5,n23,2.0,4.027344
2.25,0.25,2.25,0.25,36,4,72,1,n10,2.0,4.027344
2.5,0.25,2.5,0.25,40,4,77,1,n11,2.0,4.027344
2.75,0.25,2.75,0.25,44,4,76,1,n12,2.0,4.027344
3.0,1.0,3.0,1.0,48,16,77,1,n13,3.0,5.216145
3.0,0.25,3.0,0.25,48,4,77,2,n17,3.0,5.216145
3.0,1.0,3.0,1.0,48,16,56,5,n24,3.0,5.216145
3.25,0.25,3.25,0.25,52,4,72,2,n18,3.0,5.216145
3.5,0.25,3.5,0.25,56,4,70,2,n19,3.0,5.216145
3.75,0.25,3.75,0.25,60,4,68,2,n20,3.0,5.216145
4.0,1.25,4.0,1.25,64,20,73,1,n26,4.0,6.388021
4.0,0.25,4.0,0.25,64,4,73,2,n36,4.0,6.388021
4.0,1.0,4.0,1.0,64,16,58,5,n55,4.0,6.388021
4.25,0.25,4.25,0.25,68,4,68,2,n37,4.0,6.388021
4.5,0.25,4.5,0.25,72,4,67,2,n38,4.0,6.388021
4.75,0.25,4.75,0.25,76,4,70,2,n39,4.0,6.388021
5.0,1.0,5.0,1.0,80,16,64,2,n40,5.0,7.548177
5.0,1.0,5.0,1.0,80,16,55,5,n56,5.0,7.548177
5.25,0.25,5.25,0.25,84,4,73,1,n28,5.0,7.548177
5.5,0.25,5.5,0.25,88,4,72,1,n29,5.0,7.548177
5.75,0.25,5.75,0.25,92,4,70,1,n30,5.0,7.548177
6.0,0.75,6.0,0.75,96,12,68,1,n31,6.0,8.796441
6.0,0.5,6.0,0.5,96,8,65,2,n41,6.0,8.796441
6.0,0.25,6.0,0.25,96,4,53,5,n57,6.0,8.796441
6.0,1.0,6.0,1.0,96,16,53,6,n66,6.0,8.796441
6.25,0.25,6.25,0.25,100,4,56,5,n58,6.0,8.796441
6.5,0.25,6.5,0.25,104,4,60,5,n59,6.0,8.796441
6.75,0.25,6.75,0.25,108,4,70,1,n32,6.0,8.796441
6.75,0.25,6.75,0.25,108,4,65,5,n60,6.0,8.796441
7.0,0.75,7.0,0.75,112,12,70,1,n33,7.0,9.986905
7.0,0.0625,7.0,0.0625,112,1,72,2,n43,7.0,9.986905
7.0,0.25,7.0,0.25,112,4,55,5,n61,7.0,9.986905
7.0,1.0,7.0,1.0,112,16,55,6,n67,7.0,9.986905
7.0625,0.0625,7.0625,0.0625,113,1,70,2,n44,7.0,9.986905
7.125,0.0625,7.125,0.0625,114,1,72,2,n45,7.0,9.986905
7.1875,0.0625,7.1875,0.0625,115,1,70,2,n46,7.0,9.986905
7.25,0.0625,7.25,0.0625,116,1,72,2,n47,7.0,9.986905
7.25,0.25,7.25,0.25,116,4,65,5,n62,7.0,9.986905
7.3125,0.0625,7.3125,0.0625,117,1,70,2,n48,7.0,9.986905
7.375,0.0625,7.375,0.0625,118,1,72,2,n49,7.0,9.986905
7.4375,0.0625,7.4375,0.0625,119,1,70,2,n50,7.0,9.986905
7.5,0.0625,7.5,0.0625,120,1,72,2,n51,7.0,9.986905
