idx,matchtype,partid,ppartid
0,0,n25,26
1,0,n21,4
2,0,n22,7
3,0,n1,0
4,1,n14,undefined
5,0,n5,6
6,1,n15,undefined
7,0,n2,3
8,0,n3,2
9,0,n7,8
10,0,n4,1
11,0,n6,5
12,0,n8,9
13,0,n23,14
14,0,n9,11
15,1,n16,undefined
16,0,n10,12
17,0,n12,13
18,0,n11,10
19,0,n24,18
20,0,n20,17
21,0,n19,16
22,0,n18,15
23,0,n13,19
24,1,n17,undefined
25,0,n55,24
26,0,n38,21
27,0,n37,20
28,0,n39,22
29,0,n26,23
30,1,n36,undefined
31,0,n56,29
32,0,n61,51
33,1,n67,undefined
34,0,n40,28
35,0,n30,30
36,0,n29,27
37,0,n28,25
38,0,n57,32
39,1,n66,undefined
40,0,n58,37
41,0,n59,35
42,0,n41,31
43,0,n60,34
44,0,n31,33
45,0,n32,36
46,0,n63,47
47,0,n62,45
48,0,n64,50
49,0,n34,48
50,0,n78,52
51,0,n33,39
52,0,n44,41
53,0,n46,43
54,0,n48,46
55,1,n50,undefined
56,0,n54,49
57,1,n52,undefined
58,1,n35,undefined
59,0,n43,38
60,0,n45,40
61,0,n47,42
62,0,n49,44
63,0,n68,56
64,1,n53,undefined
65,1,n51,undefined
66,0,n95,54
67,1,n105,undefined
68,0,n79,53
69,0,n80,55
70,1,n77,undefined
71,0,n96,61
72,0,n81,60
73,0,n70,58
74,0,n71,59
75,0,n69,57
76,0,n97,64
77,1,n106,undefined
78,0,n98,68
79,0,n99,66
80,0,n82,62
81,0,n100,67
82,0,n72,63
83,0,n73,65
84,0,n101,81
85,1,n107,undefined
86,0,n103,78
87,0,n102,75
88,0,n104,82
89,0,n75,79
90,0,n84,70
91,0,n86,72
92,0,n88,74
93,0,n90,77
94,0,n76,80
95,1,n74,undefined
96,1,n92,undefined
97,1,n94,undefined
98,0,n83,69
99,0,n85,71
100,0,n87,73
101,0,n89,76
102,1,n91,undefined
103,1,n93,undefined
104,0,n137,91
105,1,n149,undefined
106,0,n138,86
107,0,n108,84
108,1,n121,undefined
109,0,n110,85
110,0,n109,83
111,0,n111,87
112,0,n140,90
113,0,n139,88
114,0,n122,93
115,0,n115,94
116,0,n114,92
117,0,n113,89
118,0,n141,95
119,1,n150,undefined
120,0,n142,100
121,0,n143,98
122,0,n144,99
123,0,n123,96
124,0,n116,97
125,0,n117,101
126,0,n145,115
127,1,n151,undefined
128,0,n147,111
129,0,n146,108
130,0,n148,116
131,0,n124,114
132,0,n119,113
133,0,n128,103
134,0,n130,105
135,0,n132,107
136,0,n134,110
137,0,n120,112
138,1,n118,undefined
139,1,n126,undefined
140,1,n136,undefined
141,0,n125,102
142,1,n127,undefined
143,0,n129,104
144,0,n131,106
145,0,n133,109
146,1,n135,undefined
147,0,n170,118
148,1,n178,undefined
149,0,n171,119
150,0,n161,120
151,0,n160,117
152,0,n162,121
153,0,n152,126
154,0,n180,127
155,0,n172,123
156,1,n179,undefined
157,0,n166,125
158,0,n165,124
159,0,n164,122
160,0,n173,131
161,0,n167,142
162,0,n155,129
163,0,n154,128
164,0,n156,130
165,0,n175,135
166,0,n176,137
167,0,n177,141
168,0,n157,132
169,0,n158,134
170,0,n169,138
171,0,n168,136
172,0,n198,143
173,0,n199,145
174,0,n189,144
175,0,n190,146
176,0,n191,147
177,0,n181,154
178,0,n211,151
179,0,n210,149
180,0,n200,148
181,0,n195,153
182,0,n194,152
183,0,n193,150
184,0,n202,155
185,1,n212,undefined
186,0,n203,158
187,0,n204,160
188,0,n205,159
189,0,n196,156
190,0,n183,157
191,0,n184,161
192,0,n206,164
193,1,n213,undefined
194,0,n208,166
195,0,n207,162
196,0,n209,167
197,0,n197,163
198,0,n186,165
199,0,n187,168
200,0,n232,170
201,1,n248,undefined
202,0,n233,172
203,0,n234,174
204,0,n235,173
205,0,n228,169
206,0,n215,171
207,0,n216,175
208,0,n236,178
209,1,n249,undefined
210,0,n238,180
211,0,n237,176
212,0,n239,181
213,0,n229,177
214,0,n218,179
215,0,n219,183
216,0,n240,184
217,1,n250,undefined
218,0,n241,187
219,0,n242,189
220,0,n243,188
221,0,n230,182
222,0,n223,190
223,0,n222,186
224,0,n221,185
225,0,n244,194
226,1,n251,undefined
227,0,n246,198
228,0,n245,193
229,0,n247,197
230,0,n225,192
231,0,n226,195
232,0,n224,191
233,0,n227,196
234,0,n268,207
235,1,n274,undefined
236,0,n271,210
237,0,n270,208
238,0,n269,206
239,0,n252,200
240,0,n264,202
241,0,n263,199
242,2,undefined,201
243,0,n276,215
244,0,n275,211
245,0,n272,221
246,0,n254,212
247,0,n255,213
248,0,n256,214
249,0,n278,219
250,0,n277,218
251,0,n258,217
252,0,n257,216
253,0,n259,220
254,0,n260,222
255,0,n279,232
256,0,n273,224
257,0,n281,226
258,0,n280,223
259,2,undefined,225
260,0,n267,234
261,0,n266,229
262,0,n262,235
263,0,n261,233
264,0,n301,238
265,0,n291,240
266,0,n283,237
267,0,n282,236
268,0,n284,239
269,0,n285,241
270,0,n305,247
271,0,n304,245
272,0,n303,243
273,0,n288,246
274,0,n286,242
275,0,n289,248
276,0,n287,244
277,0,n293,249
278,1,n306,undefined
279,0,n294,250
280,0,n295,251
281,0,n296,252
282,0,n290,255
283,0,n297,256
284,1,n307,undefined
285,0,n299,254
286,0,n298,253
287,0,n300,257
288,0,n344,259
289,0,n335,266
290,0,n309,261
291,0,n310,258
292,0,n311,260
293,0,n348,269
294,0,n347,265
295,0,n346,263
296,0,n314,267
297,0,n315,268
298,0,n312,262
299,0,n313,264
300,0,n336,278
301,1,n349,undefined
302,0,n337,279
303,0,n338,282
304,0,n339,281
305,0,n316,271
