xml_id	midi_id	track	channel	pitch	onset
n1	0	1	0	66	0.9830729166666666
n2	1	1	0	70	1.22265625
n4	3	1	0	70	1.64453125
n3	2	1	0	73	1.4270833333333333
n9	8	1	0	54	2.28125
n5	4	1	0	66	1.8776041666666667
n6	5	1	0	73	2.078125
n7	7	1	0	73	2.4466145833333335
n10	9	1	0	58	2.51171875
n12	19	1	0	58	2.9361979166666665
n11	13	1	0	61	2.7239583333333335
n13	21	1	0	54	3.1562499999999996
n14	22	1	0	63	3.3697916666666665
n24	25	1	0	63	3.602864583333333
n25	28	1	0	61	4.279947916666666
n16	24	1	0	70	3.821614583333333
n17	26	1	0	71	4.048177083333333
n26	31	1	0	59	4.988281249999999
n19	29	1	0	70	4.740885416666666
n18	27	1	0	73	4.509114583333333
n27	34	1	0	58	5.692708333333333
n21	32	1	0	68	5.453125
n20	30	1	0	75	5.210937499999999
n38	37	1	0	56	6.385416666666666
n23	35	1	0	66	6.156249999999999
n22	33	1	0	70	5.924479166666666
n39	40	1	0	54	7.096354166666666
n30	38	1	0	65	6.859374999999999
n29	36	1	0	71	6.617187499999999
n40	43	1	0	53	7.799479166666667
n32	41	1	0	63	7.557291666666667
n31	39	1	0	71	7.325520833333333
n41	47	1	0	49	8.506510416666668
n34	44	1	0	61	8.247395833333334
n35	45	1	0	65	8.494791666666668
n33	42	1	0	71	8.032552083333334
n51	51	1	0	54	9.200520833333336
n36	46	1	0	68	8.736979166666668
n42	49	1	0	70	9.180989583333336
n37	48	1	0	71	8.941406250000002
n52	54	1	0	56	9.902343750000002
n43	50	1	0	66	9.411458333333336
n44	53	1	0	72	9.649739583333336
n53	57	1	0	58	10.591145833333334
n45	52	1	0	66	10.119791666666668
n46	55	1	0	73	10.354166666666668
n54	60	1	0	60	11.295572916666666
n47	56	1	0	66	10.8203125
n48	58	1	0	75	11.063802083333332
n67	63	1	0	61	11.989583333333332
n49	59	1	0	68	11.516927083333332
n50	61	1	0	77	11.755208333333332
n68	66	1	0	56	12.703124999999998
n57	64	1	0	73	12.471354166666664
n56	62	1	0	80	12.230468749999998
n69	70	1	0	58	13.398437499999996
n59	67	1	0	72	13.166666666666664
n60	68	1	0	73	13.38802083333333
n58	65	1	0	75	12.936197916666664
n70	74	1	0	53	14.0546875
n62	71	1	0	73	13.848958333333332
n63	72	1	0	73	14.0546875
n61	69	1	0	77	13.61848958333333
n82	78	1	0	54	14.733072916666668
n66	76	1	0	73	14.479166666666668
n65	75	1	0	75	14.3671875
n64	73	1	0	77	14.27734375
n83	81	1	0	56	15.441406250000002
n73	79	1	0	73	15.203125000000002
n72	77	1	0	82	14.964843750000002
n84	86	1	0	49	16.151041666666668
n75	82	1	0	72	15.907552083333336
n76	83	1	0	73	16.1328125
n74	80	1	0	75	15.678385416666668
n77	84	1	0	77	16.364583333333336
n79	87	1	0	77	16.807291666666668
n78	85	1	0	80	16.579427083333336
n99	92	1	0	49	17.454427083333336
n80	88	1	0	73	17.033854166666668
n81	89	1	0	80	17.230468750000004
n86	91	1	0	80	17.615885416666668
n93	95	1	0	80	17.80338541666667
n92	90	1	0	82	17.470052083333336
n94	94	1	0	82	17.714843750000004
n100	93	1	0	53	17.708333333333336
n102	104	1	0	53	18.132812500000004
n101	97	1	0	56	17.91666666666667
n95	98	1	0	80	17.94401041666667
n97	100	1	0	80	18.08854166666667
n98	102	1	0	80	18.22916666666667
n96	96	1	0	82	17.87760416666667
n103	106	1	0	49	18.313802083333336
n104	108	1	0	58	18.554687500000004
n105	111	1	0	58	18.789062500000004
n106	114	1	0	56	19.49088541666667
n88	110	1	0	77	19.023437500000004
n89	112	1	0	78	19.26302083333334
n117	117	1	0	54	20.194010416666675
n91	115	1	0	77	19.983072916666675
n90	113	1	0	80	19.73177083333334
n118	120	1	0	53	20.902343750000004
n109	118	1	0	75	20.68229166666667
n108	116	1	0	82	20.425781250000007
n119	124	1	0	51	21.60677083333334
n111	121	1	0	74	21.35677083333334
n110	119	1	0	77	21.13541666666667
n112	122	1	0	78	21.609375000000007
n120	127	1	0	49	22.312500000000004
n113	123	1	0	70	21.863281250000007
n114	125	1	0	71	22.08854166666667
n130	130	1	0	47	23.007812500000004
n116	128	1	0	70	22.774739583333336
n115	126	1	0	73	22.535156250000004
n131	133	1	0	46	23.725260416666668
n123	131	1	0	68	23.476562500000004
n122	129	1	0	75	23.246093750000004
n132	136	1	0	44	24.425781250000007
n125	134	1	0	66	24.19010416666667
n124	132	1	0	70	23.958333333333336
n133	139	1	0	42	25.13802083333334
n127	137	1	0	64	24.91145833333334
n126	135	1	0	71	24.67317708333334
n143	143	1	0	41	25.859375000000004
n129	140	1	0	63	25.636718750000004
n128	138	1	0	66	25.39192708333334
n134	141	1	0	68	25.891927083333336
n144	146	1	0	51	26.602864583333336
n135	142	1	0	62	26.115885416666668
n136	144	1	0	63	26.348958333333336
n145	149	1	0	50	27.307291666666668
n137	145	1	0	62	26.834635416666668
n138	147	1	0	68	27.08203125
n146	deletion
n139	148	1	0	65	27.532552083333336
n140	150	1	0	71	27.786458333333336
n156	155	1	0	51	28.72916666666667
n141	151	1	0	68	28.226562500000004
n142	153	1	0	77	28.47916666666667
n157	158	1	0	54	29.442708333333336
n148	154	1	0	65	28.953125000000004
n149	156	1	0	66	29.200520833333336
n158	161	1	0	56	30.15625
n150	157	1	0	70	29.653645833333336
n151	159	1	0	75	29.904947916666668
n159	164	1	0	58	30.85546875
n152	160	1	0	65	30.38671875
n153	162	1	0	68	30.627604166666668
n174	167	1	0	51	31.579427083333332
n154	163	1	0	70	31.098958333333332
n155	165	1	0	74	31.346354166666668
n160	168	1	0	75	31.763020833333336
n168	171	1	0	75	31.923177083333336
n167	166	1	0	77	31.6328125
n169	169	1	0	77	31.845052083333336
n175	170	1	0	54	31.859375000000004
n177	180	1	0	54	32.28515625000001
n176	173	1	0	58	32.05729166666667
n170	174	1	0	75	32.06250000000001
n172	176	1	0	75	32.21223958333334
n173	178	1	0	75	32.33854166666667
n171	172	1	0	77	31.997395833333336
n178	182	1	0	51	32.468750000000014
n179	184	1	0	60	32.69791666666668
n182	187	1	0	60	33.03645833333334
n180	deletion
n181	186	1	0	61	32.90885416666668
n183	189	1	0	61	33.15755208333334
n184	190	1	0	60	33.22526041666668
n186	193	1	0	60	33.40625000000001
n187	195	1	0	60	33.587239583333336
n185	191	1	0	61	33.31380208333334
n162	188	1	0	78	33.11458333333334
n164	197	1	0	78	33.528645833333336
n163	192	1	0	82	33.32812500000001
n195	204	1	0	82	34.18359375000001
n197	208	1	0	82	34.41927083333335
n165	198	1	0	75	33.76432291666668
n166	202	1	0	81	33.95312500000001
n188	205	1	0	81	34.32682291666668
n196	209	1	0	81	34.50130208333335
n203	207	1	0	63	34.390625000000014
n205	218	1	0	63	34.85156250000001
n204	211	1	0	66	34.61588541666668
n198	212	1	0	81	34.67187500000001
n200	214	1	0	81	34.80859375000001
n201	216	1	0	81	34.94401041666667
n199	210	1	0	82	34.574218750000014
n206	219	1	0	60	35.06510416666667
n207	222	1	0	66	35.27734375000001
n208	224	1	0	66	35.51041666666667
n211	230	1	0	61	36.20703125000001
n210	228	1	0	63	36.00781250000001
n209	226	1	0	65	35.76171875
n192	229	1	0	77	36.20572916666667
n190	225	1	0	82	35.751302083333336
n191	227	1	0	84	35.97916666666667
n226	237	1	0	58	36.94401041666668
n212	232	1	0	63	36.454427083333336
n213	233	1	0	65	36.692708333333336
n214	235	1	0	73	36.93098958333334
n194	234	1	0	75	36.680989583333336
n193	231	1	0	78	36.44791666666667
n227	240	1	0	53	37.60416666666668
n216	238	1	0	70	37.39322916666668
n215	236	1	0	77	37.15885416666668
n228	244	1	0	54	38.309895833333336
n218	241	1	0	69	38.08333333333334
n219	242	1	0	70	38.313802083333336
n217	239	1	0	72	37.839843750000014
n229	248	1	0	49	39.00520833333333
n221	245	1	0	70	38.768229166666664
n222	246	1	0	70	38.983072916666664
n220	243	1	0	73	38.5390625
n241	252	1	0	51	39.682291666666664
n225	250	1	0	70	39.43489583333333
n224	249	1	0	72	39.32942708333333
n223	247	1	0	73	39.22786458333333
n242	255	1	0	53	40.37369791666667
n232	253	1	0	70	40.141927083333336
n231	251	1	0	78	39.90364583333333
n243	260	1	0	46	41.10416666666668
n234	256	1	0	69	40.85807291666668
n235	257	1	0	70	41.097656250000014
n233	254	1	0	72	40.61718750000001
n236	258	1	0	73	41.34505208333334
n238	261	1	0	73	41.79166666666667
n237	259	1	0	77	41.55468750000001
n252	266	1	0	51	42.454427083333336
n239	262	1	0	70	42.00651041666667
n240	263	1	0	79	42.227864583333336
n245	265	1	0	79	42.6015625
n253	268	1	0	55	42.71875
n255	277	1	0	55	43.149739583333336
n254	271	1	0	58	42.92838541666667
n256	279	1	0	51	43.34244791666667
n257	280	1	0	61	43.57291666666667
n258	284	1	0	61	43.825520833333336
n259	287	1	0	55	44.53776041666666
