onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,0.25,0,42,66,1,n1,0.0,0.983073
1.0,1.0,0.25,0.25,42,42,70,1,n2,0.0,0.983073
2.0,1.0,0.5,0.25,84,42,73,1,n3,0.0,0.983073
3.0,1.0,0.75,0.25,126,42,70,1,n4,3.0,1.644531
4.0,1.0,1.0,0.25,168,42,66,1,n5,3.0,1.644531
5.0,1.0,1.25,0.25,210,42,73,1,n6,3.0,1.644531
6.0,7.0,1.5,1.75,252,294,73,1,n7,6.0,2.293165
6.0,1.0,1.5,0.25,252,42,54,3,n9,6.0,2.293165
7.0,1.0,1.75,0.25,294,42,58,3,n10,6.0,2.293165
8.0,1.0,2.0,0.25,336,42,61,3,n11,6.0,2.293165
9.0,1.0,2.25,0.25,378,42,58,3,n12,9.0,2.936198
10.0,1.0,2.5,0.25,420,42,54,3,n13,9.0,2.936198
11.0,1.0,2.75,0.25,462,42,63,3,n14,9.0,2.936198
12.0,3.0,3.0,0.75,504,126,63,3,n24,12.0,3.602865
13.0,1.0,3.25,0.25,546,42,70,1,n16,12.0,3.602865
14.0,2.0,3.5,0.5,588,84,71,1,n17,12.0,3.602865
15.0,3.0,3.75,0.75,630,126,61,3,n25,15.0,4.279948
16.0,1.0,4.0,0.25,672,42,73,1,n18,15.0,4.279948
17.0,2.0,4.25,0.5,714,84,70,1,n19,15.0,4.279948
18.0,3.0,4.5,0.75,756,126,59,3,n26,18.0,4.988281
19.0,1.0,4.75,0.25,798,42,75,1,n20,18.0,4.988281
20.0,2.0,5.0,0.5,840,84,68,1,n21,18.0,4.988281
21.0,3.0,5.25,0.75,882,126,58,3,n27,21.0,5.692708
22.0,1.0,5.5,0.25,924,42,70,1,n22,21.0,5.692708
23.0,2.0,5.75,0.5,966,84,66,1,n23,21.0,5.692708
24.0,3.0,6.0,0.75,1008,126,56,3,n38,24.0,6.385417
25.0,1.0,6.25,0.25,1050,42,71,1,n29,24.0,6.385417
26.0,2.0,6.5,0.5,1092,84,65,1,n30,24.0,6.385417
27.0,3.0,6.75,0.75,1134,126,54,3,n39,27.0,7.096354
28.0,1.0,7.0,0.25,1176,42,71,1,n31,27.0,7.096354
29.0,2.0,7.25,0.5,1218,84,63,1,n32,27.0,7.096354
30.0,3.0,7.5,0.75,1260,126,53,3,n40,30.0,7.799479
31.0,1.0,7.75,0.25,1302,42,71,1,n33,30.0,7.799479
32.0,1.0,8.0,0.25,1344,42,61,1,n34,30.0,7.799479
33.0,1.0,8.25,0.25,1386,42,65,1,n35,33.0,8.500651
33.0,3.0,8.25,0.75,1386,126,49,3,n41,33.0,8.500651
