xml_id	midi_id	track	channel	pitch	onset
n26	4	1	0	43	1.2903645833333335
n25	3	1	0	55	1.0260416666666667
n1	0	1	0	67	1.0
n2	1	1	0	71	1.0950520833333335
n3	2	1	0	74	1.203125
n4	5	1	0	79	1.30078125
n6	7	1	0	71	1.4986979166666667
n5	6	1	0	74	1.40234375
n7	8	1	0	74	1.6054687500000002
n28	11	1	0	55	1.9153645833333335
n9	10	1	0	67	1.7903645833333335
n8	9	1	0	71	1.6888020833333335
n10	12	1	0	71	1.9114583333333335
n29	18	1	0	55	2.235677083333333
n12	14	1	0	62	2.1015625
n13	15	1	0	64	2.2135416666666665
n11	13	1	0	67	2.006510416666667
n30	19	1	0	43	2.510416666666666
n14	16	1	0	67	2.311197916666666
n15	17	1	0	72	2.4179687499999996
n16	20	1	0	76	2.522135416666666
n18	22	1	0	67	2.723958333333333
n17	21	1	0	72	2.6249999999999996
n19	23	1	0	72	2.8242187499999996
n32	26	1	0	55	3.108072916666666
n21	25	1	0	64	3.018229166666666
n20	24	1	0	67	2.920572916666666
n22	27	1	0	67	3.1223958333333326
n57	33	1	0	55	3.429687499999999
n33	30	1	0	57	3.4153645833333326
n24	29	1	0	60	3.3059895833333326
n23	28	1	0	64	3.2239583333333326
n58	34	1	0	43	3.7434895833333326
n34	31	1	0	60	3.533854166666666
n35	32	1	0	66	3.6341145833333326
n36	35	1	0	69	3.7434895833333326
n38	37	1	0	60	3.9557291666666656
n37	36	1	0	66	3.855468749999999
n39	38	1	0	66	4.058593749999999
n60	41	1	0	55	4.347656249999998
n41	40	1	0	57	4.247395833333332
n40	39	1	0	60	4.145833333333332
n42	42	1	0	60	4.355468749999998
n44	44	1	0	54	4.539062499999998
n45	45	1	0	55	4.645833333333332
n61	deletion
n43	43	1	0	57	4.445312499999998
n62	48	1	0	43	4.958333333333331
n46	46	1	0	59	4.757812499999998
n47	47	1	0	62	4.872395833333331
n48	49	1	0	67	4.968749999999998
n50	51	1	0	59	5.152343749999997
n49	50	1	0	62	5.067708333333331
n51	52	1	0	62	5.24739583333333
n53	54	1	0	55	5.42317708333333
n64	55	1	0	55	5.5390624999999964
n52	53	1	0	59	5.339843749999997
n54	56	1	0	59	5.5325520833333295
n56	deletion
n55	57	1	0	55	5.632812499999997
n81	62	1	0	55	5.877604166666663
n65	59	1	0	57	5.893229166666663
n82	63	1	0	43	6.1888020833333295
n66	60	1	0	61	5.9934895833333295
n67	61	1	0	64	6.0911458333333295
n68	64	1	0	69	6.1992187499999964
n70	66	1	0	61	6.3906249999999964
n69	65	1	0	64	6.276041666666663
n71	67	1	0	64	6.479166666666663
n84	69	1	0	55	6.746093749999996
n73	70	1	0	57	6.6692708333333295
n72	68	1	0	61	6.576822916666663
n74	71	1	0	61	6.7760416666666625
n76	73	1	0	52	6.973958333333329
n85	74	1	0	54	7.082031249999995
n75	72	1	0	57	6.878906249999996
n77	75	1	0	62	7.091145833333328
n86	76	1	0	57	7.178385416666661
n87	77	1	0	61	7.272135416666661
n88	78	1	0	62	7.38541666666666
n90	80	1	0	54	7.58463541666666
n89	79	1	0	57	7.480468749999993
n91	81	1	0	57	7.688802083333327
n93	83	1	0	50	7.921874999999993
n92	82	1	0	54	7.80729166666666
n94	85	1	0	54	8.005208333333327
n80	84	1	0	62	7.972656249999993
n96	87	1	0	47	8.210937499999993
n95	86	1	0	50	8.106770833333327
n121	91	1	0	52	8.305989583333327
n97	88	1	0	62	8.281249999999993
n122	92	1	0	40	8.634114583333327
n98	89	1	0	61	8.39713541666666
n99	90	1	0	62	8.52213541666666
n100	93	1	0	64	8.614583333333327
n101	94	1	0	61	8.731770833333325
n102	95	1	0	62	8.826822916666659
n103	96	1	0	66	8.938802083333325
n124	99	1	0	52	9.257812499999991
n104	97	1	0	61	9.052083333333325
n105	98	1	0	62	9.139322916666657
n106	100	1	0	67	9.239583333333323
n125	105	1	0	49	9.574218749999991
n107	101	1	0	61	9.363281249999991
n108	102	1	0	62	9.455729166666657
n109	103	1	0	69	9.576822916666657
n126	107	1	0	45	9.910156249999991
n110	104	1	0	61	9.696614583333325
n111	106	1	0	62	9.789062499999991
n112	108	1	0	71	9.908854166666657
n127	111	1	0	47	10.229166666666657
n113	109	1	0	61	10.052083333333323
n114	110	1	0	62	10.102864583333323
n115	112	1	0	69	10.223958333333323
n128	115	1	0	49	10.552083333333323
n116	113	1	0	61	10.352864583333323
n117	114	1	0	62	10.44140624999999
n118	116	1	0	67	10.544270833333323
n137	120	1	0	50	10.88411458333332
n119	117	1	0	61	10.658854166666655
n120	118	1	0	62	10.761718749999988
n129	119	1	0	66	10.885416666666654
n140	124	1	0	52	11.209635416666652
n138	121	1	0	61	11.010416666666654
n139	122	1	0	62	11.124999999999986
n130	123	1	0	67	11.208333333333318
n143	128	1	0	54	11.537760416666652
n141	125	1	0	61	11.338541666666652
n142	126	1	0	62	11.440104166666652
n131	127	1	0	69	11.533854166666652
n146	132	1	0	55	11.871093749999986
n144	129	1	0	61	11.63802083333332
n145	130	1	0	62	11.760416666666652
n132	131	1	0	71	11.859374999999986
n149	135	1	0	54	12.199218749999988
n147	133	1	0	61	11.986979166666652
n148	134	1	0	62	12.089843749999986
n133	137	1	0	69	12.205729166666654
n152	140	1	0	52	12.540364583333323
n150	136	1	0	61	12.325520833333321
n151	138	1	0	62	12.436197916666655
n134	139	1	0	67	12.524739583333323
n155	143	1	0	50	12.865885416666657
n153	141	1	0	61	12.64453124999999
n154	142	1	0	62	12.739583333333323
n135	144	1	0	66	12.854166666666657
n158	148	1	0	54	13.188802083333327
n156	145	1	0	61	12.992187499999991
n157	146	1	0	62	13.100260416666659
n136	147	1	0	69	13.169270833333327
n185	153	1	0	47	13.535156249999995
n159	149	1	0	61	13.281249999999993
n160	150	1	0	62	13.38541666666666
n161	151	1	0	68	13.513020833333329
n186	155	1	0	59	13.826822916666663
n162	152	1	0	71	13.631510416666663
n163	154	1	0	74	13.718749999999996
n164	156	1	0	77	13.816406249999996
n166	158	1	0	71	14.033854166666664
n165	157	1	0	74	13.93880208333333
n167	159	1	0	74	14.12630208333333
