xml_id	midi_id	track	channel	pitch	onset
n17	16	1	0	55	2.486458333333334
n16	9	1	0	56	1.0395833333333333
n10	2	1	0	59	1.0531249999999999
n12	8	1	0	61	1.9833333333333325
n11	5	1	0	63	1.530208333333333
n1	0	1	0	68	1.0083333333333333
n4	4	1	0	68	1.7395833333333328
n2	1	1	0	70	1.2749999999999997
n5	6	1	0	70	1.9760416666666658
n3	3	1	0	71	1.5083333333333329
n6	7	1	0	73	2.209374999999999
n7	10	1	0	76	2.516666666666668
n29	15	1	0	56	4.0656250000000025
n15	13	1	0	58	3.533333333333335
n30	17	1	0	58	4.306250000000003
n14	11	1	0	59	3.0343750000000016
n18	18	1	0	71	4.051041666666669
n21	deletion
n9	14	1	0	73	3.536458333333335
n8	12	1	0	75	3.019791666666668
n32	20	1	0	56	4.788541666666669
n33	21	1	0	58	5.0270833333333345
n31	19	1	0	59	4.5760416666666694
n34	24	1	0	61	5.257291666666667
n35	27	1	0	64	5.6395833333333325
n22	26	1	0	70	5.0322916666666675
n25	25	1	0	73	5.030208333333334
n24	deletion
n20	30	1	0	79	5.6239583333333325
n19	23	1	0	80	4.5625000000000036
n52	41	1	0	59	7.201041666666659
n37	31	1	0	61	6.666666666666661
n36	32	1	0	63	6.162499999999997
n38	deletion
n28	29	1	0	70	6.646874999999994
n27	28	1	0	71	6.1479166666666645
n51	34	1	0	75	7.304166666666658
n39	33	1	0	80	7.266666666666659
n40	35	1	0	82	7.530208333333325
n53	45	1	0	58	8.739583333333327
n56	42	1	0	61	8.248958333333324
n55	39	1	0	68	7.802083333333325
n42	36	1	0	75	8.027083333333323
n43	37	1	0	76	8.254166666666658
n45	43	1	0	78	8.761458333333326
n44	40	1	0	80	8.478124999999991
n46	44	1	0	80	8.995833333333325
n41	38	1	0	83	7.786458333333325
n72	54	1	0	56	10.201041666666661
n59	53	1	0	59	9.733333333333327
n58	50	1	0	66	9.281249999999993
n48	46	1	0	73	9.483333333333327
n49	47	1	0	75	9.731249999999994
n60	51	1	0	76	10.212499999999995
n50	49	1	0	78	9.980208333333328
n61	52	1	0	78	10.482291666666663
n47	48	1	0	82	9.25416666666666
n73	58	1	0	52	11.236458333333333
n74	63	1	0	54	11.692708333333332
n78	59	1	0	64	10.746874999999998
n66	61	1	0	70	11.698958333333332
n63	55	1	0	71	10.992708333333333
n67	62	1	0	71	11.945833333333331
n64	56	1	0	73	11.234375
n65	60	1	0	76	11.458333333333332
n62	57	1	0	80	10.73958333333333
n75	65	1	0	56	12.189583333333331
n76	69	1	0	58	12.701041666666663
n94	72	1	0	59	13.25520833333333
n103	deletion
n81	71	1	0	61	12.687499999999996
n95	74	1	0	61	13.522916666666664
n80	66	1	0	63	12.191666666666665
n69	67	1	0	66	12.422916666666666
n68	64	1	0	73	12.182291666666664
n70	68	1	0	73	12.712499999999999
n82	73	1	0	75	13.260416666666664
n71	70	1	0	76	12.98020833333333
n83	75	1	0	76	13.522916666666664
n97	78	1	0	59	14.013541666666661
n98	81	1	0	61	14.248958333333329
n96	77	1	0	63	13.776041666666663
n99	83	1	0	64	14.487499999999997
n100	86	1	0	68	14.782291666666666
n89	85	1	0	70	15.054166666666665
n88	84	1	0	71	14.781249999999998
n85	79	1	0	75	14.008333333333328
n86	80	1	0	76	14.259374999999997
n84	76	1	0	78	13.765624999999996
n87	82	1	0	80	14.48958333333333
n123	93	1	0	47	16.298958333333328
n124	96	1	0	49	16.58124999999999
n116	94	1	0	63	16.32604166666666
n102	90	1	0	64	15.795833333333333
n117	95	1	0	64	16.58124999999999
n101	88	1	0	66	15.285416666666663
n91	89	1	0	70	15.536458333333332
n90	87	1	0	71	15.288541666666664
n92	91	1	0	71	15.781249999999998
n93	92	1	0	73	16.051041666666666
n126	99	1	0	47	17.05208333333332
n127	102	1	0	49	17.306249999999988
n125	98	1	0	51	16.806249999999988
n128	104	1	0	52	17.540624999999988
n129	107	1	0	56	17.87604166666665
n122	115	1	0	61	17.874999999999986
n119	100	1	0	63	17.06249999999999
n120	103	1	0	64	17.305208333333322
n118	97	1	0	66	16.824999999999992
n121	105	1	0	68	17.560416666666654
n109	101	1	0	71	16.817708333333325
n111	106	1	0	71	18.177083333333314
n147	114	1	0	51	19.396874999999977
n131	112	1	0	52	18.896874999999977
n148	116	1	0	52	19.666666666666643
n130	109	1	0	54	18.422916666666644
n132	125	1	0	66	19.43020833333331
n112	108	1	0	70	18.429166666666646
n115	113	1	0	70	19.158333333333314
n113	110	1	0	71	18.679166666666646
n114	111	1	0	73	18.916666666666647
n150	120	1	0	51	20.163541666666635
n151	122	1	0	53	20.403124999999964
n149	117	1	0	54	19.927083333333307
n152	124	1	0	56	20.649999999999963
n141	119	1	0	57	20.158333333333303
n140	118	1	0	59	19.943749999999973
n143	123	1	0	59	20.640624999999964
n153	128	1	0	59	20.9270833333333
n142	121	1	0	61	20.418749999999964
n144	126	1	0	62	20.91354166666663
n134	127	1	0	65	21.1864583333333
n173	139	1	0	54	22.41249999999996
n155	135	1	0	56	21.970833333333296
n154	130	1	0	57	21.435416666666633
n146	136	1	0	59	21.928124999999966
n145	132	1	0	61	21.453124999999968
n156	137	1	0	61	22.50520833333329
n157	138	1	0	63	22.752083333333285
n136	131	1	0	65	21.682291666666632
n135	129	1	0	66	21.433333333333298
n137	133	1	0	66	21.93854166666663
n138	134	1	0	68	22.19999999999996
n169	146	1	0	54	23.702083333333274
n175	149	1	0	54	24.23958333333327
n167	142	1	0	56	23.224999999999945
n166	141	1	0	57	22.985416666666616
n168	144	1	0	57	23.47499999999994
n170	148	1	0	60	23.995833333333273
n159	143	1	0	61	23.228124999999945
n160	145	1	0	63	23.46249999999994
n158	140	1	0	64	22.989583333333282
n161	147	1	0	66	23.698958333333273
n162	150	1	0	69	23.97395833333327
n179	156	1	0	48	25.206249999999937
n178	155	1	0	49	24.964583333333273
n192	165	1	0	49	25.50208333333327
n177	152	1	0	51	24.716666666666605
n176	151	1	0	52	24.468749999999936
n183	159	1	0	56	25.49895833333327
n184	160	1	0	58	25.735416666666605
n171	154	1	0	61	24.497916666666605
n172	157	1	0	63	24.97499999999994
n180	163	1	0	64	25.4697916666666
n164	158	1	0	66	24.954166666666605
n163	153	1	0	68	24.46145833333327
n193	168	1	0	43	26.976041666666603
n186	162	1	0	56	26.206249999999937
n187	164	1	0	58	26.471874999999933
n185	161	1	0	59	25.973958333333268
n188	167	1	0	61	26.7604166666666
n194	169	1	0	61	27.414583333333265
n189	170	1	0	64	27.096874999999937
n182	177	1	0	70	27.08958333333327
n181	166	1	0	73	26.471874999999933
n198	176	1	0	55	28.38854166666659
n197	174	1	0	56	28.141666666666595
n210	183	1	0	56	28.702083333333256
n196	173	1	0	58	27.89062499999993
n195	171	1	0	59	27.6604166666666
n208	180	1	0	59	28.671874999999922
n191	175	1	0	61	28.138541666666594
n190	172	1	0	63	27.645833333333265
n200	178	1	0	68	28.930208333333255
n212	186	1	0	56	30.435416666666594
n209	195	1	0	58	30.204166666666595
n205	185	1	0	62	30.182291666666593
n204	184	1	0	65	29.890624999999925
n201	179	1	0	67	29.146874999999927
n203	182	1	0	68	29.646874999999923
n202	181	1	0	70	29.392708333333257
n216	192	1	0	50	31.404166666666583
n215	190	1	0	51	31.17499999999992
n225	193	1	0	51	31.66770833333325
n214	188	1	0	53	30.899999999999928
n226	194	1	0	53	31.915624999999913
n213	187	1	0	54	30.682291666666597
n206	189	1	0	63	30.660416666666595
n207	191	1	0	65	31.148958333333255
n217	198	1	0	66	31.653124999999914
n228	197	1	0	46	32.40937499999991
n229	199	1	0	47	32.664583333333255
n231	202	1	0	49	33.17916666666662
n230	200	1	0	51	32.89895833333326
n232	203	1	0	51	33.42395833333329
n227	196	1	0	54	32.17708333333325
n221	204	1	0	56	32.651041666666586
n220	201	1	0	63	32.16354166666658
n218	210	1	0	65	33.14062499999994
