idx,matchtype,partid,ppartid
0,0,n11,3
1,0,n13,7
2,0,n12,6
3,0,n1,0
4,0,n2,1
5,0,n3,2
6,0,n5,5
7,0,n4,4
8,0,n15,10
9,0,n17,13
10,0,n14,9
11,0,n16,12
12,0,n18,15
13,0,n7,11
14,0,n6,8
15,0,n8,14
16,0,n31,23
17,0,n20,18
18,0,n19,16
19,0,n21,20
20,0,n9,17
21,0,n22,21
22,0,n10,19
23,0,n33,27
24,0,n32,26
25,0,n23,22
26,0,n25,25
27,0,n24,24
28,0,n35,30
29,0,n37,33
30,0,n34,29
31,0,n36,32
32,0,n38,35
33,0,n27,31
34,0,n26,28
35,0,n28,34
36,0,n51,43
37,0,n40,38
38,0,n39,37
39,0,n29,36
40,0,n41,40
41,0,n42,41
42,0,n30,39
43,0,n53,47
44,0,n52,46
45,0,n43,42
46,0,n45,45
47,0,n44,44
48,0,n55,50
49,0,n57,53
50,0,n54,49
51,0,n56,52
52,0,n58,55
53,0,n47,51
54,0,n46,48
55,0,n48,54
56,0,n70,63
57,0,n60,58
58,0,n59,56
59,0,n49,57
60,0,n50,59
61,0,n61,60
62,0,n66,66
63,0,n65,65
64,0,n64,64
65,0,n63,62
66,0,n62,61
67,0,n74,69
68,0,n73,68
69,0,n72,67
70,0,n92,72
71,0,n93,73
72,0,n75,70
73,0,n76,71
74,0,n91,75
75,0,n77,77
76,0,n78,76
77,0,n94,74
78,0,n96,79
79,0,n95,78
80,0,n80,81
81,0,n79,80
82,0,n98,85
83,0,n97,82
84,0,n99,88
85,0,n86,90
86,0,n82,84
87,0,n84,87
88,0,n81,83
89,0,n83,86
90,0,n85,89
91,0,n118,96
92,0,n100,91
93,0,n119,97
94,0,n101,94
95,0,n90,100
96,0,n89,95
97,0,n88,93
98,0,n87,92
99,0,n110,101
100,0,n111,103
101,0,n120,98
102,0,n122,102
103,0,n121,99
104,0,n113,104
105,0,n124,108
106,0,n123,105
107,0,n125,112
108,0,n115,107
109,0,n117,110
110,0,n114,106
111,0,n116,109
112,0,n104,111
113,0,n105,114
114,0,n126,113
115,0,n144,121
116,0,n145,122
117,0,n127,118
118,0,n128,125
119,0,n129,126
120,0,n130,127
121,0,n108,117
122,0,n131,128
123,0,n107,116
124,0,n109,119
125,0,n106,115
126,0,n146,123
127,0,n148,129
128,0,n147,124
129,0,n133,130
130,0,n150,134
131,0,n149,131
132,0,n151,137
133,0,n135,133
134,0,n137,136
135,0,n139,139
136,0,n134,132
137,0,n136,135
138,0,n138,138
139,0,n152,140
140,0,n153,143
141,0,n161,146
142,0,n154,151
143,0,n143,145
144,0,n142,144
145,0,n140,141
146,0,n141,142
147,0,n162,147
148,0,n163,148
149,0,n164,149
150,0,n165,150
151,0,n166,152
152,0,n156,153
153,0,n157,154
154,0,n158,155
155,0,n185,158
156,0,n186,159
157,0,n160,157
158,0,n170,161
159,0,n159,156
160,0,n171,164
161,0,n172,165
162,0,n187,160
163,0,n189,163
164,0,n188,162
165,0,n174,166
166,0,n191,170
167,0,n192,173
168,0,n190,167
169,0,n180,175
170,0,n176,169
171,0,n178,172
172,0,n175,168
173,0,n177,171
174,0,n179,174
175,0,n210,182
176,0,n193,176
177,0,n211,183
178,0,n194,179
179,0,n195,185
180,0,n184,181
181,0,n183,180
182,0,n182,178
183,0,n196,188
184,0,n181,177
185,0,n197,189
186,0,n212,184
187,0,n214,187
188,0,n213,186
189,0,n199,190
190,0,n216,194
191,0,n217,197
192,0,n215,191
193,0,n201,193
194,0,n203,196
195,0,n205,199
196,0,n200,192
197,0,n202,195
198,0,n204,198
199,0,n235,206
200,0,n218,200
201,0,n236,207
202,0,n219,203
203,0,n220,209
204,0,n209,205
205,0,n208,204
206,0,n207,202
207,0,n221,211
208,0,n206,201
209,0,n222,213
210,0,n237,208
211,0,n239,212
212,0,n238,210
213,0,n224,214
214,0,n241,218
215,0,n242,221
216,0,n240,215
217,0,n229,222
218,0,n226,217
219,0,n228,220
220,0,n225,216
221,0,n227,219
222,0,n230,223
223,0,n263,230
224,0,n243,224
225,0,n244,227
226,0,n245,231
227,0,n234,229
228,0,n233,228
229,0,n232,226
230,0,n246,232
231,0,n231,225
232,0,n264,233
233,0,n265,236
234,0,n266,239
235,0,n251,240
236,0,n250,238
237,0,n249,237
238,0,n248,235
239,0,n252,241
240,0,n247,234
241,0,n269,248
242,0,n268,245
243,0,n267,242
244,0,n257,249
245,0,n256,247
246,0,n255,246
247,0,n254,244
248,0,n258,250
249,0,n253,243
250,0,n271,254
251,0,n270,251
252,0,n282,257
253,0,n262,256
254,0,n261,255
255,0,n272,258
256,0,n260,253
257,0,n273,260
258,0,n259,252
259,0,n284,265
260,0,n274,261
261,0,n276,264
262,0,n275,262
263,0,n289,284
264,1,n295,undefined
265,0,n288,271
266,0,n290,273
267,0,n287,270
268,0,n286,268
269,0,n285,267
270,0,n278,269
271,0,n277,266
272,0,n279,272
273,0,n291,275
274,0,n294,279
275,0,n292,276
276,0,n293,278
277,0,n306,285
278,0,n296,280
279,0,n280,274
280,0,n297,281
281,0,n281,277
282,0,n308,297
283,0,n298,282
284,0,n300,286
285,0,n299,283
286,0,n309,288
287,0,n310,289
288,0,n311,291
289,0,n312,292
290,0,n314,295
291,0,n313,293
292,0,n302,290
293,0,n301,287
294,0,n303,294
295,0,n318,307
296,0,n317,301
297,0,n331,306
298,0,n316,299
299,0,n315,298
300,0,n304,296
301,0,n321,302
302,0,n305,300
303,0,n322,303
304,0,n345,309
305,0,n333,310
306,0,n323,304
307,0,n325,308
308,0,n324,305
309,0,n338,318
310,0,n337,316
311,0,n339,319
312,0,n336,315
