xml_id	midi_id	track	channel	pitch	onset
n19	31	1	0	59	1.0078125
n15	3	1	0	63	1.0
n16	8	1	0	64	1.87109375
n2	1	1	0	70	1.4583333333333335
n5	5	1	0	70	2.0677083333333335
n1	0	1	0	71	1.2369791666666667
n3	2	1	0	71	1.6653645833333335
n6	6	1	0	71	2.2734375
n4	4	1	0	73	1.87109375
n7	7	1	0	73	2.4674479166666665
n17	12	1	0	66	2.6861979166666665
n9	10	1	0	73	3.0703125
n8	9	1	0	75	2.8671875
n10	11	1	0	75	3.2682291666666665
n18	17	1	0	68	3.4882812499999996
n12	14	1	0	73	3.6640624999999996
n13	15	1	0	75	3.8671874999999996
n11	13	1	0	76	3.4843749999999996
n14	16	1	0	76	4.05859375
n28	24	1	0	70	4.319010416666667
n21	19	1	0	75	4.769531250000001
n20	18	1	0	76	4.555989583333334
n22	20	1	0	76	4.975260416666668
n24	22	1	0	73	5.358072916666669
n25	23	1	0	75	5.567708333333336
n26	25	1	0	76	5.743489583333335
n23	21	1	0	78	5.179687500000002
n30	27	1	0	68	6.410156250000002
n29	26	1	0	70	6.223958333333335
n31	28	1	0	70	6.613281250000002
n27	32	1	0	75	5.980468750000002
n33	30	1	0	68	7.026041666666668
n34	33	1	0	70	7.217447916666668
n32	29	1	0	71	6.825520833333335
n35	34	1	0	71	7.407552083333335
n51	36	1	0	54	8.031250000000002
n50	35	1	0	56	7.794270833333334
n52	37	1	0	56	8.214843750000002
n46	38	1	0	65	7.649739583333334
n37	45	1	0	73	7.609375000000001
n54	40	1	0	54	8.608072916666668
n55	41	1	0	56	8.809895833333334
n53	39	1	0	58	8.425781250000002
n56	42	1	0	58	9.02734375
n47	51	1	0	66	8.410156250000002
n57	43	1	0	51	9.27734375
n40	46	1	0	68	9.647135416666666
n39	44	1	0	70	9.451822916666666
n41	47	1	0	70	9.828125
n58	50	1	0	56	10.08203125
n43	49	1	0	68	10.265625
n44	52	1	0	70	10.473958333333334
n42	48	1	0	71	10.063802083333334
n45	53	1	0	71	10.651041666666666
n73	55	1	0	49	10.872395833333332
n70	56	1	0	65	10.869791666666666
n61	57	1	0	66	11.264322916666666
n60	54	1	0	68	11.065104166666666
n62	58	1	0	68	11.451822916666666
n74	59	1	0	54	11.674479166666668
n71	60	1	0	64	11.669270833333334
n64	61	1	0	66	11.855468750000002
n65	62	1	0	68	12.063802083333336
