xml_id	midi_id	track	channel	pitch	onset
n19	35	1	0	36	0.9700520833333334
n20	36	1	0	48	0.95703125
n7	5	1	0	65	2.9348958333333335
n5	3	1	0	67	2.42578125
n2	0	1	0	72	1.6171875
n3	1	1	0	74	1.9205729166666665
n8	6	1	0	74	3.2083333333333335
n4	2	1	0	76	2.1640625
n6	4	1	0	76	2.6809895833333335
n9	7	1	0	64	3.4934895833333335
n13	11	1	0	67	3.9986979166666674
n12	10	1	0	69	3.837239583333334
n14	12	1	0	70	4.273437500000001
n11	9	1	0	71	3.7369791666666674
n10	8	1	0	72	3.6132812500000004
n17	15	1	0	60	5.083333333333334
n15	13	1	0	64	4.548177083333334
n16	14	1	0	67	4.813802083333334
n18	16	1	0	70	5.345052083333333
n24	20	1	0	64	5.979166666666668
n23	19	1	0	65	5.875000000000001
n25	21	1	0	65	6.132812500000001
n22	18	1	0	67	5.747395833333334
n21	17	1	0	69	5.6328125
n26	22	1	0	69	6.415364583333334
n29	25	1	0	57	7.212239583333333
n30	26	1	0	60	7.473958333333333
n27	23	1	0	62	6.6796875
n28	24	1	0	65	6.9453125
n31	27	1	0	59	7.751302083333333
n32	28	1	0	62	8.014322916666666
n33	29	1	0	64	8.26171875
n34	30	1	0	65	8.526041666666666
n35	31	1	0	55	8.79296875
n38	34	1	0	62	9.600260416666666
n37	33	1	0	64	9.317708333333334
n36	32	1	0	65	9.05078125
n44	38	1	0	57	10.82291666666667
n43	37	1	0	59	10.571614583333336
n42	53	1	0	60	10.290364583333334
n47	deletion
n41	57	1	0	64	9.950520833333332
n55	41	1	0	50	11.867187500000004
n54	40	1	0	52	11.606770833333337
n53	39	1	0	53	11.348958333333336
n45	51	1	0	55	11.091145833333336
n59	45	1	0	47	12.511718750000002
n56	42	1	0	48	12.13932291666667
n58	44	1	0	48	12.384114583333336
n60	46	1	0	48	12.648437500000002
n57	43	1	0	50	12.273437500000004
n61	47	1	0	52	12.92447916666667
n62	48	1	0	43	13.171875000000005
n65	52	1	0	43	13.983072916666673
n64	50	1	0	45	13.70052083333334
n63	49	1	0	46	13.437500000000005
n88	66	1	0	41	14.361979166666673
n81	54	1	0	48	14.673177083333341
n82	55	1	0	50	14.930989583333341
n83	56	1	0	52	15.194010416666675
n77	59	1	0	57	14.334635416666673
n85	62	1	0	52	16.119791666666675
n84	58	1	0	53	15.552083333333343
n69	61	1	0	60	16.384114583333343
n68	60	1	0	62	15.846354166666675
n86	67	1	0	50	16.69531250000001
n78	65	1	0	55	16.666666666666675
n70	63	1	0	59	16.662760416666675
n79	69	1	0	59	17.485677083333343
n71	64	1	0	62	16.92578125000001
n72	68	1	0	67	17.21093750000001
n90	70	1	0	40	17.804687500000007
n91	76	1	0	45	18.319010416666675
n87	73	1	0	52	17.789062500000007
n80	75	1	0	60	17.765625000000007
n76	74	1	0	64	18.570312500000007
n75	72	1	0	65	18.307291666666675
n74	71	1	0	67	18.036458333333343
n108	81	1	0	38	18.990885416666675
n104	82	1	0	50	18.968750000000007
n101	79	1	0	57	19.716145833333336
n99	77	1	0	60	19.21354166666667
n100	78	1	0	62	19.468750000000004
n92	80	1	0	65	18.916666666666675
n109	87	1	0	43	20.054687500000004
n102	85	1	0	59	20.018229166666668
n96	86	1	0	62	20.80989583333334
n95	84	1	0	64	20.54817708333334
n94	83	1	0	65	20.281250000000004
n110	88	1	0	36	21.15104166666667
n111	89	1	0	43	21.38151041666667
n112	90	1	0	45	21.658854166666668
n113	91	1	0	47	21.912760416666668
n105	deletion
n103	94	1	0	60	21.121093750000004
n129	deletion
n97	96	1	0	64	21.117187500000004
n116	95	1	0	45	22.701822916666664
n114	92	1	0	48	22.173177083333332
n117	97	1	0	48	22.963541666666664
n115	93	1	0	52	22.438802083333332
n139	101	1	0	38	23.85416666666666
n138	98	1	0	42	23.30208333333333
n132	102	1	0	57	24.09114583333333
n131	100	1	0	59	23.82291666666666
n130	99	1	0	60	23.558593749999996
n118	103	1	0	62	23.269531249999996
n140	106	1	0	43	24.42838541666666
n133	107	1	0	59	24.40885416666666
n120	104	1	0	62	24.664062499999993
n121	105	1	0	64	24.920572916666657
n122	108	1	0	67	25.177083333333325
n142	110	1	0	45	25.826822916666657
n143	111	1	0	47	25.94140624999999
n144	112	1	0	48	26.06640624999999
n145	113	1	0	50	26.16927083333332
n146	115	1	0	52	26.32812499999999
n134	114	1	0	57	25.559895833333325
n123	116	1	0	60	25.548177083333325
n147	121	1	0	42	26.635416666666657
n137	132	1	0	50	27.191406249999993
n128	120	1	0	60	27.441406249999993
n126	118	1	0	67	27.02083333333333
n125	117	1	0	69	26.90494791666666
n127	119	1	0	69	27.16276041666666
n170	127	1	0	43	27.835937499999993
n159	124	1	0	54	28.59765624999999
n158	123	1	0	55	28.31249999999999
n157	122	1	0	57	28.044270833333325
n148	125	1	0	59	27.773437499999993
n171	131	1	0	41	29.468749999999993
n160	129	1	0	55	28.901041666666657
n150	126	1	0	62	29.174479166666657
n151	128	1	0	64	29.454427083333325
n152	130	1	0	65	29.708333333333325
n172	133	1	0	40	30.076822916666654
n173	136	1	0	43	30.615885416666657
n169	143	1	0	52	30.57161458333332
n162	135	1	0	59	30.55598958333332
n163	137	1	0	62	30.83203124999999
n161	134	1	0	64	30.28124999999999
n153	141	1	0	67	30.015624999999986
n174	139	1	0	45	31.11718749999999
n175	142	1	0	49	31.68359374999999
n166	150	1	0	57	31.65755208333332
n164	138	1	0	61	31.08984374999999
n165	140	1	0	64	31.37239583333332
n155	144	1	0	67	31.91927083333332
n198	145	1	0	38	32.287760416666664
n190	146	1	0	45	32.52473958333333
n191	147	1	0	47	32.78255208333333
n192	148	1	0	49	33.04427083333333
n176	154	1	0	65	32.23567708333333
n201	152	1	0	47	33.864583333333336
n193	149	1	0	50	33.31380208333333
n202	155	1	0	50	34.125
n200	151	1	0	53	33.578125
n183	153	1	0	62	33.856770833333336
n195	159	1	0	40	34.97786458333334
n194	156	1	0	44	34.47135416666668
n187	160	1	0	59	35.23307291666668
n186	158	1	0	60	34.96354166666668
n185	157	1	0	62	34.691406250000014
n177	161	1	0	64	34.43489583333334
n197	166	1	0	43	36.082031250000014
n196	162	1	0	45	35.550781250000014
n188	173	1	0	60	35.53255208333335
n179	163	1	0	64	35.80729166666668
n180	164	1	0	65	36.085937500000014
n181	165	1	0	67	36.32942708333335
n226	175	1	0	40	37.15755208333336
n225	171	1	0	41	36.658854166666686
n206	170	1	0	64	36.98567708333336
n205	169	1	0	65	36.87369791666669
n207	172	1	0	65	37.13151041666669
n204	168	1	0	67	36.75390625000002
n203	167	1	0	69	36.63411458333335
n208	174	1	0	69	37.41406250000003
n228	181	1	0	38	38.220052083333364
n227	176	1	0	41	37.696614583333364
n209	179	1	0	62	37.673177083333364
n218	deletion
n212	180	1	0	69	38.449218750000036
n211	178	1	0	71	38.1979166666667
n210	177	1	0	72	37.9205729166667
n229	190	1	0	40	38.859375000000036
n222	184	1	0	62	39.62109375000005
n221	183	1	0	64	39.361979166666714
n220	182	1	0	65	39.09375000000004
n213	185	1	0	68	38.79817708333337
n223	187	1	0	60	39.895833333333385
n224	188	1	0	60	40.697916666666714
n215	186	1	0	64	40.15234375000005
n216	189	1	0	69	40.44921875000005
n247	191	1	0	47	41.26692708333338
n248	192	1	0	48	41.533854166666714
n249	193	1	0	50	41.776041666666714
n240	196	1	0	59	41.00130208333338
n231	194	1	0	69	41.52473958333338
n252	199	1	0	47	42.58333333333338
n253	202	1	0	50	42.83984375000004
n250	195	1	0	52	42.02864583333338
n251	198	1	0	55	42.29166666666671
n241	201	1	0	62	42.60156250000004
n233	200	1	0	65	42.57421875000004
n232	197	1	0	67	42.03255208333338
n256	206	1	0	45	43.66406250000005
n254	203	1	0	49	43.12109375000005
n255	208	1	0	52	43.37109375000005
n260	209	1	0	55	43.97526041666672
n244	207	1	0	61	43.651041666666714
n243	204	1	0	62	43.37500000000005
n234	205	1	0	64	43.09895833333338
n235	210	1	0	64	43.94140625000006
n257	219	1	0	50	44.22395833333339
n264	217	1	0	52	45.02343750000006
n263	213	1	0	53	44.77604166666672
n262	211	1	0	55	44.520833333333385
n245	215	1	0	57	44.21093750000006
n239	216	1	0	61	45.00260416666672
n238	214	1	0	62	44.751302083333385
n237	212	1	0	64	44.47916666666672
n285	222	1	0	45	45.873697916666735
n289	227	1	0	53	45.347656250000064
n265	218	1	0	62	45.300781250000064
n266	220	1	0	69	45.58854166666673
n267	221	1	0	71	45.846354166666735
n268	223	1	0	73	46.096354166666735
n286	225	1	0	46	46.369791666666735
n287	234	1	0	50	46.92187500000007
n281	226	1	0	69	46.90364583333341
n282	228	1	0	72	47.16796875000007
