idx,matchtype,partid,ppartid
0,0,n16,5
1,0,n17,32
2,0,n8,7
3,0,n7,6
4,0,n2,0
5,0,n6,4
6,0,n3,1
7,0,n5,3
8,0,n4,2
9,0,n15,11
10,0,n12,12
11,0,n11,10
12,0,n10,9
13,0,n9,8
14,0,n28,16
15,0,n22,15
16,0,n21,14
17,0,n20,13
18,0,n18,28
19,0,n29,20
20,0,n26,19
21,0,n25,18
22,0,n24,17
23,0,n23,31
24,0,n30,21
25,0,n31,22
26,0,n32,23
27,0,n33,24
28,0,n27,29
29,0,n47,30
30,0,n46,27
31,0,n45,26
32,0,n44,25
33,0,n54,37
34,0,n53,36
35,0,n52,34
36,0,n48,33
37,0,n38,38
38,0,n39,35
39,0,n40,39
40,0,n58,42
41,0,n57,41
42,0,n56,40
43,0,n49,43
44,1,n55,undefined
45,0,n41,45
46,0,n42,46
47,0,n43,44
48,0,n78,59
49,0,n73,52
50,0,n72,49
51,0,n71,47
52,1,n70,undefined
53,0,n64,56
54,0,n62,51
55,0,n61,50
56,0,n60,48
57,0,n74,54
58,0,n75,58
59,0,n68,57
60,0,n67,55
61,0,n66,53
62,0,n63,71
63,0,n82,62
64,0,n81,61
65,0,n80,60
66,0,n77,64
67,0,n76,63
68,0,n69,65
69,0,n102,69
70,0,n98,68
71,0,n89,66
72,0,n90,67
73,0,n91,70
74,0,n103,79
75,0,n99,72
76,0,n100,75
77,0,n92,90
78,0,n93,73
79,0,n94,74
80,0,n95,76
81,0,n101,81
82,0,n96,80
83,0,n86,77
84,0,n87,78
85,0,n88,86
86,0,n124,85
87,0,n121,91
88,0,n119,84
89,0,n118,83
90,0,n117,82
91,0,n125,88
92,0,n122,92
93,0,n110,89
94,0,n111,106
95,0,n106,87
96,0,n107,109
97,0,n126,95
98,0,n123,98
99,0,n112,93
100,0,n115,97
101,0,n114,96
102,0,n113,94
103,0,n143,102
104,0,n139,99
105,0,n140,100
106,0,n141,101
107,0,n132,103
108,0,n144,108
109,0,n142,122
110,0,n134,104
111,0,n135,105
112,0,n136,107
113,0,n145,112
114,0,n137,114
115,0,n129,110
116,0,n130,111
117,0,n131,118
118,0,n163,117
119,0,n154,116
120,0,n153,115
121,0,n152,113
122,0,n164,121
123,0,n155,119
124,0,n156,133
125,0,n148,120
126,0,n149,125
127,0,n165,127
128,0,n162,126
129,0,n161,124
130,0,n160,123
131,0,n184,132
132,0,n183,129
133,0,n181,143
134,0,n167,128
135,0,n168,130
136,0,n169,131
137,0,n185,144
138,1,n182,undefined
139,0,n172,137
140,0,n179,136
141,0,n178,135
142,0,n177,134
143,0,n170,139
144,0,n176,141
145,0,n175,140
146,0,n174,138
147,0,n180,142
148,0,n196,146
149,0,n192,145
150,0,n197,147
151,0,n198,148
152,0,n190,152
153,0,n186,151
154,0,n187,155
155,0,n202,154
156,0,n201,153
157,0,n200,150
158,0,n199,149
159,0,n206,161
160,0,n205,160
161,0,n204,158
162,0,n203,156
163,0,n191,157
164,0,n189,162
165,0,n223,168
166,0,n221,176
167,1,n226,undefined
168,0,n208,163
169,0,n209,164
170,0,n210,165
171,0,n224,171
172,0,n219,180
173,0,n214,170
174,0,n213,169
175,0,n212,167
176,0,n211,166
177,0,n225,185
178,0,n218,175
179,0,n217,174
180,0,n216,173
181,0,n215,172
182,0,n240,186
183,0,n238,179
184,0,n237,178
185,0,n236,177
186,0,n227,183
187,0,n234,184
188,0,n233,182
189,0,n232,181
190,0,n239,195
191,0,n247,194
192,0,n243,187
193,0,n244,188
194,0,n245,189
195,0,n235,196
196,1,n228,undefined
197,0,n229,197
198,0,n258,193
199,0,n257,192
200,0,n256,191
201,0,n255,190
202,0,n264,200
203,0,n263,199
204,0,n262,198
205,0,n259,212
206,0,n254,215
207,0,n249,201
208,0,n268,206
209,0,n267,205
210,0,n266,203
211,0,n265,202
212,0,n250,204
213,1,n251,undefined
214,0,n287,213
215,0,n286,211
216,0,n285,209
217,0,n284,208
218,0,n269,210
219,0,n270,214
220,0,n289,220
221,0,n288,216
222,0,n283,225
223,0,n280,219
224,0,n279,218
225,0,n278,217
226,0,n271,224
227,0,n291,227
228,0,n290,221
229,0,n281,228
230,0,n273,222
231,0,n274,223
232,0,n275,226
233,1,n312,undefined
234,0,n311,233
235,1,n306,undefined
236,0,n297,229
237,0,n298,230
238,0,n299,232
239,0,n301,235
240,0,n292,240
241,1,n314,undefined
242,1,n313,undefined
243,0,n303,237
244,0,n302,236
245,0,n300,234
246,0,n315,242
247,0,n310,254
248,0,n304,244
249,0,n305,245
