xml_id	midi_id	track	channel	pitch	onset
n18	3	1	0	45	1.0208333333333333
n21	12	1	0	55	2.596875
n20	8	1	0	56	2.0614583333333334
n19	6	1	0	57	1.5499999999999998
n10	11	1	0	70	2.8666666666666663
n7	7	1	0	71	2.066666666666667
n2	0	1	0	72	1.171875
n6	5	1	0	72	1.8166666666666667
n3	1	1	0	74	1.2947916666666666
n8	9	1	0	75	2.339583333333333
n4	2	1	0	76	1.3906249999999998
n9	10	1	0	76	2.5999999999999996
n5	4	1	0	77	1.5437499999999997
n23	17	1	0	53	3.6520833333333336
n22	14	1	0	54	3.098958333333333
n14	18	1	0	68	3.95625
n11	13	1	0	69	3.1291666666666664
n12	15	1	0	73	3.4010416666666665
n13	16	1	0	74	3.66875
n25	22	1	0	50	4.705208333333333
n24	19	1	0	52	4.194791666666666
n16	20	1	0	69	4.453125
n17	21	1	0	71	4.959375
n35	23	1	0	48	5.367708333333333
n39	28	1	0	48	5.992708333333331
n36	24	1	0	50	5.484374999999999
n37	25	1	0	52	5.581249999999999
n38	27	1	0	53	5.718749999999999
n26	26	1	0	64	5.231249999999999
n27	29	1	0	69	5.731249999999998
n43	34	1	0	46	7.020833333333332
n40	30	1	0	47	6.233333333333331
n41	31	1	0	51	6.495833333333332
n42	33	1	0	52	6.745833333333332
n29	35	1	0	67	6.752083333333331
n28	32	1	0	68	6.2468749999999975
n47	41	1	0	44	8.064583333333333
n44	36	1	0	45	7.268749999999999
n45	38	1	0	49	7.538541666666665
n46	39	1	0	50	7.797916666666666
n31	40	1	0	65	7.810416666666666
n30	37	1	0	66	7.271874999999999
n49	43	1	0	45	8.591666666666669
n50	45	1	0	47	9.136458333333335
n33	44	1	0	62	8.870833333333335
n32	42	1	0	64	8.336458333333335
n69	49	1	0	40	9.421875000000002
n70	50	1	0	45	9.954166666666667
n53	47	1	0	59	9.811458333333334
n52	46	1	0	60	9.709375000000001
n54	48	1	0	60	9.950000000000001
n55	51	1	0	69	10.246875000000001
n71	53	1	0	47	10.491666666666667
n72	55	1	0	49	11.017708333333335
n59	56	1	0	67	11.335416666666667
n57	52	1	0	68	10.753125
n58	54	1	0	76	11.031250000000002
n74	61	1	0	47	12.019791666666668
n73	59	1	0	50	11.55625
n63	60	1	0	63	12.042708333333335
n62	58	1	0	64	11.918750000000001
n61	57	1	0	65	11.811458333333334
n64	62	1	0	71	12.284375000000002
n75	64	1	0	49	12.509375000000002
n76	66	1	0	51	13.04791666666667
n68	67	1	0	69	13.358333333333336
n66	63	1	0	70	12.786458333333336
n67	65	1	0	78	13.069791666666669
n94	70	1	0	52	13.586458333333336
n95	74	1	0	64	14.094791666666667
n78	68	1	0	67	13.752083333333337
n82	73	1	0	67	14.386458333333334
n79	69	1	0	69	13.87604166666667
n80	71	1	0	71	13.960416666666669
n81	72	1	0	72	14.119791666666668
n97	80	1	0	62	15.170833333333333
n96	76	1	0	63	14.637500000000001
n86	79	1	0	65	15.421874999999998
n83	75	1	0	66	14.646875000000001
n84	77	1	0	70	14.911458333333334
n85	78	1	0	71	15.176041666666666
n99	85	1	0	60	16.226041666666664
n98	82	1	0	61	15.688541666666666
n90	86	1	0	63	16.535416666666666
n87	81	1	0	64	15.692708333333332
n88	83	1	0	68	15.958333333333332
n89	84	1	0	69	16.221874999999997
n101	90	1	0	57	17.290625
n100	87	1	0	59	16.772916666666664
n92	88	1	0	64	17.057291666666664
n93	89	1	0	66	17.568749999999998
n111	92	1	0	55	17.947916666666664
n115	96	1	0	55	18.584374999999994
n112	93	1	0	57	18.053124999999998
n102	91	1	0	59	17.81458333333333
n113	94	1	0	59	18.140624999999996
n114	95	1	0	60	18.31041666666666
n103	97	1	0	76	18.31979166666666
n119	102	1	0	53	19.59583333333333
n116	98	1	0	54	18.813541666666662
n117	100	1	0	58	19.084374999999998
n118	101	1	0	59	19.326041666666665
n105	103	1	0	74	19.338541666666664
n104	99	1	0	75	18.83333333333333
n123	109	1	0	51	20.64270833333333
n120	104	1	0	52	19.853125
n121	105	1	0	56	20.122916666666665
n122	107	1	0	57	20.357291666666665
n107	108	1	0	72	20.379166666666666
n106	106	1	0	73	19.857291666666665
n125	111	1	0	52	21.194791666666664
n126	112	1	0	54	21.701041666666665
n109	113	1	0	69	21.429166666666664
n108	110	1	0	71	20.915625
n143	116	1	0	47	21.99375
n144	118	1	0	52	22.49583333333333
n129	115	1	0	66	22.39270833333333
n128	114	1	0	67	22.27708333333333
n130	117	1	0	67	22.540625
n131	119	1	0	76	22.808333333333334
n145	120	1	0	54	23.03125
n146	122	1	0	56	23.565625
n135	125	1	0	74	23.869791666666664
n133	121	1	0	75	23.301041666666666
n134	123	1	0	83	23.579166666666666
n148	126	1	0	45	24.37291666666666
n147	124	1	0	57	24.118749999999995
n149	131	1	0	57	24.64479166666666
n140	130	1	0	69	24.935416666666658
n138	128	1	0	71	24.512499999999992
n137	127	1	0	72	24.38854166666666
n139	129	1	0	72	24.664583333333326
n153	138	1	0	55	25.96874999999999
n151	132	1	0	56	25.467708333333324
n152	134	1	0	64	25.72499999999999
n141	133	1	0	71	25.19374999999999
n142	135	1	0	73	25.70416666666666
n172	142	1	0	50	26.999999999999986
n170	140	1	0	52	26.62187499999999
n169	139	1	0	54	26.480208333333323
n171	141	1	0	54	26.76770833333332
n155	137	1	0	62	26.491666666666656
n154	136	1	0	74	26.235416666666655
n156	143	1	0	74	26.74687499999999
n173	145	1	0	52	27.27708333333332
n174	146	1	0	54	27.791666666666654
n160	149	1	0	72	28.10624999999999
n158	144	1	0	73	27.540624999999988
n159	147	1	0	81	27.81770833333332
n176	150	1	0	43	28.587499999999988
n175	148	1	0	55	28.336458333333322
n177	155	1	0	55	28.84062499999999
n165	154	1	0	67	29.135416666666654
n163	152	1	0	69	28.72395833333332
n162	151	1	0	71	28.607291666666654
n164	153	1	0	71	28.876041666666655
n181	160	1	0	53	30.140624999999986
n179	156	1	0	54	29.641666666666655
n180	158	1	0	62	29.897916666666653
n166	157	1	0	69	29.382291666666653
n167	159	1	0	71	29.89270833333332
n191	161	1	0	52	30.545833333333317
n195	166	1	0	52	31.218749999999986
n192	162	1	0	53	30.661458333333318
n193	163	1	0	55	30.770833333333318
n194	165	1	0	57	30.928124999999984
n182	164	1	0	72	30.410416666666652
n183	167	1	0	84	30.95416666666665
n199	172	1	0	50	32.23854166666665
n196	168	1	0	51	31.474999999999984
n197	170	1	0	54	31.727083333333315
n198	171	1	0	55	31.977083333333315
n185	173	1	0	82	31.99374999999998
n184	169	1	0	83	31.46979166666665
n203	179	1	0	48	33.281249999999964
