onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,0.5,0.0,0.5,0,4,45,5,n18,0.0,0.557292
0.125,0.125,0.125,0.125,1,1,72,1,n2,0.0,0.557292
0.25,0.125,0.25,0.125,2,1,74,1,n3,0.0,0.557292
0.375,0.125,0.375,0.125,3,1,76,1,n4,0.0,0.557292
0.5,0.25,0.5,0.25,4,2,77,1,n5,0.0,0.557292
0.5,0.5,0.5,0.5,4,4,57,5,n19,0.0,0.557292
0.75,0.25,0.75,0.25,6,2,72,1,n6,0.0,0.557292
1.0,0.25,1.0,0.25,8,2,71,1,n7,1.0,1.748698
1.0,0.5,1.0,0.5,8,4,56,5,n20,1.0,1.748698
1.25,0.25,1.25,0.25,10,2,75,1,n8,1.0,1.748698
1.5,0.25,1.5,0.25,12,2,76,1,n9,1.0,1.748698
1.5,0.5,1.5,0.5,12,4,55,5,n21,1.0,1.748698
1.75,0.25,1.75,0.25,14,2,70,1,n10,1.0,1.748698
2.0,0.25,2.0,0.25,16,2,69,1,n11,2.0,2.850911
2.0,0.5,2.0,0.5,16,4,54,5,n22,2.0,2.850911
2.25,0.25,2.25,0.25,18,2,73,1,n12,2.0,2.850911
2.5,0.25,2.5,0.25,20,2,74,1,n13,2.0,2.850911
2.5,0.5,2.5,0.5,20,4,53,5,n23,2.0,2.850911
2.75,0.5,2.75,0.5,22,4,68,1,n14,2.0,2.850911
3.0,0.5,3.0,0.5,24,4,52,5,n24,3.0,3.947917
3.25,0.5,3.25,0.5,26,4,69,1,n16,3.0,3.947917
3.5,0.625,3.5,0.625,28,5,50,5,n25,3.0,3.947917
3.75,0.25,3.75,0.25,30,2,71,1,n17,3.0,3.947917
4.0,0.5,4.0,0.5,32,4,64,1,n26,4.0,5.03776
4.125,0.125,4.125,0.125,33,1,48,5,n35,4.0,5.03776
4.25,0.125,4.25,0.125,34,1,50,5,n36,4.0,5.03776
4.375,0.125,4.375,0.125,35,1,52,5,n37,4.0,5.03776
4.5,0.5,4.5,0.5,36,4,69,1,n27,4.0,5.03776
4.5,0.25,4.5,0.25,36,2,53,5,n38,4.0,5.03776
4.75,0.25,4.75,0.25,38,2,48,5,n39,4.0,5.03776
5.0,0.5,5.0,0.5,40,4,68,1,n28,5.0,6.157552
5.0,0.25,5.0,0.25,40,2,47,5,n40,5.0,6.157552
5.25,0.25,5.25,0.25,42,2,51,5,n41,5.0,6.157552
5.5,0.5,5.5,0.5,44,4,67,1,n29,5.0,6.157552
5.5,0.25,5.5,0.25,44,2,52,5,n42,5.0,6.157552
5.75,0.25,5.75,0.25,46,2,46,5,n43,5.0,6.157552
6.0,0.5,6.0,0.5,48,4,66,1,n30,6.0,7.25
6.0,0.25,6.0,0.25,48,2,45,5,n44,6.0,7.25
6.25,0.25,6.25,0.25,50,2,49,5,n45,6.0,7.25
6.5,0.5,6.5,0.5,52,4,65,1,n31,6.0,7.25
6.5,0.25,6.5,0.25,52,2,50,5,n46,6.0,7.25
6.75,0.5,6.75,0.5,54,4,44,5,n47,6.0,7.25
7.0,0.5,7.0,0.5,56,4,64,1,n32,7.0,8.360677
7.25,0.5,7.25,0.5,58,4,45,5,n49,7.0,8.360677
7.5,0.75,7.5,0.75,60,6,62,1,n33,7.0,8.360677
7.75,0.25,7.75,0.25,62,2,47,5,n50,7.0,8.360677
