xml_id	midi_id	track	channel	pitch	onset
n18	0	1	0	45	0.875
n21	11	1	0	55	2.45625
n20	9	1	0	56	1.9406249999999998
n19	5	1	0	57	1.4
n10	10	1	0	70	2.697916666666667
n7	7	1	0	71	1.9177083333333333
n2	1	1	0	72	1.0260416666666667
n6	4	1	0	72	1.6635416666666667
n3	2	1	0	74	1.1604166666666667
n8	8	1	0	75	2.1729166666666666
n4	3	1	0	76	1.259375
n9	12	1	0	76	2.4499999999999997
n5	6	1	0	77	1.415625
n23	17	1	0	53	3.5020833333333337
n22	15	1	0	54	2.9781250000000004
n14	18	1	0	68	3.7468750000000006
n11	13	1	0	69	2.9781250000000004
n12	14	1	0	73	3.225
n13	16	1	0	74	3.497916666666667
n25	22	1	0	50	4.532291666666667
n24	19	1	0	52	4.015625
n16	20	1	0	69	4.263541666666667
n17	21	1	0	71	4.771875
n35	23	1	0	48	5.132291666666666
n39	28	1	0	48	5.770833333333331
n36	24	1	0	50	5.2489583333333325
n37	25	1	0	52	5.364583333333332
n38	27	1	0	53	5.516666666666665
n26	26	1	0	64	5.015624999999999
n27	29	1	0	69	5.510416666666665
n43	34	1	0	46	6.827083333333331
n40	30	1	0	47	6.040624999999998
n41	31	1	0	51	6.296874999999998
n42	33	1	0	52	6.568749999999998
n29	35	1	0	67	6.570833333333331
n28	32	1	0	68	6.0385416666666645
n47	41	1	0	44	7.870833333333329
n44	36	1	0	45	7.082291666666664
n45	37	1	0	49	7.33958333333333
n46	39	1	0	50	7.6145833333333295
n31	40	1	0	65	7.612499999999996
n30	38	1	0	66	7.08645833333333
n49	43	1	0	45	8.391666666666664
n50	44	1	0	47	8.923958333333331
n33	46	1	0	62	8.667708333333332
n32	42	1	0	64	8.13645833333333
n69	45	1	0	40	9.203124999999998
n70	50	1	0	45	9.675
n53	48	1	0	59	9.538541666666667
n52	47	1	0	60	9.44375
n54	49	1	0	60	9.676041666666668
n55	51	1	0	69	9.942708333333336
n71	52	1	0	47	10.195833333333335
n72	55	1	0	49	10.725000000000003
n59	56	1	0	67	10.970833333333337
n57	53	1	0	68	10.443750000000003
n58	54	1	0	76	10.725000000000003
n74	61	1	0	47	11.697916666666671
n73	57	1	0	50	11.21354166666667
n63	60	1	0	63	11.698958333333339
n62	59	1	0	64	11.581250000000004
n61	58	1	0	65	11.475000000000003
n64	62	1	0	71	11.95208333333334
n75	64	1	0	49	12.209375000000005
n76	66	1	0	51	12.710416666666672
n68	67	1	0	69	12.971875000000004
n66	63	1	0	70	12.456250000000006
n67	65	1	0	78	12.712500000000006
n94	68	1	0	52	13.212500000000004
n95	72	1	0	64	13.696875000000006
n78	69	1	0	67	13.333333333333337
n82	74	1	0	67	13.960416666666672
n79	70	1	0	69	13.445833333333338
n80	71	1	0	71	13.55208333333334
n81	73	1	0	72	13.700000000000006
n97	80	1	0	62	14.781250000000005
n96	76	1	0	63	14.246875000000006
n86	79	1	0	65	15.025000000000006
n83	75	1	0	66	14.244791666666673
n84	77	1	0	70	14.49895833333334
n85	78	1	0	71	14.761458333333339
n99	85	1	0	60	15.816666666666672
n98	82	1	0	61	15.298958333333339
n90	86	1	0	63	16.053125000000005
n87	81	1	0	64	15.279166666666672
n88	83	1	0	68	15.534375000000006
n89	84	1	0	69	15.798958333333339
n101	89	1	0	57	16.820833333333344
n100	87	1	0	59	16.29270833333334
n92	88	1	0	64	16.561458333333345
n93	91	1	0	66	17.054166666666678
n111	92	1	0	55	17.41250000000001
n115	96	1	0	55	18.03125000000001
n112	93	1	0	57	17.526041666666675
n102	90	1	0	59	17.301041666666677
n113	94	1	0	59	17.628125000000008
n114	95	1	0	60	17.77812500000001
n103	97	1	0	76	17.77812500000001
n119	102	1	0	53	19.072916666666675
n116	98	1	0	54	18.30729166666668
n117	99	1	0	58	18.547916666666676
n118	101	1	0	59	18.812500000000007
n105	103	1	0	74	18.81875000000001
n104	100	1	0	75	18.30000000000001
n123	109	1	0	51	20.104166666666675
n120	104	1	0	52	19.316666666666674
n121	105	1	0	56	19.596875000000008
n122	107	1	0	57	19.857291666666676
n107	108	1	0	72	19.85520833333334
n106	106	1	0	73	19.329166666666673
n125	111	1	0	52	20.610416666666676
n126	112	1	0	54	21.128125000000015
n109	114	1	0	69	20.877083333333346
n108	110	1	0	71	20.36875000000001
n143	113	1	0	47	21.359375000000014
n144	118	1	0	52	21.837500000000013
n129	116	1	0	66	21.708333333333346
n128	115	1	0	67	21.609375000000014
n130	117	1	0	67	21.848958333333346
n131	119	1	0	76	22.118750000000013
n145	120	1	0	54	22.361458333333346
n146	123	1	0	56	22.877083333333346
n135	125	1	0	74	23.11041666666668
n133	121	1	0	75	22.59687500000001
