xml_id	midi_id	track	channel	pitch	onset
n7	4	1	0	46	1.0885416666666667
n8	9	1	0	58	1.91796875
n6	6	1	0	65	2.334635416666667
n4	3	1	0	69	1.6731770833333333
n3	2	1	0	70	1.484375
n5	5	1	0	70	1.89453125
n2	1	1	0	72	1.27734375
n1	0	1	0	73	1.0703125
n10	8	1	0	63	3.1393229166666674
n9	7	1	0	66	2.7109375000000004
n14	12	1	0	57	3.5338541666666674
n11	10	1	0	60	3.5494791666666674
n12	11	1	0	65	3.968750000000001
n27	18	1	0	53	4.953125000000001
n26	16	1	0	54	4.779947916666668
n25	15	1	0	56	4.574218750000002
n24	13	1	0	58	4.380208333333335
n21	17	1	0	58	4.764322916666668
n20	14	1	0	61	4.352864583333335
n31	27	1	0	49	5.751302083333333
n30	26	1	0	51	5.559895833333335
n29	22	1	0	53	5.369791666666668
n28	19	1	0	54	5.177083333333334
n22	20	1	0	70	5.194010416666668
n23	24	1	0	70	5.566406250000001
n19	28	1	0	77	5.74609375
n18	25	1	0	78	5.561197916666668
n17	23	1	0	80	5.352864583333335
n16	21	1	0	82	5.179687500000001
n48	37	1	0	46	6.536458333333331
n47	34	1	0	48	6.334635416666664
n46	32	1	0	49	6.152343749999998
n45	30	1	0	51	5.953124999999999
n41	35	1	0	69	6.355468749999997
n40	29	1	0	70	5.981770833333332
n42	38	1	0	70	6.537760416666664
n35	39	1	0	73	6.533854166666664
n34	36	1	0	75	6.348958333333331
n33	33	1	0	77	6.154947916666665
n32	31	1	0	78	5.964843749999999
n50	43	1	0	41	6.946614583333332
n51	44	1	0	43	7.110677083333332
n49	40	1	0	45	6.733072916666665
n52	48	1	0	45	7.285156249999998
n36	41	1	0	72	6.738281249999998
n44	46	1	0	72	7.126302083333332
n43	deletion
n38	45	1	0	75	7.119791666666665
n37	42	1	0	77	6.928385416666665
n39	47	1	0	77	7.292968749999998
n63	49	1	0	46	7.498697916666665
n64	52	1	0	48	7.680989583333331
n65	53	1	0	49	7.89973958333333
n66	56	1	0	51	8.109374999999996
n54	55	1	0	65	7.9205729166666625
n61	57	1	0	69	8.104166666666663
n60	54	1	0	70	7.901041666666663
n59	50	1	0	72	7.510416666666665
n53	51	1	0	73	7.515624999999998
n67	58	1	0	49	8.312499999999998
n68	61	1	0	54	8.718749999999998
n62	63	1	0	70	8.308593749999998
n57	60	1	0	72	8.712239583333332
n56	59	1	0	73	8.52083333333333
n58	62	1	0	73	8.903645833333334
n80	65	1	0	48	9.128906250000002
n81	67	1	0	49	9.308593750000005
n82	68	1	0	51	9.519531250000007
n83	70	1	0	53	9.722656250000007
n75	71	1	0	65	9.714843750000007
n74	69	1	0	66	9.53255208333334
n73	66	1	0	68	9.316406250000005
n70	72	1	0	70	9.522135416666673
n69	64	1	0	75	9.130208333333336
n84	74	1	0	51	9.944010416666675
n85	77	1	0	56	10.325520833333345
n77	75	1	0	63	10.121093750000009
n78	78	1	0	65	10.32031250000001
n76	73	1	0	66	9.941406250000009
n79	79	1	0	66	10.510416666666679
n71	76	1	0	72	9.924479166666675
n98	83	1	0	48	11.138020833333346
n97	80	1	0	49	10.726562500000014
n90	81	1	0	65	10.92838541666668
n91	82	1	0	67	11.132812500000012
n92	85	1	0	69	11.32291666666668
n86	84	1	0	73	10.72526041666668
n100	91	1	0	46	11.911458333333346
n99	87	1	0	49	11.52604166666668
n93	86	1	0	70	11.52213541666668
n96	90	1	0	70	12.101562500000014
n94	88	1	0	72	11.71744791666668
n95	89	1	0	73	11.91666666666668
n110	93	1	0	53	12.361979166666682
n111	98	1	0	56	12.772135416666684
n108	96	1	0	60	12.779947916666684
n107	95	1	0	72	12.358072916666682
n104	99	1	0	76	12.983072916666682
n103	97	1	0	77	12.78645833333335
n102	94	1	0	79	12.57552083333335
n101	92	1	0	80	12.351562500000016
n115	105	1	0	56	13.80989583333335
n114	103	1	0	58	13.625000000000016
n113	102	1	0	60	13.411458333333348
n112	100	1	0	61	13.22005208333335
n109	108	1	0	65	13.222656250000016
n106	104	1	0	72	13.611979166666682
n105	101	1	0	77	13.205729166666684
n123	109	1	0	55	14.205729166666682
n124	112	1	0	56	14.415364583333348
n122	106	1	0	58	14.027343750000016
n125	111	1	0	58	14.596354166666682
n117	110	1	0	70	14.397135416666682
n116	107	1	0	73	14.011718750000016
n129	118	1	0	55	15.410156250000014
n128	116	1	0	56	15.21354166666668
n127	115	1	0	58	15.003906250000014
n126	113	1	0	60	14.79947916666668
n121	119	1	0	64	14.821614583333346
n118	114	1	0	67	14.802083333333346
n119	117	1	0	72	15.204427083333346
n142	126	1	0	53	15.609375000000016
n135	121	1	0	64	15.822916666666684
n134	120	1	0	65	15.62630208333335
n131	123	1	0	65	16.046875000000018
n136	deletion
n137	124	1	0	67	16.24218750000002
n130	122	1	0	68	15.61458333333335
n146	133	1	0	53	17.024739583333353
n144	128	1	0	55	16.634114583333353
n145	130	1	0	56	16.82421875000002
n138	127	1	0	68	16.447916666666686
n141	134	1	0	68	17.020833333333353
n139	129	1	0	70	16.619791666666686
n140	132	1	0	72	16.84765625000002
n132	125	1	0	77	16.444010416666686
n133	131	1	0	77	16.833333333333353
n160	135	1	0	55	17.23567708333335
n161	138	1	0	56	17.42708333333335
n162	142	1	0	58	17.62760416666668
n154	140	1	0	67	17.645833333333346
n153	139	1	0	68	17.420572916666682
n155	143	1	0	68	17.81510416666668
n152	136	1	0	70	17.22005208333335
n148	141	1	0	76	17.622395833333346
n147	137	1	0	77	17.22786458333335
n149	144	1	0	77	17.81250000000001
n163	147	1	0	52	18.04036458333334
n164	149	1	0	53	18.40885416666667
n165	152	1	0	55	18.61458333333334
n156	146	1	0	70	18.04036458333334
n159	153	1	0	70	18.59635416666667
n157	148	1	0	72	18.214843750000004
n158	151	1	0	73	18.425781250000004
n150	145	1	0	79	18.02473958333334
n151	150	1	0	79	18.42057291666667
n177	160	1	0	55	19.417968750000007
n174	154	1	0	56	18.816406250000004
n176	157	1	0	56	19.22395833333334
n175	155	1	0	58	19.02864583333334
n171	162	1	0	72	18.82291666666667
n167	158	1	0	77	19.22395833333334
n166	156	1	0	79	18.820312500000004
n168	159	1	0	79	19.40755208333334
n180	165	1	0	49	20.019531250000007
n179	164	1	0	51	19.809895833333343
n178	161	1	0	53	19.622395833333343
n181	168	1	0	53	20.212239583333336
n173	169	1	0	72	20.199218750000004
n172	167	1	0	77	20.01302083333334
n169	163	1	0	80	19.611979166666675
n170	166	1	0	80	20.00911458333334
n194	172	1	0	46	20.434895833333336
n189	176	1	0	72	21.026041666666668
n186	171	1	0	73	20.437500000000004
n188	174	1	0	73	20.828125000000004
n187	173	1	0	75	20.627604166666668
n183	175	1	0	77	20.820312500000004
n182	170	1	0	80	20.430989583333336
n192	180	1	0	67	21.597656250000004
n191	178	1	0	68	21.402343750000004
n190	177	1	0	70	21.227864583333336
n193	182	1	0	70	21.800781250000004
n184	179	1	0	79	21.220052083333336
n185	181	1	0	82	21.609375000000004
n206	188	1	0	58	22.62369791666666
n205	186	1	0	60	22.433593749999996
n204	185	1	0	61	22.230468749999996
n199	183	1	0	64	22.032552083333332
n200	187	1	0	67	22.43098958333333
n197	189	1	0	76	22.421874999999996
n196	184	1	0	82	22.0234375
n209	192	1	0	53	23.23828124999999
n208	191	1	0	55	23.04427083333332
n207	190	1	0	56	22.830729166666657
n210	195	1	0	56	23.420572916666657
n201	193	1	0	60	22.82421874999999
n202	194	1	0	72	23.240885416666657
n198	200	1	0	77	22.81640624999999
n222	199	1	0	46	24.045572916666657
n221	196	1	0	49	23.640624999999996
n213	197	1	0	70	23.63411458333333
n216	202	1	0	70	24.24999999999999
n214	198	1	0	72	23.84114583333333
n215	201	1	0	73	24.048177083333325
n224	208	1	0	36	24.837239583333314
n223	203	1	0	48	24.438802083333318
n217	204	1	0	67	24.45182291666665
n220	209	1	0	70	25.03776041666665
n219	207	1	0	72	24.841145833333314
n218	206	1	0	73	24.641927083333314
n212	205	1	0	76	24.446614583333318
n233	210	1	0	41	25.304687499999975
n234	211	1	0	48	25.52604166666664
n235	214	1	0	50	25.723958333333307
n236	215	1	0	52	25.934895833333307
n231	212	1	0	68	25.321614583333307
n226	216	1	0	72	25.72526041666664
n225	213	1	0	77	25.295572916666643
n237	217	1	0	53	26.132812499999975
n240	223	1	0	53	26.760416666666643
n238	220	1	0	54	26.345052083333307
n239	221	1	0	56	26.56510416666664
n232	224	1	0	59	26.555989583333307
