idx,matchtype,partid,ppartid
0,0,n9,1
1,0,n10,5
2,0,n15,13
3,0,n11,8
4,0,n14,12
5,0,n13,10
6,0,n3,3
7,0,n7,9
8,0,n4,4
9,0,n1,0
10,0,n5,6
11,0,n8,11
12,0,n2,2
13,0,n6,7
14,0,n27,19
15,0,n26,15
16,0,n16,14
17,0,n20,20
18,0,n17,16
19,0,n19,18
20,0,n21,21
21,0,n18,17
22,0,n28,22
23,0,n29,26
24,0,n25,27
25,0,n23,24
26,0,n22,23
27,0,n24,25
28,0,n38,29
29,0,n39,32
30,0,n32,31
31,0,n33,33
32,0,n30,28
33,0,n31,30
34,0,n44,41
35,0,n40,35
36,0,n43,40
37,0,n42,38
38,0,n36,36
39,0,n34,34
40,0,n37,39
41,0,n35,37
42,0,n53,47
43,0,n52,43
44,0,n48,46
45,0,n45,42
46,0,n47,45
47,0,n46,44
48,0,n57,51
49,0,n56,50
50,0,n55,49
51,0,n49,48
52,0,n64,54
53,0,n65,55
54,0,n62,52
55,0,n63,53
56,0,n59,56
57,0,n68,60
58,0,n66,58
59,0,n69,62
60,0,n67,59
61,0,n61,61
62,0,n60,57
63,0,n74,63
64,0,n78,67
65,0,n75,64
66,0,n77,66
67,0,n79,68
68,0,n76,65
69,0,n71,69
70,0,n83,75
71,0,n81,72
72,0,n80,70
73,0,n82,73
74,0,n73,74
75,0,n72,71
76,0,n95,78
77,0,n96,79
78,0,n93,76
79,0,n94,77
80,0,n85,80
81,0,n99,86
82,0,n97,81
83,0,n100,90
84,0,n98,84
85,0,n92,89
86,0,n91,88
87,0,n88,83
88,0,n90,87
89,0,n87,82
90,0,n89,85
91,0,n112,96
92,0,n109,91
93,0,n111,94
94,0,n110,93
95,0,n102,95
96,0,n101,92
97,0,n113,97
98,0,n114,102
99,0,n106,100
100,0,n105,99
101,0,n107,101
102,0,n104,98
103,0,n108,103
104,0,n124,105
105,0,n125,110
106,0,n115,104
107,0,n116,106
108,0,n120,111
109,0,n117,107
110,0,n119,109
111,0,n118,108
112,0,n126,112
113,0,n127,114
114,0,n123,115
115,0,n122,113
116,0,n138,121
117,0,n137,116
118,0,n131,119
119,0,n130,118
120,0,n132,120
121,0,n129,117
122,0,n133,122
123,0,n139,123
124,0,n140,125
125,0,n135,124
126,0,n136,126
127,0,n150,128
128,0,n151,133
129,0,n141,127
130,0,n142,129
131,0,n146,134
132,0,n143,130
133,0,n145,132
134,0,n144,131
135,0,n152,135
136,0,n153,137
137,0,n149,138
138,0,n148,136
139,0,n164,143
140,0,n163,139
141,0,n157,142
142,0,n156,141
143,0,n158,144
144,0,n155,140
145,0,n159,145
146,0,n165,146
147,0,n166,148
148,0,n161,147
149,0,n162,149
150,0,n177,151
151,0,n178,153
152,0,n167,150
153,0,n168,152
154,0,n169,154
155,0,n179,155
156,0,n180,158
157,0,n176,162
158,0,n175,161
159,0,n172,157
160,0,n174,160
161,0,n171,156
162,0,n173,159
163,0,n191,164
164,0,n192,166
165,0,n181,163
166,0,n182,165
167,0,n183,167
168,0,n193,168
169,0,n194,172
170,0,n190,175
171,0,n189,174
172,0,n186,170
173,0,n188,173
174,0,n185,169
175,0,n187,171
176,0,n205,177
177,0,n206,179
178,0,n195,176
179,0,n196,178
180,0,n197,180
181,0,n207,181
182,0,n208,184
183,0,n204,188
184,0,n203,187
185,0,n200,183
186,0,n202,186
187,0,n199,182
188,0,n201,185
189,0,n219,190
190,0,n220,192
191,0,n209,189
192,0,n210,191
193,0,n211,193
194,0,n221,194
195,0,n222,198
196,0,n218,201
197,0,n217,200
198,0,n214,196
199,0,n216,199
200,0,n213,195
201,0,n215,197
202,0,n231,203
203,0,n232,206
204,0,n225,205
205,0,n226,207
206,0,n223,202
207,0,n224,204
208,0,n237,215
209,0,n233,209
210,0,n236,213
211,0,n235,211
212,0,n229,210
213,0,n227,208
214,0,n230,214
215,0,n228,212
216,0,n249,221
217,0,n248,217
218,0,n238,216
219,0,n242,222
220,0,n239,218
221,0,n241,220
222,0,n243,223
223,0,n240,219
224,0,n250,225
225,0,n251,228
226,0,n247,229
227,0,n245,226
228,0,n244,224
229,0,n246,227
230,0,n260,231
231,0,n261,234
232,0,n254,233
233,0,n255,235
234,0,n252,230
235,0,n253,232
236,0,n266,243
237,0,n262,237
238,0,n265,242
239,0,n264,239
240,0,n258,238
241,0,n256,236
242,0,n259,241
243,0,n257,240
244,0,n275,248
245,0,n274,245
246,0,n270,249
247,0,n267,244
248,0,n269,247
249,0,n268,246
250,0,n279,253
251,0,n278,252
252,0,n277,251
253,0,n271,250
254,0,n289,256
255,0,n290,258
256,0,n287,254
257,0,n288,255
258,0,n281,257
259,0,n293,265
260,0,n291,261
261,0,n294,266
262,0,n292,263
263,0,n284,262
264,0,n283,260
265,0,n285,264
266,0,n282,259
267,0,n286,267
268,0,n302,268
269,0,n306,273
270,0,n303,269
271,0,n305,271
272,0,n307,274
273,0,n304,270
274,0,n296,272
275,0,n311,282
276,0,n309,280
277,0,n308,277
278,0,n310,281
279,0,n299,278
280,0,n298,276
281,0,n300,279
282,0,n297,275
283,0,n301,283
284,0,n322,286
285,0,n323,288
286,0,n320,284
287,0,n321,285
288,0,n313,287
289,0,n326,295
290,0,n324,291
291,0,n327,298
292,0,n325,294
293,0,n316,292
294,0,n315,290
295,0,n317,293
296,0,n314,289
297,0,n319,297
298,0,n318,296
299,0,n341,303
300,0,n338,299
301,0,n340,302
302,0,n339,300
303,0,n329,304
304,0,n328,301
305,0,n342,305
306,0,n345,314
307,0,n344,311
308,0,n343,309
309,0,n331,306
310,0,n332,307
311,0,n336,313
312,0,n333,308
313,0,n335,312
314,0,n337,315
315,0,n334,310
316,0,n356,320
317,0,n357,323
318,0,n354,316
319,0,n355,318
320,0,n348,321
321,0,n349,322
322,0,n346,317
323,0,n347,319
324,0,n360,327
325,0,n358,325
326,0,n361,331
327,0,n359,326
328,0,n352,329
329,0,n350,324
330,0,n353,330
331,0,n351,328
332,0,n368,332
333,0,n372,338
334,0,n369,333
335,0,n371,336
336,0,n373,340
337,0,n370,335
338,0,n363,337
339,0,n362,334
340,0,n364,339
341,0,n377,347
342,0,n375,343
343,0,n374,341
344,0,n376,344
345,0,n366,345
346,0,n365,342
347,0,n367,346
348,0,n388,353
349,0,n389,356
350,0,n386,350
351,0,n387,351
352,0,n382,355
353,0,n380,352
354,0,n379,349
355,0,n381,354
356,0,n378,348
357,0,n392,361
358,0,n390,357
359,0,n393,363
360,0,n391,358
361,0,n384,360
362,0,n383,359
363,0,n385,362
364,0,n408,369
365,0,n405,364
366,0,n407,368
367,0,n406,367
368,0,n395,366
369,0,n394,365
370,0,n396,370
371,0,n409,375
372,0,n404,378
373,0,n403,377
374,0,n402,376
375,0,n401,374
376,0,n400,373
377,0,n399,372
378,0,n398,371
379,0,n420,381
380,0,n413,380
381,0,n414,382
382,0,n411,379
383,0,n412,383
384,0,n422,389
385,0,n421,385
386,0,n417,387
387,0,n415,384
388,0,n418,388
389,0,n416,386
390,0,n434,395
391,0,n423,390
392,0,n427,394
393,0,n424,391
394,0,n426,393
395,0,n428,396
396,0,n425,392
397,0,n436,402
398,0,n435,398
399,0,n432,401
400,0,n430,399
401,0,n429,397
402,0,n431,400
403,0,n446,408
404,0,n439,404
405,0,n440,405
406,0,n437,403
407,0,n438,406
408,0,n453,418
409,0,n460,420
410,0,n452,416
411,0,n449,410
412,0,n451,414
413,0,n448,409
414,0,n450,411
415,0,n443,412
416,0,n441,407
417,0,n444,415
418,0,n442,413
419,0,n461,423
420,0,n457,424
421,0,n454,419
422,0,n456,422
423,0,n455,421
424,0,n465,428
425,0,n464,427
426,0,n466,429
427,0,n463,426
428,0,n467,430
429,0,n458,425
430,0,n459,432
431,0,n476,431
432,0,n477,433
433,0,n481,439
434,0,n478,434
435,0,n480,438
436,0,n479,436
437,0,n469,437
438,0,n468,435
439,0,n484,447
440,0,n483,443
441,0,n475,446
442,0,n472,442
443,0,n471,441
444,0,n473,444
445,0,n470,440
446,0,n474,445
447,0,n496,452
448,0,n495,450
449,0,n497,454
450,0,n494,449
451,0,n498,456
452,0,n486,451
453,0,n485,448
454,0,n487,453
455,0,n488,455
456,0,n500,459
457,0,n501,460
458,0,n489,457
459,0,n492,461
460,0,n490,458
461,0,n491,462
462,0,n510,463
463,0,n511,464
464,0,n515,470
465,0,n512,465
466,0,n514,469
467,0,n513,467
468,0,n503,468
469,0,n502,466
470,0,n518,478
471,0,n517,474
472,0,n509,477
473,0,n506,473
474,0,n505,472
475,0,n507,475
476,0,n504,471
477,0,n508,476
478,0,n530,483
479,0,n529,481
480,0,n531,484
481,0,n528,480
482,0,n532,487
483,0,n520,482
484,0,n519,479
485,0,n521,485
486,0,n522,486
487,0,n534,490
488,0,n535,491
489,0,n523,488
490,0,n526,492
491,0,n524,489
492,0,n525,493
493,0,n543,496
494,0,n542,495
495,0,n536,494
496,0,n538,498
497,0,n537,497
498,0,n545,501
499,0,n544,500
500,0,n539,499
501,0,n541,502
502,0,n540,503
503,0,n552,506
504,0,n551,505
505,0,n546,504
506,0,n547,507
507,0,n553,508
508,0,n555,511
509,0,n554,510
510,0,n548,509
511,0,n549,512
512,0,n561,513
513,0,n563,516
514,0,n562,515
515,0,n556,514
516,0,n557,517
517,0,n564,519
518,0,n565,520
519,0,n559,521
520,0,n560,522
521,0,n558,518
522,0,n571,524
523,0,n572,525
524,0,n567,526
525,0,n568,527
526,0,n566,523
527,0,n573,528
528,0,n574,530
529,0,n570,531
530,0,n569,529
531,0,n583,533
532,0,n584,536
533,0,n577,535
534,0,n578,537
535,0,n575,532
536,0,n576,534
537,0,n589,545
538,0,n585,539
539,0,n588,544
540,0,n587,542
541,0,n581,541
542,0,n579,538
543,0,n582,543
544,0,n580,540
545,0,n601,551
546,0,n600,548
547,0,n590,546
548,0,n594,552
549,0,n591,547
550,0,n593,550
551,0,n595,553
552,0,n592,549
553,0,n602,554
554,0,n603,557
555,0,n599,559
556,0,n597,556
557,0,n596,555
558,0,n598,558
559,0,n608,560
560,0,n609,561
561,0,n610,564
562,0,n611,565
563,0,n604,562
564,0,n605,563
565,0,n614,570
566,0,n612,567
567,0,n615,571
568,0,n613,568
569,0,n606,566
570,0,n607,569
571,0,n620,572
572,0,n624,578
573,0,n621,574
574,0,n623,576
575,0,n625,579
576,0,n622,575
577,0,n616,573
578,0,n617,577
579,0,n629,584
580,0,n627,582
581,0,n626,580
582,0,n628,583
583,0,n618,581
584,0,n619,585
585,0,n640,592
586,0,n639,587
587,0,n631,588
588,0,n635,593
589,0,n632,589
590,0,n634,591
591,0,n633,590
592,0,n630,586
593,0,n641,594
594,0,n642,596
595,0,n638,597
596,0,n637,595
597,0,n653,603
598,0,n652,598
599,0,n646,601
600,0,n645,600
601,0,n647,602
602,0,n644,599
603,0,n648,604
604,0,n654,605
605,0,n655,606
606,0,n650,607
607,0,n651,608
608,0,n665,610
609,0,n666,615
610,0,n656,609
611,0,n657,611
612,0,n661,616
613,0,n658,612
614,0,n660,614
615,0,n659,613
616,0,n667,617
617,0,n668,619
618,0,n664,620
619,0,n663,618
620,0,n679,626
621,0,n678,621
622,0,n672,624
623,0,n671,623
624,0,n673,625
625,0,n670,622
626,0,n674,627
627,0,n680,628
628,0,n681,629
629,0,n676,630
630,0,n677,631
631,0,n692,633
632,0,n693,635
633,0,n682,632
634,0,n683,634
635,0,n684,636
636,0,n694,637
637,0,n695,640
638,0,n691,644
639,0,n690,643
640,0,n687,639
641,0,n689,642
642,0,n686,638
643,0,n688,641
644,0,n706,646
645,0,n707,648
646,0,n696,645
647,0,n697,647
