xml_id	midi_id	track	channel	pitch	onset
n9	0	1	0	47	1.0520833333333333
n10	2	1	0	50	1.6080729166666665
n15	12	1	0	53	2.915364583333334
n11	7	1	0	54	2.0872395833333335
n14	11	1	0	54	2.796875
n13	8	1	0	55	2.67578125
n3	4	1	0	59	1.6132812499999998
n7	10	1	0	59	2.57421875
n4	5	1	0	61	1.8333333333333333
n1	1	1	0	62	1.046875
n5	6	1	0	62	2.0859375
n8	13	1	0	62	2.8138020833333335
n2	3	1	0	66	1.35546875
n6	9	1	0	66	2.334635416666667
n27	18	1	0	46	3.602864583333334
n26	14	1	0	54	3.0820312500000004
n16	15	1	0	61	3.1093750000000004
n20	20	1	0	65	3.8164062500000004
n17	16	1	0	66	3.365885416666667
n19	19	1	0	66	3.7226562500000004
n21	21	1	0	66	3.927083333333334
n18	17	1	0	67	3.5976562500000004
n28	22	1	0	49	4.079427083333335
n29	25	1	0	54	4.587239583333335
n25	27	1	0	64	4.812500000000002
n23	24	1	0	66	4.321614583333335
n22	23	1	0	70	4.072916666666668
n24	26	1	0	73	4.571614583333335
n38	28	1	0	47	5.108072916666669
n39	30	1	0	50	5.604166666666669
n32	32	1	0	59	5.589843750000002
n33	33	1	0	61	5.824218750000002
n30	29	1	0	62	5.098958333333336
n31	31	1	0	66	5.338541666666669
n44	40	1	0	53	6.907552083333335
n40	35	1	0	54	6.085937500000002
n43	38	1	0	54	6.783854166666669
n42	36	1	0	55	6.683593750000002
n36	37	1	0	59	6.584635416666668
n34	34	1	0	62	6.084635416666669
n37	41	1	0	62	6.808593750000002
n35	39	1	0	66	6.333333333333335
n53	46	1	0	42	7.601562500000001
n52	42	1	0	54	7.061197916666668
n48	47	1	0	58	7.846354166666668
n45	43	1	0	61	7.087239583333335
n47	45	1	0	61	7.600260416666668
n46	44	1	0	66	7.345052083333335
n57	51	1	0	49	8.877604166666668
n56	50	1	0	50	8.615885416666668
n55	49	1	0	52	8.368489583333334
n49	48	1	0	54	8.130208333333334
n64	54	1	0	47	9.670572916666666
n65	55	1	0	49	9.916666666666666
n62	52	1	0	50	9.162760416666668
n63	53	1	0	54	9.41796875
n59	57	1	0	74	9.670572916666666
n68	60	1	0	47	10.688802083333332
n66	56	1	0	50	10.188802083333332
n69	62	1	0	50	10.933593749999998
n67	59	1	0	54	10.42578125
n61	61	1	0	66	10.674479166666666
n60	58	1	0	71	10.178385416666666
n74	63	1	0	49	11.208333333333332
n78	67	1	0	53	11.93880208333333
n75	64	1	0	54	11.460937499999998
n77	66	1	0	54	11.830729166666664
n79	68	1	0	54	12.08333333333333
n76	65	1	0	55	11.703124999999998
n71	69	1	0	76	11.707031249999998
n83	75	1	0	52	12.9765625
n81	71	1	0	54	12.464843749999998
n80	70	1	0	58	12.23958333333333
n82	73	1	0	61	12.751302083333332
n73	74	1	0	66	12.747395833333332
n72	72	1	0	73	12.20052083333333
n95	78	1	0	47	13.790364583333332
n96	79	1	0	49	14.032552083333332
n93	76	1	0	50	13.270833333333334
n94	77	1	0	54	13.514322916666666
n85	81	1	0	78	13.772135416666666
n99	90	1	0	47	14.770833333333332
n97	80	1	0	50	14.28125
n100	89	1	0	50	15.007812499999998
n98	86	1	0	54	14.541666666666666
n92	88	1	0	71	15.092447916666664
n91	87	1	0	73	14.981770833333332
n88	83	1	0	74	14.654947916666664
n90	85	1	0	74	14.877604166666666
n87	82	1	0	76	14.53515625
n89	84	1	0	76	14.770833333333332
n112	99	1	0	46	15.958333333333332
n109	91	1	0	49	15.264322916666664
n111	97	1	0	49	15.736979166666664
n110	93	1	0	54	15.511718749999998
n102	94	1	0	70	15.725260416666664
n101	92	1	0	71	15.242187499999998
n113	101	1	0	42	16.25520833333333
n114	107	1	0	58	16.785156249999993
n106	104	1	0	61	16.757812499999993
n105	103	1	0	62	16.63151041666666
n107	105	1	0	62	16.906249999999993
n104	102	1	0	64	16.52994791666666
n108	106	1	0	64	17.050781249999993
n124	109	1	0	47	17.34244791666666
n125	114	1	0	59	17.83072916666666
n115	108	1	0	62	17.33072916666666
n116	110	1	0	71	17.60807291666666
n120	115	1	0	71	18.074218749999993
n117	111	1	0	73	17.722656249999993
n119	113	1	0	73	17.941406249999993
n118	112	1	0	74	17.843749999999993
n126	116	1	0	61	18.34244791666666
n127	118	1	0	63	18.886718749999993
n123	119	1	0	69	19.138020833333325
n122	117	1	0	78	18.614583333333325
n138	125	1	0	52	19.884114583333325
n137	122	1	0	64	19.412760416666657
n131	123	1	0	68	19.847656249999993
n130	121	1	0	69	19.730468749999993
n132	124	1	0	69	19.96874999999999
n129	120	1	0	71	19.632812499999993
n133	126	1	0	71	20.09895833333332
n139	127	1	0	54	20.373697916666654
n140	129	1	0	56	20.89192708333332
n135	128	1	0	62	20.63411458333332
n136	130	1	0	71	21.135416666666657
n150	133	1	0	45	21.41015624999999
n151	137	1	0	57	21.908854166666657
n141	131	1	0	61	21.41145833333332
n142	132	1	0	69	21.658854166666657
n146	139	1	0	69	22.11848958333332
n143	134	1	0	71	21.75390624999999
n145	136	1	0	71	22.00390624999999
n144	135	1	0	73	21.87239583333332
n152	138	1	0	59	22.37630208333332
n153	141	1	0	61	22.90755208333332
n149	142	1	0	67	23.174479166666654
n148	140	1	0	76	22.64453124999999
n164	148	1	0	50	23.872395833333318
n163	144	1	0	62	23.43229166666665
n157	146	1	0	66	23.91276041666665
n156	145	1	0	67	23.813802083333318
n158	147	1	0	67	24.052083333333314
n155	143	1	0	69	23.68619791666665
n159	149	1	0	69	24.157552083333314
n165	150	1	0	52	24.417968749999982
n166	152	1	0	54	24.941406249999982
n161	151	1	0	61	24.68229166666665
n162	153	1	0	69	25.220052083333314
n177	155	1	0	43	25.563802083333314
n178	157	1	0	47	26.132812499999982
n167	154	1	0	59	25.561197916666647
n168	156	1	0	66	25.876302083333314
n169	158	1	0	69	26.369791666666647
n179	161	1	0	50	26.635416666666647
n180	166	1	0	52	27.12239583333331
n176	165	1	0	62	27.42968749999998
n175	164	1	0	64	27.32552083333331
n172	160	1	0	66	26.975260416666647
n174	163	1	0	66	27.22656249999998
n171	159	1	0	67	26.877604166666647
n173	162	1	0	67	27.10937499999998
n191	168	1	0	45	27.576822916666647
n192	170	1	0	49	28.092447916666643
n181	167	1	0	61	27.58593749999998
n182	169	1	0	67	27.84765624999998
n183	171	1	0	71	28.348958333333307
n193	174	1	0	52	28.64062499999997
n194	179	1	0	54	29.151041666666636
