idx,matchtype,partid,ppartid
0,0,n2,0
1,0,n3,1
2,0,n4,2
3,0,n5,3
4,0,n8,6
5,0,n6,4
6,0,n7,5
7,0,n9,7
8,0,n10,8
9,0,n11,9
10,0,n15,12
11,1,n13,undefined
12,0,n12,10
13,0,n16,13
14,0,n17,14
15,0,n18,15
16,0,n19,16
17,0,n20,17
18,0,n21,18
19,0,n24,22
20,0,n23,21
21,0,n22,20
22,0,n26,23
23,0,n27,24
24,0,n28,25
25,0,n29,26
26,0,n32,29
27,0,n30,27
28,0,n31,28
29,0,n33,30
30,0,n34,31
31,0,n35,32
32,0,n39,35
33,1,n37,undefined
34,0,n36,33
35,0,n40,36
36,0,n41,37
37,0,n42,38
38,0,n43,39
39,0,n44,40
40,0,n45,41
41,0,n48,44
42,0,n47,43
43,0,n46,42
44,0,n50,45
45,0,n51,46
46,0,n52,47
47,0,n53,48
48,0,n54,49
49,0,n55,50
50,0,n56,51
51,0,n59,54
52,0,n58,53
53,0,n57,52
54,0,n63,57
55,0,n61,56
56,0,n60,55
57,0,n64,58
58,0,n65,59
59,0,n66,60
60,0,n69,63
61,0,n68,62
62,0,n67,61
63,0,n72,66
64,0,n70,64
65,0,n71,65
66,0,n74,67
67,0,n75,68
68,0,n76,69
69,0,n77,70
70,0,n78,71
71,0,n79,72
72,0,n80,73
73,0,n83,76
74,0,n82,75
75,0,n81,74
76,0,n87,79
77,0,n85,78
78,0,n84,77
79,0,n88,80
80,1,n89,undefined
81,0,n90,81
82,0,n93,84
83,0,n92,83
84,0,n91,82
85,0,n96,87
86,0,n94,85
87,0,n95,86
88,0,n120,89
89,0,n121,88
90,0,n109,90
91,0,n97,91
92,0,n124,102
93,0,n125,101
94,0,n110,93
95,0,n111,94
96,0,n112,96
97,0,n98,92
98,0,n99,95
99,0,n100,97
100,0,n115,103
101,0,n113,98
102,0,n114,99
103,0,n102,100
104,0,n126,110
105,0,n127,108
106,0,n116,104
107,0,n117,106
108,0,n104,105
109,0,n118,107
110,0,n106,109
111,0,n150,113
112,0,n151,114
113,0,n140,115
114,0,n130,116
115,0,n131,118
116,1,n119,undefined
117,0,n108,112
118,0,n107,111
119,0,n154,128
120,0,n155,127
121,0,n141,117
122,0,n142,119
123,0,n143,121
124,0,n132,120
125,0,n133,123
126,0,n144,124
127,0,n145,125
128,0,n146,129
129,0,n135,126
130,0,n156,135
131,0,n157,136
132,0,n149,133
133,0,n148,132
134,0,n139,134
135,0,n147,131
136,0,n137,130
137,0,n183,137
138,0,n184,140
139,0,n172,138
140,0,n160,139
141,0,n187,151
142,0,n188,150
143,0,n173,141
144,0,n174,143
145,0,n175,145
