onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.0065104,0.03125,58,91,1,0,0,1.00651,0.0
1.1276041,0.041666668,58,76,1,0,1,1.00651,0.0
1.2565104,0.04296875,58,84,1,0,2,1.00651,0.0
1.4166666,0.037760418,58,90,1,0,3,1.00651,0.0
1.5533854,0.04296875,57,74,1,0,4,1.416667,3.0
1.6796875,0.055989582,58,83,1,0,5,1.416667,3.0
1.8177084,0.048177082,54,92,1,0,6,1.817708,6.0
1.9518229,0.069010414,54,85,1,0,7,1.817708,6.0
2.0755208,0.069010414,57,90,1,0,8,1.817708,6.0
2.2083333,0.05859375,58,99,1,0,9,2.208333,9.0
2.3346355,0.07421875,61,93,1,0,10,2.208333,9.0
2.4713542,0.069010414,60,94,1,0,11,2.208333,9.0
2.610677,0.049479168,56,102,1,0,12,2.610677,12.0
2.7291667,0.053385418,56,87,1,0,13,2.610677,12.0
2.8554688,0.06640625,56,96,1,0,14,2.610677,12.0
3.001302,0.040364582,56,97,1,0,15,3.001302,15.0
3.123698,0.055989582,53,93,1,0,16,3.001302,15.0
3.2591145,0.067708336,54,96,1,0,17,3.001302,15.0
3.3997395,0.04296875,56,98,1,0,18,3.001302,15.0
3.5377605,0.05859375,58,92,1,0,19,3.39974,18.0
3.6640625,0.0546875,56,93,1,0,20,3.39974,18.0
3.8085938,0.4296875,53,101,1,0,21,3.39974,18.0
4.4335938,0.028645834,58,61,1,0,22,3.808594,21.0
4.5559897,0.041666668,58,64,1,0,23,4.433594,24.0
4.6822915,0.04296875,58,70,1,0,24,4.433594,24.0
4.8190103,0.0390625,58,65,1,0,25,4.81901,27.0
4.9570312,0.036458332,57,56,1,0,26,4.81901,27.0
5.1197915,0.013020833,58,23,1,0,27,4.81901,27.0
5.1992188,0.04296875,54,60,1,0,28,4.81901,27.0
5.341146,0.05078125,54,59,1,0,29,5.199219,30.0
5.481771,0.041666668,57,57,1,0,30,5.199219,30.0
5.596354,0.037760418,58,73,1,0,31,5.596354,33.0
5.7330728,0.044270832,61,56,1,0,32,5.596354,33.0
5.8671875,0.032552082,60,53,1,0,33,5.596354,33.0
5.9791665,0.041666668,56,66,1,0,34,5.596354,33.0
6.1080728,0.04296875,56,64,1,0,35,5.979167,36.0
6.2421875,0.046875,56,59,1,0,36,5.979167,36.0
6.3893228,0.03125,56,56,1,0,37,5.979167,36.0
6.5364585,0.036458332,53,47,1,0,38,6.389323,39.0
6.6510415,0.03515625,54,50,1,0,39,6.389323,39.0
6.7747397,0.041666668,56,70,1,0,40,6.389323,39.0
6.9153647,0.04296875,58,45,1,0,41,6.77474,42.0
7.028646,0.04296875,56,46,1,0,42,6.77474,42.0
7.1927085,0.041666668,53,72,1,0,43,7.192708,45.0
7.6861978,0.04296875,54,90,1,0,44,7.192708,45.0
7.825521,0.0625,54,86,1,0,45,7.686198,48.0
7.9570312,0.071614586,57,91,1,0,46,7.686198,48.0
8.083333,0.041666668,58,97,1,0,47,8.083333,51.0
8.214844,0.055989582,58,101,1,0,48,8.083333,51.0
8.3463545,0.072916664,60,101,1,0,49,8.083333,51.0
8.4817705,0.03515625,63,98,1,0,50,8.083333,51.0
8.608073,0.0546875,63,95,1,0,51,8.481771,54.0
8.735677,0.055989582,61,94,1,0,52,8.481771,54.0
8.863281,0.044270832,60,97,1,0,53,8.863281,57.0
8.983073,0.052083332,60,91,1,0,54,8.863281,57.0
9.105469,0.065104164,58,93,1,0,55,8.863281,57.0
9.239583,0.03515625,56,100,1,0,56,9.239583,60.0
9.368489,0.0546875,56,87,1,0,57,9.239583,60.0
9.4817705,0.079427086,56,87,1,0,58,9.239583,60.0
9.613281,0.05078125,61,99,1,0,59,9.613281,63.0
9.734375,0.06640625,61,85,1,0,60,9.613281,63.0
9.863281,0.065104164,60,91,1,0,61,9.613281,63.0
9.993489,0.032552082,58,96,1,0,62,9.613281,63.0
10.1223955,0.046875,56,85,1,0,63,9.99349,66.0
10.244792,0.063802086,58,94,1,0,64,9.99349,66.0
10.399739,0.076822914,53,98,1,0,65,9.99349,66.0
10.979167,0.03515625,54,52,1,0,66,10.979167,72.0
11.1119795,0.05078125,54,59,1,0,67,10.979167,72.0
11.227864,0.048177082,57,58,1,0,68,10.979167,72.0
11.359375,0.05078125,58,69,1,0,69,11.359375,75.0
11.485677,0.041666668,58,66,1,0,70,11.359375,75.0
11.618489,0.04296875,60,64,1,0,71,11.359375,75.0
11.748698,0.02734375,63,60,1,0,72,11.748698,78.0
11.859375,0.07421875,63,72,1,0,73,11.748698,78.0
12.019531,0.040364582,61,39,1,0,74,11.748698,78.0
12.110677,0.028645834,60,62,1,0,75,12.110677,81.0
12.238281,0.06640625,60,69,1,0,76,12.110677,81.0
12.385417,0.04296875,58,61,1,0,77,12.110677,81.0
12.5078125,0.041666668,56,67,1,0,78,12.507812,84.0
12.636719,0.036458332,56,61,1,0,79,12.507812,84.0
12.761719,0.0390625,56,62,1,0,80,12.507812,84.0
12.886719,0.036458332,61,74,1,0,81,12.886719,87.0
13.029948,0.040364582,61,55,1,0,82,12.886719,87.0
13.135417,0.04296875,60,65,1,0,83,12.886719,87.0
13.264323,0.037760418,58,67,1,0,84,13.264323,90.0
13.402344,0.052083332,56,53,1,0,85,13.264323,90.0
13.535156,0.040364582,58,56,1,0,86,13.264323,90.0
13.707031,0.4544271,53,65,1,0,87,13.707031,93.0
14.170573,0.028645834,61,79,1,0,88,14.170573,96.0
14.170573,0.03515625,66,84,1,0,89,14.170573,96.0
14.1744795,0.032552082,56,73,1,0,90,14.170573,96.0
14.170573,0.040364582,70,82,1,0,91,14.170573,96.0
14.3125,0.03515625,70,75,1,0,92,14.170573,96.0
14.3098955,0.041666668,66,79,1,0,93,14.170573,96.0
14.4375,0.052083332,70,79,1,0,94,14.170573,96.0
14.438802,0.053385418,66,74,1,0,95,14.170573,96.0
14.569011,0.13541667,66,87,1,0,96,14.567708,99.0
14.569011,0.13932292,70,92,1,0,97,14.567708,99.0
14.707031,0.125,65,82,1,0,98,14.567708,99.0
14.5625,0.2981771,56,99,1,0,99,14.170573,96.0
14.845052,0.111979164,66,79,1,0,100,14.567708,99.0
14.8515625,0.111979164,70,78,1,0,101,14.567708,99.0
14.989583,0.13541667,62,81,1,0,102,14.989583,102.0
14.566406,0.5729167,49,90,1,0,103,14.170573,96.0
15.118489,0.071614586,63,79,1,0,104,14.989583,102.0
15.121094,0.115885414,66,83,1,0,105,14.989583,102.0
15.240886,0.140625,65,81,1,0,106,14.989583,102.0
15.359375,0.046875,37,75,1,0,107,14.989583,102.0
15.3567705,0.080729164,49,82,1,0,108,14.989583,102.0
15.369792,0.09765625,66,83,1,0,109,15.363281,105.0
15.3671875,0.14973958,70,84,1,0,110,15.363281,105.0
15.5130205,0.16927083,73,84,1,0,111,15.363281,105.0
15.6380205,0.071614586,68,82,1,0,112,15.363281,105.0
15.625,0.0859375,72,82,1,0,113,15.363281,105.0
15.7421875,0.046875,68,84,1,0,114,15.363281,105.0
15.751302,0.041666668,65,77,1,0,115,15.363281,105.0
15.7578125,0.04296875,56,77,1,0,116,15.754557,108.0
15.7578125,0.044270832,61,75,1,0,117,15.754557,108.0
15.8932295,0.033854168,68,69,1,0,118,15.754557,108.0
15.897136,0.03515625,65,70,1,0,119,15.754557,108.0
16.0,0.05859375,65,77,1,0,120,15.754557,108.0
15.993489,0.0703125,68,81,1,0,121,15.754557,108.0
16.145834,0.125,65,86,1,0,122,16.144531,111.0
16.134115,0.18098958,68,87,1,0,123,15.754557,108.0
16.27474,0.13411458,61,86,1,0,124,16.144531,111.0
16.143229,0.30989584,56,98,1,0,125,15.754557,108.0
16.404947,0.076822914,63,79,1,0,126,16.144531,111.0
16.419271,0.13541667,66,80,1,0,127,16.144531,111.0
16.529947,0.119791664,65,83,1,0,128,16.529947,114.0
16.151041,0.58203125,49,86,1,0,129,16.144531,111.0
16.653646,0.09375,66,76,1,0,130,16.529947,114.0
16.654947,0.14322917,70,75,1,0,131,16.529947,114.0
16.773438,0.0703125,65,87,1,0,132,16.529947,114.0
16.911459,0.47916666,61,95,1,0,133,16.529947,114.0
16.916666,0.47395834,65,96,1,0,134,16.529947,114.0
16.925781,0.46484375,37,78,1,0,135,16.920572,117.0
16.924479,0.46614584,49,87,1,0,136,16.920572,117.0
17.510416,0.029947916,70,52,1,0,137,16.920572,117.0
17.507812,0.0390625,66,57,1,0,138,16.920572,117.0
17.513021,0.04296875,61,56,1,0,139,17.511719,120.0
17.52474,0.03515625,56,45,1,0,140,17.511719,120.0
17.641928,0.029947916,70,52,1,0,141,17.511719,120.0
17.652344,0.029947916,66,50,1,0,142,17.511719,120.0
17.802084,0.037760418,70,18,1,0,143,17.511719,120.0
17.89974,0.0703125,70,42,1,0,144,17.511719,120.0
17.890625,0.123697914,66,5,1,0,145,17.511719,120.0
17.91276,0.22916667,56,45,1,0,146,17.90625,123.0
18.032553,0.109375,65,56,1,0,147,17.90625,123.0
18.161459,0.076822914,70,49,1,0,148,17.90625,123.0
18.166666,0.091145836,66,59,1,0,149,17.90625,123.0
18.300781,0.091145836,62,63,1,0,150,18.300781,126.0
18.438803,0.0625,63,39,1,0,151,18.300781,126.0
17.953125,0.5572917,49,37,1,0,152,17.90625,123.0
18.440104,0.087239586,66,59,1,0,153,18.300781,126.0
18.546875,0.118489586,65,66,1,0,154,18.300781,126.0
18.675781,0.046875,37,42,1,0,155,18.67513,129.0
18.674479,0.055989582,49,49,1,0,156,18.300781,126.0
18.673178,0.069010414,66,66,1,0,157,18.300781,126.0
18.677084,0.102864586,70,69,1,0,158,18.67513,129.0
18.789062,0.110677086,73,73,1,0,159,18.67513,129.0
18.924479,0.0546875,72,67,1,0,160,18.67513,129.0
18.923178,0.05859375,68,64,1,0,161,18.67513,129.0
19.039062,0.04296875,68,56,1,0,162,18.67513,129.0
19.054688,0.03125,65,55,1,0,163,18.67513,129.0
19.066406,0.03515625,61,47,1,0,164,19.060547,132.0
19.072916,0.04296875,56,47,1,0,165,19.060547,132.0
19.186197,0.033854168,68,56,1,0,166,19.060547,132.0
19.196615,0.040364582,65,39,1,0,167,19.060547,132.0
19.308594,0.036458332,68,62,1,0,168,19.060547,132.0
19.31901,0.028645834,65,53,1,0,169,19.060547,132.0
19.458334,0.096354164,68,64,1,0,170,19.060547,132.0
19.471354,0.096354164,65,55,1,0,171,19.060547,132.0
19.476562,0.15885417,56,55,1,0,172,19.473957,135.0
19.606771,0.091145836,61,68,1,0,173,19.473957,135.0
19.731771,0.041666668,63,55,1,0,174,19.473957,135.0
19.757812,0.087239586,66,60,1,0,175,19.473957,135.0
19.856771,0.072916664,65,66,1,0,176,19.856771,138.0
19.981771,0.05078125,66,49,1,0,177,19.856771,138.0
19.484375,0.56901044,49,51,1,0,178,19.473957,135.0
19.972656,0.13020833,70,58,1,0,179,19.856771,138.0
20.08724,0.044270832,65,59,1,0,180,19.856771,138.0
20.230469,0.049479168,49,59,1,0,181,19.856771,138.0
20.248697,0.036458332,61,45,1,0,182,20.244793,141.0
20.242188,0.044270832,37,54,1,0,183,19.856771,138.0
20.247396,0.044270832,65,55,1,0,184,20.244793,141.0
20.770834,0.06640625,58,41,1,0,185,20.770182,144.0
