onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
-0.5,0.5,-1.0,1.0,0,30,60,1,n1,-10.0,-10.0
0.0,0.5,0.0,1.0,30,30,65,1,n3,0.0,1.766825
0.5,0.5,1.0,1.0,60,30,68,1,n4,0.0,1.766825
1.0,0.5,2.0,1.0,90,30,72,1,n5,1.0,2.286323
1.5,0.5,3.0,1.0,120,30,77,1,n6,1.0,2.286323
2.0,0.75,4.0,1.5,150,45,80,1,n8,2.0,2.760414
2.5,0.5,5.0,1.0,180,30,53,5,n15,2.0,2.760414
2.5,0.5,5.0,1.0,180,30,56,5,n16,2.0,2.760414
2.5,0.5,5.0,1.0,180,30,60,5,n17,2.0,2.760414
2.75,0.083333336,5.5,0.16666667,195,5,79,1,n9,2.0,2.760414
2.8333333,0.083333336,5.6666665,0.16666667,200,5,77,1,n10,2.0,2.760414
2.9166667,0.083333336,5.8333335,0.16666667,205,5,76,1,n11,2.0,2.760414
3.0,0.5,6.0,1.0,210,30,77,1,n12,3.0,3.2892594
3.0,0.5,6.0,1.0,210,30,53,5,n18,3.0,3.2892594
3.0,0.5,6.0,1.0,210,30,56,5,n19,3.0,3.2892594
3.0,0.5,6.0,1.0,210,30,60,5,n20,3.0,3.2892594
3.5,0.5,7.0,1.0,240,30,53,5,n21,3.0,3.2892594
3.5,0.5,7.0,1.0,240,30,56,5,n22,3.0,3.2892594
3.5,0.5,7.0,1.0,240,30,60,5,n23,3.0,3.2892594
4.0,0.5,8.0,1.0,270,30,67,1,n24,4.0,3.774035
4.0,0.5,8.0,1.0,270,30,52,5,n28,4.0,3.774035
4.0,0.5,8.0,1.0,270,30,55,5,n29,4.0,3.774035
4.0,0.5,8.0,1.0,270,30,58,5,n30,4.0,3.774035
4.0,0.5,8.0,1.0,270,30,60,5,n31,4.0,3.774035
4.5,0.5,9.0,1.0,300,30,72,1,n25,4.0,3.774035
5.0,0.5,10.0,1.0,330,30,76,1,n26,5.0,4.242784
5.5,0.5,11.0,1.0,360,30,79,1,n27,5.0,4.242784
6.0,0.75,12.0,1.5,390,45,82,1,n34,6.0,4.736908
6.5,0.5,13.0,1.0,420,30,52,5,n41,6.0,4.736908
6.5,0.5,13.0,1.0,420,30,55,5,n42,6.0,4.736908
6.5,0.5,13.0,1.0,420,30,58,5,n43,6.0,4.736908
6.5,0.5,13.0,1.0,420,30,60,5,n44,6.0,4.736908
6.75,0.083333336,13.5,0.16666667,435,5,80,1,n35,6.0,4.736908
6.8333335,0.083333336,13.666667,0.16666667,440,5,79,1,n36,6.0,4.736908
6.9166665,0.083333336,13.833333,0.16666667,445,5,77,1,n37,6.0,4.736908
7.0,0.5,14.0,1.0,450,30,79,1,n38,7.0,5.2523985
7.0,0.5,14.0,1.0,450,30,52,5,n45,7.0,5.2523985
7.0,0.5,14.0,1.0,450,30,55,5,n46,7.0,5.2523985
7.0,0.5,14.0,1.0,450,30,58,5,n47,7.0,5.2523985
7.0,0.5,14.0,1.0,450,30,60,5,n48,7.0,5.2523985
7.5,0.5,15.0,1.0,480,30,52,5,n49,7.0,5.2523985
7.5,0.5,15.0,1.0,480,30,55,5,n50,7.0,5.2523985
7.5,0.5,15.0,1.0,480,30,58,5,n51,7.0,5.2523985
7.5,0.5,15.0,1.0,480,30,60,5,n52,7.0,5.2523985
8.0,0.75,16.0,1.5,510,45,80,1,n54,8.0,5.686426
8.0,0.0,16.0,0.0,510,0,72,1,n53,8.0,5.686426
8.5,0.5,17.0,1.0,540,30,53,5,n61,8.0,5.686426
8.5,0.5,17.0,1.0,540,30,56,5,n62,8.0,5.686426
8.5,0.5,17.0,1.0,540,30,60,5,n63,8.0,5.686426
8.75,0.083333336,17.5,0.16666667,555,5,79,1,n55,8.0,5.686426
8.833333,0.083333336,17.666666,0.16666667,560,5,77,1,n56,8.0,5.686426
8.916667,0.083333336,17.833334,0.16666667,565,5,76,1,n57,8.0,5.686426
9.0,0.5,18.0,1.0,570,30,77,1,n58,9.0,6.231965
9.0,0.5,18.0,1.0,570,30,53,5,n64,9.0,6.231965
9.0,0.5,18.0,1.0,570,30,56,5,n65,9.0,6.231965
9.0,0.5,18.0,1.0,570,30,60,5,n66,9.0,6.231965
9.5,0.5,19.0,1.0,600,30,53,5,n67,9.0,6.231965
9.5,0.5,19.0,1.0,600,30,56,5,n68,9.0,6.231965
9.5,0.5,19.0,1.0,600,30,60,5,n69,9.0,6.231965
10.0,0.75,20.0,1.5,630,45,82,1,n71,10.0,6.650634
10.0,0.0,20.0,0.0,630,0,72,1,n70,10.0,6.650634
10.5,0.5,21.0,1.0,660,30,55,5,n78,10.0,6.650634
10.5,0.5,21.0,1.0,660,30,58,5,n79,10.0,6.650634
10.5,0.5,21.0,1.0,660,30,64,5,n80,10.0,6.650634
10.75,0.083333336,21.5,0.16666667,675,5,80,1,n72,10.0,6.650634
10.833333,0.083333336,21.666666,0.16666667,680,5,79,1,n73,10.0,6.650634
10.916667,0.083333336,21.833334,0.16666667,685,5,77,1,n74,10.0,6.650634
11.0,0.5,22.0,1.0,690,30,79,1,n75,11.0,7.206189
11.0,0.5,22.0,1.0,690,30,55,5,n81,11.0,7.206189
11.0,0.5,22.0,1.0,690,30,58,5,n82,11.0,7.206189
11.0,0.5,22.0,1.0,690,30,64,5,n83,11.0,7.206189
11.5,0.5,23.0,1.0,720,30,55,5,n84,11.0,7.206189
11.5,0.5,23.0,1.0,720,30,58,5,n85,11.0,7.206189
11.5,0.5,23.0,1.0,720,30,64,5,n86,11.0,7.206189
12.0,1.0,24.0,2.0,750,60,72,1,n87,12.0,7.596146
12.0,1.0,24.0,2.0,750,60,77,1,n88,12.0,7.596146
12.0,1.0,24.0,2.0,750,60,80,1,n89,12.0,7.596146
12.0,1.0,24.0,2.0,750,60,84,1,n90,12.0,7.596146
12.5,0.5,25.0,1.0,780,30,56,5,n96,12.0,7.596146
12.5,0.5,25.0,1.0,780,30,60,5,n97,12.0,7.596146
12.5,0.5,25.0,1.0,780,30,65,5,n98,12.0,7.596146
