onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,1.0,0.0,0.5,0,120,51,5,n11,0.0,0.528846
0.0,1.0,0.0,0.5,0,120,55,5,n12,0.0,0.528846
0.0,1.0,0.0,0.5,0,120,58,5,n13,0.0,0.528846
1.0,1.0,0.5,0.5,120,120,51,5,n14,0.0,0.528846
1.0,1.0,0.5,0.5,120,120,55,5,n15,0.0,0.528846
1.0,1.0,0.5,0.5,120,120,58,5,n16,0.0,0.528846
2.0,1.0,1.0,0.5,240,120,51,5,n17,0.0,0.528846
2.0,1.0,1.0,0.5,240,120,55,5,n18,0.0,0.528846
2.0,1.0,1.0,0.5,240,120,58,5,n19,0.0,0.528846
3.0,1.0,1.5,0.5,360,120,51,5,n20,3.0,2.848555
3.0,1.0,1.5,0.5,360,120,55,5,n21,3.0,2.848555
3.0,1.0,1.5,0.5,360,120,58,5,n22,3.0,2.848555
4.0,1.0,2.0,0.5,480,120,51,5,n23,3.0,2.848555
4.0,1.0,2.0,0.5,480,120,55,5,n24,3.0,2.848555
4.0,1.0,2.0,0.5,480,120,58,5,n25,3.0,2.848555
5.0,1.0,2.5,0.5,600,120,51,5,n26,3.0,2.848555
5.0,1.0,2.5,0.5,600,120,55,5,n27,3.0,2.848555
5.0,1.0,2.5,0.5,600,120,58,5,n28,3.0,2.848555
6.0,1.0,3.0,0.5,720,120,67,1,n5,6.0,5.1822863
6.0,1.0,3.0,0.5,720,120,51,5,n29,6.0,5.1822863
6.0,1.0,3.0,0.5,720,120,55,5,n30,6.0,5.1822863
6.0,1.0,3.0,0.5,720,120,58,5,n31,6.0,5.1822863
7.0,0.5,3.5,0.25,840,60,67,1,n7,6.0,5.1822863
7.0,1.0,3.5,0.5,840,120,51,5,n32,6.0,5.1822863
7.0,1.0,3.5,0.5,840,120,55,5,n33,6.0,5.1822863
7.0,1.0,3.5,0.5,840,120,58,5,n34,6.0,5.1822863
7.0,0.0,3.5,0.0,840,0,68,1,n6,6.0,5.1822863
7.5,0.5,3.75,0.25,900,60,65,1,n8,6.0,5.1822863
8.0,0.5,4.0,0.25,960,60,67,1,n9,6.0,5.1822863
8.0,1.0,4.0,0.5,960,120,51,5,n35,6.0,5.1822863
8.0,1.0,4.0,0.5,960,120,55,5,n36,6.0,5.1822863
8.0,1.0,4.0,0.5,960,120,58,5,n37,6.0,5.1822863
8.5,0.5,4.25,0.25,1020,60,68,1,n10,6.0,5.1822863
9.0,3.0,4.5,1.5,1080,360,69,1,n38,9.0,7.314362
9.0,1.0,4.5,0.5,1080,120,58,5,n46,9.0,7.314362
9.0,1.0,4.5,0.5,1080,120,51,6,n55,9.0,7.314362
9.0,1.0,4.5,0.5,1080,120,55,6,n56,9.0,7.314362
10.0,1.0,5.0,0.5,1200,120,58,5,n47,9.0,7.314362
10.0,1.0,5.0,0.5,1200,120,51,6,n57,9.0,7.314362
10.0,1.0,5.0,0.5,1200,120,55,6,n58,9.0,7.314362
11.0,1.0,5.5,0.5,1320,120,58,5,n48,9.0,7.314362
11.0,1.0,5.5,0.5,1320,120,51,6,n59,9.0,7.314362
11.0,1.0,5.5,0.5,1320,120,55,6,n60,9.0,7.314362
12.0,4.0,6.0,2.0,1440,480,70,1,n39,12.0,9.439093
12.0,1.0,6.0,0.5,1440,120,58,5,n49,12.0,9.439093
12.0,1.0,6.0,0.5,1440,120,51,6,n61,12.0,9.439093
12.0,1.0,6.0,0.5,1440,120,55,6,n62,12.0,9.439093
13.0,1.0,6.5,0.5,1560,120,58,5,n50,12.0,9.439093
13.0,1.0,6.5,0.5,1560,120,51,6,n63,12.0,9.439093
13.0,1.0,6.5,0.5,1560,120,55,6,n64,12.0,9.439093
14.0,1.0,7.0,0.5,1680,120,58,5,n51,12.0,9.439093
14.0,1.0,7.0,0.5,1680,120,51,6,n65,12.0,9.439093
14.0,1.0,7.0,0.5,1680,120,55,6,n66,12.0,9.439093
15.0,1.0,7.5,0.5,1800,120,58,5,n52,15.0,10.933483
15.0,1.0,7.5,0.5,1800,120,51,6,n67,15.0,10.933483
15.0,1.0,7.5,0.5,1800,120,55,6,n68,15.0,10.933483
16.0,0.5,8.0,0.25,1920,60,70,1,n42,15.0,10.933483
16.0,1.0,8.0,0.5,1920,120,58,5,n53,15.0,10.933483
16.0,1.0,8.0,0.5,1920,120,51,6,n69,15.0,10.933483
16.0,1.0,8.0,0.5,1920,120,55,6,n70,15.0,10.933483
16.0,0.0,8.0,0.0,1920,0,72,1,n41,15.0,10.933483
16.5,0.5,8.25,0.25,1980,60,69,1,n43,15.0,10.933483
17.0,0.5,8.5,0.25,2040,60,70,1,n44,15.0,10.933483
17.0,1.0,8.5,0.5,2040,120,58,5,n54,15.0,10.933483
17.0,1.0,8.5,0.5,2040,120,51,6,n71,15.0,10.933483
17.0,1.0,8.5,0.5,2040,120,55,6,n72,15.0,10.933483
17.5,0.5,8.75,0.25,2100,60,71,1,n45,15.0,10.933483
18.0,2.0,9.0,1.0,2160,240,71,1,n73,18.0,13.9463
18.0,1.0,9.0,0.5,2160,120,58,5,n87,18.0,13.9463
18.0,1.0,9.0,0.5,2160,120,50,6,n96,18.0,13.9463
18.0,1.0,9.0,0.5,2160,120,56,6,n97,18.0,13.9463
19.0,1.0,9.5,0.5,2280,120,58,5,n88,18.0,13.9463
19.0,1.0,9.5,0.5,2280,120,50,6,n98,18.0,13.9463
19.0,1.0,9.5,0.5,2280,120,56,6,n99,18.0,13.9463
19.5,0.125,9.75,0.0625,2340,15,72,2,n83,18.0,13.9463
19.625,0.125,9.8125,0.0625,2355,15,70,2,n84,18.0,13.9463
19.75,0.125,9.875,0.0625,2370,15,69,2,n85,18.0,13.9463
19.875,0.125,9.9375,0.0625,2385,15,70,2,n86,18.0,13.9463
20.0,0.75,10.0,0.375,2400,90,74,1,n74,18.0,13.9463
20.0,1.0,10.0,0.5,2400,120,58,5,n89,18.0,13.9463
20.0,1.0,10.0,0.5,2400,120,50,6,n100,18.0,13.9463
20.0,1.0,10.0,0.5,2400,120,56,6,n101,18.0,13.9463
20.75,0.25,10.375,0.125,2490,30,72,1,n75,18.0,13.9463
21.0,4.0,10.5,2.0,2520,480,65,1,n76,21.0,16.385534
21.0,1.0,10.5,0.5,2520,120,58,5,n90,21.0,16.385534
21.0,1.0,10.5,0.5,2520,120,50,6,n102,21.0,16.385534
21.0,1.0,10.5,0.5,2520,120,56,6,n103,21.0,16.385534
22.0,1.0,11.0,0.5,2640,120,58,5,n91,21.0,16.385534
22.0,1.0,11.0,0.5,2640,120,50,6,n104,21.0,16.385534
22.0,1.0,11.0,0.5,2640,120,56,6,n105,21.0,16.385534
23.0,1.0,11.5,0.5,2760,120,58,5,n92,21.0,16.385534
23.0,1.0,11.5,0.5,2760,120,50,6,n106,21.0,16.385534
23.0,1.0,11.5,0.5,2760,120,56,6,n107,21.0,16.385534
24.0,1.0,12.0,0.5,2880,120,58,5,n93,24.0,18.601744
24.0,1.0,12.0,0.5,2880,120,50,6,n108,24.0,18.601744
24.0,1.0,12.0,0.5,2880,120,56,6,n109,24.0,18.601744
25.0,0.5,12.5,0.25,3000,60,65,1,n79,24.0,18.601744
25.0,1.0,12.5,0.5,3000,120,58,5,n94,24.0,18.601744
25.0,1.0,12.5,0.5,3000,120,50,6,n110,24.0,18.601744
25.0,1.0,12.5,0.5,3000,120,56,6,n111,24.0,18.601744
25.0,0.0,12.5,0.0,3000,0,67,1,n78,24.0,18.601744
25.5,0.5,12.75,0.25,3060,60,64,1,n80,24.0,18.601744
26.0,0.5,13.0,0.25,3120,60,65,1,n81,24.0,18.601744
26.0,1.0,13.0,0.5,3120,120,58,5,n95,24.0,18.601744
26.0,1.0,13.0,0.5,3120,120,50,6,n112,24.0,18.601744
26.0,1.0,13.0,0.5,3120,120,56,6,n113,24.0,18.601744
26.5,0.5,13.25,0.25,3180,60,67,1,n82,24.0,18.601744
27.0,3.5,13.5,1.75,3240,420,68,1,n114,27.0,20.894745
27.0,1.0,13.5,0.5,3240,120,58,5,n127,27.0,20.894745
27.0,1.0,13.5,0.5,3240,120,50,6,n136,27.0,20.894745
27.0,1.0,13.5,0.5,3240,120,53,6,n137,27.0,20.894745
27.0,1.0,13.5,0.5,3240,120,56,6,n138,27.0,20.894745
28.0,1.0,14.0,0.5,3360,120,58,5,n128,27.0,20.894745
28.0,1.0,14.0,0.5,3360,120,50,6,n139,27.0,20.894745
28.0,1.0,14.0,0.5,3360,120,53,6,n140,27.0,20.894745
28.0,1.0,14.0,0.5,3360,120,56,6,n141,27.0,20.894745
29.0,1.0,14.5,0.5,3480,120,58,5,n129,27.0,20.894745
29.0,1.0,14.5,0.5,3480,120,50,6,n142,27.0,20.894745
29.0,1.0,14.5,0.5,3480,120,53,6,n143,27.0,20.894745
29.0,1.0,14.5,0.5,3480,120,56,6,n144,27.0,20.894745
30.0,1.0,15.0,0.5,3600,120,58,5,n130,30.0,23.136328
30.0,1.0,15.0,0.5,3600,120,50,6,n145,30.0,23.136328
30.0,1.0,15.0,0.5,3600,120,53,6,n146,30.0,23.136328
30.0,1.0,15.0,0.5,3600,120,56,6,n147,30.0,23.136328
30.5,0.5,15.25,0.25,3660,60,67,1,n116,30.0,23.136328
31.0,0.5,15.5,0.25,3720,60,65,1,n117,30.0,23.136328
31.0,1.0,15.5,0.5,3720,120,58,5,n131,30.0,23.136328
31.0,1.0,15.5,0.5,3720,120,50,6,n148,30.0,23.136328
31.0,1.0,15.5,0.5,3720,120,53,6,n149,30.0,23.136328
31.0,1.0,15.5,0.5,3720,120,56,6,n150,30.0,23.136328
31.5,0.5,15.75,0.25,3780,60,64,1,n118,30.0,23.136328
32.0,0.5,16.0,0.25,3840,60,65,1,n119,30.0,23.136328
32.0,1.0,16.0,0.5,3840,120,58,5,n132,30.0,23.136328
32.0,1.0,16.0,0.5,3840,120,50,6,n151,30.0,23.136328
32.0,1.0,16.0,0.5,3840,120,53,6,n152,30.0,23.136328
32.0,1.0,16.0,0.5,3840,120,56,6,n153,30.0,23.136328
32.5,0.5,16.25,0.25,3900,60,67,1,n120,30.0,23.136328
33.0,0.5,16.5,0.25,3960,60,68,1,n121,33.0,25.170916
