xml_id	midi_id	track	channel	pitch	onset
n2	0	0	0	38	0.5138883750000002
n3	1	0	0	38	1.042734
n4	2	0	0	38	1.3824772500000002
n8	3	0	0	38	1.7179470000000003
n6	4	0	0	60	1.7083316250000002
n7	8	0	0	66	1.7061948750000002
n5	6	0	0	69	1.6762803750000002
n9	5	0	0	38	2.0010663750000006
n10	7	0	0	38	2.2777755000000006
n15	9	0	0	38	2.731834875
n13	16	0	0	59	2.7019203750000003
n14	13	0	0	62	2.69444175
n11	10	0	0	69	2.6709375000000004
n16	11	0	0	38	3.2190138750000026
n12	14	0	0	67	3.1912361250000028
n17	12	0	0	38	3.5544836250000045
n25	15	0	0	38	3.860038875000005
n26	17	0	0	38	4.147431750000005
n27	19	0	0	38	4.418799000000005
n23	18	0	0	55	4.438029750000005
n24	20	0	0	59	4.414525500000005
n20	22	0	0	64	4.552345875000006
n19	21	0	0	66	4.415593875000005
n32	23	0	0	38	4.758542250000007
n31	25	0	0	52	4.7307645000000065
n30	deletion
n28	24	0	0	62	4.710465375000006
n33	26	0	0	38	5.0309778750000085
n34	27	0	0	38	5.330122875000009
n29	28	0	0	61	5.285251125000008
n39	29	0	0	38	5.624994375000009
n38	31	0	0	49	5.615379000000009
n37	33	0	0	55	5.632473000000009
n35	32	0	0	59	5.5876012500000085
n40	30	0	0	38	5.89208812500001
n41	35	0	0	38	6.184822875000012
n36	34	0	0	57	6.162387000000011
n45	36	0	0	38	6.566232750000013
n44	41	0	0	50	6.539523375000012
n42	38	0	0	54	6.529908000000012
n43	39	0	0	57	6.491446500000012
n46	37	0	0	38	6.8589675000000145
n47	40	0	0	38	7.154907375000016
n51	42	0	0	38	7.496787375000016
n50	46	0	0	42	7.459394250000016
n48	47	0	0	57	7.460462625000016
n49	44	0	0	62	7.427343000000016
n52	43	0	0	38	7.727556375000018
n53	45	0	0	38	8.024564625000018
n61	48	0	0	38	8.412384750000017
n60	53	0	0	45	8.325846375000017
n54	50	0	0	61	8.333325000000016
n55	51	0	0	64	8.297000250000018
n62	49	0	0	38	8.598282000000014
n63	54	0	0	38	8.88246975000001
n56	52	0	0	62	8.87926462500001
n58	56	0	0	64	9.009606375000008
n57	55	0	0	66	8.87392275000001
n59	57	0	0	67	8.987170500000008
n71	58	0	0	38	9.190161750000005
n68	59	0	0	50	9.196572000000005
n64	deletion
n65	60	0	0	66	9.149563500000005
n69	61	0	0	50	9.474349500000002
n70	62	0	0	50	9.763879125
n74	63	0	0	50	10.110032625
n73	64	0	0	62	10.0469985
n75	65	0	0	50	10.340801624999996
n76	66	0	0	50	10.638878249999994
n81	68	0	0	50	11.248920374999988
n80	deletion
n79	71	0	0	54	10.987168499999996
n78	67	0	0	72	10.974347999999996
n77	69	0	0	81	10.938023249999995
n82	70	0	0	50	11.539518374999986
n87	72	0	0	50	11.975415374999985
n86	77	0	0	55	11.923064999999985
n85	75	0	0	71	11.924133374999984
n83	73	0	0	81	11.885671874999986
n88	74	0	0	50	12.325842374999977
n84	78	0	0	79	12.274560374999979
n89	76	0	0	50	12.58973099999997
n96	79	0	0	50	13.148491124999966
n95	deletion
n94	80	0	0	59	12.879260624999972
n93	81	0	0	67	12.879260624999972
n97	82	0	0	50	13.443362624999967
n92	84	0	0	76	13.548063374999968
n91	83	0	0	78	13.415584874999967
n102	85	0	0	50	13.784174249999962
n101	87	0	0	64	13.751054624999965
n100	89	0	0	67	13.753191374999965
n98	86	0	0	74	13.711524749999967
n103	88	0	0	50	14.036310749999958
n104	90	0	0	50	14.320498499999957
n99	91	0	0	73	14.289515624999957
n109	92	0	0	50	14.636737499999956
n108	95	0	0	61	14.612164874999957
n107	96	0	0	67	14.623916999999956
n105	94	0	0	71	14.571566624999956
n110	93	0	0	50	14.869643249999953
n111	98	0	0	50	15.170924999999949
n106	97	0	0	69	15.14848912499995
n115	99	0	0	50	15.607890374999945
n114	103	0	0	62	15.545924624999948
n112	101	0	0	66	15.526693874999948
n113	102	0	0	69	15.503189624999948
n116	100	0	0	50	15.844001249999938
n117	104	0	0	50	16.13139412499994
n121	105	0	0	50	16.44335962499994
n120	108	0	0	54	16.43694937499994
n118	110	0	0	69	16.42840237499994
n119	107	0	0	74	16.39741949999994
n122	106	0	0	50	16.709384999999944
n123	109	0	0	50	16.98075224999994
n131	111	0	0	50	17.33652112499994
n130	118	0	0	57	17.29912799999994
n124	112	0	0	73	17.29378612499994
n125	114	0	0	76	17.25746137499994
n132	113	0	0	50	17.572631999999945
n133	116	0	0	50	17.842930874999947
n126	115	0	0	74	17.826905249999946
n128	119	0	0	76	17.956178624999946
n127	117	0	0	78	17.817289874999947
n129	120	0	0	79	17.945494874999948
n139	124	0	0	50	18.420921749999945
n141	deletion
n138	123	0	0	62	18.150622874999943
n134	121	0	0	74	18.143144249999942
n135	122	0	0	78	18.106819499999943
n140	125	0	0	50	18.732887249999948
n147	130	0	0	42	19.18480987499995
n144	126	0	0	50	19.19442524999995
n142	128	0	0	57	19.17305774999995
n143	132	0	0	62	19.134596249999948
n145	127	0	0	50	19.60147612499995
n146	129	0	0	50	19.915578374999953
n154	131	0	0	50	20.197629374999956
n158	134	0	0	43	20.466859874999955
n155	133	0	0	50	20.475406874999955
n150	135	0	0	59	20.496774374999955
n151	136	0	0	64	20.460449624999956
n159	139	0	0	45	20.74677412499996
n156	137	0	0	50	20.748910874999957
n152	138	0	0	60	20.760662999999955
n153	140	0	0	66	20.73609037499996
n166	148	0	0	47	21.108953249999956
n163	141	0	0	50	21.132457499999955
n162	145	0	0	62	21.133525874999954
n160	142	0	0	69	21.081175499999954
n164	143	0	0	50	21.550192124999953
n161	149	0	0	67	21.492499874999954
n165	144	0	0	50	21.82690124999996
n171	146	0	0	50	22.117499249999963
n172	147	0	0	50	22.402755374999963
n175	152	0	0	45	22.718994374999962
n173	151	0	0	50	22.72006274999996
n170	150	0	0	60	22.74249862499996
n168	153	0	0	66	22.675190999999963
n182	157	0	0	43	23.10147262499996
n179	154	0	0	50	23.11536149999996
n180	155	0	0	50	23.41984837499996
n177	158	0	0	64	23.397412499999962
n183	160	0	0	44	23.702967749999956
n181	159	0	0	52	23.715788249999957
n178	162	0	0	62	23.67732674999996
n190	164	0	0	45	23.97540337499996
n187	161	0	0	52	23.96685637499996
n188	163	0	0	52	24.24997574999996
n185	165	0	0	61	24.25104412499996
n191	167	0	0	45	24.662368499999964
n189	166	0	0	55	24.621770249999962
