xml_id	midi_id	track	channel	pitch	onset
n6	0	1	0	55	1.0822916666666667
n7	1	1	0	59	1.075
n8	2	1	0	62	1.0875
n5	5	1	0	76	1.7822916666666666
n4	4	1	0	78	1.6927083333333333
n1	3	1	0	79	1.0145833333333334
n13	9	1	0	71	2.1354166666666665
n10	6	1	0	74	1.8791666666666667
n11	7	1	0	75	1.9614583333333333
n12	8	1	0	76	2.0416666666666665
n17	13	1	0	69	2.46875
n16	12	1	0	71	2.3916666666666666
n15	11	1	0	72	2.3
n14	10	1	0	74	2.2114583333333333
n19	14	1	0	67	2.564583333333333
n21	16	1	0	59	3.285416666666667
n22	15	1	0	62	3.304166666666667
n23	17	1	0	67	3.279166666666667
n37	18	1	0	43	3.347916666666667
n38	19	1	0	55	3.359375
n28	20	1	0	59	3.6854166666666677
n29	21	1	0	62	3.6989583333333345
n30	22	1	0	71	3.681250000000001
n40	23	1	0	43	3.7583333333333346
n41	24	1	0	55	3.7656250000000013
n34	26	1	0	59	4.096875000000001
n35	25	1	0	62	4.106250000000001
n36	29	1	0	67	4.096875000000001
n51	27	1	0	43	4.1656249999999995
n52	28	1	0	55	4.1708333333333325
n48	30	1	0	59	4.868749999999997
n49	33	1	0	62	4.8770833333333306
n50	34	1	0	67	4.86458333333333
n69	31	1	0	43	4.943749999999996
n70	32	1	0	55	4.938541666666663
n58	35	1	0	62	5.265624999999993
n59	deletion
n60	36	1	0	71	5.2614583333333265
n61	37	1	0	74	5.25729166666666
n72	39	1	0	43	5.341666666666659
n73	38	1	0	55	5.337499999999992
n66	42	1	0	59	5.679166666666659
n67	43	1	0	62	5.683333333333326
n68	44	1	0	67	5.679166666666659
n84	40	1	0	43	5.756249999999992
n85	41	1	0	55	5.753124999999992
n80	45	1	0	59	6.483333333333323
n81	46	1	0	62	6.486458333333323
n82	48	1	0	67	6.486458333333323
n83	49	1	0	71	6.486458333333323
n104	50	1	0	43	6.549999999999988
n105	47	1	0	55	6.542708333333322
n92	51	1	0	67	6.903124999999987
n93	deletion
n94	52	1	0	76	6.903124999999987
n95	53	1	0	79	6.903124999999987
n107	54	1	0	40	6.963541666666653
n108	55	1	0	52	6.959374999999986
n100	61	1	0	66	7.337499999999984
n101	60	1	0	69	7.332291666666651
n102	59	1	0	74	7.337499999999984
n103	58	1	0	78	7.337499999999984
n116	57	1	0	45	7.414583333333317
n117	56	1	0	57	7.407291666666651
n129	65	1	0	45	8.177083333333314
n130	63	1	0	57	8.177083333333314
n120	66	1	0	66	8.177083333333314
n121	64	1	0	69	8.177083333333314
n122	62	1	0	74	8.172916666666648
n132	68	1	0	33	8.603124999999983
n133	69	1	0	45	8.614583333333316
n124	70	1	0	64	8.618749999999983
n125	71	1	0	67	8.618749999999983
n126	72	1	0	69	8.607291666666649
n127	67	1	0	73	8.587499999999983
n142	73	1	0	38	9.094791666666648
n143	74	1	0	50	9.090624999999982
n135	75	1	0	62	9.094791666666648
n136	76	1	0	66	9.094791666666648
n137	77	1	0	69	9.090624999999982
n138	78	1	0	74	9.068749999999982
n141	80	1	0	77	9.915624999999983
n149	79	1	0	65	10.020833333333318
n151	83	1	0	62	10.666666666666657
n150	82	1	0	64	10.57812499999999
n148	84	1	0	74	10.660416666666658
n147	81	1	0	76	10.566666666666656
n163	91	1	0	57	11.019791666666663
n160	85	1	0	60	10.743749999999991
n161	87	1	0	61	10.839583333333326
n162	89	1	0	62	10.93229166666666
n155	92	1	0	69	11.03958333333333
n152	86	1	0	72	10.753124999999992
n153	88	1	0	73	10.84166666666666
n154	90	1	0	74	10.945833333333328
n167	99	1	0	55	11.38125
n166	97	1	0	57	11.276041666666666
n165	95	1	0	58	11.192708333333332
n164	93	1	0	60	11.110416666666664
n159	100	1	0	67	11.392708333333333
n158	98	1	0	69	11.302083333333332
n157	96	1	0	70	11.202083333333333
n156	94	1	0	72	11.124999999999998
n173	101	1	0	53	11.49375
n168	102	1	0	65	11.486458333333333
n170	104	1	0	57	12.228125000000004
n171	103	1	0	60	12.242708333333336
n172	105	1	0	65	12.223958333333337
n187	107	1	0	41	12.305208333333338
n188	106	1	0	53	12.303125000000005
n178	108	1	0	57	12.628125000000008
n179	110	1	0	60	12.647916666666674
n180	109	1	0	69	12.613541666666674
n190	111	1	0	41	12.701041666666676
n191	112	1	0	53	12.701041666666676
n184	114	1	0	57	13.047916666666678
n185	116	1	0	60	13.050000000000011
