xml_id	midi_id	track	channel	pitch	onset
n7	6	0	0	37	1.5197634375000002
n8	5	0	0	40	1.9618035937499996
n9	7	0	0	45	2.2355746874999998
n1	0	0	0	49	2.5200295312499996
n10	deletion
n2	1	0	0	52	2.863245
n11	deletion
n3	2	0	0	57	3.57772078125
n12	deletion
n4	3	0	0	61	6.348818437499999
n5	4	0	0	64	7.528037343749999
n13	8	0	0	69	9.871785
n20	11	0	0	49	15.192292499999999
n21	9	0	0	57	15.190957031249999
n15	12	0	0	67	15.299129999999998
n29	28	0	0	67	16.211255156249994
n14	10	0	0	69	15.169589531249999
n31	14	0	0	50	15.464728125
n32	13	0	0	57	15.46873453125
n23	16	0	0	65	15.54886265625
n22	15	0	0	67	15.443360625
n33	18	0	0	52	15.667719375
n34	17	0	0	57	15.64768734375
n25	20	0	0	64	15.769214999999997
n24	19	0	0	65	15.67172578125
n35	22	0	0	53	15.890742656249998
n36	21	0	0	57	15.877387968749998
n27	24	0	0	62	15.988231874999999
n26	23	0	0	64	15.894749062499997
n37	26	0	0	49	16.115101406249995
n38	25	0	0	57	16.119107812499994
n28	27	0	0	69	16.107088593749996
n48	30	0	0	50	16.34480203124999
n49	29	0	0	57	16.32209906249999
n40	32	0	0	65	16.43027203124999
n39	31	0	0	67	16.31942812499999
n50	35	0	0	52	16.569160781249995
n51	34	0	0	57	16.554470624999993
n42	36	0	0	64	16.642611562499994
n41	33	0	0	65	16.547793281249994
n52	37	0	0	53	16.750784531249995
n53	38	0	0	57	16.744107187499996
n44	40	0	0	62	16.858957499999995
n43	39	0	0	64	16.752119999999994
n54	42	0	0	54	17.036574843749992
n55	41	0	0	62	17.04458765624999
n46	44	0	0	72	17.139405937499994
n45	43	0	0	74	17.027226562499994
n65	47	0	0	55	17.26761093749999
n66	45	0	0	62	17.255591718749994
n57	48	0	0	70	17.37177749999999
n56	46	0	0	72	17.244907968749995
n67	50	0	0	57	17.489298749999993
n68	49	0	0	62	17.482621406249994
n59	52	0	0	69	17.596136249999994
n58	51	0	0	70	17.481285937499994
n69	53	0	0	58	17.72701218749999
n70	54	0	0	62	17.72701218749999
n61	56	0	0	67	17.83785609374999
n60	55	0	0	69	17.72300578124999
n78	63	0	0	69	20.805267656250038
n71	58	0	0	58	17.979415781249994
n72	57	0	0	62	17.980751249999994
n62	59	0	0	67	17.984757656249993
n63	60	0	0	68	18.158368593749994
n73	61	0	0	68	18.57770578125
n77	deletion
n84	62	0	0	57	18.56435109375
n85	70	0	0	62	18.565686562499998
n82	68	0	0	65	18.588389531249998
n79	64	0	0	68	21.100406250000045
n80	65	0	0	66	21.284700937500048
n81	66	0	0	68	21.43160250000005
n75	69	0	0	69	22.370437031250066
n76	71	0	0	69	23.214453281250073
n74	67	0	0	71	21.782830781250055
n86	73	0	0	57	23.205105000000074
n87	72	0	0	61	23.22113062500007
n83	74	0	0	64	23.23047890625007
n94	81	0	0	40	27.18480187500011
n95	80	0	0	43	27.634854843750116
n96	82	0	0	48	27.91930968750012
n88	75	0	0	52	28.149010312500124
n97	deletion
n89	76	0	0	55	28.450826250000127
n98	deletion
n90	77	0	0	60	28.884853593750137
n99	deletion
n91	78	0	0	64	31.621229062500138
n92	79	0	0	67	32.747029218750136
n100	83	0	0	72	34.842379687500134
n107	85	0	0	52	40.320472500000115
n108	84	0	0	60	40.30444687500012
n102	87	0	0	70	40.4593612500001
n109	88	0	0	70	40.60626281250009
n101	86	0	0	72	40.313795156250116
n118	90	0	0	53	40.63030125000009
n119	89	0	0	60	40.61294015625009
n110	91	0	0	68	40.73580328125009
n111	92	0	0	68	40.86267281250008
n112	93	0	0	69	40.974852187500076
n113	94	0	0	69	41.09370890625008
n114	95	0	0	74	41.20989468750007
n122	98	0	0	54	41.35278984375007
n123	97	0	0	62	41.359467187500066
n116	99	0	0	72	41.45161453125005
n115	96	0	0	74	41.34077062500007
n133	102	0	0	55	41.59183875000005
n134	100	0	0	62	41.57581312500005
n125	103	0	0	69	41.698676250000034
n124	101	0	0	72	41.57581312500005
n126	104	0	0	69	41.825545781250014
n127	105	0	0	70	41.93505421875001
n128	106	0	0	70	42.07127203125001
n129	107	0	0	75	42.18078046875001
n137	109	0	0	55	42.312991875
n138	110	0	0	58	42.31966921875
n139	108	0	0	63	42.30097265625
n131	112	0	0	74	42.43986140624999
n130	111	0	0	75	42.291624375000005
n141	114	0	0	73	42.661549218749975
n140	113	0	0	74	42.55871812499998
n150	117	0	0	55	42.79643156249997
n151	118	0	0	58	42.80177343749997
n152	116	0	0	61	42.78841874999997
n153	115	0	0	64	42.78841874999997
n142	119	0	0	73	42.80177343749997
n143	120	0	0	82	42.92463656249995
n145	122	0	0	76	43.15166624999993
n144	121	0	0	82	43.04215781249994
n155	125	0	0	55	43.26384562499992
n156	126	0	0	58	43.271858437499915
n157	124	0	0	61	43.26251015624992
n158	123	0	0	64	43.25449734374992
n146	127	0	0	76	43.274529374999915
n147	128	0	0	85	43.4027343749999
n160	130	0	0	77	43.61507390624987
n159	129	0	0	85	43.518920156249884
n169	131	0	0	56	43.74194343749985
