idx,matchtype,partid,ppartid
0,0,n7,7
1,0,n8,6
2,0,n9,5
3,0,n1,0
4,1,n10,undefined
5,0,n2,1
6,1,n11,undefined
7,0,n3,2
8,1,n12,undefined
9,0,n4,3
10,0,n5,4
11,0,n13,8
12,0,n20,10
13,0,n21,9
14,0,n15,12
15,0,n29,27
16,0,n14,11
17,0,n31,14
18,0,n32,13
19,0,n23,16
20,0,n22,15
21,0,n33,19
22,0,n34,17
23,0,n25,20
24,0,n24,18
25,0,n35,21
26,0,n36,22
27,0,n27,23
28,1,n26,undefined
29,0,n37,25
30,0,n38,24
31,0,n28,26
32,0,n48,29
33,0,n49,28
34,0,n40,31
35,0,n39,30
36,0,n50,32
37,0,n51,33
38,0,n42,35
39,0,n41,34
40,0,n52,36
41,0,n53,37
42,0,n44,39
43,0,n43,38
44,0,n54,40
45,0,n55,41
46,0,n46,43
47,0,n45,42
48,0,n65,45
49,0,n66,44
50,0,n57,47
51,0,n56,46
52,0,n67,49
53,0,n68,48
54,0,n59,51
55,0,n58,50
56,0,n69,53
57,0,n70,52
58,0,n61,55
59,0,n60,54
60,0,n78,61
61,0,n71,57
62,0,n72,56
63,0,n62,58
64,0,n63,59
65,0,n73,60
66,1,n77,undefined
67,0,n84,66
68,0,n85,69
69,0,n82,67
70,0,n79,62
71,0,n80,63
72,0,n81,64
73,0,n75,68
74,0,n76,73
75,0,n74,65
76,0,n86,72
77,0,n87,71
78,0,n83,70
79,0,n94,80
80,0,n95,81
81,0,n96,79
82,0,n88,74
83,1,n97,undefined
84,0,n89,75
85,1,n98,undefined
86,0,n90,76
87,1,n99,undefined
88,0,n91,77
89,0,n92,78
90,0,n100,82
91,0,n107,84
92,0,n108,83
93,0,n102,85
94,0,n109,86
95,0,n116,97
96,1,n101,undefined
97,0,n118,88
98,0,n119,87
99,0,n110,89
100,0,n111,90
101,0,n112,91
102,0,n113,92
103,0,n114,93
104,0,n122,95
105,0,n123,94
106,0,n115,96
107,0,n133,100
108,0,n134,99
109,0,n125,101
110,0,n124,98
111,0,n126,102
112,0,n127,103
113,0,n128,104
114,0,n129,105
115,0,n137,108
116,0,n138,107
117,0,n139,106
118,0,n131,110
119,0,n130,109
120,0,n141,112
121,0,n140,111
122,0,n150,116
123,0,n151,114
124,0,n152,115
125,0,n153,113
126,0,n142,117
127,0,n143,118
128,0,n145,120
129,0,n144,119
130,0,n155,124
131,0,n156,123
132,0,n157,122
133,0,n158,121
134,0,n146,125
135,0,n147,126
136,0,n160,129
137,0,n159,128
138,0,n169,134
139,0,n170,132
140,0,n171,133
141,0,n172,131
142,0,n161,130
143,0,n162,135
144,0,n164,137
145,0,n163,136
146,0,n174,139
147,0,n175,143
148,0,n176,138
149,0,n177,141
150,0,n165,140
151,0,n166,142
152,0,n187,150
153,0,n188,151
154,0,n189,148
155,0,n179,145
156,0,n178,144
157,0,n180,146
158,0,n181,147
159,0,n183,152
160,0,n182,149
161,0,n184,153
162,0,n185,154
163,0,n193,156
164,0,n192,155
165,0,n194,157
166,0,n195,158
167,0,n197,160
168,0,n196,159
169,0,n198,161
170,0,n199,162
171,0,n203,164
172,0,n202,163
173,0,n204,165
174,0,n205,166
175,0,n207,168
176,0,n206,167
177,0,n208,169
178,0,n209,170
179,0,n213,172
180,0,n212,171
181,0,n214,173
182,0,n215,174
183,0,n217,176
184,0,n216,175
185,0,n224,179
186,0,n223,178
187,0,n219,180
188,0,n218,177
189,0,n234,181
190,0,n235,183
191,0,n225,182
192,0,n226,184
193,0,n236,185
194,0,n237,187
195,0,n227,186
196,0,n228,188
197,0,n239,191
198,0,n238,189
199,0,n230,192
200,0,n229,190
201,0,n241,195
202,0,n240,193
203,0,n232,196
204,0,n231,194
205,0,n251,197
206,0,n252,199
207,0,n242,198
208,0,n243,200
209,0,n253,201
210,0,n254,203
211,0,n244,202
212,0,n245,204
213,0,n256,207
214,0,n255,205
215,0,n247,208
216,0,n246,206
217,0,n258,211
218,0,n257,209
219,0,n249,212
220,0,n248,210
221,0,n268,219
222,1,n271,undefined
223,0,n259,213
224,0,n260,214
225,0,n269,220
226,0,n270,218
227,0,n261,215
228,0,n262,216
229,0,n263,217
230,0,n264,221
231,0,n265,222
232,0,n266,223
233,0,n272,227
234,0,n273,228
235,0,n283,226
236,0,n284,225
237,0,n285,224
238,0,n274,230
239,0,n275,232
240,0,n286,229
241,0,n287,233
242,1,n290,undefined
243,0,n288,231
244,1,n291,undefined
245,1,n276,undefined
246,0,n277,238
247,0,n289,235
248,0,n278,242
249,0,n279,243
250,2,undefined,236
251,0,n306,245
252,0,n295,247
253,0,n297,249
254,0,n294,244
255,0,n296,248
256,0,n293,246
257,0,n298,250
258,0,n307,251
259,0,n299,252
260,0,n301,255
261,0,n300,253
262,0,n308,254
263,0,n303,257
264,0,n302,256
265,0,n304,258
266,0,n324,293
267,0,n312,259
268,0,n314,261
269,0,n313,260
270,0,n316,263
271,0,n315,262
272,0,n317,264
273,0,n318,265
274,0,n320,267
275,0,n319,266
276,0,n322,269
277,0,n321,268
278,0,n323,270
279,0,n311,271
280,0,n329,272
281,0,n331,275
282,0,n330,273
283,0,n325,274
284,0,n333,277
285,0,n332,276
286,0,n334,279
287,0,n326,278
288,0,n335,280
289,0,n337,284
290,0,n336,281
291,0,n327,282
292,0,n339,286
293,0,n338,285
294,0,n345,287
295,0,n347,290
296,1,n340,undefined
297,0,n328,283
298,0,n346,288
299,1,n344,undefined
300,0,n342,289
301,0,n348,291
302,0,n349,292
303,0,n350,294
304,0,n352,297
305,0,n351,296
306,0,n343,295
307,0,n354,298
308,0,n353,299
309,1,n355,undefined
310,0,n370,302
311,0,n359,303
312,0,n358,301
313,0,n357,300
314,0,n361,305
315,0,n360,304
316,0,n362,306
317,0,n371,308
318,0,n363,309
319,0,n365,311
320,0,n364,310
321,0,n372,312
322,0,n367,314
323,0,n366,313
324,0,n368,315
325,0,n388,350
326,0,n376,316
327,0,n378,318
328,0,n377,317
329,0,n380,320
330,0,n379,319
331,0,n381,321
332,0,n382,322
333,0,n384,324
334,0,n393,326
335,1,n386,undefined
336,0,n383,323
337,0,n387,325
338,1,n385,undefined
339,0,n375,327
340,0,n395,329
341,0,n394,328
342,0,n389,331
343,0,n397,332
344,0,n396,330
345,0,n398,333
346,0,n390,334
347,0,n399,335
348,0,n401,337
349,0,n400,336
350,0,n391,339
351,0,n403,341
352,0,n402,338
353,0,n404,342
354,0,n392,340
355,0,n408,343
356,0,n410,346
357,0,n409,344
358,0,n406,345
359,0,n412,348
360,0,n411,347
361,0,n413,349
362,0,n414,351
363,0,n416,354
364,0,n415,353
365,0,n407,352
366,0,n418,356
367,0,n417,355
368,0,n419,357
369,0,n434,360
370,0,n423,361
371,0,n422,359
372,0,n421,358
373,0,n425,363
374,0,n424,362
375,0,n426,364
376,0,n435,365
377,0,n427,366
378,0,n429,368
379,0,n428,367
380,0,n436,369
381,0,n431,371
382,0,n430,370
383,0,n432,372
384,0,n452,377
385,0,n440,373
386,0,n442,375
387,0,n441,374
388,0,n444,378
389,0,n443,376
390,0,n445,379
391,0,n447,382
392,0,n449,384
393,1,n451,undefined
394,0,n446,381
395,0,n448,383
396,0,n438,380
397,0,n450,385
398,0,n466,390
399,0,n454,387
400,0,n453,386
401,0,n455,388
402,0,n456,389
403,0,n458,392
404,0,n457,391
405,0,n467,393
406,0,n460,395
407,0,n459,394
408,0,n461,396
409,0,n468,397
410,0,n462,398
411,0,n464,400
412,0,n463,399
413,0,n484,404
414,0,n469,401
415,0,n471,403
416,0,n470,402
417,0,n473,406
418,0,n472,405
419,0,n474,407
420,0,n475,409
421,0,n477,411
422,0,n476,410
423,0,n482,408
424,0,n479,413
425,0,n478,412
426,0,n480,414
427,0,n498,417
428,0,n487,416
429,1,n485,undefined
430,0,n486,415
431,0,n489,419
432,0,n488,418
433,0,n490,420
434,0,n499,422
435,0,n491,421
436,0,n493,424
437,0,n492,423
438,0,n500,426
439,0,n495,427
440,0,n494,425
441,0,n496,428
442,0,n516,435
443,0,n501,430
444,0,n503,432
445,0,n502,431
446,0,n505,434
447,0,n504,433
448,0,n506,436
449,0,n508,439
450,0,n510,441
451,1,n512,undefined
452,0,n507,438
453,0,n509,440
454,0,n514,437
455,0,n511,442
456,0,n530,445
457,0,n518,444
458,0,n517,443
459,0,n519,446
460,0,n520,447
461,0,n522,449
462,0,n521,448
463,0,n531,450
464,0,n524,452
465,0,n523,451
466,0,n525,453
467,0,n532,454
468,0,n526,455
469,0,n528,457
470,0,n527,456
471,0,n548,462
472,0,n533,458
473,0,n535,460
474,0,n534,459
475,0,n537,463
476,0,n536,461
477,0,n538,465
478,0,n539,466
479,0,n541,468
480,0,n540,467
481,0,n546,464
482,0,n543,470
483,0,n542,469
484,0,n544,471
485,0,n562,474
486,0,n550,473
487,0,n549,472
488,0,n551,475
489,0,n552,476
490,0,n554,478
491,0,n553,477
492,0,n563,479
493,0,n556,481
494,0,n555,480
495,0,n557,482
496,0,n564,483
497,0,n558,484
498,0,n560,487
499,0,n559,485
500,0,n578,488
501,0,n579,489
502,0,n565,490
503,0,n567,492
504,0,n566,491
505,0,n569,494
506,0,n568,493
507,0,n570,495
508,0,n571,497
509,0,n573,499
510,0,n572,498
511,0,n577,496
512,0,n575,501
513,0,n574,500
514,0,n576,502
515,0,n593,504
516,0,n594,503
517,0,n580,505
518,0,n582,508
519,0,n581,507
520,0,n584,510
521,0,n583,509
522,0,n585,511
523,0,n586,513
