onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
1.340625,5.6041665,50,35,1,0,0,1.04375,0.0
1.4822917,5.4625,53,37,1,0,1,1.04375,0.0
1.625,5.319792,58,39,1,0,2,1.04375,0.0
1.2416667,5.703125,46,40,1,0,3,1.04375,0.0
1.04375,5.9010415,34,35,1,0,4,1.04375,0.0
1.134375,5.8104167,41,37,1,0,5,1.04375,0.0
6.584375,1.4458333,74,58,1,0,6,6.584375,3.0
7.936458,0.19791667,75,47,1,0,7,6.584375,3.0
8.133333,3.378125,77,45,1,0,8,8.133333,4.0
9.723958,1.7875,34,37,1,0,9,9.7,5.0
9.708333,1.803125,46,27,1,0,10,9.7,5.0
9.689584,1.821875,50,32,1,0,11,8.133333,4.0
9.711458,1.8,41,35,1,0,12,9.7,5.0
9.691667,1.8197917,53,30,1,0,13,8.133333,4.0
9.689584,1.821875,58,40,1,0,14,8.133333,4.0
11.346875,4.7322917,51,32,1,0,15,9.7,5.0
11.340625,4.7385416,53,28,1,0,16,9.7,5.0
11.330209,4.748958,57,44,1,0,17,9.7,5.0
11.376041,4.703125,48,17,1,0,18,11.358334,6.0
11.369792,4.709375,36,38,1,0,19,11.358334,6.0
11.3875,4.6916666,41,28,1,0,20,11.358334,6.0
15.716666,1.45625,81,63,1,0,21,14.263889,8.0
17.009375,0.22395833,82,63,1,0,22,15.716667,9.0
17.210417,3.5510416,84,61,1,0,23,17.210417,10.0
18.873959,1.8875,53,33,1,0,24,18.859375,11.0
18.844791,1.9166666,60,36,1,0,25,17.210417,10.0
18.8375,1.9239583,63,46,1,0,26,17.210417,10.0
18.876041,1.9291667,45,36,1,0,27,18.859375,11.0
20.607292,3.60625,62,47,1,0,28,18.859375,11.0
20.611458,3.6020834,58,31,1,0,29,18.859375,11.0
23.321875,0.89166665,62,15,1,0,30,23.321875,14.0
23.580208,0.6333333,65,24,1,0,31,23.321875,14.0
23.752083,0.46145833,63,43,1,0,32,23.321875,14.0
20.636457,3.5770833,53,24,1,0,33,20.623959,12.0
23.884375,0.32916668,62,47,1,0,34,23.321875,14.0
20.639584,3.5739584,46,35,1,0,35,20.623959,12.0
23.998959,0.21458334,63,56,1,0,36,23.321875,14.0
24.125,0.10520833,65,56,1,0,37,23.321875,14.0
24.236458,0.09375,67,61,1,0,38,23.321875,14.0
24.335417,0.10104167,69,61,1,0,39,23.321875,14.0
24.451042,0.10520833,70,62,1,0,40,23.321875,14.0
24.589582,0.25833333,72,68,1,0,41,23.321875,14.0
24.777082,1.2208333,74,61,1,0,42,24.777082,15.375
25.875,0.20416667,75,55,1,0,43,24.777082,15.375
26.0625,1.6333333,77,55,1,0,44,26.0625,16.375
27.594791,2.021875,50,42,1,0,45,27.569271,17.375
27.5375,2.0791667,77,71,1,0,46,26.0625,16.375
27.576042,2.040625,59,48,1,0,47,27.569271,17.375
27.5625,2.0541666,68,51,1,0,48,26.0625,16.375
29.497917,1.9135417,59,35,1,0,49,27.569271,17.375
29.454166,1.9572917,77,43,1,0,50,27.569271,17.375
29.513542,3.5041666,51,36,1,0,51,29.498959,18.375
29.5,3.5177083,67,39,1,0,52,29.498959,18.375
31.367708,1.65,60,28,1,0,53,31.328125,19.375
31.288542,1.7291666,75,43,1,0,54,29.498959,18.375
32.223957,0.79375,62,37,1,0,55,31.328125,19.375
32.204166,0.81354165,70,40,1,0,56,31.328125,19.375
32.15625,0.86145836,74,54,1,0,57,31.328125,19.375
32.244793,0.7729167,53,32,1,0,58,31.328125,19.375
32.985416,0.9322917,55,35,1,0,59,32.95573,20.375
32.923958,0.99375,72,64,1,0,60,31.328125,19.375
32.963543,0.95416665,63,36,1,0,61,32.95573,20.375
32.947918,0.96979165,70,47,1,0,62,31.328125,19.375
33.83229,1.28125,70,42,1,0,63,32.95573,20.375
33.815624,1.2979167,72,53,1,0,64,32.95573,20.375
33.8375,1.2760416,64,44,1,0,65,32.95573,20.375
33.865623,1.2541667,55,28,1,0,66,32.95573,20.375
34.982292,0.246875,72,39,1,0,67,32.95573,20.375
34.994793,0.884375,70,32,1,0,68,32.95573,20.375
35.2625,0.6166667,74,34,1,0,69,35.013542,21.375
35.396873,0.48229167,72,53,1,0,70,35.013542,21.375
35.516666,0.3625,74,52,1,0,71,35.013542,21.375
35.611458,0.26770833,72,49,1,0,72,35.013542,21.375
35.69375,0.18541667,74,52,1,0,73,35.013542,21.375
35.766666,0.1125,72,56,1,0,74,35.013542,21.375
35.89375,0.175,71,44,1,0,75,35.013542,21.375
36.095833,0.19791667,72,43,1,0,76,35.013542,21.375
36.314583,2.9177084,74,40,1,0,77,35.013542,21.375
35.03229,4.2,64,30,1,0,78,35.013542,21.375
36.60625,2.6260417,72,36,1,0,79,35.013542,21.375
37.151043,2.08125,65,31,1,0,80,37.140625,22.375
37.140625,2.0916667,69,31,1,0,81,37.140625,22.375
37.121876,2.1104167,72,38,1,0,82,35.013542,21.375
35.036457,4.195833,53,38,1,0,83,35.013542,21.375
40.216667,0.934375,51,42,1,0,84,39.07422,23.375
40.54375,0.60729164,48,45,1,0,85,39.07422,23.375
39.835415,1.315625,53,39,1,0,86,39.07422,23.375
40.197918,0.953125,55,48,1,0,87,39.07422,23.375
40.522915,0.628125,57,57,1,0,88,39.07422,23.375
41.004166,1.6135417,50,45,1,0,89,39.07422,23.375
42.34271,0.275,48,38,1,0,90,41.007812,24.375
42.327084,0.290625,51,52,1,0,91,41.007812,24.375
42.53854,3.3333333,50,50,1,0,92,42.528126,25.375
42.517708,3.3541667,53,53,1,0,93,41.007812,24.375
41.03021,4.8416667,34,47,1,0,94,41.007812,24.375
43.99271,1.8791667,50,39,1,0,95,43.97604,26.375
41.01146,4.860417,46,44,1,0,96,41.007812,24.375
43.959373,1.9125,53,54,1,0,97,42.528126,25.375
40.99271,4.8791666,58,57,1,0,98,39.07422,23.375
45.704166,0.73645836,74,68,1,0,99,43.97604,26.375
46.203125,0.2375,75,51,1,0,100,45.741665,27.375
46.28021,0.16041666,74,64,1,0,101,45.741665,27.375
46.357292,0.14791666,72,67,1,0,102,45.741665,27.375
46.442707,0.67604166,74,68,1,0,103,45.741665,27.375
46.977085,0.21354167,75,64,1,0,104,45.741665,27.375
47.169792,1.6604167,77,67,1,0,105,47.169792,28.375
45.734375,3.0958333,53,39,1,0,106,43.97604,26.375
45.74896,3.08125,50,37,1,0,107,45.741665,27.375
45.759377,3.0708334,46,37,1,0,108,45.741665,27.375
48.71875,1.8947917,46,44,1,0,109,48.714584,29.375
48.714584,1.8989583,50,38,1,0,110,48.714584,29.375
48.722916,1.890625,34,48,1,0,111,48.714584,29.375
48.702084,1.9114584,53,43,1,0,112,47.169792,28.375
48.68125,1.9322916,58,62,1,0,113,47.169792,28.375
50.409374,1.5604167,48,48,1,0,114,50.409374,30.375
50.39896,1.5708333,51,51,1,0,115,48.714584,29.375
51.720833,0.24895833,50,57,1,0,116,50.409374,30.375
51.70625,0.26354167,53,62,1,0,117,50.409374,30.375
51.883335,3.00625,54,65,1,0,118,50.409374,30.375
51.895832,2.99375,51,52,1,0,119,51.889584,31.375
50.41875,4.4708333,29,66,1,0,120,50.409374,30.375
50.41771,4.471875,41,60,1,0,121,50.409374,30.375
50.383335,4.50625,57,66,1,0,122,48.714584,29.375
53.283333,1.60625,51,57,1,0,123,53.27656,32.375
53.26979,1.6197916,54,69,1,0,124,51.889584,31.375
54.904167,0.023958333,43,19,1,0,125,54.805206,33.375
54.786457,0.94375,84,76,1,0,126,53.27656,32.375
55.26146,0.46875,86,67,1,0,127,54.805206,33.375
55.339584,0.390625,84,80,1,0,128,54.805206,33.375
55.396873,0.33333334,83,75,1,0,129,54.805206,33.375
55.494793,0.75416666,84,80,1,0,130,54.805206,33.375
56.015625,0.24791667,86,80,1,0,131,54.805206,33.375
54.798958,1.51875,41,46,1,0,132,53.27656,32.375
54.8125,1.5489583,51,52,1,0,133,54.805206,33.375
54.81146,1.5677084,54,49,1,0,134,54.805206,33.375
56.208332,3.4510417,87,78,1,0,135,56.208332,34.375
58.01875,1.640625,60,36,1,0,136,58.014584,35.375
58.034374,1.625,58,34,1,0,137,58.014584,35.375
58.010418,1.6489583,63,48,1,0,138,56.208332,34.375
57.9875,1.671875,66,54,1,0,139,56.208332,34.375
59.541668,1.453125,63,35,1,0,140,59.53594,36.375
59.536457,1.4583334,60,38,1,0,141,59.53594,36.375
59.535416,1.459375,57,35,1,0,142,58.014584,35.375
60.807293,0.1875,62,45,1,0,143,59.53594,36.375
60.815624,0.17916666,59,38,1,0,144,59.53594,36.375
61.01146,3.7875,60,41,1,0,145,61.004166,37.375
60.996876,3.8020833,63,49,1,0,146,59.53594,36.375
59.51875,5.280208,65,37,1,0,147,58.014584,35.375
62.37604,2.4229167,60,39,1,0,148,62.372395,38.375
62.36875,2.4302084,63,41,1,0,149,61.004166,37.375
64.03854,0.7604167,84,44,1,0,150,62.372395,38.375
64.57188,0.22708334,86,45,1,0,151,64.067184,39.375
64.64271,0.15625,84,53,1,0,152,64.067184,39.375
64.6875,0.11145833,83,61,1,0,153,64.067184,39.375
64.77604,0.578125,84,53,1,0,154,64.067184,39.375
64.07708,1.4052083,53,37,1,0,155,64.067184,39.375
65.32604,0.22395833,86,44,1,0,156,64.067184,39.375
65.527084,0.875,57,31,1,0,157,64.067184,39.375
64.06563,2.3364584,60,36,1,0,158,62.372395,38.375
65.54375,0.85833335,87,46,1,0,159,65.535416,40.375
64.06875,2.3333333,63,30,1,0,160,64.067184,39.375
67.32917,1.878125,54,33,1,0,161,67.30729,41.375
67.30937,1.8979167,63,29,1,0,162,67.30729,41.375
67.30312,1.9041667,60,36,1,0,163,65.535416,40.375
67.30729,1.9,69,39,1,0,164,67.30729,41.375
67.26979,1.9375,75,43,1,0,165,65.535416,40.375
69.09896,0.8072917,70,27,1,0,166,69.092705,42.375
69.0625,0.84375,74,37,1,0,167,67.30729,41.375
69.089584,0.81666666,55,30,1,0,168,67.30729,41.375
69.11562,0.790625,58,27,1,0,169,69.092705,42.375
69.092705,0.81354165,62,27,1,0,170,69.092705,42.375
72.68021,0.51979166,67,72,1,0,171,71.05104,43.375
72.683334,0.51666665,58,72,1,0,172,72.68073,44.375
72.68229,0.51770836,70,74,1,0,173,72.68073,44.375
72.68125,0.51875,52,69,1,0,174,72.68073,44.375
72.67917,0.5208333,61,73,1,0,175,71.05104,43.375
72.675,0.525,73,79,1,0,176,71.05104,43.375
71.05104,3.0729167,79,93,1,0,177,71.05104,43.375
76.14479,0.34479168,65,31,1,0,178,74.495834,45.375
76.145836,0.34375,70,26,1,0,179,74.495834,45.375
76.12708,0.3625,74,35,1,0,180,74.495834,45.375
76.14896,0.340625,62,26,1,0,181,76.14739,46.375
76.14896,0.340625,53,32,1,0,182,76.14739,46.375
76.16458,0.325,58,31,1,0,183,76.14739,46.375
74.495834,3.8635416,77,46,1,0,184,74.495834,45.375
77.81979,0.5395833,41,35,1,0,185,77.81979,47.375
77.81875,0.540625,53,32,1,0,186,76.14739,46.375
77.83646,0.5229167,60,39,1,0,187,77.81979,47.375
77.82708,0.53229165,63,35,1,0,188,77.81979,47.375
77.80312,0.55625,69,42,1,0,189,76.14739,46.375
79.620834,0.42395833,46,22,1,0,190,79.604164,48.375
79.614586,0.43020833,34,30,1,0,191,79.604164,48.375
79.59688,0.44791666,62,37,1,0,192,77.81979,47.375
79.592705,0.45208332,70,38,1,0,193,77.81979,47.375
79.604164,0.440625,58,22,1,0,194,79.604164,48.375
80.94375,0.057291668,46,44,1,0,195,79.604164,48.375
81.03438,0.05,34,41,1,0,196,79.604164,48.375
81.123955,0.054166667,46,38,1,0,197,79.604164,48.375
81.23229,0.18229167,34,35,1,0,198,81.23229,49.375
82.407295,0.072916664,46,37,1,0,199,81.23229,49.375
82.5,0.065625,34,46,1,0,200,81.23229,49.375
82.61146,0.057291668,46,38,1,0,201,81.23229,49.375
82.71875,0.25,34,35,1,0,202,82.71875,50.375
83.88646,0.048958335,46,30,1,0,203,82.71875,50.375
83.95625,0.06458333,34,44,1,0,204,82.71875,50.375
84.06458,0.05625,46,43,1,0,205,82.71875,50.375
84.191666,0.20104167,34,37,1,0,206,84.18021,51.375
84.183334,1.75625,58,32,1,0,207,84.18021,51.375
84.177086,1.7625,55,36,1,0,208,82.71875,50.375
84.16875,1.7708334,63,43,1,0,209,82.71875,50.375
85.64167,1.7708334,58,38,1,0,210,85.64167,52.375
85.65833,1.7541667,53,34,1,0,211,85.64167,52.375
85.63229,1.7802083,62,56,1,0,212,84.18021,51.375
87.13229,3.1239583,52,37,1,0,213,87.1125,53.375
87.1125,3.14375,58,38,1,0,214,87.1125,53.375
87.08021,3.1760416,61,61,1,0,215,85.64167,52.375
88.70937,1.546875,52,24,1,0,216,88.68542,54.375
88.68542,1.5708333,58,38,1,0,217,88.68542,54.375
89.82604,0.43020833,46,44,1,0,218,88.68542,54.375
89.91875,0.3375,34,44,1,0,219,88.68542,54.375
89.99167,0.26458332,46,51,1,0,220,88.68542,54.375
88.64896,1.6072917,61,60,1,0,221,87.1125,53.375
90.12187,0.20833333,34,43,1,0,222,88.68542,54.375
91.26875,0.0625,46,40,1,0,223,90.12865,55.375
91.359375,0.05625,34,44,1,0,224,90.12865,55.375
91.44583,0.08645833,46,46,1,0,225,90.12865,55.375
91.57604,0.24479167,34,45,1,0,226,91.57604,56.375
90.135414,2.08125,58,33,1,0,227,90.12865,55.375
90.14167,2.1770833,53,32,1,0,228,90.12865,55.375
90.11354,2.315625,62,40,1,0,229,88.68542,54.375
92.725,0.059375,46,36,1,0,230,91.57604,56.375
92.80521,0.071875,34,48,1,0,231,91.57604,56.375
92.89792,0.119791664,46,49,1,0,232,91.57604,56.375
93.03958,0.32708332,34,41,1,0,233,93.03385,57.375
93.02604,1.6197916,60,56,1,0,234,91.57604,56.375
94.00521,0.640625,62,50,1,0,235,93.03385,57.375
94.22708,0.41875,60,64,1,0,236,93.03385,57.375
94.4,0.37291667,59,65,1,0,237,93.03385,57.375
94.64479,1.6677083,60,62,1,0,238,94.53984,58.375
93.03125,3.28125,51,38,1,0,239,91.57604,56.375
93.03646,3.2760417,55,40,1,0,240,93.03385,57.375
95.32708,0.98541665,62,60,1,0,241,94.53984,58.375
96.104164,1.48125,34,39,1,0,242,96.04583,59.375
96.04583,1.5395833,60,62,1,0,243,96.04583,59.375
96.063545,1.521875,51,33,1,0,244,96.04583,59.375
96.765625,0.9458333,57,61,1,0,245,96.04583,59.375
97.609375,1.4885417,51,23,1,0,246,97.597916,60.375
97.597916,1.5,54,15,1,0,247,97.597916,60.375
98.76146,0.33645833,46,42,1,0,248,97.597916,60.375
98.84167,0.25625,34,44,1,0,249,97.597916,60.375
98.94896,0.14895834,46,31,1,0,250,97.597916,60.375
97.57917,1.51875,60,56,1,0,251,96.04583,59.375
99.06979,0.19375,34,34,1,0,252,99.05521,61.375
100.15104,0.060416665,46,44,1,0,253,99.05521,61.375
100.23854,0.054166667,34,38,1,0,254,99.05521,61.375
100.339584,0.052083332,46,37,1,0,255,99.05521,61.375
99.06875,1.43125,50,31,1,0,256,99.05521,61.375
99.03646,1.5802083,53,33,1,0,257,97.597916,60.375
100.4375,0.24375,34,37,1,0,258,100.4375,62.375
99.041664,2.0052083,58,44,1,0,259,97.597916,60.375
101.56771,0.063541666,46,29,1,0,260,100.4375,62.375
101.64687,0.06666667,34,42,1,0,261,100.4375,62.375
101.74271,0.07604167,46,41,1,0,262,100.4375,62.375
101.8875,0.21979167,34,40,1,0,263,101.8875,63.375
101.890625,1.6677083,62,45,1,0,264,101.8875,63.375
101.875,1.7135416,70,59,1,0,265,100.4375,62.375
103.39271,1.69375,58,45,1,0,266,103.39271,64.375
103.39375,1.6927084,62,48,1,0,267,103.39271,64.375
103.35,1.746875,67,75,1,0,268,101.8875,63.375
104.92917,2.0010417,62,52,1,0,269,104.92917,65.375
104.93021,2.0,57,46,1,0,270,104.92917,65.375
104.895836,2.034375,65,80,1,0,271,103.39271,64.375
107.89167,0.25625,48,33,1,0,272,106.74792,66.375
107.975,0.17291667,36,42,1,0,273,106.74792,66.375
108.06875,0.079166666,48,36,1,0,274,106.74792,66.375
108.16771,0.10104167,36,41,1,0,275,108.16771,67.375
106.76979,2.8447917,55,24,1,0,276,106.74792,66.375
