xml_id	midi_id	track	channel	pitch	onset
n7	5	0	0	44	2.0432671874999997
n8	4	0	0	51	2.0632992187499997
n9	6	0	0	53	2.0606282812499996
n10	7	0	0	56	2.0432671874999997
n5	3	0	0	60	2.0259060937499997
n6	2	0	0	63	2.0379253124999996
n2	1	0	0	65	2.3864826562499997
n3	8	0	0	65	2.5133521874999993
n1	0	0	0	72	2.0098804687499996
n18	17	0	0	44	3.6231267187499987
n19	14	0	0	51	3.6257976562499987
n20	12	0	0	53	3.6257976562499987
n21	11	0	0	56	3.612442968749999
n16	13	0	0	60	3.6111074999999992
n17	16	0	0	63	3.613778437499999
n13	10	0	0	65	3.982367812499999
n12	9	0	0	72	3.5857335937499992
n14	15	0	0	65	4.1159146875
n32	19	0	0	32	5.221682812500003
n33	18	0	0	39	5.2350375000000025
n23	22	0	0	60	5.227024687500003
n24	20	0	0	63	5.223018281250003
n25	21	0	0	65	5.204321718750003
n34	24	0	0	32	5.774566875000001
n35	23	0	0	39	5.7852506250000015
n26	25	0	0	60	5.763883125000001
n27	26	0	0	63	5.763883125000001
n28	27	0	0	65	5.751863906250001
n36	29	0	0	32	6.3528248437500014
n37	28	0	0	39	6.356831250000001
n29	30	0	0	60	6.350153906250002
n30	31	0	0	63	6.354160312500001
n31	32	0	0	65	6.336799218750002
n41	33	0	0	33	7.164789843750001
n42	34	0	0	39	7.176809062500001
n38	35	0	0	60	7.160783437500001
n39	36	0	0	63	7.151435156250001
n40	37	0	0	66	7.139415937500001
n52	38	0	0	45	9.29619796875001
n53	42	0	0	51	9.28284328125001
n54	39	0	0	54	9.29085609375001
n43	40	0	0	60	9.29352703125001
n44	41	0	0	63	9.28017234375001
n45	43	0	0	66	9.25479843750001
n55	46	0	0	45	10.020022031250011
n56	45	0	0	51	10.012009218750011
n57	44	0	0	54	10.02402843750001
n46	47	0	0	60	9.999990000000011
n47	48	0	0	63	9.995983593750012
n48	49	0	0	66	9.971945156250012
n58	51	0	0	45	10.85469000000001
n59	52	0	0	51	10.845341718750012
n60	50	0	0	54	10.848012656250011
n49	53	0	0	60	10.85335453125001
n50	54	0	0	63	10.845341718750012
n51	55	0	0	66	10.811955000000012
n64	59	0	0	46	12.170126718750012
n65	57	0	0	51	12.160778437500012
n66	58	0	0	55	12.162113906250012
n61	56	0	0	58	12.146088281250012
n62	60	0	0	63	12.146088281250012
n63	61	0	0	67	12.103353281250012
n81	62	0	0	34	15.730486406250039
n82	63	0	0	46	15.730486406250039
n75	65	0	0	56	15.711789843750038
n76	deletion
n68	66	0	0	65	15.882729843750038
n71	71	0	0	65	16.263338437500035
n67	64	0	0	67	15.695764218750039
n83	67	0	0	34	16.111095000000034
n84	68	0	0	46	16.124449687500036
n77	deletion
n78	deletion
n72	72	0	0	64	16.352814843750036
n69	69	0	0	65	16.092398437500034
n70	70	0	0	67	16.193894062500036
n85	74	0	0	34	16.470336093750035
n86	73	0	0	46	16.478348906250034
n79	75	0	0	56	16.503722812500033
n80	deletion
n73	76	0	0	65	16.448968593750035
n74	77	0	0	67	16.64261156250003
n98	85	0	0	39	16.895015156250032
n99	86	0	0	51	16.891008750000033
n87	79	0	0	55	16.881660468750034
n91	82	0	0	62	17.13940593750003
n88	78	0	0	63	16.862963906250034
n90	81	0	0	63	17.04592312500003
n89	80	0	0	65	16.96579500000003
n92	83	0	0	63	17.25158531250003
n93	84	0	0	65	17.387803125000033
n94	87	0	0	67	17.50398890625003
n95	88	0	0	68	17.62685203125003
n96	89	0	0	70	17.749715156250033
n97	90	0	0	72	17.875249218750035
n102	91	0	0	74	18.012802500000035
n103	92	0	0	75	18.143678437500036
n104	93	0	0	77	18.265206093750034
n105	94	0	0	78	18.390740156250036
n106	95	0	0	79	18.517609687500038
n107	96	0	0	80	18.671188593750035
n108	97	0	0	81	18.784703437500035
n109	98	0	0	82	18.916914843750035
n110	99	0	0	83	19.045119843750033
n116	105	0	0	68	19.236091875000035
n117	103	0	0	72	19.250782031250033
n118	104	0	0	75	19.245440156250034
n113	101	0	0	77	19.636732500000033
n112	100	0	0	84	19.213388906250035
n114	102	0	0	77	19.751582812500033
n125	112	0	0	56	20.89875046875004
n126	110	0	0	60	20.90809875000004
n127	111	0	0	63	20.88272484375004
n122	108	0	0	65	21.30473296875004
n120	106	0	0	71	20.75451984375004
n121	107	0	0	72	20.86269281250004
n123	109	0	0	65	21.41691234375004
n138	114	0	0	32	22.65756281250005
n139	113	0	0	44	22.63085343750005
n129	117	0	0	48	22.621505156250052
n130	115	0	0	51	22.620169687500052
n131	116	0	0	53	22.60280859375005
n140	119	0	0	32	23.22647250000005
n141	118	0	0	44	23.22380156250005
n132	120	0	0	48	23.20376953125005
n133	121	0	0	51	23.21178234375005
n134	122	0	0	53	23.19442125000005
n142	124	0	0	32	23.85681375000005
n143	123	0	0	44	23.843459062500052
n135	125	0	0	48	23.844794531250052
n136	126	0	0	51	23.84880093750005
n137	127	0	0	53	23.824762500000052
n147	129	0	0	33	24.788970937500054
n148	131	0	0	45	24.788970937500054
n144	128	0	0	48	24.752913281250052
n145	130	0	0	51	24.74089406250005
n146	132	0	0	54	24.72486843750005
n158	135	0	0	69	27.11802843750007
n149	133	0	0	72	27.11001562500007
n150	134	0	0	75	27.09131906250007
n151	136	0	0	78	27.06594515625007
n159	137	0	0	69	27.88191656250007
n152	138	0	0	72	27.88325203125007
n153	139	0	0	75	27.87924562500007
n154	140	0	0	78	27.84986531250007
n160	141	0	0	69	28.78068703125007
n155	142	0	0	72	28.79137078125007
n156	143	0	0	75	28.78068703125007
n157	144	0	0	78	28.74596484375007
n163	145	0	0	70	30.13084593750007
n161	146	0	0	75	30.11214937500007
n162	147	0	0	79	30.08677546875007
n178	149	0	0	34	34.02106640624996
n179	148	0	0	46	34.030414687499956
n172	152	0	0	56	34.01171812499996
n173	150	0	0	62	34.05311765624995
n165	153	0	0	65	34.170638906249934
n170	163	0	0	65	34.72485843749991
n164	151	0	0	67	33.99569249999996
n180	156	0	0	34	34.40301046874992
n181	154	0	0	46	34.420371562499916
n174	deletion
n175	deletion
n169	159	0	0	64	34.62069187499991
n166	155	0	0	65	34.362946406249925
n168	158	0	0	65	34.52987999999991
n167	157	0	0	67	34.44975187499991
n182	160	0	0	34	34.751567812499914
n183	deletion
n176	162	0	0	56	34.76892890624991
n177	161	0	0	62	34.76892890624991
n171	164	0	0	67	34.887785624999914
n188	168	0	0	39	35.124163593749905
n189	165	0	0	51	35.11481531249991
n190	169	0	0	51	35.26171687499989
n184	166	0	0	55	35.11481531249991
n185	167	0	0	63	35.09611874999991
n191	170	0	0	51	35.48874656249988
n192	171	0	0	51	35.65968656249988
n193	172	0	0	51	35.85199406249988
n194	173	0	0	51	36.06433359374988
n200	175	0	0	51	36.267324843749876
n201	177	0	0	51	36.47298703124987
n206	183	0	0	60	36.29002781249987
n207	184	0	0	63	36.28735687499987
n197	178	0	0	80	36.57047624999987
n195	174	0	0	86	36.20188687499988
n196	176	0	0	87	36.25664109374988
n202	179	0	0	51	36.675978281249876
n203	181	0	0	51	36.866950312499874
n198	180	0	0	80	36.65193984374987
n204	182	0	0	51	37.06727062499987
n205	185	0	0	51	37.26358453124987
n213	187	0	0	51	37.46924671874987
n214	189	0	0	51	37.69627640624987
n219	196	0	0	58	37.49194968749987
n220	195	0	0	62	37.48393687499987
n210	190	0	0	67	37.769727187499875
n208	186	0	0	74	37.38377671874987
n209	188	0	0	75	37.46390484374987
n215	191	0	0	51	37.88858390624988
n216	193	0	0	51	38.076884999999876
n211	192	0	0	67	37.865880937499874
n217	194	0	0	51	38.27987624999987
n218	197	0	0	51	38.46417093749987
n230	199	0	0	51	38.680516874999874
n231	203	0	0	51	38.86881796874987
n236	201	0	0	56	38.70188437499987
n237	202	0	0	60	38.69787796874987
n222	200	0	0	65	38.769993281249874
n221	198	0	0	75	38.680516874999874
n232	205	0	0	51	39.09184124999987
n233	209	0	0	51	39.27880687499986
n238	207	0	0	56	39.103860468749865
n239	208	0	0	60	39.101189531249865
n225	206	0	0	65	39.16796296874986
n224	204	0	0	75	39.07314468749987
n234	211	0	0	51	39.45241781249986
n235	215	0	0	51	39.66475734374986
n240	212	0	0	56	39.48713999999986
n241	214	0	0	59	39.47512078124986
n228	213	0	0	65	39.54590062499986
n227	210	0	0	74	39.44440499999986
n247	217	0	0	51	39.82901999999986
n248	221	0	0	51	40.07341078124983
n253	219	0	0	55	39.87442593749985
n254	218	0	0	58	39.85840031249985
n243	220	0	0	63	39.911819062499845
n242	216	0	0	75	39.83169093749986
n249	222	0	0	51	40.253699062499805
n250	223	0	0	51	40.439329218749805
n251	224	0	0	51	40.63831406249979
n252	225	0	0	51	40.81058953124979
n264	227	0	0	51	41.026935468749784
n265	230	0	0	51	41.23793953124975
n270	237	0	0	60	41.04696749999978
n271	238	0	0	63	41.04696749999978
n262	231	0	0	86	41.23660406249975
n255	226	0	0	87	41.026935468749784
n261	229	0	0	87	41.141785781249766
n263	232	0	0	87	41.31940312499974
