xml_id	midi_id	track	channel	pitch	onset
n8	0	0	0	32	3.9775678812499997
n12	6	0	0	32	4.632483033333333
n13	9	0	0	34	4.808765252083333
n9	1	0	0	36	4.148508214583333
n10	2	0	0	39	4.309833154166666
n11	5	0	0	44	4.479705110416666
n14	11	0	0	46	4.965816683333333
n1	4	0	0	51	3.824789958333333
n4	10	0	0	51	4.816243891666667
n5	8	0	0	55	4.8205174
n2	3	0	0	56	3.8322685979166664
n3	7	0	0	60	3.80449079375
n6	12	0	0	61	4.80449174375
n21	13	0	0	36	5.2884665625
n22	15	0	0	39	5.433765845833333
n23	deletion
n15	14	0	0	51	5.141030525
n16	17	0	0	56	5.13782539375
n17	19	0	0	63	5.117526229166667
n25	20	0	0	36	5.9166722875
n26	21	0	0	37	6.069450210416667
n24	18	0	0	48	5.77244138125
n27	22	0	0	49	6.217954625
n18	26	0	0	53	6.08013398125
n19	23	0	0	65	6.066245079166667
n38	29	0	0	31	6.680561902083334
n36	24	0	0	34	6.372869302083333
n39	31	0	0	43	6.840818464583334
n37	25	0	0	46	6.524578847916667
n30	28	0	0	58	6.684835410416667
n29	27	0	0	61	6.3814163187499995
n31	30	0	0	63	6.691245672916668
n40	34	0	0	32	6.995733141666667
n42	38	0	0	36	7.288468462500001
n41	35	0	0	44	7.142100802083334
n43	39	0	0	48	7.430562614583335
n32	33	0	0	51	7.007485289583333
n34	36	0	0	51	7.308767627083334
n35	37	0	0	56	7.293810347916668
n33	32	0	0	60	6.998938272916667
n54	40	0	0	39	7.589750800000001
n55	41	0	0	51	7.7596227562500015
n56	42	0	0	51	7.898511777083335
n57	44	0	0	51	8.06731535625
n44	43	0	0	55	7.5929559312500015
n45	45	0	0	58	7.591887554166668
n61	53	0	0	46	8.64958086666667
n60	50	0	0	48	8.512828600000002
n59	47	0	0	49	8.357913922916667
n58	46	0	0	51	8.22116165625
n48	48	0	0	51	8.357913922916667
n50	52	0	0	53	8.52778587916667
n49	49	0	0	55	8.360050677083334
n52	54	0	0	55	8.657059506250002
n51	51	0	0	56	8.511760222916669
n53	55	0	0	58	8.650649243750003
n69	57	0	0	32	8.961546975000001
n70	58	0	0	36	9.117530029166668
n71	59	0	0	39	9.262829312500001
n68	56	0	0	44	8.834410102083334
n62	63	0	0	51	8.835478479166667
n63	62	0	0	56	8.825863085416668
n64	60	0	0	60	8.820521200000002
n73	64	0	0	32	9.56731678125
n74	66	0	0	34	9.710479310416666
n72	61	0	0	44	9.417743989583334
n75	68	0	0	46	9.878214512499998
n65	67	0	0	51	9.706205802083332
n66	65	0	0	55	9.732915229166666
n67	69	0	0	61	9.700863916666666
n82	70	0	0	36	10.17949685
n83	71	0	0	39	10.332274772916666
n84	deletion
n76	72	0	0	51	10.039539452083332
n77	74	0	0	56	10.030992435416666
n78	77	0	0	63	10.027787304166665
n86	76	0	0	36	10.79167691875
n87	78	0	0	37	10.941249710416669
n85	75	0	0	48	10.63783061875
n88	79	0	0	49	11.092959256250001
n79	83	0	0	53	10.949796727083335
n80	80	0	0	65	10.939112956250002
n99	87	0	0	31	11.537404122916668
n97	81	0	0	34	11.245737179166667
n100	88	0	0	43	11.679498275
n98	82	0	0	46	11.3910364625
n91	85	0	0	58	11.529925483333335
n90	84	0	0	61	11.244668802083334
n92	86	0	0	63	11.537404122916668
n101	91	0	0	32	11.853643739583333
n103	95	0	0	36	12.133558535416666
n102	92	0	0	44	11.987190875
n104	96	0	0	48	12.279926195833333
n93	90	0	0	51	11.851506985416666
n95	94	0	0	51	12.143173929166666
n96	93	0	0	56	12.136763666666667
n94	89	0	0	60	11.844028345833333
n113	97	0	0	39	12.428430610416667
n114	99	0	0	39	12.5705247625
n116	102	0	0	39	12.884627624999998
n115	101	0	0	43	12.735054833333333
n105	98	0	0	49	12.442319512500001
n106	100	0	0	51	12.440182758333334
n107	103	0	0	58	12.430567364583334
n117	106	0	0	32	13.041679056249999
n118	105	0	0	44	13.040610679166665
n108	deletion
n110	104	0	0	56	13.038473924999998
n119	110	0	0	56	13.355781918749997
n120	109	0	0	68	13.367534066666664
n111	108	0	0	72	13.35364516458333
n112	107	0	0	80	13.348303279166664
n126	112	0	0	63	13.757491702083332
n127	111	0	0	67	13.760696833333332
n121	114	0	0	73	13.751081439583333
n122	113	0	0	82	13.73398740625
n128	116	0	0	56	14.388902558333333
n130	120	0	0	60	14.706210552083332
n129	115	0	0	68	14.38783418125
n123	118	0	0	72	14.403859837499999
n125	119	0	0	72	14.706210552083332
n124	117	0	0	80	14.386765804166666
n136	122	0	0	56	15.659202910416667
n135	121	0	0	58	15.1602708125
n132	123	0	0	68	15.667749927083333
n131	124	0	0	70	15.15706568125
n138	128	0	0	53	16.05450243125
n137	126	0	0	55	15.743604699999999
n134	127	0	0	65	16.056639185416667
n133	125	0	0	67	15.744673077083332
n147	129	0	0	52	16.456212214583335
n139	130	0	0	64	16.446596820833335
n153	138	0	0	52	17.534204691666673
n149	132	0	0	53	17.32800791458334
n152	136	0	0	53	17.463691804166668
n154	deletion
n151	134	0	0	55	17.39317891666667
n159	142	0	0	55	17.635700514583345
n145	137	0	0	64	17.507495264583337
n141	131	0	0	65	17.31839252083334
n144	135	0	0	65	17.467965312500002
n146	139	0	0	65	17.591897054166676
n143	140	0	0	67	17.628221875000012
n160	143	0	0	53	18.213692516666676
n156	144	0	0	65	18.214760893750007
n155	141	0	0	67	17.815187864583343
n162	148	0	0	50	18.626086070833345
n161	146	0	0	52	18.286342158333344
n158	147	0	0	62	18.60258177500001
n157	145	0	0	64	18.277795141666676
n167	149	0	0	48	19.010701820833344
n163	150	0	0	60	19.00322318125001
n170	151	0	0	48	20.193395252083345
n166	152	0	0	60	20.19766876041668
n177	153	0	0	48	20.283138927083346
n179	156	0	0	48	20.904934389583346
n171	154	0	0	60	20.273523533333346
n173	155	0	0	60	20.900660881250012
n180	157	0	0	48	20.980789162500013
n182	160	0	0	48	21.705148825000013
n174	158	0	0	60	20.978652408333346
n176	159	0	0	60	21.68164452916668
n188	161	0	0	48	21.779935220833345
n183	162	0	0	60	21.788482237500013
n192	164	0	0	49	23.244680202083348
n187	163	0	0	61	23.238269939583347
n199	165	0	0	49	23.31626146666668
n201	167	0	0	49	23.885706452083348
n202	168	0	0	49	23.96690311041668
n195	166	0	0	61	23.879296189583346
n196	169	0	0	61	23.95087745416668
n193	deletion
n204	171	0	0	49	24.55878401458335
n198	170	0	0	61	24.53955322708335
n210	172	0	0	49	24.632502033333346
n205	173	0	0	61	24.615408000000013
n214	174	0	0	49	25.78741766041668
n209	175	0	0	61	25.789554414583346
n218	177	0	0	49	25.873956204166678
n215	176	0	0	61	25.87075107291668
n220	181	0	0	43	26.857931497916674
n219	179	0	0	46	26.49682004375001
n217	180	0	0	55	26.851521235416673
n216	178	0	0	58	26.48827302708334
n227	184	0	0	39	27.25536777291667
n221	182	0	0	51	27.24468400208334
n222	183	0	0	51	29.163489243750014
n223	185	0	0	53	29.228660245833346
n224	186	0	0	55	29.310925281250015
n225	187	0	0	56	29.365412512500015
n226	188	0	0	58	29.39319031666668
n234	189	0	0	32	29.597250339583344
n235	190	0	0	36	29.76498554166668
n236	191	0	0	39	29.899601054166677
n229	194	0	0	60	29.45836131875001
n238	193	0	0	32	30.20195176875001
n239	195	0	0	34	30.35793482291668
n237	192	0	0	44	30.06413112500001
n240	198	0	0	46	30.504302483333344
n230	196	0	0	51	30.351524560416678
n231	197	0	0	55	30.363276708333345
n232	199	0	0	61	30.33977241250001
n247	200	0	0	36	30.831225870833347
n248	201	0	0	39	30.979730285416682
n249	deletion
n241	202	0	0	51	30.66562742291668
n242	204	0	0	56	30.660285537500013
n243	208	0	0	63	30.648533389583346
n251	206	0	0	36	31.435927300000014
n252	207	0	0	37	31.586568468750013
n250	205	0	0	48	31.294901525000014
n253	209	0	0	49	31.75644042500001
n244	212	0	0	53	31.60152574791668
n245	210	0	0	65	31.58870522291668
n264	217	0	0	31	32.20729555416668
n262	211	0	0	34	31.903876462500016
n265	218	0	0	43	32.33336405000001
n263	213	0	0	46	32.059859516666684
n256	216	0	0	58	32.20836393125001
n255	214	0	0	61	31.914560233333347
n257	215	0	0	63	32.20943230833335
n266	220	0	0	32	32.49789412083334
n268	224	0	0	36	32.81092860625
n267	222	0	0	44	32.64533015833333
n269	226	0	0	48	32.95302275833334
n258	219	0	0	51	32.509646268750004
n260	223	0	0	51	32.8269542625
n261	225	0	0	56	32.818407245833335
n259	221	0	0	60	32.50750951458334
n280	227	0	0	39	33.10900581250001
n281	228	0	0	51	33.26392048958335
n282	229	0	0	51	33.43165569166668
n283	230	0	0	51	33.566271204166675
n270	231	0	0	55	33.11968958333335
n271	233	0	0	58	33.11434769791668
n287	240	0	0	46	34.1731093875
n286	239	0	0	48	34.05238277708333
n285	234	0	0	49	33.873963804166664
n284	232	0	0	51	33.72332263541667
n274	235	0	0	51	33.89319459166666
n276	238	0	0	53	34.04704089166666
n275	236	0	0	55	33.88571595208333
n278	241	0	0	55	34.17631451875
n277	237	0	0	56	34.02887848125
n279	242	0	0	58	34.170972633333335
n295	245	0	0	32	34.46798146249999
n296	246	0	0	36	34.6218277625
n297	247	0	0	39	34.791699718749996
n294	243	0	0	44	34.332297572916666
n288	250	0	0	51	34.335502704166665
n289	244	0	0	56	34.335502704166665
n290	249	0	0	60	34.320545425
n299	251	0	0	32	35.09832394166666
n300	252	0	0	34	35.24255484791666
n298	248	0	0	44	34.945546018749994
n301	255	0	0	46	35.396401147916656
n291	254	0	0	51	35.24255484791666
n292	253	0	0	55	35.254306995833325
n293	256	0	0	61	35.238281339583324
n308	257	0	0	36	35.70302537083332
n309	258	0	0	39	35.877170835416656
n310	deletion
n302	259	0	0	51	35.543837185416656
n303	261	0	0	56	35.55131582499999
n304	265	0	0	63	35.53635854583332
n312	263	0	0	36	36.31841057083333
n313	264	0	0	37	36.46584660833332
n311	262	0	0	48	36.18806856666666
n314	267	0	0	49	36.610077514583324
n305	271	0	0	53	36.47439362499999
n306	268	0	0	65	36.46370985416666
n325	275	0	0	31	37.07802667708332
n323	269	0	0	34	36.78529135624999
n326	276	0	0	43	37.20943705833332
n324	270	0	0	46	36.92738550833332
n317	273	0	0	58	37.080163431249986
n316	272	0	0	61	36.79918025833332
n318	274	0	0	63	37.08123180833332
n327	278	0	0	32	37.37183037499999
n329	283	0	0	36	37.660292187499984
n328	280	0	0	44	37.51819803541665
n330	284	0	0	48	37.82482225833332
n319	279	0	0	51	37.38785603124999
n321	282	0	0	51	37.66777082708332
n322	281	0	0	56	37.66349731874998
n320	277	0	0	60	37.380377391666656
n339	285	0	0	39	37.971189918749985
n340	286	0	0	39	38.11328407083332
n342	290	0	0	39	38.39213048958333
n341	289	0	0	43	38.26392523958333
n331	287	0	0	49	37.98187368958332
