xml_id	midi_id	track	channel	pitch	onset
n6	2	1	0	46	0.6901041666666666
n9	5	1	0	50	0.9479166666666667
n7	3	1	0	51	0.7682291666666666
n8	4	1	0	55	0.8684895833333334
n16	8	1	0	46	1.2044270833333337
n10	6	1	0	51	1.0703125000000002
n11	7	1	0	55	1.1289062500000002
n19	11	1	0	50	1.4778645833333337
n17	9	1	0	51	1.3138020833333337
n18	10	1	0	55	1.416666666666667
n26	15	1	0	46	1.7018229166666672
n20	12	1	0	51	1.5559895833333337
n21	14	1	0	55	1.6328125000000004
n15	13	1	0	82	1.6367187500000004
n22	17	1	0	82	1.727864583333334
n29	20	1	0	52	1.998697916666667
n27	16	1	0	53	1.7994791666666672
n28	18	1	0	56	1.9231770833333337
n24	21	1	0	77	2.0117187500000004
n23	19	1	0	80	1.9179687500000004
n36	25	1	0	46	2.3177083333333344
n30	22	1	0	53	2.106770833333334
n31	23	1	0	56	2.2330729166666674
n25	24	1	0	74	2.216145833333334
n32	26	1	0	75	2.312500000000001
n39	29	1	0	50	2.6276041666666683
n37	27	1	0	51	2.420572916666668
n38	28	1	0	55	2.5429687500000013
n46	33	1	0	46	2.8789062500000018
n40	30	1	0	51	2.7252604166666683
n41	32	1	0	55	2.813802083333335
n35	31	1	0	70	2.798177083333335
n42	35	1	0	70	2.8854166666666683
n49	38	1	0	52	3.1888020833333344
n47	34	1	0	53	3.0000000000000013
n48	36	1	0	56	3.1210937500000013
n51	deletion
n44	39	1	0	65	3.186197916666668
n43	37	1	0	68	3.091145833333335
n57	44	1	0	39	3.5234375000000013
n58	43	1	0	51	3.5195312500000013
n50	40	1	0	53	3.292968750000001
n52	42	1	0	55	3.5273437500000013
n45	41	1	0	62	3.4257812500000013
n53	45	1	0	63	3.5234375000000013
n64	48	1	0	46	4.270833333333335
n61	46	1	0	51	4.109375000000002
n62	47	1	0	55	4.195312500000002
n67	51	1	0	50	4.569010416666668
n65	49	1	0	51	4.394531250000001
n66	50	1	0	55	4.481770833333335
n74	54	1	0	46	4.872395833333334
n68	52	1	0	51	4.694010416666668
n69	53	1	0	55	4.794270833333334
n77	57	1	0	50	5.179687500000001
n75	55	1	0	51	4.997395833333334
n76	56	1	0	55	5.101562500000001
n84	61	1	0	46	5.40234375
n78	58	1	0	51	5.257812500000001
n79	60	1	0	55	5.369791666666667
n73	59	1	0	82	5.324218750000001
n80	63	1	0	82	5.412760416666667
n87	66	1	0	52	5.712239583333336
n85	62	1	0	53	5.509114583333334
n86	64	1	0	56	5.638020833333335
n82	67	1	0	77	5.717447916666669
n81	65	1	0	80	5.621093750000001
n94	71	1	0	46	6.033854166666668
n88	68	1	0	53	5.825520833333336
n89	69	1	0	56	5.940104166666669
n83	70	1	0	74	5.940104166666669
n90	72	1	0	75	6.035156250000001
n97	75	1	0	50	6.354166666666667
n95	73	1	0	51	6.148437500000001
n96	74	1	0	55	6.260416666666667
n104	79	1	0	46	6.606770833333332
n98	76	1	0	51	6.446614583333333
n99	78	1	0	55	6.546874999999999
n93	77	1	0	70	6.522135416666666
n100	81	1	0	70	6.624999999999999
n107	84	1	0	52	6.924479166666665
n105	80	1	0	53	6.736979166666665
n106	82	1	0	56	6.852864583333331
n109	deletion
n102	86	1	0	65	6.949218749999999
n101	83	1	0	68	6.845052083333331
n117	91	1	0	39	7.286458333333332
n118	88	1	0	51	7.283854166666665
n108	85	1	0	53	7.023437499999999
n110	89	1	0	55	7.307291666666665
n103	87	1	0	62	7.183593749999999
n111	90	1	0	63	7.294270833333332
n115	92	1	0	58	7.68489583333333
n130	95	1	0	39	8.033854166666664
n131	94	1	0	51	8.02864583333333
n125	97	1	0	55	8.039062499999998
n116	93	1	0	58	7.959635416666663
n126	96	1	0	63	8.029947916666664
n128	99	1	0	58	8.356770833333332
n127	98	1	0	63	8.274739583333332
n133	100	1	0	70	8.374999999999998
n138	102	1	0	55	8.72005208333333
n129	101	1	0	58	8.62630208333333
n139	103	1	0	63	8.734374999999996
n141	105	1	0	58	9.058593749999996
n140	104	1	0	63	8.97786458333333
n145	107	1	0	70	9.05598958333333
n150	108	1	0	55	9.395833333333332
n142	106	1	0	58	9.292968749999998
n151	109	1	0	63	9.381510416666666
n153	112	1	0	58	9.716145833333334
n152	111	1	0	63	9.6171875
n157	110	1	0	70	9.721354166666668
n154	114	1	0	58	9.941406250000002
n163	115	1	0	62	10.040364583333336
n164	116	1	0	65	10.046875000000002
n169	113	1	0	70	10.040364583333336
n167	119	1	0	58	10.360677083333334
n165	118	1	0	62	10.274739583333334
n166	117	1	0	65	10.278645833333334
n183	121	1	0	34	10.68359375
n184	120	1	0	46	10.682291666666666
n168	122	1	0	58	10.592447916666666
n177	123	1	0	62	10.69921875
n178	124	1	0	65	10.69921875
n181	127	1	0	58	11.02734375
n179	125	1	0	62	10.924479166666668
n180	126	1	0	65	10.955729166666668
n186	128	1	0	70	11.016927083333334
n182	129	1	0	58	11.266927083333334
n192	131	1	0	62	11.364583333333334
n193	130	1	0	65	11.373697916666668
n196	134	1	0	58	11.677083333333336
n194	132	1	0	62	11.585937500000002
n195	133	1	0	65	11.576822916666668
n200	135	1	0	70	11.699218750000002
n197	136	1	0	58	11.91015625
n206	137	1	0	62	12.013020833333334
n207	138	1	0	65	12.0078125
n210	142	1	0	58	12.313802083333334
n208	140	1	0	62	12.229166666666668
n209	139	1	0	65	12.231770833333334
n214	141	1	0	70	12.33203125
n211	143	1	0	58	12.548177083333336
n220	145	1	0	63	12.661458333333334
n221	146	1	0	67	12.647135416666668
n225	144	1	0	70	12.665364583333334
n227	154	1	0	51	12.998697916666668
n228	deletion
n223	148	1	0	63	12.980468750000002
n222	147	1	0	67	12.921875000000002
n239	153	1	0	48	13.303385416666668
n224	149	1	0	63	13.210937500000002
n234	150	1	0	68	13.300781250000002
n240	158	1	0	44	13.608072916666668
n235	151	1	0	68	13.529947916666668
n236	152	1	0	72	13.635416666666668
n253	157	1	0	43	13.93619791666667
n246	156	1	0	70	13.94791666666667
n237	155	1	0	72	13.851562500000002
n252	166	1	0	51	14.27473958333334
n254	deletion
n247	159	1	0	70	14.171875000000005
n248	160	1	0	75	14.265625000000005
n265	165	1	0	48	14.570312500000005
n249	161	1	0	75	14.47395833333334
n260	162	1	0	80	14.570312500000005
n266	168	1	0	44	14.88411458333334
n261	163	1	0	80	14.800781250000005
n262	164	1	0	84	14.89583333333334
n278	170	1	0	43	15.195312500000005
n271	169	1	0	82	15.20052083333334
n263	167	1	0	84	15.11067708333334
n277	181	1	0	51	15.51692708333334
n279	deletion
n273	172	1	0	63	15.515625000000005
n272	171	1	0	70	15.44270833333334
n290	176	1	0	48	15.835937500000007
n274	173	1	0	63	15.743489583333341
n285	174	1	0	68	15.835937500000007
n291	179	1	0	44	16.130208333333343
n286	175	1	0	68	16.053385416666675
n287	177	1	0	72	16.130208333333343
n306	182	1	0	43	16.454427083333346
n297	180	1	0	70	16.44010416666668
n288	178	1	0	72	16.36328125000001
n303	185	1	0	44	16.759114583333343
n304	184	1	0	53	16.763020833333343
n299	186	1	0	65	16.77343750000001
n298	183	1	0	67	16.68229166666668
n316	188	1	0	46	17.063802083333343
n317	187	1	0	55	17.06250000000001
n312	190	1	0	63	17.07031250000001
n300	189	1	0	68	17.001302083333343
n319	192	1	0	46	17.390625000000014
n320	191	1	0	56	17.393229166666682
n314	194	1	0	62	17.376302083333346
n313	193	1	0	67	17.31901041666668
n327	198	1	0	39	17.734375000000014
n322	197	1	0	63	17.725260416666682
n315	195	1	0	65	17.635416666666682
n329	196	1	0	51	17.733072916666682
n330	204	1	0	51	18.067708333333346
n325	199	1	0	63	18.101562500000014
n341	205	1	0	47	18.389322916666682
n326	200	1	0	63	18.31380208333335
n336	201	1	0	68	18.401041666666682
n342	207	1	0	44	18.74869791666668
n337	202	1	0	68	18.61197916666668
n338	203	1	0	71	18.708333333333346
n355	209	1	0	42	19.02994791666668
n348	208	1	0	70	19.04166666666668
n339	206	1	0	71	18.95963541666668
n354	217	1	0	51	19.37369791666667
n356	deletion
n349	210	1	0	70	19.281250000000007
n350	211	1	0	75	19.35416666666667
n367	216	1	0	47	19.682291666666668
n351	212	1	0	75	19.580729166666668
n362	213	1	0	80	19.673177083333336
n368	219	1	0	44	19.994791666666668
n363	214	1	0	80	19.893229166666668
n364	215	1	0	83	19.989583333333336
n380	221	1	0	42	20.290364583333332
n373	220	1	0	82	20.307291666666668
n365	218	1	0	83	20.196614583333332
n379	226	1	0	51	20.641927083333332
n381	deletion
n375	223	1	0	63	20.649739583333332
n374	222	1	0	70	20.537760416666664
n392	228	1	0	48	20.941406249999996
n376	224	1	0	63	20.854166666666664
n387	225	1	0	69	20.945312499999996
n393	230	1	0	46	21.25520833333333
n388	227	1	0	69	21.14973958333333
n389	229	1	0	72	21.26302083333333
n397	231	1	0	45	21.578124999999993
n394	238	1	0	65	21.597656249999993
n396	deletion
n390	232	1	0	72	21.47916666666666
n400	235	1	0	57	21.963541666666657
n398	233	1	0	60	21.766927083333325
n399	234	1	0	63	21.869791666666657
n395	239	1	0	77	21.955729166666657
n407	240	1	0	57	22.263020833333325
n401	236	1	0	60	22.076822916666657
n402	237	1	0	63	22.180989583333325
n410	243	1	0	57	22.597656249999986
n408	241	1	0	60	22.39973958333332
n409	242	1	0	63	22.47395833333332
n404	244	1	0	77	22.614583333333318
n417	248	1	0	57	22.929687499999982
n411	245	1	0	60	22.73697916666665
n412	246	1	0	63	22.81901041666665
n413	247	1	0	77	22.933593749999982
n420	252	1	0	57	23.242187499999986
n418	249	1	0	60	23.045572916666654
n419	250	1	0	63	23.143229166666654
n415	251	1	0	77	23.240885416666654
n427	257	1	0	57	23.55729166666665
n421	253	1	0	60	23.367187499999982
n422	254	1	0	63	23.468749999999986
n423	255	1	0	77	23.56119791666665
n428	256	1	0	60	23.680989583333314
n430	260	1	0	62	23.88020833333331
n429	258	1	0	63	23.76562499999998
n425	259	1	0	77	23.88802083333331
n436	263	1	0	57	24.20963541666665
n432	262	1	0	58	24.083333333333314
n431	261	1	0	60	23.992187499999982
n433	269	1	0	77	24.216145833333318
n435	deletion
n439	266	1	0	57	24.582031249999986
n437	264	1	0	60	24.339843749999986
n438	265	1	0	63	24.444010416666654
n434	270	1	0	89	24.529947916666654
n447	271	1	0	57	24.886718749999986
n440	267	1	0	60	24.682291666666654
n441	268	1	0	63	24.78255208333332
n450	276	1	0	57	25.218749999999982
n448	272	1	0	60	25.002604166666654
n449	273	1	0	63	25.105468749999986
n443	274	1	0	77	25.22135416666665
n444	275	1	0	89	25.222656249999982
n459	281	1	0	57	25.542968749999982
n451	277	1	0	60	25.334635416666647
n452	278	1	0	63	25.427083333333314
n453	279	1	0	77	25.552083333333314
n454	280	1	0	89	25.544270833333314
n462	286	1	0	57	25.873697916666647
n460	282	1	0	60	25.658854166666647
n461	283	1	0	63	25.759114583333314
n456	284	1	0	77	25.881510416666647
n457	285	1	0	89	25.872395833333314
n471	291	1	0	57	26.204427083333314
n463	287	1	0	60	25.985677083333314
n464	288	1	0	63	26.089843749999982
n465	289	1	0	77	26.207031249999982
n466	290	1	0	89	26.201822916666647
n474	296	1	0	57	26.532552083333314
n472	292	1	0	60	26.328124999999982
n473	293	1	0	63	26.41276041666665
n468	294	1	0	77	26.52994791666665
n469	295	1	0	89	26.52604166666665
n483	301	1	0	57	26.85546874999998
n475	297	1	0	60	26.65885416666665
n476	298	1	0	63	26.769531249999982
n477	300	1	0	77	26.861979166666647
n478	299	1	0	89	26.854166666666647
n484	302	1	0	60	26.976562499999975
n486	305	1	0	62	27.175781249999975
n485	303	1	0	63	27.074218749999975
n479	304	1	0	81	27.089843749999975
n480	306	1	0	82	27.184895833333307
n494	311	1	0	57	27.471354166666643
n488	310	1	0	58	27.361979166666643
n487	307	1	0	60	27.277343749999975
n481	308	1	0	84	27.270833333333307
n482	309	1	0	86	27.365885416666643
n495	312	1	0	58	27.610677083333307
n497	314	1	0	58	27.733072916666643
n496	313	1	0	60	27.664062499999975
n490	315	1	0	78	27.718749999999975
n491	317	1	0	79	27.803385416666643
n505	322	1	0	53	28.083333333333307
n499	321	1	0	55	27.95833333333331
n498	318	1	0	57	27.86328124999998
n492	319	1	0	81	27.901041666666647
n493	320	1	0	82	27.98958333333331
n506	323	1	0	55	28.187499999999975
n508	326	1	0	55	28.384114583333307
n507	324	1	0	56	28.278645833333307
n501	325	1	0	74	28.29947916666664
n502	327	1	0	75	28.380208333333307
n516	332	1	0	50	28.6653645833333
n510	331	1	0	51	28.549479166666636
n509	328	1	0	53	28.477864583333304
n503	329	1	0	77	28.47265624999997
n504	330	1	0	79	28.563802083333304
n517	333	1	0	51	28.7630208333333
n519	336	1	0	51	28.9114583333333
n518	334	1	0	53	28.850260416666632
n512	335	1	0	71	28.8684895833333
n513	337	1	0	72	28.968749999999964
n528	342	1	0	39	29.236979166666636
n521	339	1	0	48	29.117187499999964
n520	338	1	0	50	29.015624999999964
n514	340	1	0	74	29.054687499999964
n515	341	1	0	75	29.139322916666632
n523	343	1	0	60	29.352864583333304
n524	344	1	0	63	29.459635416666636
n525	345	1	0	67	29.539062499999968
n538	349	1	0	51	29.816406249999964
n539	350	1	0	55	29.8098958333333
n540	351	1	0	60	29.811197916666632
n526	346	1	0	63	29.639322916666636
n527	347	1	0	67	29.730468749999968
n532	348	1	0	72	29.828124999999964
n533	352	1	0	67	29.9348958333333
n534	353	1	0	72	30.016927083333297
n535	354	1	0	75	30.111979166666632
n536	355	1	0	72	30.214843749999964
n537	356	1	0	75	30.304687499999964
n544	357	1	0	79	30.40494791666663
n552	361	1	0	51	30.684895833333293
n547	360	1	0	74	30.71874999999996
n546	359	1	0	75	30.623697916666625
n545	358	1	0	77	30.516927083333293
n561	367	1	0	53	30.99609374999996
n553	362	1	0	55	30.79557291666663
n554	364	1	0	60	30.90234374999996
n549	365	1	0	72	30.899739583333293
n548	363	1	0	75	30.81640624999996
n555	366	1	0	77	30.99999999999996
n564	373	1	0	53	31.300781249999957
n562	368	1	0	58	31.10807291666663
n563	370	1	0	62	31.19401041666663
n557	371	1	0	70	31.21484374999996
n556	369	1	0	74	31.10156249999996
n558	372	1	0	75	31.30208333333329
n573	380	1	0	57	31.62239583333329
n565	375	1	0	60	31.41145833333329
n566	377	1	0	63	31.50130208333329
n560	376	1	0	69	31.496093749999957
n559	374	1	0	72	31.39322916666662
n574	379	1	0	60	31.740885416666625
n576	383	1	0	62	31.925781249999957
n575	381	1	0	63	31.815104166666625
n569	382	1	0	81	31.825520833333293
n570	384	1	0	82	31.91927083333329
n568	378	1	0	89	31.722656249999957
n585	389	1	0	57	32.20963541666662
n578	388	1	0	58	32.11328124999995
n577	386	1	0	60	32.032552083333286
n571	385	1	0	84	32.01432291666662
n572	387	1	0	86	32.076822916666615
n586	390	1	0	58	32.33593749999995
n588	393	1	0	58	32.46874999999995
n587	391	1	0	60	32.37890624999995
n581	392	1	0	78	32.411458333333286
n582	395	1	0	79	32.497395833333286
n580	394	1	0	86	32.321614583333286
n597	400	1	0	53	32.77994791666663
n590	399	1	0	55	32.66796874999996
n589	396	1	0	57	32.559895833333286
n583	397	1	0	81	32.579427083333286
n584	398	1	0	82	32.68880208333329
n598	402	1	0	55	32.878906249999964
n600	405	1	0	55	33.08593749999996
n599	403	1	0	56	32.97005208333329
n593	404	1	0	74	32.99999999999996
n594	406	1	0	75	33.08203124999996
n592	401	1	0	82	32.898437499999964
n609	411	1	0	50	33.36197916666663
n602	410	1	0	51	33.24479166666662
n601	407	1	0	53	33.177083333333286
n595	408	1	0	77	33.16406249999996
n596	409	1	0	79	33.26171874999996
n610	412	1	0	51	33.45963541666663
n612	416	1	0	51	33.62630208333329
n611	414	1	0	53	33.54557291666663
n605	415	1	0	71	33.56901041666663
n606	418	1	0	72	33.66796874999996
n604	413	1	0	79	33.472656249999964
n621	422	1	0	39	33.950520833333286
n614	420	1	0	48	33.82291666666662
n613	417	1	0	50	33.73828124999996
n607	419	1	0	74	33.75260416666662
n608	421	1	0	75	33.837239583333286
n616	423	1	0	55	34.067708333333286
n617	424	1	0	60	34.169270833333286
n618	425	1	0	63	34.256510416666615
