xml_id	midi_id	track	channel	pitch	onset
n16	13	0	0	47	3.0876037500000004
n15	11	0	0	49	3.0288431250000003
n14	9	0	0	50	3.0341850000000004
n11	5	0	0	52	2.27964515625
n13	7	0	0	52	2.95939875
n3	2	0	0	57	2.0218996875
n10	12	0	0	59	3.0929456250000005
n9	10	0	0	61	3.0235012500000003
n8	8	0	0	62	2.996791875
n4	4	0	0	64	2.26629046875
n7	6	0	0	64	2.93669578125
n1	1	0	0	69	2.0165578125
n5	3	0	0	76	2.27163234375
n2	0	0	0	81	2.00720953125
n21	15	0	0	45	3.1810865625000004
n17	14	0	0	57	3.1717382812500006
n23	18	0	0	57	3.8541628125000003
n19	17	0	0	69	3.8434790625
n20	16	0	0	81	3.8368017187500003
n31	21	0	0	54	4.106566406250001
n24	20	0	0	66	4.094547187500001
n25	19	0	0	78	4.0905407812500005
n36	28	0	0	49	4.899834843750001
n35	27	0	0	50	4.8450806250000005
n34	24	0	0	52	4.791661875000001
n33	22	0	0	54	4.751597812500001
n30	29	0	0	61	4.90250578125
n29	26	0	0	62	4.849087031250001
n28	25	0	0	64	4.784984531250001
n27	23	0	0	66	4.752933281250001
n41	31	0	0	47	4.962601875
n37	30	0	0	59	4.96927921875
n43	34	0	0	62	5.646361875
n39	33	0	0	74	5.635678125
n40	32	0	0	86	5.6223234375
n48	37	0	0	59	5.878733437499999
n44	36	0	0	71	5.8773979687499995
n45	35	0	0	83	5.870720625
n49	40	0	0	56	6.33546375
n46	38	0	0	68	6.326115468749999
n47	39	0	0	80	6.322109062499999
n54	43	0	0	52	6.7868521875
n50	42	0	0	64	6.7815103125
n51	41	0	0	76	6.77750390625
n55	46	0	0	50	7.230227812499999
n52	45	0	0	62	7.227556874999999
n53	44	0	0	74	7.2248859375
n60	49	0	0	47	7.6936354687499975
n56	48	0	0	59	7.680280781249998
n57	47	0	0	71	7.677609843749998
n61	52	0	0	44	8.150365781249997
n59	50	0	0	56	8.123656406249998
n58	51	0	0	68	8.126327343749997
n68	55	0	0	40	8.609767031249998
n67	53	0	0	52	8.609767031249998
n62	54	0	0	64	8.601754218749997
n64	56	0	0	57	9.306881718749999
n65	57	0	0	61	9.374990625
n66	58	0	0	64	9.41104828125
n74	61	0	0	45	9.3375975
n75	64	0	0	49	9.39769359375
n76	62	0	0	52	9.449776875
n77	60	0	0	57	9.476486249999999
n70	59	0	0	69	9.465802499999999
n71	63	0	0	71	9.702180468749997
n72	deletion
n73	66	0	0	74	10.101485625
n79	67	0	0	76	10.320502500000002
n80	68	0	0	78	10.539519375000001
n81	69	0	0	80	10.7612071875
n82	70	0	0	81	10.97221125
n90	72	0	0	52	11.463663750000002
n86	71	0	0	68	11.475682968750002
n84	76	0	0	76	11.228621250000002
n91	74	0	0	54	11.678674218750002
n92	77	0	0	56	11.897691093750002
n87	73	0	0	69	11.689357968750002
n88	79	0	0	71	11.92974234375
n85	78	0	0	74	11.901697500000001
n98	83	0	0	45	12.37311796875
n97	80	0	0	57	12.17012671875
n96	82	0	0	64	12.16879125
n93	81	0	0	73	12.140746406249999
n99	84	0	0	49	12.58679296875
n100	85	0	0	50	12.8018034375
n108	88	0	0	52	13.035510468750001
n102	86	0	0	56	13.274559375
n103	89	0	0	64	13.2665465625
n109	93	0	0	50	13.721941406250005
n104	87	0	0	57	13.501589062500004
n106	91	0	0	59	13.721941406250005
n105	92	0	0	66	13.502924531250004
n107	90	0	0	68	13.712593125000005
n115	95	0	0	49	13.951642031250007
n116	97	0	0	52	14.20271015625001
n110	94	0	0	61	13.951642031250007
n112	98	0	0	64	14.19202640625001
n111	96	0	0	69	13.951642031250007
n118	101	0	0	45	14.644750312500008
n117	99	0	0	49	14.41905609375001
n113	100	0	0	69	14.40436593750001
n114	102	0	0	73	14.616705468750009
n126	105	0	0	40	15.117506250000007
n125	103	0	0	44	14.869109062500007
n122	109	0	0	68	15.098809687500006
n121	104	0	0	71	14.874450937500006
n119	106	0	0	76	14.859760781250007
n127	108	0	0	42	15.320497500000009
n128	111	0	0	44	15.538178906250009
n123	107	0	0	69	15.320497500000009
n124	110	0	0	71	15.552869062500008
n120	113	0	0	74	15.52215328125001
n136	118	0	0	44	16.00025109375001
n135	116	0	0	45	15.770550468750008
n133	112	0	0	64	15.789247031250008
n130	117	0	0	71	15.98289000000001
n129	115	0	0	73	15.746512031250008
n137	120	0	0	42	16.219267968750014
n138	122	0	0	47	16.466329687500014
n134	121	0	0	63	16.448968593750013
n131	119	0	0	69	16.204577812500013
n132	123	0	0	71	16.439620312500015
