idx,matchtype,partid,ppartid
0,0,n15,0
1,0,n16,1
2,0,n18,4
3,0,n20,10
4,0,n19,6
5,0,n21,9
6,1,n17,undefined
7,0,n1,3
8,0,n3,7
9,0,n5,11
10,0,n2,2
11,0,n4,5
12,0,n6,8
13,0,n22,15
14,0,n24,18
15,0,n23,13
16,0,n25,17
17,0,n7,14
18,0,n9,19
19,0,n8,12
20,0,n10,16
21,0,n26,22
22,0,n28,25
23,0,n27,20
24,0,n29,23
25,0,n11,26
26,0,n30,29
27,1,n13,undefined
28,0,n12,21
29,0,n14,24
30,0,n46,30
31,0,n48,34
32,0,n47,27
33,0,n49,31
34,0,n32,33
35,0,n31,28
36,0,n33,32
37,0,n52,41
38,1,n50,undefined
39,0,n51,35
40,0,n53,38
41,0,n34,37
42,0,n36,40
43,0,n35,36
44,0,n37,39
45,0,n54,45
46,0,n56,49
47,0,n55,42
48,0,n57,46
49,0,n38,44
50,0,n40,47
51,0,n39,43
52,1,n41,undefined
53,0,n58,53
54,0,n60,57
55,0,n59,50
56,0,n61,54
57,0,n42,52
58,0,n44,56
59,0,n43,51
60,0,n45,55
61,0,n67,59
62,0,n69,61
63,0,n68,58
64,0,n70,60
65,0,n62,65
66,0,n63,64
67,0,n71,63
68,0,n73,66
69,0,n72,62
70,0,n74,67
71,0,n65,71
72,0,n64,68
73,0,n75,70
74,0,n77,74
75,0,n76,69
76,0,n78,73
77,0,n66,72
78,0,n79,76
79,0,n81,78
80,0,n80,75
81,0,n82,77
82,0,n91,81
83,0,n93,83
84,0,n92,80
85,0,n94,82
86,0,n83,79
87,0,n84,86
88,0,n95,84
89,0,n97,89
90,0,n96,85
91,0,n98,87
92,0,n88,91
93,0,n87,90
94,0,n86,88
95,0,n99,94
96,0,n101,96
97,1,n103,undefined
98,0,n100,92
99,0,n102,95
100,0,n89,93
101,1,n105,undefined
102,0,n104,97
103,0,n106,98
104,0,n123,102
105,0,n125,106
106,0,n124,100
107,0,n126,103
108,0,n107,101
109,0,n109,105
110,0,n108,99
111,0,n110,104
112,1,n127,undefined
113,1,n129,undefined
114,0,n128,107
115,0,n130,110
116,0,n111,109
117,0,n113,111
118,0,n112,108
119,0,n114,112
120,0,n133,118
121,1,n131,undefined
122,0,n132,113
123,0,n134,116
124,0,n115,114
125,0,n117,119
126,0,n116,115
127,0,n118,117
128,0,n137,124
129,1,n135,undefined
130,0,n136,120
131,0,n138,123
132,0,n119,121
133,0,n121,125
134,0,n120,122
135,0,n122,126
136,0,n155,128
137,0,n157,131
138,0,n156,127
139,0,n158,132
140,0,n139,130
141,0,n141,134
142,0,n140,129
143,0,n142,133
144,0,n159,135
145,0,n161,140
146,0,n160,136
147,0,n162,139
148,0,n143,137
149,0,n145,142
150,0,n144,138
151,0,n146,141
152,0,n163,146
153,0,n165,150
154,0,n164,143
155,0,n166,147
156,0,n147,144
157,0,n149,148
158,0,n148,145
159,0,n150,149
160,0,n167,153
161,0,n169,155
162,0,n168,152
163,0,n170,154
164,1,n151,undefined
165,1,n153,undefined
166,0,n152,151
167,0,n154,156
168,0,n176,157
169,0,n178,159
170,0,n177,158
171,0,n179,160
172,0,n171,163
173,0,n172,164
174,0,n180,161
175,0,n182,165
176,0,n181,162
177,0,n183,166
178,0,n174,168
179,0,n173,167
180,0,n184,169
181,0,n186,172
182,0,n185,170
183,0,n187,173
184,0,n175,171
185,0,n188,175
186,0,n190,177
187,0,n189,174
188,0,n191,176
189,0,n200,180
190,0,n202,182
191,0,n201,179
192,0,n203,181
193,0,n192,178
194,0,n193,185
195,0,n204,183
196,0,n206,186
197,0,n205,184
198,0,n207,187
199,0,n197,190
200,0,n196,189
201,0,n195,188
202,0,n208,191
203,0,n210,194
204,0,n209,192
205,0,n211,195
206,0,n198,193
207,0,n212,196
208,0,n214,198
209,0,n213,197
210,0,n215,199
211,0,n222,202
212,0,n224,204
213,0,n223,201
214,0,n225,203
215,0,n216,200
216,0,n217,210
217,0,n226,206
218,0,n228,208
219,1,n230,undefined
220,0,n227,205
221,0,n229,207
222,0,n254,221
223,1,n232,undefined
224,0,n231,209
225,0,n233,211
226,0,n234,214
227,0,n236,218
228,0,n235,212
229,0,n237,217
230,0,n221,219
231,0,n220,216
232,0,n219,215
233,0,n218,213
