onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,last_beat,last_beat_ref
0.0,0.5,0.0,0.5,0,12,36,5,n15,0.0,2.049139
0.5,0.5,0.5,0.5,12,12,48,1,n1,0.0,2.049139
0.5,0.5,0.5,0.5,12,12,52,1,n2,0.0,2.049139
0.5,0.5,0.5,0.5,12,12,36,5,n16,0.0,2.049139
0.5,0.5,0.5,0.5,12,12,43,5,n17,0.0,2.049139
1.0,0.5,1.0,0.5,24,12,48,1,n3,1.0,2.395826
1.0,0.5,1.0,0.5,24,12,52,1,n4,1.0,2.395826
1.0,0.5,1.0,0.5,24,12,36,5,n18,1.0,2.395826
1.0,0.5,1.0,0.5,24,12,43,5,n19,1.0,2.395826
1.5,0.5,1.5,0.5,36,12,48,1,n5,1.0,2.395826
1.5,0.5,1.5,0.5,36,12,52,1,n6,1.0,2.395826
1.5,0.5,1.5,0.5,36,12,36,5,n20,1.0,2.395826
1.5,0.5,1.5,0.5,36,12,43,5,n21,1.0,2.395826
2.0,0.5,2.0,0.5,48,12,48,1,n7,2.0,2.760676
2.0,0.5,2.0,0.5,48,12,52,1,n8,2.0,2.760676
2.0,0.5,2.0,0.5,48,12,36,5,n22,2.0,2.760676
2.0,0.5,2.0,0.5,48,12,43,5,n23,2.0,2.760676
2.5,0.5,2.5,0.5,60,12,48,1,n9,2.0,2.760676
2.5,0.5,2.5,0.5,60,12,52,1,n10,2.0,2.760676
2.5,0.5,2.5,0.5,60,12,36,5,n24,2.0,2.760676
2.5,0.5,2.5,0.5,60,12,43,5,n25,2.0,2.760676
3.0,0.5,3.0,0.5,72,12,48,1,n11,3.0,3.137812
3.0,0.5,3.0,0.5,72,12,52,1,n12,3.0,3.137812
3.0,0.5,3.0,0.5,72,12,36,5,n26,3.0,3.137812
3.0,0.5,3.0,0.5,72,12,43,5,n27,3.0,3.137812
3.5,0.5,3.5,0.5,84,12,48,1,n13,3.0,3.137812
3.5,0.5,3.5,0.5,84,12,52,1,n14,3.0,3.137812
3.5,0.5,3.5,0.5,84,12,36,5,n28,3.0,3.137812
3.5,0.5,3.5,0.5,84,12,43,5,n29,3.0,3.137812
4.0,0.5,4.0,0.5,96,12,48,1,n30,4.0,3.480225
4.0,0.5,4.0,0.5,96,12,52,1,n31,4.0,3.480225
4.0,0.5,4.0,0.5,96,12,36,5,n46,4.0,3.480225
4.0,0.5,4.0,0.5,96,12,43,5,n47,4.0,3.480225
4.5,0.5,4.5,0.5,108,12,48,1,n32,4.0,3.480225
4.5,0.5,4.5,0.5,108,12,52,1,n33,4.0,3.480225
4.5,0.5,4.5,0.5,108,12,36,5,n48,4.0,3.480225
