onset_sec,duration_sec,pitch,velocity,track,channel,id,last_beat,last_beat_ref
0.80859375,0.16536458,36,66,1,0,0,-10.0,-10.0
0.9973958,0.045572918,36,52,1,0,1,0.808594,0.0
1.0078125,0.04296875,52,57,1,0,2,0.808594,0.0
1.0104166,0.04296875,43,42,1,0,3,0.808594,0.0
1.1731771,0.045572918,43,44,1,0,4,0.808594,0.0
1.1783854,0.044270832,52,63,1,0,5,1.178385,1.0
1.1796875,0.045572918,36,46,1,0,6,1.178385,1.0
1.359375,0.045572918,43,46,1,0,7,1.178385,1.0
1.3619791,0.044270832,52,66,1,0,8,1.178385,1.0
1.3645834,0.044270832,36,48,1,0,9,1.178385,1.0
1.4127604,0.063802086,48,8,1,0,10,1.178385,1.0
1.5572916,0.0390625,43,48,1,0,11,1.178385,1.0
1.5664062,0.0390625,52,61,1,0,12,1.564453,2.0
1.5625,0.044270832,36,43,1,0,13,1.178385,1.0
1.5872396,0.04296875,48,37,1,0,14,1.564453,2.0
1.7382812,0.044270832,52,56,1,0,15,1.564453,2.0
1.7408854,0.044270832,43,41,1,0,16,1.564453,2.0
1.7421875,0.046875,36,46,1,0,17,1.564453,2.0
1.7552084,0.041666668,48,35,1,0,18,1.564453,2.0
1.9114584,0.044270832,43,42,1,0,19,1.564453,2.0
1.9140625,0.045572918,36,46,1,0,20,1.564453,2.0
1.9205729,0.044270832,52,57,1,0,21,1.9173175,3.0
1.9361979,0.04296875,48,25,1,0,22,1.9173175,3.0
2.092448,0.040364582,43,46,1,0,23,1.9173175,3.0
2.0963542,0.046875,52,57,1,0,24,1.9173175,3.0
2.1028645,0.048177082,36,41,1,0,25,1.9173175,3.0
2.1197917,0.04296875,48,25,1,0,26,1.9173175,3.0
2.2786458,0.041666668,43,45,1,0,27,1.9173175,3.0
2.2786458,0.044270832,52,53,1,0,28,1.9173175,3.0
2.2903645,0.041666668,48,34,1,0,29,2.282552,4.0
2.2864583,0.048177082,36,43,1,0,30,2.282552,4.0
2.451823,0.046875,43,46,1,0,31,2.282552,4.0
2.451823,0.048177082,52,57,1,0,32,2.282552,4.0
2.4583333,0.049479168,36,45,1,0,33,2.282552,4.0
2.46875,0.046875,48,29,1,0,34,2.282552,4.0
2.6458333,0.046875,52,55,1,0,35,2.282552,4.0
2.6497395,0.046875,43,36,1,0,36,2.282552,4.0
2.6510417,0.048177082,36,41,1,0,37,2.650391,5.0
2.65625,0.046875,48,32,1,0,38,2.650391,5.0
2.8177083,0.041666668,43,49,1,0,39,2.650391,5.0
2.8164062,0.046875,52,62,1,0,40,2.650391,5.0
2.8242188,0.044270832,36,49,1,0,41,2.650391,5.0
2.8320312,0.040364582,48,37,1,0,42,2.650391,5.0
2.998698,0.04296875,43,41,1,0,43,2.650391,5.0
2.998698,0.04296875,52,59,1,0,44,2.650391,5.0
3.0,0.045572918,36,46,1,0,45,2.999349,6.0
3.0117188,0.049479168,48,26,1,0,46,2.999349,6.0
3.1614583,0.04296875,52,61,1,0,47,2.999349,6.0
3.1640625,0.045572918,43,45,1,0,48,2.999349,6.0
3.1666667,0.044270832,36,47,1,0,49,2.999349,6.0
3.1744792,0.04296875,48,34,1,0,50,2.999349,6.0
3.3398438,0.044270832,36,55,1,0,51,2.999349,6.0
3.3476562,0.036458332,54,76,1,0,52,3.347656,7.0
3.3554688,0.041666668,45,56,1,0,53,3.347656,7.0
3.5052083,0.044270832,54,70,1,0,54,3.347656,7.0
3.5130208,0.048177082,45,44,1,0,55,3.347656,7.0
3.5065105,0.055989582,36,54,1,0,56,3.347656,7.0
3.7135417,0.13151042,43,53,1,0,57,3.347656,7.0
3.7213542,0.123697914,35,54,1,0,58,3.717448,8.0
3.8971355,0.046875,35,48,1,0,59,3.717448,8.0
3.9010417,0.044270832,43,37,1,0,60,3.717448,8.0
4.0703125,0.048177082,35,48,1,0,61,4.068359,9.0
4.0664062,0.052083332,43,46,1,0,62,3.717448,8.0
3.6979167,0.50911456,55,84,1,0,63,3.347656,7.0
4.265625,0.044270832,43,40,1,0,64,4.068359,9.0
4.2591147,0.0546875,35,45,1,0,65,4.068359,9.0
4.2565103,0.0703125,59,63,1,0,66,4.068359,9.0
4.3346353,0.091145836,57,69,1,0,67,4.068359,9.0
4.440104,0.048177082,35,54,1,0,68,4.43099,10.0
4.4296875,0.05859375,43,52,1,0,69,4.068359,9.0
3.7252605,0.84765625,50,55,1,0,70,3.717448,8.0
4.4309897,0.19401042,55,67,1,0,71,4.068359,9.0
4.6289062,0.052083332,43,51,1,0,72,4.43099,10.0
4.6354165,0.055989582,35,53,1,0,73,4.43099,10.0
4.815104,0.055989582,35,51,1,0,74,4.813802,11.0
4.8125,0.059895832,43,48,1,0,75,4.43099,10.0
5.0052085,0.048177082,35,47,1,0,76,4.813802,11.0
5.0091147,0.052083332,43,39,1,0,77,4.813802,11.0
5.1015625,0.092447914,85,64,1,0,78,4.813802,11.0
5.190104,0.065104164,43,51,1,0,79,5.190104,12.0
5.1927085,0.072916664,35,52,1,0,80,5.190104,12.0
5.3984375,0.328125,43,40,1,0,81,5.190104,12.0
5.4049478,0.3216146,35,54,1,0,82,5.190104,12.0
5.5820312,0.14453125,35,53,1,0,83,5.580729,13.0
5.5794272,0.14713542,43,50,1,0,84,5.190104,12.0
5.184896,0.5416667,86,84,1,0,85,4.813802,11.0
5.690104,0.087239586,84,69,1,0,86,5.580729,13.0
5.7695312,0.055989582,35,47,1,0,87,5.580729,13.0
5.7669272,0.059895832,43,50,1,0,88,5.580729,13.0
5.7734375,0.061197918,83,64,1,0,89,5.580729,13.0
5.8424478,0.080729164,81,63,1,0,90,5.580729,13.0
5.9635415,0.05078125,35,47,1,0,91,5.960938,14.0
5.9609375,0.053385418,43,45,1,0,92,5.580729,13.0
5.9427085,0.24088542,79,68,1,0,93,5.580729,13.0
6.143229,0.053385418,35,51,1,0,94,5.960938,14.0
6.1393228,0.05859375,43,51,1,0,95,5.960938,14.0
6.3320312,0.05078125,43,44,1,0,96,5.960938,14.0
6.3346353,0.052083332,35,46,1,0,97,6.333333,15.0
6.5091147,0.057291668,43,45,1,0,98,6.333333,15.0
6.5078125,0.061197918,35,54,1,0,99,6.333333,15.0
6.7109375,0.04296875,34,63,1,0,100,6.333333,15.0
6.7148438,0.0390625,41,55,1,0,101,6.712891,16.0
6.7070312,0.0625,50,66,1,0,102,6.333333,15.0
6.7421875,0.048177082,46,33,1,0,103,6.712891,16.0
6.8867188,0.040364582,46,54,1,0,104,6.712891,16.0
6.890625,0.04296875,41,50,1,0,105,6.712891,16.0
6.8867188,0.046875,50,52,1,0,106,6.712891,16.0
6.8945312,0.044270832,34,46,1,0,107,6.712891,16.0
7.0533853,0.0546875,50,53,1,0,108,6.712891,16.0
7.0664062,0.046875,34,53,1,0,109,7.066406,17.0
7.0729165,0.04296875,41,48,1,0,110,7.066406,17.0
7.234375,0.05078125,50,61,1,0,111,7.066406,17.0
7.2604165,0.04296875,41,41,1,0,112,7.066406,17.0
7.265625,0.046875,34,42,1,0,113,7.066406,17.0
7.434896,0.04296875,41,45,1,0,114,7.432292,18.0
7.4322915,0.046875,34,53,1,0,115,7.066406,17.0
