xml_id	midi_id	track	channel	pitch	onset
n15	0	0	0	36	1.5104151562500001
n16	1	0	0	36	1.693374375
n18	5	0	0	36	1.8883528125000004
n20	9	0	0	36	2.0793248437500007
n17	2	0	0	43	1.71340640625
n19	6	0	0	43	1.8923592187500005
n21	11	0	0	43	2.0846667187500008
n1	3	0	0	48	1.7240901562500002
n3	8	0	0	48	1.9017075000000006
n5	12	0	0	48	2.1167179687500006
n2	4	0	0	52	1.7174128125
n4	7	0	0	52	1.9043784375000006
n6	10	0	0	52	2.0993568750000007
n22	14	0	0	36	2.2983417187500006
n24	18	0	0	36	2.48797828125
n23	16	0	0	43	2.2836515625000007
n25	20	0	0	43	2.48530734375
n7	15	0	0	48	2.3076900000000005
n9	19	0	0	48	2.49866203125
n8	13	0	0	52	2.294335312500001
n10	17	0	0	52	2.494655625
n26	22	0	0	36	2.6856276562499994
n28	25	0	0	36	2.8685868749999988
n27	24	0	0	43	2.6682665624999995
n29	26	0	0	43	2.852561249999999
n11	23	0	0	48	2.6923049999999993
n13	28	0	0	48	2.867251406249999
n12	21	0	0	52	2.6722729687499993
n14	27	0	0	52	2.865915937499999
n46	30	0	0	36	3.0649007812499978
n48	35	0	0	36	3.246524531249997
n47	31	0	0	43	3.063565312499998
n49	34	0	0	43	3.237176249999997
n30	32	0	0	48	3.063565312499998
n32	36	0	0	48	3.243853593749997
n31	29	0	0	52	3.063565312499998
n33	33	0	0	52	3.234505312499997
n50	38	0	0	36	3.428148281249997
n52	41	0	0	36	3.6177848437499964
n51	37	0	0	43	3.425477343749997
n53	42	0	0	43	3.6204557812499965
n34	39	0	0	48	3.4428384374999967
n36	43	0	0	48	3.6244621874999963
n35	40	0	0	52	3.421470937499997
n37	44	0	0	52	3.6151139062499964
n54	46	0	0	36	3.788724843749996
n56	51	0	0	36	3.9690131249999956
n55	45	0	0	43	3.782047499999996
n57	49	0	0	43	3.9703485937499954
n38	47	0	0	48	3.7940667187499955
n40	50	0	0	48	3.9690131249999956
n39	48	0	0	52	3.7900603124999956
n41	52	0	0	52	3.9770259374999952
n58	55	0	0	36	4.1626560937499955
n60	59	0	0	36	4.337602499999995
n59	53	0	0	45	4.165327031249995
n61	57	0	0	45	4.325583281249995
n42	54	0	0	50	4.165327031249995
n44	58	0	0	50	4.329589687499995
n43	56	0	0	54	4.158649687499995
n45	60	0	0	54	4.330925156249995
n67	62	0	0	35	4.555283906249995
n69	64	0	0	35	4.748926874999995
n68	61	0	0	43	4.5592903124999955
n70	63	0	0	43	4.747591406249995
n62	68	0	0	50	4.565967656249995
n63	67	0	0	55	4.547271093749996
n71	66	0	0	35	4.942569843749995
n73	70	0	0	35	5.128199999999994
n72	65	0	0	43	4.927879687499995
n74	69	0	0	43	5.1268645312499945
n65	72	0	0	57	5.208328124999994
n64	71	0	0	59	5.132206406249995
n75	74	0	0	35	5.308488281249994
n77	76	0	0	35	5.499460312499994
n76	73	0	0	43	5.300475468749994
n78	77	0	0	43	5.495453906249994
n66	75	0	0	55	5.311159218749993
n79	79	0	0	35	5.693103281249994
n81	81	0	0	35	5.868049687499993
n80	78	0	0	43	5.686425937499994
n82	80	0	0	43	5.857365937499993
n91	84	0	0	35	6.044331562499993
n93	85	0	0	35	6.235303593749992
n92	83	0	0	43	6.044331562499993
n94	86	0	0	43	6.227290781249993
n83	82	0	0	85	5.957526093749993
n84	89	0	0	86	6.037654218749993
n95	87	0	0	35	6.431617499999993
n97	91	0	0	35	6.594544687499993
n96	88	0	0	43	6.427611093749992
n98	92	0	0	43	6.6025574999999925
n88	94	0	0	81	6.704053124999993
n87	93	0	0	83	6.617247656249993
n86	90	0	0	84	6.521093906249993
n99	96	0	0	35	6.769491093749992
n101	98	0	0	35	6.956456718749991
n100	95	0	0	43	6.762813749999992
n102	99	0	0	43	6.959127656249991
n89	97	0	0	79	6.797535937499992
n103	101	0	0	35	7.151435156249991
n105	103	0	0	35	7.342407187499991
n104	100	0	0	43	7.140751406249991
n106	102	0	0	43	7.326381562499991
n123	106	0	0	34	7.52937281249999
n125	110	0	0	34	7.71500296874999
n124	105	0	0	41	7.538721093749991
n126	109	0	0	41	7.70832562499999
n107	104	0	0	46	7.533379218749991
n109	108	0	0	46	7.6936354687499895
n108	107	0	0	50	7.526701874999991
n110	111	0	0	50	7.71233203124999
n127	115	0	0	34	7.8979621874999895
n129	119	0	0	34	8.07023765624999
n128	112	0	0	41	7.89128484374999
n130	117	0	0	41	8.06356031249999
n111	113	0	0	46	7.90196859374999
n113	116	0	0	46	8.05821843749999
n112	114	0	0	50	7.8979621874999895
n114	118	0	0	50	8.07825046874999
n131	123	0	0	34	8.26254515624999
n133	126	0	0	34	8.449510781249987
n132	121	0	0	41	8.25987421874999
n134	124	0	0	41	8.449510781249987
n115	120	0	0	46	8.25052593749999
n117	125	0	0	46	8.444168906249988
n116	122	0	0	50	8.25853874999999
n118	127	0	0	50	8.458859062499988
n135	130	0	0	34	8.628463593749986
n137	134	0	0	34	8.811422812499984
n136	128	0	0	41	8.623121718749987
n138	132	0	0	41	8.807416406249985
n119	129	0	0	46	8.627128124999986
n121	133	0	0	46	8.807416406249985
n120	131	0	0	50	8.640482812499986
n122	135	0	0	50	8.816764687499983
n155	138	0	0	34	8.989040156249985
n157	142	0	0	34	9.181347656249983
n156	136	0	0	41	8.991711093749984
n158	140	0	0	41	9.174670312499984
