xml_id	midi_id	track	channel	pitch	onset
n15	0	1	0	36	2.049139254166666
n18	5	1	0	36	2.4444372333333333
n20	8	1	0	36	2.6175136458333337
n22	13	1	0	36	2.8151626354166672
n16	deletion
n17	1	1	0	43	2.2564035999999996
n23	11	1	0	43	2.8237096187500006
n21	deletion
n19	deletion
n1	2	1	0	48	2.2531984812499997
n3	4	1	0	48	2.45191584375
n5	7	1	0	48	2.6281973750000005
n2	3	1	0	52	2.2638822104166665
n4	6	1	0	52	2.4604628270833335
n6	9	1	0	52	2.639949477083334
n24	17	1	0	36	3.001059522916667
n25	16	1	0	43	3.004264641666667
n7	10	1	0	48	2.793795177083334
n9	14	1	0	48	2.9807604375000003
n8	12	1	0	52	2.7991370416666674
n10	15	1	0	52	2.9861023020833337
n26	21	1	0	36	3.181614545833334
n28	23	1	0	36	3.3632379416666667
n27	18	1	0	43	3.1826829187500003
n29	deletion
n11	19	1	0	48	3.1570419687500006
n13	22	1	0	48	3.344007229166667
n12	20	1	0	52	3.1570419687500006
n14	24	1	0	52	3.35896445
n46	26	1	0	36	3.5480664562499995
n48	29	1	0	36	3.7232796145833325
n49	30	1	0	43	3.760672666666666
n47	deletion
n30	25	1	0	48	3.5320408624999997
n32	28	1	0	48	3.717937749999999
n31	27	1	0	52	3.530972489583333
n33	31	1	0	52	3.721142868749999
n50	33	1	0	36	3.894219281249999
n52	35	1	0	36	4.075842677083332
n51	deletion
n53	deletion
n34	32	1	0	48	3.891014162499999
n36	36	1	0	48	4.068364066666666
n35	34	1	0	52	3.8920825354166655
n37	37	1	0	52	4.069432439583332
n54	38	1	0	36	4.239303733333332
n56	45	1	0	36	4.439089468749999
n55	39	1	0	43	4.2638763104166655
n57	43	1	0	43	4.439089468749999
n38	40	1	0	48	4.239303733333332
n40	42	1	0	48	4.4316108583333325
n39	41	1	0	52	4.240372106249999
n41	44	1	0	52	4.430542485416666
n58	47	1	0	36	4.615370999999998
n60	52	1	0	36	4.791652531249998
n59	49	1	0	45	4.631396593749998
n61	51	1	0	45	4.785242293749998
n42	48	1	0	50	4.626054729166665
n44	53	1	0	50	4.801267887499998
n43	46	1	0	54	4.606824016666665
n45	50	1	0	54	4.763874835416664
n67	55	1	0	35	4.997848504166665
n69	57	1	0	35	5.180540272916666
n68	54	1	0	43	5.004258741666665
n70	56	1	0	43	5.164514679166666
n62	67	1	0	50	4.990369893749999
n63	60	1	0	55	4.973275927083332
n71	59	1	0	35	5.351479939583332
n73	62	1	0	35	5.5747698791666656
n72	58	1	0	43	5.349343193749999
n74	61	1	0	43	5.563017777083332
n65	64	1	0	57	5.644214118749999
n64	63	1	0	59	5.571564760416665
n75	66	1	0	35	5.756393274999998
n77	70	1	0	35	5.949768772916665
n76	65	1	0	43	5.748914664583332
n78	69	1	0	43	5.944426908333331
n66	68	1	0	55	5.723273714583332
n79	72	1	0	35	6.133528914583331
n81	74	1	0	35	6.330109531249997
n80	71	1	0	43	6.121776812499998
n82	73	1	0	43	6.3354513958333305
n91	77	1	0	35	6.542715741666664
n93	79	1	0	35	6.718997272916664
n92	76	1	0	43	6.5384422499999975
n94	78	1	0	43	6.7019033062499975
n83	75	1	0	85	6.435878449999997
n84	82	1	0	86	6.5053226895833305
n95	81	1	0	35	6.902757414583331
n97	84	1	0	35	7.086517556249997
n96	80	1	0	43	6.888868566666664
n98	83	1	0	43	7.074765454166664
n88	89	1	0	81	7.16237203333333
n87	86	1	0	83	7.072628708333331
n86	85	1	0	84	6.982885383333331
n99	88	1	0	35	7.2777563083333305
n101	92	1	0	35	7.485020654166663
n100	87	1	0	43	7.26814095208333
n102	91	1	0	43	7.481815535416663
n89	90	1	0	79	7.27455118958333
n103	94	1	0	35	7.677327779166663
n105	96	1	0	35	7.874976768749996
n104	93	1	0	43	7.671985914583329
n106	95	1	0	43	7.8642930395833295
n123	99	1	0	34	8.077967622916663
n125	102	1	0	34	8.27027474791666
n124	97	1	0	41	8.089719724999997
n126	104	1	0	41	8.27668498541666
n107	98	1	0	46	8.084377860416664
n109	103	1	0	46	8.275616612499993
n108	100	1	0	50	8.08544623333333
n110	101	1	0	50	8.268138002083328
n127	106	1	0	34	8.471128856249992
n129	111	1	0	34	8.661299235416658
n128	107	1	0	41	8.468992110416659
n130	112	1	0	41	8.659162489583325
n111	105	1	0	46	8.463650245833326
n113	109	1	0	46	8.639931777083325
n112	108	1	0	50	8.464718618749993
n114	110	1	0	50	8.661299235416658
n131	115	1	0	34	8.840785885416658
n133	120	1	0	34	9.02988789166666
n132	114	1	0	41	8.835444020833325
n134	118	1	0	41	9.023477654166658
n115	113	1	0	46	8.823691918749992
n117	117	1	0	46	9.020272535416659
n116	116	1	0	50	8.838649139583325
n118	119	1	0	50	9.033093010416659
n135	123	1	0	34	9.22540013541666
n137	127	1	0	34	9.43266448124999
n136	122	1	0	41	9.217921524999992
n138	126	1	0	41	9.425185870833324
n119	121	1	0	46	9.216853152083326
n121	125	1	0	46	9.409160277083325
n120	124	1	0	50	9.224331762499993
n122	128	1	0	50	9.428390989583324
n155	129	1	0	34	9.604672520833324
n157	135	1	0	34	9.804458256249989
n156	131	1	0	41	9.604672520833324
n158	133	1	0	41	9.796979645833323
n139	130	1	0	46	9.607877639583323
n141	134	1	0	46	9.79484289999999
n140	132	1	0	50	9.610014385416656
n142	136	1	0	50	9.802321510416656
n159	138	1	0	34	9.985013279166653
n161	141	1	0	34	10.167705047916652
n160	137	1	0	41	9.978603041666654
n162	142	1	0	41	10.169841793749985
n143	139	1	0	46	9.98608165208332
n145	143	1	0	46	10.175183658333317
n144	140	1	0	50	9.983944906249986
n146	144	1	0	50	10.175183658333317
n163	146	1	0	34	10.361080545833316
n165	150	1	0	34	10.560866281249982
n164	145	1	0	41	10.365354037499982
n166	151	1	0	41	10.560866281249982
n147	148	1	0	46	10.390994987499981
n149	149	1	0	46	10.55872953541665
n148	147	1	0	50	10.364285664583315
n150	152	1	0	50	10.552319297916648
n167	153	1	0	34	10.740352931249982
n169	159	1	0	34	10.917702835416648
n168	155	1	0	43	10.758515270833316
n170	157	1	0	43	10.918771208333315
n151	156	1	0	48	10.761720389583315
n153	160	1	0	48	10.943343785416648
n152	154	1	0	52	10.746763168749982
n154	158	1	0	52	10.905950733333315
n176	162	1	0	33	11.144197893749979
n178	164	1	0	33	11.329026408333311
n177	161	1	0	41	11.143129520833313
n179	163	1	0	41	11.316205933333311
n171	174	1	0	48	11.148471385416645
n172	167	1	0	53	11.126035554166647
n180	166	1	0	33	11.51171817708331
n182	169	1	0	33	11.717914149999977
n181	165	1	0	41	11.507444685416644
n183	168	1	0	41	11.709367166666643
n174	171	1	0	55	11.791631881249977
n173	170	1	0	57	11.725392760416645
n184	172	1	0	33	11.89953754583331
n186	176	1	0	33	12.086502806249976
n185	173	1	0	41	11.892058935416644
n187	177	1	0	41	12.08222931458331
n175	175	1	0	53	11.87389659583331
n188	179	1	0	33	12.27774155833331
n190	181	1	0	33	12.482869158333308
n189	178	1	0	41	12.268126202083309
n191	180	1	0	41	12.480732412499975
n200	184	1	0	32	12.667697672916642
n202	186	1	0	32	12.855731306249975
n201	183	1	0	41	12.655945570833309
n203	185	1	0	41	12.853594560416642
n192	182	1	0	83	12.588638077083308
n193	189	1	0	84	12.668766045833308
n204	187	1	0	32	13.03949144791664
n206	191	1	0	32	13.227525081249974
n205	188	1	0	41	13.037354702083308
n207	192	1	0	41	13.229661827083307
n197	194	1	0	79	13.285217218749972
n196	193	1	0	80	13.204020877083307
n195	190	1	0	82	13.124961281249973
n208	195	1	0	32	13.445473156249971
n210	198	1	0	32	13.619617941666638
n209	196	1	0	41	13.444404783333304
n211	199	1	0	41	13.631370043749971
n198	197	1	0	77	13.411285222916637
n212	201	1	0	32	13.796967845833306
n214	203	1	0	32	13.987138224999972
n213	200	1	0	41	13.802309710416639
n215	202	1	0	41	13.979659614583305
n222	205	1	0	31	14.211496537499974
n224	208	1	0	31	14.42410274791664
n223	206	1	0	41	14.186923960416639
n225	207	1	0	41	14.41769251041664
n216	204	1	0	88	14.089702024999973
n217	215	1	0	89	14.205086299999973
n226	210	1	0	31	14.61106800833331
n228	212	1	0	31	14.80764862499998
n227	209	1	0	41	14.602521024999977
n229	211	1	0	41	14.795896522916646
n230	214	1	0	31	14.989272020833312
n232	217	1	0	31	15.169827043749978
n231	213	1	0	41	14.973246427083312
n233	216	1	0	41	15.163416806249977
n234	219	1	0	32	15.364270914583312
n236	223	1	0	32	15.542689191666646
n235	218	1	0	41	15.343971829166644
n237	222	1	0	41	15.542689191666646
n221	225	1	0	84	15.648458110416646
n220	224	1	0	86	15.556578039583313
n219	221	1	0	87	15.459356104166647
n218	220	1	0	89	15.352518812499978
n254	227	1	0	31	15.72110746874998
n256	231	1	0	31	15.894183881249976
n255	226	1	0	41	15.704013502083313
n257	230	1	0	41	15.911277847916642
n238	228	1	0	83	15.722175841666646
n239	229	1	0	84	15.81619265833331
n240	232	1	0	86	15.894183881249976
n241	233	1	0	87	15.981790460416642
n258	235	1	0	32	16.073670531249974
n260	239	1	0	32	16.233926468749974
n259	234	1	0	41	16.075807277083307
n261	238	1	0	41	16.23499484166664
n245	241	1	0	84	16.336490268749976
n244	240	1	0	86	16.25743067291664
n243	237	1	0	87	16.167687347916637
n242	236	1	0	89	16.075807277083307
n262	242	1	0	31	16.43478057708331
n264	247	1	0	31	16.589694649999977
