idx,matchtype,partid,ppartid
0,0,n15,0
1,0,n18,5
2,0,n20,8
3,0,n22,13
4,1,n16,undefined
5,0,n17,1
6,0,n23,11
7,1,n21,undefined
8,1,n19,undefined
9,0,n1,2
10,0,n3,4
11,0,n5,7
12,0,n2,3
13,0,n4,6
14,0,n6,9
15,0,n24,17
16,0,n25,16
17,0,n7,10
18,0,n9,14
19,0,n8,12
20,0,n10,15
21,0,n26,21
22,0,n28,23
23,0,n27,18
24,1,n29,undefined
25,0,n11,19
26,0,n13,22
27,0,n12,20
28,0,n14,24
29,0,n46,26
30,0,n48,29
31,0,n49,30
32,1,n47,undefined
33,0,n30,25
34,0,n32,28
35,0,n31,27
36,0,n33,31
37,0,n50,33
38,0,n52,35
39,1,n51,undefined
40,1,n53,undefined
41,0,n34,32
42,0,n36,36
43,0,n35,34
44,0,n37,37
45,0,n54,38
46,0,n56,45
47,0,n55,39
48,0,n57,43
49,0,n38,40
50,0,n40,42
51,0,n39,41
52,0,n41,44
53,0,n58,47
54,0,n60,52
55,0,n59,49
56,0,n61,51
57,0,n42,48
58,0,n44,53
59,0,n43,46
60,0,n45,50
61,0,n67,55
62,0,n69,57
63,0,n68,54
64,0,n70,56
65,0,n62,67
66,0,n63,60
67,0,n71,59
68,0,n73,62
69,0,n72,58
70,0,n74,61
71,0,n65,64
72,0,n64,63
73,0,n75,66
74,0,n77,70
75,0,n76,65
76,0,n78,69
77,0,n66,68
78,0,n79,72
79,0,n81,74
80,0,n80,71
81,0,n82,73
82,0,n91,77
83,0,n93,79
84,0,n92,76
85,0,n94,78
86,0,n83,75
87,0,n84,82
88,0,n95,81
89,0,n97,84
90,0,n96,80
91,0,n98,83
92,0,n88,89
93,0,n87,86
94,0,n86,85
95,0,n99,88
96,0,n101,92
97,0,n100,87
98,0,n102,91
99,0,n89,90
100,0,n103,94
101,0,n105,96
102,0,n104,93
103,0,n106,95
104,0,n123,99
105,0,n125,102
106,0,n124,97
107,0,n126,104
108,0,n107,98
109,0,n109,103
110,0,n108,100
111,0,n110,101
112,0,n127,106
113,0,n129,111
114,0,n128,107
115,0,n130,112
116,0,n111,105
117,0,n113,109
118,0,n112,108
119,0,n114,110
120,0,n131,115
121,0,n133,120
122,0,n132,114
123,0,n134,118
124,0,n115,113
125,0,n117,117
126,0,n116,116
127,0,n118,119
128,0,n135,123
129,0,n137,127
130,0,n136,122
131,0,n138,126
132,0,n119,121
133,0,n121,125
134,0,n120,124
135,0,n122,128
136,0,n155,129
137,0,n157,135
138,0,n156,131
139,0,n158,133
140,0,n139,130
141,0,n141,134
142,0,n140,132
143,0,n142,136
144,0,n159,138
145,0,n161,141
146,0,n160,137
147,0,n162,142
148,0,n143,139
149,0,n145,143
150,0,n144,140
151,0,n146,144
152,0,n163,146
153,0,n165,150
154,0,n164,145
155,0,n166,151
