idx,matchtype,partid,ppartid
0,0,n15,0
1,0,n16,1
2,1,n18,undefined
3,1,n20,undefined
4,0,n17,4
5,1,n19,undefined
6,1,n21,undefined
7,0,n1,2
8,0,n3,6
9,0,n5,8
10,0,n2,3
11,0,n4,5
12,0,n6,7
13,0,n24,13
14,1,n22,undefined
15,0,n23,11
16,0,n25,14
17,0,n7,9
18,0,n9,12
19,0,n8,10
20,0,n10,15
21,0,n26,17
22,0,n28,21
23,0,n27,19
24,0,n29,23
25,0,n11,18
26,0,n13,20
27,0,n12,16
28,0,n14,22
29,0,n46,24
30,0,n48,29
31,0,n47,26
32,0,n49,30
33,0,n30,25
34,0,n32,28
35,0,n31,27
36,0,n33,31
37,0,n50,33
38,0,n52,37
39,0,n51,35
40,0,n53,38
41,0,n34,32
42,0,n36,36
43,0,n35,34
44,0,n37,39
45,0,n54,41
46,0,n56,45
47,0,n55,42
48,0,n57,47
49,0,n38,40
50,0,n40,46
51,0,n39,43
52,0,n41,44
53,0,n58,49
54,0,n60,54
55,0,n59,50
56,0,n61,53
57,0,n42,48
58,0,n44,52
59,0,n43,51
60,0,n45,55
61,0,n67,57
62,0,n69,59
63,0,n68,56
64,0,n70,60
65,0,n62,62
66,0,n63,66
67,0,n71,64
68,0,n73,67
69,0,n72,63
70,0,n74,68
71,0,n65,71
72,0,n64,70
73,0,n75,74
74,0,n77,76
75,0,n76,73
76,0,n78,75
77,0,n66,72
78,0,n79,78
79,0,n81,79
80,0,n80,77
81,0,n82,80
82,0,n91,82
83,0,n93,84
84,0,n92,83
85,0,n94,85
86,0,n83,81
87,0,n84,88
88,0,n95,86
89,0,n97,91
90,0,n96,87
91,0,n98,90
92,0,n88,93
93,0,n87,92
94,0,n86,89
95,0,n99,94
96,0,n101,97
97,0,n100,95
98,0,n102,98
99,0,n89,96
100,0,n103,99
101,0,n105,102
102,0,n104,100
103,0,n106,101
104,0,n123,105
105,0,n125,109
106,0,n124,104
107,0,n126,107
108,0,n107,103
109,0,n109,108
110,0,n108,106
111,0,n110,110
112,0,n127,112
113,0,n129,117
114,0,n128,114
115,0,n130,118
116,0,n111,111
117,0,n113,115
118,0,n112,113
119,0,n114,116
120,0,n131,121
121,0,n133,126
122,0,n132,122
123,0,n134,124
124,0,n115,119
125,0,n117,123
126,0,n116,120
127,0,n118,125
128,0,n135,129
129,0,n137,133
130,0,n136,130
131,0,n138,134
132,0,n119,127
133,0,n121,131
134,0,n120,128
135,0,n122,132
136,0,n155,137
137,0,n157,142
138,0,n156,138
139,0,n158,140
140,0,n139,135
141,0,n141,139
142,0,n140,136
143,0,n142,141
144,0,n159,146
145,0,n161,150
146,0,n160,144
147,0,n162,148
148,0,n143,143
149,0,n145,147
150,0,n144,145
151,0,n146,149
152,0,n163,153
153,0,n165,156
154,0,n164,152
155,0,n166,155
156,0,n147,151
157,0,n149,157
158,0,n148,154
159,0,n150,158
160,0,n167,160
161,0,n169,166
162,0,n168,161
163,0,n170,163
164,0,n151,159
165,0,n153,164
166,0,n152,162
167,0,n154,165
168,0,n176,167
169,0,n178,170
170,0,n177,168
171,0,n179,169
172,0,n171,171
173,0,n172,174
174,0,n180,172
175,0,n182,175
176,0,n181,173
177,0,n183,176
178,0,n174,178
179,0,n173,177
180,0,n184,179
181,0,n186,182
182,0,n185,181
183,0,n187,183
184,0,n175,180
185,0,n188,184
186,0,n190,187
187,0,n189,185
188,0,n191,186
189,0,n200,190
190,0,n202,192
191,0,n201,189
192,0,n203,191
193,0,n192,188
194,0,n193,195
195,0,n204,193
196,0,n206,197
197,0,n205,194
198,0,n207,198
199,0,n197,200
200,0,n196,199
201,0,n195,196
202,0,n208,202
203,0,n210,205
204,0,n209,201
205,0,n211,204
206,0,n198,203
207,0,n212,207
208,0,n214,209
209,0,n213,206
210,0,n215,208
211,0,n222,211
212,0,n224,213
213,0,n223,212
214,0,n225,214
215,0,n216,210
216,0,n217,221
217,0,n226,215
218,0,n228,217
219,0,n227,216
220,0,n229,218
221,0,n230,219
222,0,n232,223
223,0,n231,220
224,0,n233,222
225,0,n234,225
226,0,n236,229
227,0,n235,224
228,0,n237,228
229,0,n221,231
230,0,n220,230
231,0,n219,227
232,0,n218,226
233,0,n254,233
234,0,n256,235
235,0,n255,232
