xml_id	midi_id	track	channel	pitch	onset
n15	0	1	0	36	0.7916666666666667
n16	2	1	0	36	0.971875
n18	6	1	0	36	1.122916666666667
n20	8	1	0	36	1.2895833333333337
n17	4	1	0	43	0.9979166666666667
n21	11	1	0	43	1.310416666666667
n19	deletion
n1	3	1	0	48	0.978125
n3	7	1	0	48	1.132291666666667
n5	9	1	0	48	1.2968750000000004
n2	1	1	0	52	0.9656250000000001
n4	5	1	0	52	1.1208333333333336
n6	10	1	0	52	1.2927083333333338
n22	12	1	0	36	1.4572916666666669
n24	16	1	0	36	1.634375
n23	15	1	0	43	1.4937500000000001
n25	19	1	0	43	1.6572916666666664
n7	14	1	0	48	1.475
n9	18	1	0	48	1.6479166666666665
n8	13	1	0	52	1.4656250000000002
n10	17	1	0	52	1.6385416666666666
n26	20	1	0	36	1.7999999999999998
n28	24	1	0	36	1.975
n27	22	1	0	43	1.8010416666666664
n29	27	1	0	43	1.975
n11	23	1	0	48	1.8145833333333332
n13	26	1	0	48	1.9833333333333334
n12	21	1	0	52	1.8041666666666665
n14	25	1	0	52	1.9760416666666667
n46	29	1	0	36	2.1520833333333336
n48	34	1	0	36	2.332291666666666
n47	31	1	0	43	2.151041666666667
n49	35	1	0	43	2.329166666666666
n30	30	1	0	48	2.1614583333333335
n32	33	1	0	48	2.332291666666666
n31	28	1	0	52	2.1520833333333336
n33	32	1	0	52	2.3218749999999995
n50	37	1	0	36	2.4979166666666655
n52	42	1	0	36	2.6645833333333315
n51	38	1	0	43	2.496874999999999
n53	41	1	0	43	2.6624999999999983
n34	39	1	0	48	2.5072916666666654
n36	43	1	0	48	2.6760416666666647
n35	36	1	0	52	2.498958333333332
n37	40	1	0	52	2.6677083333333313
n54	45	1	0	36	2.8406249999999975
n56	50	1	0	36	3.0072916666666645
n55	46	1	0	43	2.839583333333331
n57	48	1	0	43	3.0031249999999976
n38	47	1	0	48	2.848958333333331
n40	51	1	0	48	3.0114583333333313
n39	44	1	0	52	2.839583333333331
n41	49	1	0	52	3.002083333333331
n58	52	1	0	36	3.1624999999999983
n60	58	1	0	36	3.3343749999999983
n59	54	1	0	45	3.1791666666666654
n61	57	1	0	45	3.3333333333333317
n42	55	1	0	50	3.2093749999999988
n44	deletion
n43	53	1	0	54	3.1749999999999985
n45	56	1	0	54	3.3218749999999986
n67	60	1	0	35	3.5197916666666647
n69	61	1	0	35	3.6812499999999977
n68	59	1	0	43	3.509374999999998
n70	62	1	0	43	3.6791666666666645
n62	65	1	0	50	3.5416666666666647
n63	66	1	0	55	3.509374999999998
n71	64	1	0	35	3.8531249999999972
n73	68	1	0	35	4.029166666666664
n72	63	1	0	43	3.8499999999999974
n74	67	1	0	43	4.016666666666664
n65	70	1	0	57	4.10520833333333
n64	69	1	0	59	4.030208333333331
n75	72	1	0	35	4.185416666666664
n77	74	1	0	35	4.354166666666664
n76	73	1	0	43	4.1843749999999975
n78	75	1	0	43	4.3458333333333306
