xml_id	midi_id	track	channel	pitch	onset
n15	2	1	0	36	1.003125
n16	deletion
n18	deletion
n20	deletion
n17	1	1	0	43	1.20625
n19	6	1	0	43	1.4031250000000002
n21	8	1	0	43	1.5760416666666668
n1	0	1	0	48	1.2177083333333334
n3	4	1	0	48	1.3916666666666668
n5	7	1	0	48	1.5708333333333335
n2	3	1	0	52	1.221875
n4	5	1	0	52	1.397916666666667
n6	9	1	0	52	1.5770833333333334
n22	13	1	0	36	1.7927083333333333
n24	17	1	0	36	1.9645833333333336
n23	10	1	0	43	1.7520833333333334
n25	16	1	0	43	1.9312500000000001
n7	11	1	0	48	1.753125
n9	15	1	0	48	1.9239583333333334
n8	12	1	0	52	1.7583333333333333
n10	14	1	0	52	1.9114583333333335
n26	21	1	0	36	2.107291666666667
n28	25	1	0	36	2.2927083333333336
n27	19	1	0	43	2.0968750000000003
n29	24	1	0	43	2.2864583333333335
n11	20	1	0	48	2.090625
n13	22	1	0	48	2.254166666666667
n12	18	1	0	52	2.079166666666667
n14	23	1	0	52	2.247916666666667
n46	29	1	0	36	2.4531250000000004
n48	32	1	0	36	2.61875
n47	28	1	0	43	2.454166666666667
n49	33	1	0	43	2.61875
n30	26	1	0	48	2.4354166666666672
n32	30	1	0	48	2.61875
n31	27	1	0	52	2.4354166666666672
n33	31	1	0	52	2.615625
n50	35	1	0	36	2.8
n52	41	1	0	36	2.984375
n51	37	1	0	43	2.802083333333333
n53	38	1	0	43	2.971875
n34	34	1	0	48	2.7937499999999997
n36	39	1	0	48	2.9614583333333333
n35	36	1	0	52	2.7916666666666665
n37	40	1	0	52	2.9635416666666665
n54	42	1	0	36	3.1437499999999994
n56	48	1	0	36	3.316666666666666
n55	43	1	0	43	3.1458333333333326
n57	47	1	0	43	3.3156249999999994
n38	44	1	0	48	3.1406249999999996
n40	46	1	0	48	3.3177083333333326
n39	45	1	0	52	3.1427083333333328
n41	49	1	0	52	3.3145833333333328
n58	50	1	0	36	3.481249999999999
n60	54	1	0	36	3.6562499999999987
n59	51	1	0	45	3.498958333333332
n61	55	1	0	45	3.661458333333332
n42	53	1	0	50	3.5041666666666655
n44	56	1	0	50	3.668749999999999
n43	52	1	0	54	3.496874999999999
n45	57	1	0	54	3.665624999999999
n67	59	1	0	35	3.8677083333333324
n69	61	1	0	35	4.044791666666666
n68	58	1	0	43	3.8739583333333325
n70	60	1	0	43	4.027083333333333
n62	64	1	0	50	3.8395833333333322
n63	65	1	0	55	3.846874999999999
n71	63	1	0	35	4.219791666666666
n73	66	1	0	35	4.418749999999999
n72	62	1	0	43	4.214583333333333
n74	67	1	0	43	4.418749999999999
n65	69	1	0	57	4.506249999999999
n64	68	1	0	59	4.413541666666666
n75	70	1	0	35	4.605208333333332
n77	73	1	0	35	4.7854166666666655
n76	71	1	0	43	4.604166666666665
n78	72	1	0	43	4.787499999999999
n66	74	1	0	55	4.601041666666665
n79	76	1	0	35	4.9729166666666655
n81	78	1	0	35	5.151041666666665
