xml_id	midi_id	track	channel	pitch	onset
n12	5	0	0	29	2.29700625
n6	1	0	0	32	2.04727359375
n4	3	0	0	36	1.5130860937500001
n7	4	0	0	53	2.29299984375
n3	2	0	0	56	2.06864109375
n1	0	0	0	60	1.5384600000000002
n14	7	0	0	32	4.180017187499999
n9	6	0	0	56	4.177346249999999
n16	9	0	0	36	4.614044531249999
n23	10	0	0	41	4.77964265625
n11	8	0	0	60	4.6340765625
n17	11	0	0	65	4.79700375
n24	12	0	0	44	5.419332187499999
n18	14	0	0	68	5.4179967187499996
n26	13	0	0	48	5.92814578125
n27	17	0	0	53	6.168530156249999
n20	15	0	0	72	5.88273984375
n21	16	0	0	77	6.16051734375
n28	19	0	0	56	6.900367031250003
n22	18	0	0	65	6.884341406250003
n54	20	0	0	52	7.856562656250005
n55	22	0	0	55	7.876594687500004
n56	21	0	0	60	7.848549843750005
n29	23	0	0	72	7.839201562500005
n57	37	0	0	53	9.489840937500011
n58	41	0	0	56	9.487170000000011
n59	40	0	0	59	9.469808906250012
n38	25	0	0	72	9.461796093750012
n32	deletion
n31	24	0	0	74	9.081187500000011
n33	26	0	0	74	9.69550312500001
n39	28	0	0	74	9.930545625000013
n40	27	0	0	76	9.83172093750001
n41	30	0	0	74	10.094808281250012
n45	32	0	0	74	10.240374375000009
n47	34	0	0	74	10.38861140625001
n49	36	0	0	74	10.53150656250001
n51	39	0	0	74	10.66905984375001
n43	deletion
n42	29	0	0	76	10.024028437500014
n44	31	0	0	76	10.169594531250011
n46	33	0	0	76	10.31516062500001
n48	35	0	0	76	10.45672031250001
n50	38	0	0	76	10.61697656250001
n52	deletion
n69	47	0	0	52	11.374187343750021
n70	48	0	0	55	11.387542031250021
n71	46	0	0	60	11.351484375000021
n35	42	0	0	72	10.79993578125001
n60	45	0	0	72	11.33412328125002
n37	44	0	0	74	11.063023125000015
n53	deletion
n36	43	0	0	76	10.928140781250013
n77	52	0	0	37	14.154633281250034
n66	49	0	0	61	14.165317031250034
n85	56	0	0	30	15.032036250000042
n79	51	0	0	34	14.735562187500038
n80	53	0	0	54	15.021352500000042
n68	50	0	0	58	14.711523750000039
n87	57	0	0	34	16.83091265625006
n82	54	0	0	58	16.81889343750006
n89	58	0	0	37	17.27963015625006
n96	59	0	0	42	17.434544531250065
n84	55	0	0	61	17.27562375000006
n90	60	0	0	66	17.439886406250064
n97	61	0	0	46	18.09025968750007
n91	63	0	0	70	18.054202031250068
n99	62	0	0	49	18.549660937500065
n100	66	0	0	54	18.815419218750062
n93	64	0	0	73	18.544319062500065
n94	65	0	0	78	18.808741875000063
n101	68	0	0	58	19.549927031250064
n95	67	0	0	66	19.545920625000065
n127	71	0	0	53	20.52749015625007
n128	70	0	0	56	20.519477343750072
n129	69	0	0	61	20.50211625000007
n102	72	0	0	73	20.495438906250072
n130	89	0	0	54	22.21018078125008
n131	90	0	0	57	22.21285171875008
n132	80	0	0	60	22.20617437500008
n111	74	0	0	73	22.18347140625008
n105	deletion
n104	73	0	0	75	21.820223906250078
n106	deletion
n112	75	0	0	75	22.47861000000008
n113	76	0	0	77	22.666911093750088
n114	77	0	0	75	22.783096875000087
n118	79	0	0	75	22.97406890625009
n120	82	0	0	75	23.122305937500094
n122	84	0	0	75	23.281226718750094
n124	86	0	0	75	23.41477359375009
n116	deletion
n115	78	0	0	77	22.912637343750088
n119	81	0	0	77	23.05286156250009
n121	83	0	0	77	23.207775937500095
n123	85	0	0	77	23.358683906250093
n125	87	0	0	77	23.49223078125009
n117	deletion
n138	94	0	0	53	24.170648906250097
n139	96	0	0	56	24.186674531250095
n140	95	0	0	61	24.193351875000094
n108	91	0	0	73	23.641803281250088
n133	97	0	0	73	24.178661718750096
n126	88	0	0	75	23.548320468750088
n110	93	0	0	75	23.89153593750009
n109	92	0	0	77	23.751311718750088
n170	98	0	0	64	26.834909062500106
n171	99	0	0	67	26.821554375000105
n145	100	0	0	72	26.789503125000106
n172	114	0	0	65	28.314608437500116
n173	116	0	0	68	28.319950312500115
n174	113	0	0	71	28.317279375000115
n154	102	0	0	72	28.305260156250117
n148	deletion
n147	101	0	0	74	27.94869000000012
n155	103	0	0	74	28.52160609375012
n149	deletion
n156	deletion
n157	105	0	0	74	28.75798406250012
n161	107	0	0	74	28.89553734375012
n163	109	0	0	74	29.03976796875012
n165	111	0	0	74	29.174650312500116
n167	115	0	0	74	29.326893750000117
n159	deletion
n158	104	0	0	76	28.65915937500012
n160	106	0	0	76	28.836776718750123
n162	108	0	0	76	28.97833640625012
n164	110	0	0	76	29.113218750000115
n166	112	0	0	76	29.278816875000118
n180	122	0	0	64	29.85841031250012
n181	121	0	0	67	29.85440390625012
n151	117	0	0	72	29.425718437500116
n175	120	0	0	72	29.83704281250012
n153	119	0	0	74	29.679457500000115
n169	deletion
n152	118	0	0	76	29.539233281250116
n168	deletion
n183	123	0	0	37	30.48741609375012
n186	126	0	0	36	31.140460312500117
n184	124	0	0	37	30.69574921875012
n185	125	0	0	37	30.909424218750118
n215	127	0	0	67	32.51065125000012
n216	129	0	0	70	32.498632031250125
n217	128	0	0	73	32.494625625000126
n190	130	0	0	76	32.47592906250013
n218	144	0	0	68	34.01973093750007
n219	143	0	0	70	34.005040781250074
n220	145	0	0	73	34.02106640625007
n199	deletion
n193	deletion
n192	131	0	0	77	33.623096718750084
n194	deletion
n200	deletion
n201	132	0	0	79	33.999698906250075
n202	133	0	0	77	34.26679265625006
n204	135	0	0	77	34.51118343750003
n206	137	0	0	77	34.64740125000004
n208	139	0	0	77	34.80098015625004
n210	141	0	0	77	34.93185609375004
n203	134	0	0	79	34.40835234375004
n205	136	0	0	79	34.58864062500003
n207	138	0	0	79	34.73287125000004
n209	140	0	0	79	34.867753593750045
n211	142	0	0	79	35.006642343750045
n213	deletion
n233	152	0	0	67	35.57822296875
n234	153	0	0	70	35.55952640625
n235	151	0	0	73	35.57021015625
n196	147	0	0	76	35.153543906250036
n221	150	0	0	76	35.5475071875
n212	146	0	0	77	35.07608671875004
n198	149	0	0	77	35.39659921875002
n214	deletion
n197	148	0	0	79	35.26972968750003
n237	154	0	0	37	36.216577031249955
n240	157	0	0	36	36.86561484374995
n238	155	0	0	37	36.444942187499954
n239	156	0	0	37	36.64259156249995
n227	159	0	0	76	37.53334921874989
n228	158	0	0	79	37.52934281249989
n229	161	0	0	76	37.72298578124989
n231	163	0	0	76	37.933989843749885
n230	160	0	0	79	37.72165031249989
n232	162	0	0	79	37.932654374999885
n244	164	0	0	79	38.14766484374988
n245	165	0	0	82	38.16369046874988
n259	166	0	0	37	38.86614703124983
n262	169	0	0	36	39.66208640624983
n260	167	0	0	37	39.11721515624983
n261	168	0	0	37	39.37228968749982
n251	171	0	0	79	40.55551499999978
n252	170	0	0	82	40.55150859374978
n253	172	0	0	79	40.751828906249756
n255	175	0	0	79	40.92677531249976
n254	173	0	0	82	40.74648703124976
n256	174	0	0	82	40.91742703124976
n267	177	0	0	82	41.161817812499756
n266	176	0	0	88	41.076347812499755
n269	179	0	0	88	41.32741593749976
n272	182	0	0	88	41.57447765624976
n268	178	0	0	91	41.248623281249756
n271	181	0	0	91	41.49835593749976
n273	183	0	0	91	41.66261859374976
n270	180	0	0	94	41.42089874999976
n278	188	0	0	76	42.04589812499977
n276	186	0	0	79	41.881635468749764
n279	189	0	0	79	42.132703593749774
n274	184	0	0	82	41.75476593749976
n277	187	0	0	82	41.97244734374977
n275	185	0	0	88	41.84557781249976
n284	194	0	0	64	42.540021562499774
n282	192	0	0	67	42.35973328124978
n285	195	0	0	67	42.61347234374978
n280	190	0	0	70	42.215502656249775
n283	193	0	0	70	42.45588703124978
n281	191	0	0	76	42.29563078124978
n291	200	0	0	52	43.02479671874978
n288	198	0	0	55	42.84851484374978
n292	201	0	0	55	43.110266718749784
n286	196	0	0	58	42.70962609374978
n289	199	0	0	58	42.93665578124978
n287	197	0	0	64	42.77372859374978
n301	204	0	0	31	43.37201859374978
n302	205	0	0	34	43.46550140624978
n303	206	0	0	40	43.56566156249978
n304	207	0	0	43	43.64178328124978
n293	202	0	0	46	43.20775593749978
n294	203	0	0	52	43.27853578124978
n305	208	0	0	46	43.73259515624978
n306	209	0	0	49	43.81672968749978
n295	210	0	0	52	43.91021249999978
n296	211	0	0	55	43.99568249999978
n297	212	0	0	58	44.09450718749978
n307	216	0	0	29	44.77426078124978
n308	215	0	0	41	44.77426078124978
n298	214	0	0	49	44.77158984374978
n299	217	0	0	56	44.77693171874978
n300	213	0	0	61	44.76758343749978
n318	221	0	0	40	46.00289203124971
n319	220	0	0	48	46.022924062499705
n309	219	0	0	52	46.017582187499706
n310	222	0	0	55	46.0416206249997
n311	223	0	0	60	45.99888562499971
n322	225	0	0	36	49.433711249999554
n315	224	0	0	60	49.44305953124955
n350	228	0	0	29	49.97991796874951
n324	227	0	0	32	49.855719374999516
n325	229	0	0	53	49.98659531249951
n317	226	0	0	56	49.871744999999514
n352	234	0	0	29	50.43264187499949
n353	237	0	0	32	50.43130640624949
n354	236	0	0	36	50.43664828124949
n355	235	0	0	41	50.42062265624949
n326	230	0	0	53	50.2243087499995
n327	231	0	0	56	50.2430053124995
n330	238	0	0	56	50.59022718749949
n328	232	0	0	60	50.2416698437495
n331	239	0	0	60	50.595569062499486
n329	233	0	0	65	50.2216378124995
n332	240	0	0	65	50.58755624999949
n333	241	0	0	68	50.58755624999949
n360	245	0	0	29	50.77719281249948
n364	251	0	0	29	51.10571812499947
n361	244	0	0	32	50.76784453124948
n365	250	0	0	32	51.09636984374947
n362	242	0	0	36	50.77185093749948
n366	257	0	0	36	51.10171171874947
n363	243	0	0	41	50.76116718749948
n367	252	0	0	41	51.09236343749947
n334	246	0	0	60	50.934778124999475
n335	247	0	0	65	50.940119999999474
n336	248	0	0	68	50.937449062499475
n337	249	0	0	72	50.932107187499476
n368	260	0	0	29	51.44359171874946
n369	258	0	0	32	51.43958531249946
n370	261	0	0	36	51.43157249999946
n371	259	0	0	41	51.43958531249946
n338	253	0	0	65	51.276658124999464
n339	254	0	0	68	51.28333546874946
n342	262	0	0	68	51.597170624999464
n340	255	0	0	72	51.272651718749465
n343	263	0	0	72	51.59984156249946
n341	256	0	0	77	51.269980781249465
n344	264	0	0	77	51.594499687499464
n345	265	0	0	80	51.593164218749465
n376	266	0	0	29	51.770781562499465
n391	275	0	0	29	52.19145421874946
n377	269	0	0	32	51.772117031249465
n392	280	0	0	32	52.19145421874946
n378	268	0	0	36	51.773452499999465
n393	281	0	0	36	52.187447812499464
n379	267	0	0	41	51.766775156249466
n394	278	0	0	41	52.19011874999946
n346	271	0	0	72	51.947063437499466
n347	270	0	0	77	51.944392499999466
n380	276	0	0	77	52.176764062499466
n348	272	0	0	80	51.945727968749466
n381	279	0	0	80	52.187447812499464
n349	273	0	0	84	51.94305703124947
n382	277	0	0	84	52.183441406249464
n383	274	0	0	89	52.179434999999465
n399	282	0	0	32	54.32152687499938
n388	283	0	0	56	54.32686874999938
n401	285	0	0	36	54.78359906249938
n408	286	0	0	41	54.93851343749938
n390	284	0	0	60	54.78626999999938
n402	287	0	0	65	54.95453906249938
n409	288	0	0	44	55.523448749999375
n403	291	0	0	68	55.522113281249375
n411	290	0	0	48	55.974837187499375
n412	294	0	0	53	56.19518953124937
n405	289	0	0	72	55.973501718749375
n406	292	0	0	77	56.19652499999937
n413	293	0	0	41	56.82419531249933
n407	295	0	0	65	56.82686624999933
n414	298	0	0	52	57.39711140624928
n415	297	0	0	55	57.40645968749928
n416	296	0	0	60	57.40245328124928
n435	303	0	0	40	57.81644859374927
n436	304	0	0	43	57.81778406249927
n437	302	0	0	48	57.81511312499927
n417	299	0	0	55	57.65218593749927
n418	300	0	0	60	57.65218593749927
n420	305	0	0	60	58.00074328124927
n419	301	0	0	64	57.64817953124927
n421	306	0	0	64	57.99807234374927
n422	307	0	0	67	57.99406593749927
n441	308	0	0	40	58.15565765624927
n444	314	0	0	40	58.493531249999265
n442	309	0	0	43	58.15432218749927
n445	315	0	0	43	58.490860312499265
n443	310	0	0	48	58.15165124999927
n446	316	0	0	48	58.492195781249265
